source,target,tgt_lng
"""A Small Workspace""",「小部屋」,ja-JP
"""Baiadoce"" insuficiente",「甘い花火」が足りません,ja-JP
"""Banners Never Fall"" Challenges",【挑戦試合「掲げし誉れの旗」】について,ja-JP
"""Dream of Azure Sky"" Event",イベント「青空の夢」で獲得,ja-JP
"""Dreaming Deep"" Event",イベント「夢現のシーベッド」で獲得,ja-JP
"""I miss you all the time""",I miss you all the time,ja-JP
"""Into the Land of Paradox"" event",イベント「踏破！パラドックス領域」で獲得,ja-JP
"""Lament Recon: Solaris Soldier"" Limited-Time Event",期間限定イベント「ラメントリコン：ソラソルジャー」で獲得,ja-JP
"""Mingshen Notices"" event",イベント「明慎事件簿」で入手可能,ja-JP
"""O Final""",「最終章」,ja-JP
"""Operation: Frontier Renewal"" Event",イベント「観測への道の開拓」で獲得,ja-JP
"""Perfect Trade""",「パーフェクトディール」,ja-JP
"""Sinto sua falta o tempo todo""",I miss you all the time,ja-JP
"""Startorch Racing, Rerun!"" Event",イベント「スタートーチバイクレース、再び！」で獲得,ja-JP
"""Stranger Things in Honami"" Event",イベント「穂波の怪異物語」で獲得,ja-JP
"""Tacetite Invaders 3""",『タセタイト・インベーダー3』,ja-JP
"""The Finale""",「最終章」,ja-JP
"""The Lament""",悲鳴,ja-JP
"""Um Pequeno Espaço de Trabalho""",「小部屋」,ja-JP
"""Where Stars Cascade Down"" Event",イベント「銀河が流れ落ちる場所」で獲得,ja-JP
"""Whispers Between Stars"" Event",イベント「星々の秘話」で獲得,ja-JP
"""{0}"" exploration has been completed",“{0}”探索を完成しました,ja-JP
"""{0}"" ที่เกิดมาในความสับสน

คุณพร้อมที่จะสร้างอนาคตที่พังทลายขึ้นมาใหม่แล้วหรือยัง",彷徨いし“{0}”よ、未来を再建する準備はできたか？,ja-JP
"""{0}"" ที่เกิดมาในความสับสน

คุณพร้อมที่จะสร้างอนาคตที่พังทลายขึ้นมาใหม่แล้วหรือยัง","迷いの中で生まれた「{0}」よ、
荒れ果てた未来を正しい軌道に戻す心の準備はできたかな？",ja-JP
"""{0}"" 임무 완료 후 오픈",任務「{0}」クリアで解放,ja-JP
"""{0}"" 탐험을 완료했습니다",“{0}”探索を完成しました,ja-JP
"""การค้าขายสมบูรณ์แบบ""",「パーフェクトディール」,ja-JP
"""พัฟรสหวาน"" ไม่เพียงพอ",「甘い花火」が足りません,ja-JP
"""ศึกสุดท้าย""",「最終章」,ja-JP
"""ห้องทำงานเล็กๆ""",「小部屋」,ja-JP
%,%s,ja-JP
%ATK,攻撃力%,ja-JP
%DEF,防御力%,ja-JP
%HP,HP%,ja-JP
%s Stufe,%s階,ja-JP
%s stage,%s階,ja-JP
%s阶,%s階,ja-JP
(A activer),（解放待ち）,ja-JP
(Aguardando ativação),（解放待ち）,ja-JP
(Awaiting activation),（解放待ち）,ja-JP
(Esperando activación),（解放待ち）,ja-JP
(Opcional) {0} ahora en {1}; no puede seguir.,（任意）{0}は任務【{1}】進行中のため、任務を続行できません,ja-JP
(Opcional) {0} está em {1} no momento. Esta missão está indisponível.,（任意）{0}は任務【{1}】進行中のため、任務を続行できません,ja-JP
(Optional) {0} is occupied in {1}. This quest is unavailable.,（任意）{0}は任務【{1}】進行中のため、任務を続行できません,ja-JP
(Optional){0} ist derzeit in Mission {1} und kann die Mission nicht fortsetzen,（任意）{0}は任務【{1}】進行中のため、任務を続行できません,ja-JP
(Wartet auf Aktivierung),（解放待ち）,ja-JP
(ทางเลือก) {0} ถูกยึดครองใน {1} ภารกิจนี้ไม่สามารถใช้งานได้,（任意）{0}は任務【{1}】進行中のため、任務を続行できません,ja-JP
(รอการเปิดใช้งาน),（解放待ち）,ja-JP
(待啟動),（解放待ち）,ja-JP
(待激活),（解放待ち）,ja-JP
(활성화 필요),（解放待ち）,ja-JP
+2 Tage,+2日,ja-JP
+2 days,+2日,ja-JP
