source,target,tgt_lng
核心旋律,Main Melody,en-US
核心旋律,フル,ja-JP
核心旋律,메인 멜로디,ko-KR
Main Melody,核心旋律,zh-CN
Main Melody,フル,ja-JP
Main Melody,메인 멜로디,ko-KR
フル,核心旋律,zh-CN
フル,Main Melody,en-US
フル,메인 멜로디,ko-KR
메인 멜로디,核心旋律,zh-CN
메인 멜로디,Main Melody,en-US
메인 멜로디,フル,ja-JP
凯旋旋律,Victory Tune,en-US
凯旋旋律,サビ,ja-JP
凯旋旋律,승리 멜로디,ko-KR
Victory Tune,凯旋旋律,zh-CN
Victory Tune,サビ,ja-JP
Victory Tune,승리 멜로디,ko-KR
サビ,凯旋旋律,zh-CN
サビ,Victory Tune,en-US
サビ,승리 멜로디,ko-KR
승리 멜로디,凯旋旋律,zh-CN
승리 멜로디,Victory Tune,en-US
승리 멜로디,サビ,ja-JP
朝霭,Crisp Morning,en-US
朝霭,朝靄,ja-JP
朝霭,아침 안개,ko-KR
Crisp Morning,朝霭,zh-CN
Crisp Morning,朝靄,ja-JP
Crisp Morning,아침 안개,ko-KR
朝靄,朝霭,zh-CN
朝靄,Crisp Morning,en-US
朝靄,아침 안개,ko-KR
아침 안개,朝霭,zh-CN
아침 안개,Crisp Morning,en-US
아침 안개,朝靄,ja-JP
和煦,Sunny Breeze,en-US
和煦,長閑,ja-JP
和煦,평온,ko-KR
Sunny Breeze,和煦,zh-CN
Sunny Breeze,長閑,ja-JP
Sunny Breeze,평온,ko-KR
長閑,和煦,zh-CN
長閑,Sunny Breeze,en-US
長閑,평온,ko-KR
평온,和煦,zh-CN
평온,Sunny Breeze,en-US
평온,長閑,ja-JP
晚霞,Indigo Sunset,en-US
晚霞,薄暮,ja-JP
晚霞,황혼,ko-KR
Indigo Sunset,晚霞,zh-CN
Indigo Sunset,薄暮,ja-JP
Indigo Sunset,황혼,ko-KR
薄暮,晚霞,zh-CN
薄暮,Indigo Sunset,en-US
薄暮,황혼,ko-KR
황혼,晚霞,zh-CN
황혼,Indigo Sunset,en-US
황혼,薄暮,ja-JP
粉梦,Pink Dream,en-US
粉梦,儚雲,ja-JP
粉梦,분홍빛 꿈,ko-KR
Pink Dream,粉梦,zh-CN
Pink Dream,儚雲,ja-JP
Pink Dream,분홍빛 꿈,ko-KR
儚雲,粉梦,zh-CN
儚雲,Pink Dream,en-US
儚雲,분홍빛 꿈,ko-KR
분홍빛 꿈,粉梦,zh-CN
분홍빛 꿈,Pink Dream,en-US
