source,target,tgt_lng
非天,Asura,en-US
アスラ,Asura,en-US
아수라,Asura,en-US
อาสึระ,Asura,en-US
加藤英美里,Emiri Kato,en-US
카토 에미리,Emiri Kato,en-US
คาโต้ เอมิริ,Emiri Kato,en-US
深蓝执法者,Deep Blue Enforcer,en-US
深藍執法者,Deep Blue Enforcer,en-US
群青のエンフォーサー,Deep Blue Enforcer,en-US
검푸른 법무관,Deep Blue Enforcer,en-US
ผู้พิทักษ์ท้องทะเล,Deep Blue Enforcer,en-US
涂鸦战争,Scribble Scramble,en-US
塗鴉戰爭,Scribble Scramble,en-US
グラフィティ戦争,Scribble Scramble,en-US
그래피티,Scribble Scramble,en-US
สงครามกราฟฟิตี,Scribble Scramble,en-US
自由轮滑,Freestyle Skater,en-US
自由輪滑,Freestyle Skater,en-US
フリースケーティング,Freestyle Skater,en-US
프리 스케이팅,Freestyle Skater,en-US
โรลเลอร์เบลด,Freestyle Skater,en-US
棒球龙魂,Blaze Battler,en-US
棒球龍魂,Blaze Battler,en-US
ドラゴンストライク,Blaze Battler,en-US
드래곤 베이스볼,Blaze Battler,en-US
ดราก้อนสไตรค์,Blaze Battler,en-US
企鹅冰山,Frosty Flippers,en-US
企鵝冰山,Frosty Flippers,en-US
ペンギン氷山,Frosty Flippers,en-US
펭귄 아이스버그,Frosty Flippers,en-US
เพนกวินขั้วโลก,Frosty Flippers,en-US
森林守护者,Forest Ranger,en-US
森林守護者,Forest Ranger,en-US
森の守護者,Forest Ranger,en-US
포레스트 가디언,Forest Ranger,en-US
ผู้พิทักษ์แห่งป่า,Forest Ranger,en-US
茂林余音,Emerald Tune,en-US
茂林餘音,Emerald Tune,en-US
茂林余韻,Emerald Tune,en-US
무림의 여운,Emerald Tune,en-US
บทเพลงพฤกษา,Emerald Tune,en-US
艾可,Echo,en-US
アイコ,Echo,en-US
에코,Echo,en-US
เอคโค,Echo,en-US
内田彩,Aya Uchida,en-US
內田彩,Aya Uchida,en-US
우치다 아야,Aya Uchida,en-US
อุจิดะ อายะ,Aya Uchida,en-US
星之愿,Stargazer,en-US
星に願いを,Stargazer,en-US
별의 기원,Stargazer,en-US
สตาร์เกซเซอร์,Stargazer,en-US
晚安故事,Bedtime Tale,en-US
スリープストーリー,Bedtime Tale,en-US
굿 나잇 스토리,Bedtime Tale,en-US
นิทานฝันหวาน,Bedtime Tale,en-US
电音骑士,Sparkle Rider,en-US
電音騎士,Sparkle Rider,en-US
ポップナイト,Sparkle Rider,en-US
EDM 여신,Sparkle Rider,en-US
เหมียวนักบิด,Sparkle Rider,en-US
机械助理,Mechanicat,en-US
機械助理,Mechanicat,en-US
アシスタントロボット,Mechanicat,en-US
머신 어시스턴트,Mechanicat,en-US
เหมียวเครื่องกล,Mechanicat,en-US
火力开采,Fiery Extraction,en-US
火力開採,Fiery Extraction,en-US
情熱のドリル,Fiery Extraction,en-US
화력 채굴,Fiery Extraction,en-US
ยิงสกัดขุดทะลวง,Fiery Extraction,en-US
鳐摇心情,Marine Maverick,en-US
鰩搖心情,Marine Maverick,en-US
バイオニックエイ,Marine Maverick,en-US
마인드 셰이커,Marine Maverick,en-US
ผู้กล้าคาบสมุทร,Marine Maverick,en-US
山明箬影,Mountain Trek,en-US
山中竹影,Mountain Trek,en-US
죽림의 그림자,Mountain Trek,en-US
ร่มเงาแห่งป่าไผ่,Mountain Trek,en-US
暴走炮手,Berserk Gunner,en-US
クレイジーシューター,Berserk Gunner,en-US
폭주 거너,Berserk Gunner,en-US
พลปืนกระสุนคลั่ง,Berserk Gunner,en-US
闪亮捕猎者,Sparkle Hunter,en-US
閃亮捕獵者,Sparkle Hunter,en-US
シャイニングハンター,Sparkle Hunter,en-US
샤이닝 헌터,Sparkle Hunter,en-US
นักล่าประกายแสง,Sparkle Hunter,en-US
激潮之夏,Riptide Summers,en-US
潮衝サマーデイズ,Riptide Summers,en-US
격랑과 여름,Riptide Summers,en-US
ซัมเมอร์คลื่นเดือด,Riptide Summers,en-US
完美效劳,Perfect Pitch,en-US
完美效勞,Perfect Pitch,en-US
パーフェクトサービス,Perfect Pitch,en-US
효율냥땅,Perfect Pitch,en-US
