id,term,src_table
GachaSkinTaskVo.1.desc,Log into the game.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.10.desc,Make 150 summons in the current event.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.11.desc,Make 200 summons in the current event.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.12.desc,Get 200 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.13.desc,Get 500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.14.desc,Get 1000 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.15.desc,Get 1500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.16.desc,Get 2000 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.17.desc,Get 200 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.18.desc,Get 500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.19.desc,Get 1000 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.2.desc,Log in 3 days in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.20.desc,Get 1500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.21.desc,Get 2000 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.22.desc,Get 200 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.23.desc,Get 500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.24.desc,Get 1000 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.25.desc,Get 1500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.26.desc,Get 2000 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.27.desc,Get 200 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.28.desc,Get 500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.29.desc,Get 1000 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.3.desc,Log in 7 days in total.,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.30.desc,Get 1500 Activeness Pts in total.,GachaSkin/GachaSkinTaskVo.txt
