source,target,tgt_lng
"""A Sombra da Meia-Noite""",“夜半黑影”,zh-CN
"""Além dos penhascos, um caminho no céu alcança os quatro sinos.""",“丘涧移屏一洞开，凌空悬渡四鸣霄。”,zh-CN
"""Aqueles Superiores""",“那几位大人”,zh-CN
"""Até a Próxima""",「直到下次再见」,zh-CN
"""Automata Elder's Workbook""",《千机老人的作业本》,zh-CN
"""Because of you, this song has never fallen silent.""",“但为君故，沉吟至今。”,zh-CN
"""Beyond the cliffs, a sky path reaches the four chimes.""",“丘涧移屏一洞开，凌空悬渡四鸣霄。”,zh-CN
"""Bolsa das Maravilhas de Qingxu""",“青虚如意袋”,zh-CN
"""Deinetwegen ist dieses Lied nie verstummt.""",“但为君故，沉吟至今。”,zh-CN
"""Encore! Encore! Encore!""",“再来一首！再来一首！再来一首！”,zh-CN
"""Esta mesma lua já brilhou sobre os antigos.""",“今月曾经照古人。”,zh-CN
"""Honor the past, and press onward, even in the face of death.""",“继往开来，向死而生。”,zh-CN
"""Honre o que foi; viva em direção à morte.""",“继往开来，向死而生。”,zh-CN
"""Lionarch ไร้หัว"" ที่ว่านั้น แท้จริงแล้วคืออะไร?",而所谓的“无头兽尊”，实际上是？,zh-CN
"""Livro de Exercícios do Ancião Autômato""",《千机老人的作业本》,zh-CN
"""Nightmare"" Incursion",「梦魇」来袭,zh-CN
"""Novo dia, mesma dor""",“你看上去很孤独”,zh-CN
"""Paz e prosperidade""",“太平有象”,zh-CN
"""Peace and Prosperity""",“太平有象”,zh-CN
"""Por sua causa, esta canção nunca se calou.""",“但为君故，沉吟至今。”,zh-CN
"""Qingxu Pouch of Wonders""",“青虚如意袋”,zh-CN
"""The Midnight Shadow""",“夜半黑影”,zh-CN
"""This same moon once shone upon the ancients.""",“今月曾经照古人。”,zh-CN
"""Those Higher-ups""",“那几位大人”,zh-CN
"""Until We Meet Again""",「直到下次再见」,zh-CN
"""{PlayerName}""의 메모","""{PlayerName}""的溯言",zh-CN
"""กวาดล้าง"": ฟื้นฟูพลังงานจำแลงร่าง {0} หน่วย",「歼灭」：回复{0}点拟形能量。,zh-CN
"""การทดลอง"" ครั้งนี้ ได้เดินทางมาถึงบทสรุปแล้ว",这场「实验」，已至尾声。,zh-CN
"""จันทราในวันนี้เคยสาดส่องผู้คนในวันวาน""",“今月曾经照古人。”,zh-CN
"""จิตข่มขวัญ"": ความเสียหายที่ได้รับลดลง {0}",「威慑」：受到的伤害降低{0}。,zh-CN
"""จิตข่มขวัญ"": ความเสียหายที่ได้รับลดลง {0}%",「威慑」：受到伤害降低{0}%。,zh-CN
"""จิตข่มขวัญ"": ความเสียหายสกิลเรโซแนนซ์เพิ่มขึ้น {0}%",「威慑」：共鸣技能伤害提升{0}%。,zh-CN
"""ถุงสมประสงค์ชิงซวี""",“青虚如意袋”,zh-CN
"""ทิวเขาลำธารดั่งม่านเปิดถ้ำขยาย สะพานแขวนลอยฟ้าก้องกังวานทั่วทิศ""",“丘涧移屏一洞开，凌空悬渡四鸣霄。”,zh-CN
"""นายท่านเหล่านั้น""",“那几位大人”,zh-CN
"""ผู้สดับสุรเสียง""",「祀声之人」,zh-CN
"""ฝันร้าย"" จู่โจม",「梦魇」来袭,zh-CN
"""ยืนหยัด"": Crit. Rate เพิ่มขึ้น {0}",「坚毅」：暴击提升{0}。,zh-CN
"""ยืนหยัด"": ความเสียหายที่ได้รับลดลง {0}",「坚毅」：受到的伤害降低{0}。,zh-CN
"""ยืนหยัด"": ความเสียหายที่ได้รับลดลง {0}%",「坚毅」：受到的伤害降低{0}%。,zh-CN
"""ยืนหยัด"": ความเสียหายสกิลเรโซแนนซ์เพิ่มขึ้น {0}%",「坚毅」：共鸣技能伤害提升{0}%。,zh-CN
"""ยืนหยัด"": ความเสียหายเพิ่มขึ้น {0}%",「坚毅」：伤害提升{0}%。,zh-CN
"""ศุภมงคล""",“太平有象”,zh-CN
"""สมุดการบ้านของจอมยุทธ์พันกล""",《千机老人的作业本》,zh-CN
"""สืบสานอดีตเบิกทางสู่อนาคต เผชิญความตายเพื่อก่อเกิดชีวิตใหม่""",“继往开来，向死而生。”,zh-CN
"""เงาดำยามวิกาล""",“夜半黑影”,zh-CN
