source,target,tgt_lng
Achievement: Adeptal Valley,成就·仙谷,zh-TW
Achievement: All-Seeing,成就·覽盡,zh-TW
Achievement: Blaze,成就·灼燃,zh-TW
Achievement: Bowmaster,成就·強弓,zh-TW
Achievement: Challenger,成就·挑戰,zh-TW
Achievement: Challenger II,成就·挑戰·其二,zh-TW
Achievement: Challenger III,成就·挑戰·其三,zh-TW
Achievement: Chasm,成就·層岩,zh-TW
Achievement: Cliffhanger,成就·闔扇,zh-TW
Achievement: Colors of the Rainbow,成就·虹色,zh-TW
Achievement: Deep & Dark,成就·深秘,zh-TW
Achievement: Endpoint,成就·盡頭,zh-TW
Achievement: Enigmatic Core,成就·迷核,zh-TW
Achievement: Explorer,成就·遊遍,zh-TW
Achievement: Far-Sighted,成就·眺遠,zh-TW
Achievement: Fated Encounter,成就·逢緣,zh-TW
Achievement: Feline Fortune,成就·喵運,zh-TW
Achievement: Fighting Spirit,成就·戰意,zh-TW
Achievement: Full Bloom,成就·繁花,zh-TW
Achievement: Gate,成就·門扉,zh-TW
Achievement: Hero,成就·俠行,zh-TW
Achievement: Hill Dwellers,成就·山民,zh-TW
Achievement: Infinitum,成就·萬種,zh-TW
Achievement: Invoker,成就·七聖,zh-TW
Achievement: Lord of the Night,成就·夜主,zh-TW
Achievement: Mariner,成就·游涉,zh-TW
Achievement: Mirrored Dreams,成就·鏡夢,zh-TW
Achievement: Nails,成就·敲針,zh-TW
Achievement: Orbits,成就·軌跡,zh-TW
Achievement: Perpetual,成就·永續,zh-TW
Achievement: Poetic Pages,成就·詩頁,zh-TW
Achievement: Repertoire,成就·樂集,zh-TW
Achievement: Resplendence,成就·琪華,zh-TW
Achievement: Reunion,成就·相逢,zh-TW
Achievement: Roaming,成就·漫行,zh-TW
Achievement: Seven Lights,成就·七芒,zh-TW
Achievement: Snowy Land,成就·雪鄉,zh-TW
Achievement: Snowy Summit,成就·雪峰,zh-TW
Achievement: Stone Dragon,成就·石龍,zh-TW
Achievement: Tea Time,成就·壺歌,zh-TW
Achievement: Thunderclap,成就·雷音,zh-TW
Achievement: Time Apart,成就·久別,zh-TW
Achievement: Tranquil Peace,成就·寂寧,zh-TW
Achievement: Transient Twilight,成就·槿暮,zh-TW
Achievement: Traversal,成就·遍歷,zh-TW
Achievement: Treading Snow,成就·涉雪,zh-TW
Achievement: Vacation Home,成就·旅居,zh-TW
Achievement: Virtuoso,成就·殊技,zh-TW
Achievement: Whalewrangler,成就·掣鯨,zh-TW
Aino - Ai Da,愛諾·哎鴨,zh-TW
Aino - Aïe aïe canard,愛諾·哎鴨,zh-TW
Aino - Metiendo “el pato”,愛諾·哎鴨,zh-TW
Aino - หนูช่วยเย็นก่อนจิ,愛諾·哎鴨,zh-TW
Aino – Entenschnattern,愛諾·哎鴨,zh-TW
Aino: Che papera!,愛諾·哎鴨,zh-TW
"Aino: Opa, Patinho",愛諾·哎鴨,zh-TW
Aino: Portakal Ördekal,愛諾·哎鴨,zh-TW
Aino: Whoopsie Ducksie,愛諾·哎鴨,zh-TW
Albedo - Flor solar,阿貝多·陽花,zh-TW
Albedo - Hướng Dương,阿貝多·陽花,zh-TW
