source,target,tgt_lng
 (con mods), (modificado),pt-BR
 (Modded), (modificado),pt-BR
 (modificato), (modificado),pt-BR
 (modifiziert), (modificado),pt-BR
 (Modlu), (modificado),pt-BR
 (version moddée), (modificado),pt-BR
 (Đã được sửa đổi), (modificado),pt-BR
 (модифицировано), (modificado),pt-BR
 (มีการดัดแปร), (modificado),pt-BR
 (모드), (modificado),pt-BR
"""%s"" adlı oyuncuyu bildiriyorsunuz.","Você está denunciando ""%s"".",pt-BR
"""%s""을(를) 신고하려 합니다.","Você está denunciando ""%s"".",pt-BR
%1$s + %2$s ile araç çubuğunu kaydedebilirsiniz,Salve a barra rápida com %1$s + %2$s,pt-BR
%1$s + %2$s을(를) 눌러 단축 바를 저장할 수 있습니다,Salve a barra rápida com %1$s + %2$s,pt-BR
%1$s 在 %3$s 說：%2$s,%s disse: %s em %s,pt-BR
%1$s 著,por %1$s,pt-BR
%1$s+%2$sでホットバーを保存します,Salve a barra rápida com %1$s + %2$s,pt-BR
%1$sで立ち上がる,Pressione %1$s para se levantar,pt-BR
%1$sで降りる,Pressione %1$s para descer,pt-BR
%1$sの%3$sでの発言：%2$s,%s disse: %s em %s,pt-BR
%1$s在%3$s说：%2$s,%s disse: %s em %s,pt-BR
%1$s이(가) 씀,por %1$s,pt-BR
%1$s／%2$sページ,Página %1$s de %2$s,pt-BR
%2$s× %1$s,%s x %s,pt-BR
%2$s個中%1$s個のメッセージを選択, %s/%s mensagem(ns) selecionada(s),pt-BR
%2$s쪽 중 %1$s쪽,Página %1$s de %2$s,pt-BR
"%s

%s

Buradan daha fazlasını öğrenin: %s","%s

%s

Saiba mais no link: %s",pt-BR
"%s

%s

Consulta más información en el siguiente enlace: %s","%s

%s

Saiba mais no link: %s",pt-BR
"%s

%s

Erfahre mehr unter folgendem Link: %s","%s

%s

Saiba mais no link: %s",pt-BR
"%s

%s

Learn more at the following link: %s","%s

%s

Saiba mais no link: %s",pt-BR
"%s

%s

Pour en savoir plus, consultez le lien suivant : %s","%s

%s

Saiba mais no link: %s",pt-BR
"%s

%s

Scopri di più al collegamento seguente: %s","%s

%s

Saiba mais no link: %s",pt-BR
"%s

%s

Tìm hiểu thêm tại liên kết sau: %s","%s

%s

Saiba mais no link: %s",pt-BR
