id,term,src_table
Stage.Campaign.1011101,เขตศูนย์กลาง อาโอบะ เลขที่ 35,stages.json:Campaign
Stage.Campaign.1011102,D.U. เวสต์ พาร์ก,stages.json:Campaign
Stage.Campaign.1011103,ตลาดคุโระเนโกะ,stages.json:Campaign
Stage.Campaign.1011104,เขตศูนย์กลาง เลขที่ 1,stages.json:Campaign
Stage.Campaign.1011105,พื้นที่ D.U. 577,stages.json:Campaign
Stage.Campaign.1012101,เขตศูนย์กลาง อาโอบะ เลขที่ 99,stages.json:Campaign
Stage.Campaign.1012102,ใจกลาง D.U. เวสต์ พาร์ก,stages.json:Campaign
Stage.Campaign.1012103,ด้านนอกตลาดคุโระเนโกะ,stages.json:Campaign
Stage.Campaign.1021101,ฟุตาบะ การ์เด้น,stages.json:Campaign
Stage.Campaign.1021102,บล็อกที่ 3 เขตเหนือ,stages.json:Campaign
Stage.Campaign.1021103,ตลาดชิโรมอน 86,stages.json:Campaign
Stage.Campaign.1021104,เขตเหนือ เมืองชิบะ,stages.json:Campaign
Stage.Campaign.1021105,เขตธุรกิจที่ 7 พื้นที่ 1,stages.json:Campaign
Stage.Campaign.1022101,ฟุตาบะ การ์เด้น สปอร์ตเซนเตอร์,stages.json:Campaign
Stage.Campaign.1022102,กรีน การ์เด้น สปอร์ตเซนเตอร์,stages.json:Campaign
Stage.Campaign.1022103,บล็อกที่ 5 เขตเหนือ,stages.json:Campaign
Stage.Campaign.1031101,ตลาดมืด เลขที่ 1,stages.json:Campaign
Stage.Campaign.1031102,ตลาดมืด เขตใต้,stages.json:Campaign
Stage.Campaign.1031103,ทางด่วน KV พื้นที่ 7,stages.json:Campaign
Stage.Campaign.1031104,ตลาดมืด เขตเหนือ,stages.json:Campaign
Stage.Campaign.1031105,บทที่ 3 ถนนสายหลัก 3-51,stages.json:Campaign
Stage.Campaign.1031401,KVハイウェイ35番道路,stages.json:Campaign
Stage.Campaign.1032101,ใจกลางตลาดมืด,stages.json:Campaign
Stage.Campaign.1032102,ด้านนอกตลาดมืด,stages.json:Campaign
Stage.Campaign.1032103,ทางด่วน KV พื้นที่ 9,stages.json:Campaign
Stage.Campaign.1041101,แม่น้ำทามากาวะ เขตเหนือ,stages.json:Campaign
Stage.Campaign.1041102,แม่น้ำทามากาวะ เขตใต้,stages.json:Campaign
Stage.Campaign.1041103,ถนนสายหลักหมายเลข 3 อะบิดอส,stages.json:Campaign
Stage.Campaign.1041104,ซึนาโอมาชิ บล็อกที่ 2,stages.json:Campaign
Stage.Campaign.1041105,ซึนาโอมาชิ บล็อกที่ 3,stages.json:Campaign
Stage.Campaign.1042101,เขตปลอดภัย เขตทามากาวะเหนือ,stages.json:Campaign
Stage.Campaign.1042102,ถนนสายหลักหมายเลข 1 อะบิดอส,stages.json:Campaign
Stage.Campaign.1042103,ซึนาโอมาชิ บล็อกที่ 5,stages.json:Campaign
Stage.Campaign.1051101,สถานีชิโระโมริ เส้นทางสายอะบิดอส,stages.json:Campaign
Stage.Campaign.1051102,สถานีโยทสึบะ เส้นทางสายอะบิดอส,stages.json:Campaign
Stage.Campaign.1051103,โบราณสถาน ทิศตะวันตก,stages.json:Campaign
Stage.Campaign.1051104,ฐานทัพ PMC ไคเซอร์,stages.json:Campaign
Stage.Campaign.1051105,โบราณสถานด้านทิศตะวันออก,stages.json:Campaign
Stage.Campaign.1052101,สถานีชินคิโรโอะ เขตตะวันออก,stages.json:Campaign
Stage.Campaign.1052102,ใจกลางโบราณสถาน ทิศตะวันออก,stages.json:Campaign
Stage.Campaign.1052103,ภายนอกโบราณสถาน ทิศตะวันออก,stages.json:Campaign
Stage.Campaign.1061101,บล็อกที่ 2 คิตะยามะ,stages.json:Campaign
Stage.Campaign.1061102,แนวสันเขา ภูเขาฮาชิ,stages.json:Campaign
Stage.Campaign.1061103,จุดชมซากุระ ภูเขาคิชู,stages.json:Campaign
Stage.Campaign.1061104,จุดชมดอกสึซึรัน ภูเขาคิชู,stages.json:Campaign
Stage.Campaign.1061105,บริเวณหุบเขา ภูเขาอาคิตะ,stages.json:Campaign
Stage.Campaign.1061401,穐田山ウスイ峠,stages.json:Campaign
Stage.Campaign.1062101,ใจกลางเขตคิตะยามะ,stages.json:Campaign
Stage.Campaign.1062102,เส้นทางเดินเขารอบนอก ภูเขาฮาชิ,stages.json:Campaign
Stage.Campaign.1062103,เส้นทางเดินเขารอบนอก ภูเขาคิชู,stages.json:Campaign
Stage.Campaign.1071101,สถาบันการศึกษาของรัฐ 2 เขตใต้,stages.json:Campaign
Stage.Campaign.1071102,อาคารหลักสาขาย่อย โรงเรียนอาเรียส,stages.json:Campaign
Stage.Campaign.1071103,สถานีหอนาฬิกา,stages.json:Campaign
Stage.Campaign.1071104,สถานีที่ทำการกลาง,stages.json:Campaign
Stage.Campaign.1071105,สถานีสวนริมทะเลสาบ,stages.json:Campaign
Stage.Campaign.1072101,อาคารหลักสาขาย่อย โรงเรียนอาเรียส,stages.json:Campaign
Stage.Campaign.1072102,สถานีคุโรยากิ (ปิด),stages.json:Campaign
Stage.Campaign.1072103,สถานีคุโรอูนากิ (ปิด),stages.json:Campaign
Stage.Campaign.1081101,โรงงานเหล็กสึซึกิ,stages.json:Campaign
Stage.Campaign.1081102,โรงงานอาวุธ PMC ไคเซอร์,stages.json:Campaign
Stage.Campaign.1081103,ทางระบายน้ำฝน 3 เขตเหนือ,stages.json:Campaign
Stage.Campaign.1081104,ทางระบายน้ำฝน 1 เขตตะวันออก,stages.json:Campaign
Stage.Campaign.1081105,ทางระบายน้ำฝน 7 เขตตะวันออก,stages.json:Campaign
Stage.Campaign.1082101,โรงงานขยะในเขตปกครองตนเอง มิลเลเนียม,stages.json:Campaign
Stage.Campaign.1082102,เขตศูนย์กลาง ทางระบายน้ำเสีย 4,stages.json:Campaign
Stage.Campaign.1082103,เขตศูนย์กลาง ทางระบายน้ำเสีย 7,stages.json:Campaign
Stage.Campaign.1091101,ตลาดอาเมะทาโกะ,stages.json:Campaign
Stage.Campaign.1091102,ตลาดสึคิเทน,stages.json:Campaign
Stage.Campaign.1091103,โคะอุซางิ การ์เด้น,stages.json:Campaign
Stage.Campaign.1091104,ซาจานามิ การ์เด้น,stages.json:Campaign
Stage.Campaign.1091105,ซึโมโมะ การ์เด้น,stages.json:Campaign
