source,target,tgt_lng
"""Burada Görülecek Bir Şey Yok"" Tamoto","""Nothing to See Here"" Tamoto",th-TH
A/S 포탄,After-Sales Service,th-TH
After-Sales Service Rounds,After-Sales Service,th-TH
"Ahau, Señor de los Dragones",มังกรศักดิ์สิทธิ์ผู้ยิ่งใหญ่ Ajaw,th-TH
Alamet Ruhu: Taş Ejderi,Spirit of Omen: Stone Drake,th-TH
Alaycı Kedi Şapkası,Grin-Malkin Hat,th-TH
Alles wendender Heiliger Fürst,จ้าวผู้ศักดิ์สิทธิ์ที่หวนคืน,th-TH
Allmächtiger Drachenfürst Ajaw,มังกรศักดิ์สิทธิ์ผู้ยิ่งใหญ่ Ajaw,th-TH
"Almighty Dragonlord, Ajaw",มังกรศักดิ์สิทธิ์ผู้ยิ่งใหญ่ Ajaw,th-TH
Altın Gül Selamı,Rosula Dorata Salute,th-TH
Anel da Tempestade,Tanglebolt Ring,th-TH
Anello avviluppante,Tanglebolt Ring,th-TH
Animal Hidromimético,Oceanid Mimic,th-TH
Anneau de tempête,Tanglebolt Ring,th-TH
Arauto da Floresta,Herald of Frost,th-TH
Arbalétrier Brutocollinus Cryo,Cryo Hilichurl Shooter,th-TH
Arbalétrier Brutocollinus Électro,Electro Hilichurl Shooter,th-TH
Ardilla Hidromimética,Oceanic Mimic: Squirrel,th-TH
Ardilla voladora de papel,กระรอกบินกระดาษ,th-TH
Armonispirito,Gossamer Sprite,th-TH
Aura solaire,Solar Isotoma,th-TH
Autômatos Simples de Chiori,Chiori's Automaton Dolls,th-TH
Ave Rapaz Hidromimética,Oceanic Mimic: Raptor,th-TH
Ayazın Habercisi,Herald of Frost,th-TH
Bakekurage,Bake-Kurage,th-TH
Bala posventa,After-Sales Service,th-TH
Baron Coniglio,Baron Bunny,th-TH
Baron Lapinou,Baron Bunny,th-TH
Baron Tavşan,Baron Bunny,th-TH
Barão Coelho,Baron Bunny,th-TH
Barón Bunny,Baron Bunny,th-TH
Bauklotzfigur,บล็อกคนจิ๋ว,th-TH
Bereketli Çekirdek,Bountiful Core,th-TH
Berserker Brutocollinus,Hilichurl Berserker,th-TH
Berserkers Brutocollinus,Hilichurl Berserker,th-TH
Bogglecat Box,Bogglecat Box (กล่องแมวเหมียวสุดอึ้ง),th-TH
Boîte minestyque,Bogglecat Box,th-TH
Boîte minestyque,Bogglecat Box (กล่องแมวเหมียวสุดอึ้ง),th-TH
Brutocollinus,Hilichurl,th-TH
Brutoshaman Hydro,Hydro Samachurl,th-TH
Buz Cicinleri,Cryo Cicin,th-TH
Buzdan Seki no To,Frostflake Seki no To,th-TH
Bá Tước Thỏ,Baron Bunny,th-TH
Bóng Ma Nước,Oceanid Mimic,th-TH
Bóng Ma Nước - Chim Ưng,Oceanic Mimic: Raptor,th-TH
Bóng Ma Nước - Sóc Chuột,Oceanic Mimic: Squirrel,th-TH
Bóng Ma Nước - Ếch,Oceanic Mimic: Frog,th-TH
Búp Bê Tự Động Của Chiori,Chiori's Automaton Dolls,th-TH
Büyük Rüzgar Ruhu,Large Wind Spirit,th-TH
Băng Linh Châu,Sacred Cryo Pearl,th-TH
Băng Tiễn Hilichurl,Cryo Hilichurl Shooter,th-TH
Ca Sĩ Nước Nguồn,Singer of Many Waters,th-TH
Cadenas de tormenta inminente,Chains of Warding Thunder,th-TH
Caixa Lumidouce Nível 1,Lumidouce Case ขั้น 1,th-TH
Caixa Lumidouce Nível 2,Lumidouce Case ขั้น 2,th-TH
Caixa Lumidouce Nível 3,Lumidouce Case ขั้น 3,th-TH
Caixa Surpresa Miau Miau,Bogglecat Box,th-TH
Caixa Surpresa Miau Miau,Bogglecat Box (กล่องแมวเหมียวสุดอึ้ง),th-TH
Calaveras de Acechador,Rifthound Skull,th-TH
Camgöz Füzesi,มิสไซล์ฉลาม,th-TH
Campo Notizia flash,Newsflash Field,th-TH
Campo de Dandelion,Dandelion Field,th-TH
Campo de bruma embriagadora,Drunken Mist,th-TH
Campo de dientes de león,Dandelion Field,th-TH
Campo di denti di leone,Dandelion Field,th-TH
Canardeur tranquille,Cool Your Jets Ducky,th-TH
Cantante delle Mille Acque,Singer of Many Waters,th-TH
Cantora das Correntes,Singer of Many Waters,th-TH
Cappello sogghignante,Grin-Malkin Hat,th-TH
Catene del Tuono tutelare,Chains of Warding Thunder,th-TH
Celestesfera onírica,Celestial Dreamsphere,th-TH
Cerchio melodioso,Melody Loop,th-TH
Cercle de mélodie,Melody Loop,th-TH
Cerco ígneo,Fiery Sanctum Field,th-TH
Cerezo kitsune,Sesshou Sakura,th-TH
Chamas Ardentes,Burning Flame,th-TH
Champ de flash info,Newsflash Field,th-TH
Champ de pissenlits,Dandelion Field,th-TH
Champ de vapeur d'alcool,Drunken Mist,th-TH
Chanteur des eaux,Singer of Many Waters,th-TH
Chapeau félinois,Grin-Malkin Hat,th-TH
Chapéu do Gato Brincalhão,Grin-Malkin Hat,th-TH
Chaîne du tonnerre protecteur,Chains of Warding Thunder,th-TH
Chiori'nin Kukla Canavar Makinaları,Chiori's Automaton Dolls,th-TH
Chioris Automaton-Puppen,Chiori's Automaton Dolls,th-TH
Chuva da Cura,Healing Rain,th-TH
Chó Ma Đầu Đàn,Rifthound Skull,th-TH
Cicin Băng,Cryo Cicin,th-TH
Cicin Cryo,Cryo Cicin,th-TH
Cicin Electro,Electro Cicin,th-TH
Cicin Lôi,Electro Cicin,th-TH
Cicin di Cryo,Cryo Cicin,th-TH
Cicin di Electro,Electro Cicin,th-TH
Cicines Cryo,Cryo Cicin,th-TH
Cicines Electro,Electro Cicin,th-TH
Ciclón,Whirlwind,th-TH
Cin,Jinni,th-TH
Collambei,Cuilein-Anbar,th-TH
Colleámbar,Cuilein-Anbar,th-TH
Con Mắt Lôi Phạt,Eye of Stormy Judgment,th-TH
Cooking Mek: Cold Storage Mode,กลไกทำอาหาร: โหมดจัดเก็บอุณหภูมิต่ำ,th-TH
Correntes do Trovão,Thundering Shackles,th-TH
Correntes do Trovão Protetor,Chains of Warding Thunder,th-TH
Cresta de piedra,Stone Stele,th-TH
Criceto origami,แฮมสเตอร์อ้วนกระดาษ,th-TH
