source,target,tgt_lng
アビドス,阿拜多斯,zh-TW
Abydos,阿拜多斯,zh-TW
아비도스,阿拜多斯,zh-TW
อะบิดอส,阿拜多斯,zh-TW
阿里乌斯,奧利斯,zh-TW
アリウス,奧利斯,zh-TW
Arius,奧利斯,zh-TW
아리우스,奧利斯,zh-TW
อาเรียส,奧利斯,zh-TW
歌赫娜,格黑娜,zh-TW
ゲヘナ,格黑娜,zh-TW
Gehenna,格黑娜,zh-TW
게헨나,格黑娜,zh-TW
เกเฮนน่า,格黑娜,zh-TW
Hyakkiyako,百鬼夜行,zh-TW
백귀야행,百鬼夜行,zh-TW
เฮียกคิยาโค,百鬼夜行,zh-TW
千禧年,千年,zh-TW
ミレニアム,千年,zh-TW
Millennium,千年,zh-TW
밀레니엄,千年,zh-TW
มิลเลเนียม,千年,zh-TW
红冬,赤冬,zh-TW
レッドウィンター,赤冬,zh-TW
Red Winter,赤冬,zh-TW
붉은겨울,赤冬,zh-TW
เรดวินเทอร์,赤冬,zh-TW
山海经,山海經,zh-TW
山海経,山海經,zh-TW
Shanhaijing,山海經,zh-TW
산해경,山海經,zh-TW
ซานไห่จิง,山海經,zh-TW
崔尼蒂,三一,zh-TW
トリニティ,三一,zh-TW
Trinity,三一,zh-TW
트리니티,三一,zh-TW
ทรีนิตี้,三一,zh-TW
瓦尔基丽,女武神,zh-TW
ヴァルキューレ,女武神,zh-TW
Valkyrie,女武神,zh-TW
발키리,女武神,zh-TW
วัลคิรี่,女武神,zh-TW
その他,其他,zh-TW
Etc.,其他,zh-TW
그 외,其他,zh-TW
อื่นๆ,其他,zh-TW
常盤台中学,常盤台中學,zh-TW
Tokiwadai,常盤台中學,zh-TW
토키와다이 중학교,常盤台中學,zh-TW
โทคิวะได,常盤台中學,zh-TW
柵川中学,柵川中學,zh-TW
Sakugawa,柵川中學,zh-TW
사쿠가와 중학교,柵川中學,zh-TW
ซากุงาวะ,柵川中學,zh-TW
Other,其他,zh-TW
阿拜多斯,阿拜多斯高中,zh-TW
アビドス高等学校,阿拜多斯高中,zh-TW
Abydos High School,阿拜多斯高中,zh-TW
아비도스 고등학교,阿拜多斯高中,zh-TW
โรงเรียนมัธยมอะบิดอส,阿拜多斯高中,zh-TW
阿里乌斯,奧利斯分校,zh-TW
アリウス分校,奧利斯分校,zh-TW
Arius Satellite School,奧利斯分校,zh-TW
아리우스 분교,奧利斯分校,zh-TW
โรงเรียนสาขาอาเรียส,奧利斯分校,zh-TW
歌赫娜,格黑娜學園,zh-TW
ゲヘナ学園,格黑娜學園,zh-TW
Gehenna Academy,格黑娜學園,zh-TW
게헨나 학원,格黑娜學園,zh-TW
สถาบันเกเฮนน่า,格黑娜學園,zh-TW
百鬼夜行,百鬼夜行聯合學園,zh-TW
百鬼夜行連合学院,百鬼夜行聯合學園,zh-TW
Allied Hyakkiyako Academy,百鬼夜行聯合學園,zh-TW
백귀야행 연합학원,百鬼夜行聯合學園,zh-TW
สหพันธ์เฮียกคิยาโค,百鬼夜行聯合學園,zh-TW
千禧年,千年科學學園,zh-TW
ミレニアムサイエンススクール,千年科學學園,zh-TW
Millennium Science School,千年科學學園,zh-TW
밀레니엄 사이언스 스쿨,千年科學學園,zh-TW
โรงเรียนวิทย์มิลเลเนียม,千年科學學園,zh-TW
红冬,赤冬聯邦學園,zh-TW
レッドウィンター連邦学園,赤冬聯邦學園,zh-TW
Red Winter Federal Academy,赤冬聯邦學園,zh-TW
붉은겨울 연방학원,赤冬聯邦學園,zh-TW
สถาบันสหพันธ์เรดวินเทอร์,赤冬聯邦學園,zh-TW
山海经,山海經高級中學,zh-TW
山海経高級中学校,山海經高級中學,zh-TW
Shanhaijing Academy,山海經高級中學,zh-TW
산해경 고급중학교,山海經高級中學,zh-TW
โรงเรียนมัธยมซานไห่จิง,山海經高級中學,zh-TW
SRT,SRT特殊學園,zh-TW
SRT特殊学園,SRT特殊學園,zh-TW
SRT Academy,SRT特殊學園,zh-TW
SRT 특수학원,SRT特殊學園,zh-TW
สถาบันพิเศษ SRT,SRT特殊學園,zh-TW
崔尼蒂,三一綜合學園,zh-TW
トリニティ総合学園,三一綜合學園,zh-TW
Trinity General School,三一綜合學園,zh-TW
트리니티 종합학원,三一綜合學園,zh-TW
โรงเรียนสามัญทรีนิตี้,三一綜合學園,zh-TW
瓦尔基丽,女武神警察學園,zh-TW
ヴァルキューレ警察学校,女武神警察學園,zh-TW
Valkyrie Police School,女武神警察學園,zh-TW
발키리 경찰학교,女武神警察學園,zh-TW
สถาบันฝึกตำรวจวัลคิรี่,女武神警察學園,zh-TW
Tokiwadai Middle School,常盤台中學,zh-TW
โรงเรียนมัธยมต้นโทคิวะได,常盤台中學,zh-TW
Sakugawa Middle School,柵川中學,zh-TW
โรงเรียนมัธยมต้นซากุงาวะ,柵川中學,zh-TW
