source,target,tgt_lng
"""... Dado o recente aumento de eventos climáticos perigosos na Planície Corroída, a operação manual tradicional necessária para reparo de infraestrutura representa preocupações iminentes de segurança. Por esse motivo, um protocolo de operação inteligente totalmente automatizado está sendo iniciado...""","""...Given the recent increase in hazardous weather events across the Etching Plains, the traditional manual operation required for infrastructure repair poses imminent safety concerns. As such, a fully-automated smart operation protocol is being initiated...""",en-US
"""...ที่ราบรอยสลักเกิดสภาพอากาศผิดปกติบ่อยครั้งเมื่อเร็วๆ นี้ โครงสร้างพื้นฐานแบบซ่อมแซมดั้งเดิมยังจำเป็นต้องดำเนินการด้วยแรงงานมนุษย์อยู่ แต่เพื่อลดความเสี่ยง จึงเสนอให้เริ่มใช้แผนงานอัตโนมัติอัจฉริยะเต็มรูปแบบ...""","""...Given the recent increase in hazardous weather events across the Etching Plains, the traditional manual operation required for infrastructure repair poses imminent safety concerns. As such, a fully-automated smart operation protocol is being initiated...""",en-US
"""Amistad""","""Friendship""",en-US
"""Amor Paternal""","""Fatherly Love""",en-US
"""Antologia do Hino Dourado""","""The Golden Anthem Anthology""",en-US
"""Archiv: Tacet-Dissonanz""","""Archive: Tacet Discord""",en-US
"""Das Licht wird nie am Leuchtturm erlöschen. Du bist jederzeit willkommen, Freund, nach Hause zu kommen.""","“The light will never fade at the lighthouse. You are welcome to come home any time, friend.""",en-US
"""Denia lidera a corrida. Sigrika se recusa a ceder terreno e está fechando a distância, mas bloqueando seu caminho está... Espere, é Abbraba!""
""Escutem, desafiantes!"" grita Abbraba. ""Vamos ver do que vocês são realmente feitos!""","""Denia leads the charge. Sigrika refuses to give an inch and is closing the gap, but blocking their path is... Wait, it's Abbowser!""
""Listen up, challengers!"" shouts Abbowser. ""Let's see what you're really made of!""",en-US
"""Der Katzenkriecher.""","""Cat Tree""",en-US
"""Diferentes Maneras""","""Different Ways""",en-US
"""Divergencia""","""Divergence""",en-US
"""Jiyan คราวหน้าเรามาอยู่ทีมเดียวกันนะ""
เมื่อได้รับคำเชิญจากคุณ Jiyan จึงเข้าร่วมการแข่งวิ่งผลัด Gulpuff และหลังจากผ่านไปสิบปี ทีมชั่วคราวก็ก่อตั้งขึ้นอีกครั้ง ความทรงจำที่เลือนรางตามกาลเวลาได้หวนกลับมาผ่านค่ำคืนอันยาวนานและโดดเดี่ยว และคุณได้ปิดฉากคำสัญญาที่ไม่เคยเป็นจริงลงด้วยเช่นกัน","""Jiyan, let's join together next time.""
At your invitation, Jiyan participated in the Gulpuff Relay, and after ten years, the makeshift squad was once again formed. Those memories that had been smeared by the years resurfaced across the long lonely night. That unfulfilled promise was also brought to a close by you.",en-US
"""Jiyan, lass uns das nächste Mal zusammenmachen.""
Auf deine Einladung hin nahm Jiyan an der Gulpuff-Staffel teil, und nach zehn Jahren wurde das provisorische Team wieder zusammengebracht. Diese Erinnerungen, die von den Jahren verblasst waren, tauchten wieder auf, durch die lange, einsame Nacht. Dieses unerfüllte Versprechen wurde auch von dir abgeschlossen.","""Jiyan, let's join together next time.""
At your invitation, Jiyan participated in the Gulpuff Relay, and after ten years, the makeshift squad was once again formed. Those memories that had been smeared by the years resurfaced across the long lonely night. That unfulfilled promise was also brought to a close by you.",en-US
"""Jiyan, unámonos la próxima vez.""
A tu invitación, Jiyan participó en el Relevo de Burbujín, y después de diez años, el escuadrón improvisado se formó una vez más. Aquellos recuerdos que habían sido manchados por los años resurgieron a lo largo de la larga noche solitaria. Aquella promesa incumplida también fue cerrada por ti.","""Jiyan, let's join together next time.""
At your invitation, Jiyan participated in the Gulpuff Relay, and after ten years, the makeshift squad was once again formed. Those memories that had been smeared by the years resurfaced across the long lonely night. That unfulfilled promise was also brought to a close by you.",en-US
"""La luz nunca se desvanecerá en el faro. Eres bienvenido a volver a casa en cualquier momento, amigo.""","“The light will never fade at the lighthouse. You are welcome to come home any time, friend.""",en-US
