source,target,tgt_lng
30m以上離れた場所から的の中心を射抜く,"Acerte o centro de um Alvo a, no mínimo, 30 metros de distância",pt-BR
30미터 이상 떨어진 곳에서 과녁 블록의 정중앙을 맞추세요,"Acerte o centro de um Alvo a, no mínimo, 30 metros de distância",pt-BR
4 çömlek parçasından süslü bir çömlek yapın,Crie um Vaso Decorado com 4 Óstracos,pt-BR
4つの壺の欠片から飾り壺を作る,Crie um Vaso Decorado com 4 Óstracos,pt-BR
50m以上離れた場所からスケルトンを倒す,"Mate um Esqueleto a, no mínimo, 50 metros de distância",pt-BR
50미터 이상 떨어져 있는 스켈레톤을 죽이세요,"Mate um Esqueleto a, no mínimo, 50 metros de distância",pt-BR
5種類のMobをクロスボウを使って一度に倒す,Mate cinco criaturas diferentes com um só tiro de Besta,pt-BR
"Abenteuer, Entdeckung und Kampf","Aventura, exploração e combate",pt-BR
Abre un arca usando una llave de desafío.,Abra um Cofre com uma Chave do Desafio,pt-BR
Accovacciati vicino a un sensore di sculk o a un sorvegliante per non farti sentire,Ande furtivamente perto de um Sensor de Sculk ou Defensor para evitar a detecção,pt-BR
Acquire diamonds,Obtenha diamantes,pt-BR
Adadan kaçın,Fuja da ilha,pt-BR
Addentrati in una fortezza del Nether,Adentre uma Fortaleza do Nether,pt-BR
Addomestica tutti i tipi di gatto!,Domestique todos os tipos de Gatos!,pt-BR
Addomestica tutti i tipi di lupo,Domestique todos os tipos de Lobos,pt-BR
Addomestica un animale,Domestique um animal,pt-BR
"Adventure, exploration and combat","Aventura, exploração e combate",pt-BR
Adéntrate en un bastión en ruinas.,Entre num Bastião em Ruínas,pt-BR
Adéntrate en una fortaleza del Nether.,Adentre uma Fortaleza do Nether,pt-BR
Affaiblissez et soignez un zombie-villageois.,Enfraqueça e cure um Aldeão Zumbi,pt-BR
Alimenta a una cría de sniffer.,Alimente um Farejador Bebê,pt-BR
Alimenta un faro alla massima potenza,Carregue um Sinalizador ao máximo,pt-BR
Alleati con un assolotto e vinci un combattimento,Junte-se a um Axolote e ganhe uma batalha,pt-BR
Alleggerisci un blaze della sua verga,Obtenha uma Vara de Blaze,pt-BR
"Allez-y, que pourrait-il vous arriver ?","Entre, o que poderia acontecer?",pt-BR
Altın ile piglinlerin dikkatlerini dağıtın,Distraia um Piglin com ouro,pt-BR
Antik kalıntı elde edin,Obtenha os Detritos Ancestrais,pt-BR
"Aplica estos moldes de herrería al menos una vez: agujas, hocico, costillas, warden, silencio, vex, marea, buscacaminos.","Aplique ao menos uma vez os moldes de ferraria de: Espiral, Focinho, Costelas, Profundezas, Silêncio, Obsessor, Marés e Navegador",pt-BR
"Applica almeno una volta questi schemi di forgiatura: guglie, grugno, costole, sorvegliante, silenzio, vessante, marea, ricognitore","Aplique ao menos uma vez os moldes de ferraria de: Espiral, Focinho, Costelas, Profundezas, Silêncio, Obsessor, Marés e Navegador",pt-BR
"Appliquez ces modèles de forge au moins une fois : des tours, des groins, des côtes, des abîmes, du silence, des Vex, des marées et des éclaireurs.","Aplique ao menos uma vez os moldes de ferraria de: Espiral, Focinho, Costelas, Profundezas, Silêncio, Obsessor, Marés e Navegador",pt-BR
Appliquez sur vous-même tous les effets de potions en même temps.,Obtenha todos os efeitos de poções ao mesmo tempo,pt-BR
Appliquez sur vous-même tous les effets en même temps.,Obtenha todos os efeitos ao mesmo tempo,pt-BR
Apply Honeycomb to a Copper block!,Encere um Bloco de Cobre com um Favo de Mel!,pt-BR
"Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder","Aplique ao menos uma vez os moldes de ferraria de: Espiral, Focinho, Costelas, Profundezas, Silêncio, Obsessor, Marés e Navegador",pt-BR
Apprivoisez toutes les variantes de chat !,Domestique todos os tipos de Gatos!,pt-BR
Apprivoisez toutes les variantes de loup.,Domestique todos os tipos de Lobos,pt-BR
Apprivoisez un animal.,Domestique um animal,pt-BR
Apri una cassaforte con una chiave della sfida,Abra um Cofre com uma Chave do Desafio,pt-BR
