source,target,tgt_lng
"""""Hah! Loucura Muscular Poderosa!",오오! 근육질 몸매!,ko-KR
"""A Brisa da Sonúmia""",「영역에서 온 바람」,ko-KR
"""A Vigia Eterna""",「끝없는 파수꾼」,ko-KR
"""A chama nunca se apaga. Ela perdura porque as pessoas se entregam a ela.""","불이 꺼지지 않는 게 아니라, 누군가가 그 땔감이 되는 것뿐이에요",ko-KR
"""All-Seeing Eye""",「전지전능의 눈」,ko-KR
"""Ampola""",「앰풀」,ko-KR
"""Ampoule""",「앰풀」,ko-KR
"""Ampulheta Pequena""",「소형 모래시계」,ko-KR
"""Anel-sinete""",「인장 반지」,ko-KR
"""Angel Statue""",「신의 사자 조각상」,ko-KR
"""Aqui é um lugar de oração. A violência é estritamente proibida nestas terras.""",청정 기복의 땅에서 그 누구도 함부로 무력을 사용할 순 없습니다,ko-KR
"""As Almas Além do Buraco Negro""",「블랙홀 밖의 영혼」,ko-KR
"""As long as I don't have it on me, my editor will never find me...""","제가 가지고 있지만 않으면, 출판사 편집장님은 절 찾지 못할 거예요...",ko-KR
"""As long as someone is profiting from these attacks, we can't rule out the possibility.""","만약 누군가 사건을 통해 이익을 챙기고 있다면, 그 사람도 혐의를 배제할 순 없지",ko-KR
"""Bagas Secas""",「말린 베리」,ko-KR
"""Balmy Resin""",「향기로운 수지」,ko-KR
"""Banner of Balance""",「균형의 깃발」,ko-KR
"""Banner of Eye""",「감시의 깃발」,ko-KR
"""Batida Perfeita""",「퍼펙트 비트」,ko-KR
"""Baú Enferrujado""",「녹슨 상자」,ko-KR
"""Bebida Comprimida""",「압축 음료」,ko-KR
"""Bebida Gelada""",「아이스 드링크」,ko-KR
"""Bebida Verde-escura""",「짙은 녹색 음료」,ko-KR
"""Being human is hard enough, but being a happy human? Even harder...""","인간으로 사는 것 자체도 힘든데, 즐겁게 사는 건 더 힘든 것 같아",ko-KR
"""Berço da Eternidade""",「영생의 근원지」,ko-KR
"""Bicicleta Movida a Pernas""",「수동 바이크」,ko-KR
"""Bilhete de Entrada""",「입장권」,ko-KR
"""Bilhete-presente""",「초대권」,ko-KR
"""Biruta de Peixe""",「사카나노보리」,ko-KR
"""Biscoito Esmagado""",「분쇄 쿠키」,ko-KR
"""Biscuit Stick""",「막대 과자」,ko-KR
"""Bitter Juice""",「쓴맛 주스」,ko-KR
"""Black Tea""",「홍차」,ko-KR
"""Blue Candy""",「남색 사탕」,ko-KR
"""Blue Inhalant""",「남색 흡입제」,ko-KR
"""Blue Insect""",「파란 날벌레」,ko-KR
"""Blue Mineral""",「남색 광물」,ko-KR
"""Blue Pendant""",「남색 펜던트」,ko-KR
"""Blue Potion""",「남색 약제」,ko-KR
"""Blue Surprise""",「남색 서프라이즈」,ko-KR
"""Bobina de Empuxo""",「추력 코일」,ko-KR
"""Boia de Natação""",「튜브」,ko-KR
"""Bolo Rosa""",「분홍색 과자」,ko-KR
"""Bone Flute""",「피리」,ko-KR
"""Bottle Water""",「병 탄산음료」,ko-KR
"""Bound Chess""",「속박된 체스 말」,ko-KR
"""Bright Pendant""",「밝은 펜던트」,ko-KR
"""Burglar"" Program Chip",「버글러」 프로그램 칩,ko-KR
"""But are you truly in control of your own fate?""",이 상황은 당신이 자신의 운명을 지배한 것 일까?,ko-KR
