id,term,src_table
EventName.701,特殊作战・神名十文字篇,localization.json:EventName
EventName.801,樱花烂漫庆典大骚动！,localization.json:EventName
EventName.802,革命之伊万库帕拉,localization.json:EventName
EventName.803,夏日天空的愿望清单,localization.json:EventName
EventName.804,日奈会长的夏日休假！,localization.json:EventName
EventName.805,在梦幻岛玩捉迷藏,localization.json:EventName
EventName.806,船上的兔子追击者,localization.json:EventName
EventName.807,初音未来的特别演出,localization.json:EventName
EventName.808,227号温泉乡运营记录！,localization.json:EventName
EventName.809,新春狂想曲第68号,localization.json:EventName
EventName.810,沙勒的快乐♥情人节巡逻,localization.json:EventName
EventName.811,狐坂若藻的沉默与欢宴,localization.json:EventName
EventName.812,冒失修女与古书馆的魔法师,localization.json:EventName
EventName.813,不忍之心,localization.json:EventName
EventName.814,阿拜多斯度假村重建对策委员会,localization.json:EventName
EventName.815,出差！百夜堂海之家加盟计划,localization.json:EventName
EventName.816,课后甜点故事 ～甜秘枪战～,localization.json:EventName
EventName.817,ON YOUR MARK @ MILLENNIUM,localization.json:EventName
EventName.818,"Get Set, Go! ～基沃托斯晄轮大会～",localization.json:EventName
EventName.819,圣堂的圣夜祝福～救护骑士团的礼物～,localization.json:EventName
EventName.820,新年开胃菜 ~一局定输赢~,localization.json:EventName
EventName.821,虚妄圣所攻略战,localization.json:EventName
EventName.822,阿特拉哈西斯方舟占领战,localization.json:EventName
EventName.823,弗雷纳帕提斯决战,localization.json:EventName
EventName.824,修复工程：D.U.白鸟区,localization.json:EventName
EventName.825,純白的預告信～虛飾之館與美學所在之處～,localization.json:EventName
EventName.826,龍武同舟～心中描繪的，是同一個未來～,localization.json:EventName
EventName.827,夏日特殊作戰！RABBIT小隊與消失的蝦子之謎,localization.json:EventName
EventName.828,尋找隱藏的遺產～三一的課外活動～,localization.json:EventName
EventName.829,漫畫同人物語～2人所追求的最終回～,localization.json:EventName
EventName.830,Trip-Trap-Train,localization.json:EventName
EventName.831,科學青春紀錄,localization.json:EventName
EventName.832,電腦新春行進曲,localization.json:EventName
EventName.833,向陽前行 她們的小夜曲,localization.json:EventName
EventName.834,来自歌剧 0068 的满腔爱意！,localization.json:EventName
EventName.835,熙熙攘攘 和和睦睦,localization.json:EventName
EventName.836,-ive aLIVE!,localization.json:EventName
EventName.837,Say-Bing!,localization.json:EventName
EventName.838,Sheside Outside,localization.json:EventName
EventName.839,月华梦喧,localization.json:EventName
EventName.840,五尘来降,localization.json:EventName
EventName.841,Serenade Promenade,localization.json:EventName
EventName.842,秘密的午夜派对 鸣钟时刻鬼捉人,localization.json:EventName
EventName.60000,夏萊總結算,localization.json:EventName
EventName.70001,质点之树,localization.json:EventName
StoryEvent.event_80000,情人节的约定,translation_table.json:events
StoryEvent.event_801,樱花烂漫 祭典骚动,translation_table.json:events
StoryEvent.event_802,革命之伊凡·库帕拉,translation_table.json:events
StoryEvent.event_803,夏日天空的愿望清单,translation_table.json:events
StoryEvent.event_804,日奈会长的夏日休假！,translation_table.json:events
StoryEvent.event_805,在梦幻岛玩捉迷藏,translation_table.json:events
StoryEvent.event_806,船上的兔子追击者,translation_table.json:events
StoryEvent.event_807,初音未来的特别演出 in 基沃托斯,translation_table.json:events
StoryEvent.event_808,227号温泉乡运营记录！,translation_table.json:events
StoryEvent.event_809,第68号新春狂想曲,translation_table.json:events
StoryEvent.event_810,沙勒的快乐情人节巡逻·狐坂若藻的沉默与欢宴,translation_table.json:events
StoryEvent.event_812,冒失修女和古书馆的魔法师,translation_table.json:events
StoryEvent.event_813,不忍之心,translation_table.json:events
StoryEvent.event_814,阿拜多斯度假村重建对策委员会,translation_table.json:events
StoryEvent.event_816,课后甜点故事·甜秘枪战,translation_table.json:events
StoryEvent.event_817,ON YOUR MARK @ MILLENNIUM·基沃托斯晄轮大会,translation_table.json:events
StoryEvent.event_818,"Get Set,Go!·基沃托斯晄轮大会",translation_table.json:events
StoryEvent.event_819,圣堂的圣夜祝福·救护骑士团的礼物,translation_table.json:events
StoryEvent.event_820,新年开胃菜·一局定输赢,translation_table.json:events
StoryEvent.event_821,虚妄圣所攻略战,translation_table.json:events
StoryEvent.event_822,阿特拉哈西斯方舟占领战,translation_table.json:events
StoryEvent.event_823,弗雷纳帕提斯决战,translation_table.json:events
StoryEvent.event_824,D.U.白鸟区 修复工程,translation_table.json:events
StoryEvent.event_825,纯白的预告信·虚饰之邸与美学所在之处,translation_table.json:events
StoryEvent.event_826,龙武同舟·心中所绘，同一个未来,translation_table.json:events
StoryEvent.event_827,夏日特别行动！RABBIT小队与虾的消失之谜,translation_table.json:events
StoryEvent.event_831,某科学的青春记录,translation_table.json:events
