id,term,src_table
EquipFilter.104.desc,2 세트: 크리티컬율 +10%,Equipment/EquipFilter.txt
EquipFilter.104.desc2,2 세트: 크리티컬율 <color=#ff1baf>+10%</color>,Equipment/EquipFilter.txt
EquipFilter.104.name,크리티컬,Equipment/EquipFilter.txt
EquipFilter.106.desc,2 세트: 크리티컬 대미지 +20%,Equipment/EquipFilter.txt
EquipFilter.106.desc2,2 세트: 크리티컬 대미지 <color=#ff1baf>+20%</color>,Equipment/EquipFilter.txt
EquipFilter.106.name,크리티컬 대미지,Equipment/EquipFilter.txt
EquipFilter.107.desc,2 세트: 크리티컬 대미지 저항 +20%,Equipment/EquipFilter.txt
EquipFilter.107.desc2,2 세트: 크리티컬 대미지 저항 <color=#ff1baf>+20%</color>,Equipment/EquipFilter.txt
EquipFilter.107.name,불굴,Equipment/EquipFilter.txt
EquipFilter.108.desc,2 세트: 부여하는 치유와 실드 효과 +10%,Equipment/EquipFilter.txt
EquipFilter.108.desc2,2 세트: 부여하는 치유와 실드 효과 <color=#ff1baf>+10%</color>,Equipment/EquipFilter.txt
EquipFilter.108.name,엄호,Equipment/EquipFilter.txt
EquipFilter.109.desc,2 세트: 적용되는 치유와 실드 효과 +10%,Equipment/EquipFilter.txt
EquipFilter.109.desc2,2 세트: 적용되는 치유와 실드 효과 <color=#ff1baf>+10%</color>,Equipment/EquipFilter.txt
EquipFilter.109.name,건강,Equipment/EquipFilter.txt
EquipFilter.110.desc,2 세트: 행운 +6%,Equipment/EquipFilter.txt
EquipFilter.110.desc2,2 세트: 행운 <color=#ff1baf>+6%</color>,Equipment/EquipFilter.txt
EquipFilter.110.name,행운,Equipment/EquipFilter.txt
EquipFilter.111.desc,2 세트: 관통률 +7.5%,Equipment/EquipFilter.txt
EquipFilter.111.desc2,2 세트: 관통률 <color=#ff1baf>+7.5%</color>,Equipment/EquipFilter.txt
EquipFilter.111.name,관통,Equipment/EquipFilter.txt
EquipFilter.112.desc,2종 세트: 인내율 +15%,Equipment/EquipFilter.txt
EquipFilter.112.desc2,2종 세트: 인내율 <color=#ff1baf>+15%</color>,Equipment/EquipFilter.txt
EquipFilter.112.name,인내,Equipment/EquipFilter.txt
EquipGoods.4010111.desc,메인 속성은 HP,Goods/EquipGoods.txt
EquipGoods.4010111.description,4세트: 공격력 +20%,Goods/EquipGoods.txt
EquipGoods.4010111.name,공격 세트 - 머리 장식,Goods/EquipGoods.txt
EquipGoods.4010112.desc,메인 속성은 HP,Goods/EquipGoods.txt
EquipGoods.4010112.description,4세트: 공격력 +20%,Goods/EquipGoods.txt
