source,target,tgt_lng
Akış Zırh Süslemesi,涡流盔甲纹饰,zh-CN
Aufzieher-Rüstungsbesatz,牧民盔甲纹饰,zh-CN
Augen-Rüstungsbesatz,眼眸盔甲纹饰,zh-CN
Bolt Armor Trim,镶铆盔甲纹饰,zh-CN
Bolzen-Rüstungsbesatz,镶铆盔甲纹饰,zh-CN
Coast Armor Trim,海岸盔甲纹饰,zh-CN
Diseño de armadura costera,海岸盔甲纹饰,zh-CN
Diseño de armadura de agujas,尖塔盔甲纹饰,zh-CN
Diseño de armadura de anfitrión,雇主盔甲纹饰,zh-CN
Diseño de armadura de buscacaminos,向导盔甲纹饰,zh-CN
Diseño de armadura de centinela,哨兵盔甲纹饰,zh-CN
Diseño de armadura de costillas,肋骨盔甲纹饰,zh-CN
Diseño de armadura de elevación,牧民盔甲纹饰,zh-CN
Diseño de armadura de espiral,涡流盔甲纹饰,zh-CN
Diseño de armadura de hocico,猪鼻盔甲纹饰,zh-CN
Diseño de armadura de la marea,潮汐盔甲纹饰,zh-CN
Diseño de armadura de las dunas,沙丘盔甲纹饰,zh-CN
Diseño de armadura de modelador,塑造盔甲纹饰,zh-CN
Diseño de armadura de ojos,眼眸盔甲纹饰,zh-CN
Diseño de armadura de remaches,镶铆盔甲纹饰,zh-CN
Diseño de armadura de silencio,幽静盔甲纹饰,zh-CN
Diseño de armadura de vex,恼鬼盔甲纹饰,zh-CN
Diseño de armadura de warden,监守盔甲纹饰,zh-CN
Diseño de armadura salvaje,荒野盔甲纹饰,zh-CN
Domuz Burnu Zırh Süslemesi,猪鼻盔甲纹饰,zh-CN
Dune Armor Trim,沙丘盔甲纹饰,zh-CN
Dünen-Rüstungsbesatz,沙丘盔甲纹饰,zh-CN
Enfeite da Selva,荒野盔甲纹饰,zh-CN
Enfeite das Profundezas,监守盔甲纹饰,zh-CN
Enfeite de Costelas,肋骨盔甲纹饰,zh-CN
Enfeite de Dunas,沙丘盔甲纹饰,zh-CN
Enfeite de Espiral,尖塔盔甲纹饰,zh-CN
Enfeite de Fluxo,涡流盔甲纹饰,zh-CN
Enfeite de Focinho,猪鼻盔甲纹饰,zh-CN
Enfeite de Hospedeiro,雇主盔甲纹饰,zh-CN
Enfeite de Levante,牧民盔甲纹饰,zh-CN
Enfeite de Maré,潮汐盔甲纹饰,zh-CN
Enfeite de Moldador,塑造盔甲纹饰,zh-CN
Enfeite de Navegador,向导盔甲纹饰,zh-CN
Enfeite de Obsessor,恼鬼盔甲纹饰,zh-CN
Enfeite de Olho,眼眸盔甲纹饰,zh-CN
Enfeite de Parafuso,镶铆盔甲纹饰,zh-CN
Enfeite de Sentinela,哨兵盔甲纹饰,zh-CN
Enfeite de Silêncio,幽静盔甲纹饰,zh-CN
Enfeite do Litoral,海岸盔甲纹饰,zh-CN
Ev Sahibi Zırh Süslemesi,雇主盔甲纹饰,zh-CN
Eye Armor Trim,眼眸盔甲纹饰,zh-CN
Flow Armor Trim,涡流盔甲纹饰,zh-CN
Fluss-Rüstungsbesatz,涡流盔甲纹饰,zh-CN
Gastwirts-Rüstungsbesatz,雇主盔甲纹饰,zh-CN
Gelgit Zırh Süslemesi,潮汐盔甲纹饰,zh-CN
Gestalter-Rüstungsbesatz,塑造盔甲纹饰,zh-CN
Gezeiten-Rüstungsbesatz,潮汐盔甲纹饰,zh-CN
Göz Zırh Süslemesi,眼眸盔甲纹饰,zh-CN
Host Armor Trim,雇主盔甲纹饰,zh-CN
Kaburga Zırh Süslemesi,肋骨盔甲纹饰,zh-CN
Koğuş Zırh Süslemesi,监守盔甲纹饰,zh-CN
Kumul Zırh Süslemesi,沙丘盔甲纹饰,zh-CN
Küsten-Rüstungsbesatz,海岸盔甲纹饰,zh-CN
Kıyı Zırh Süslemesi,海岸盔甲纹饰,zh-CN
Nöbetçi Zırh Süslemesi,哨兵盔甲纹饰,zh-CN
Ornamento stile allevatore,牧民盔甲纹饰,zh-CN
Ornamento stile bullone,镶铆盔甲纹饰,zh-CN
Ornamento stile costiero,海岸盔甲纹饰,zh-CN
Ornamento stile costole,肋骨盔甲纹饰,zh-CN
Ornamento stile duna,沙丘盔甲纹饰,zh-CN
Ornamento stile flusso,涡流盔甲纹饰,zh-CN
Ornamento stile grugno,猪鼻盔甲纹饰,zh-CN
Ornamento stile guglie,尖塔盔甲纹饰,zh-CN
Ornamento stile marea,潮汐盔甲纹饰,zh-CN
Ornamento stile modellatore,塑造盔甲纹饰,zh-CN
Ornamento stile occhio,眼眸盔甲纹饰,zh-CN
Ornamento stile oste,雇主盔甲纹饰,zh-CN
Ornamento stile ricognitore,向导盔甲纹饰,zh-CN
Ornamento stile selvaggio,荒野盔甲纹饰,zh-CN
Ornamento stile sentinella,哨兵盔甲纹饰,zh-CN
Ornamento stile silenzio,幽静盔甲纹饰,zh-CN
Ornamento stile sorvegliante,监守盔甲纹饰,zh-CN
Ornamento stile vessante,恼鬼盔甲纹饰,zh-CN
Ornement de l'oeil,眼眸盔甲纹饰,zh-CN
Ornement des abîmes,监守盔甲纹饰,zh-CN
Ornement des boulons,镶铆盔甲纹饰,zh-CN
Ornement des côtes,肋骨盔甲纹饰,zh-CN
Ornement des dunes,沙丘盔甲纹饰,zh-CN
Ornement des groins,猪鼻盔甲纹饰,zh-CN
Ornement des hôtes,雇主盔甲纹饰,zh-CN
Ornement des jungles,荒野盔甲纹饰,zh-CN
Ornement des littoraux,海岸盔甲纹饰,zh-CN
Ornement des marées,潮汐盔甲纹饰,zh-CN
Ornement des modeleurs,塑造盔甲纹饰,zh-CN
Ornement des sentinelles,哨兵盔甲纹饰,zh-CN
Ornement des tourbillons,涡流盔甲纹饰,zh-CN
Ornement des tours,尖塔盔甲纹饰,zh-CN
Ornement des Vex,恼鬼盔甲纹饰,zh-CN
Ornement des éclaireurs,向导盔甲纹饰,zh-CN
Ornement des éleveurs,牧民盔甲纹饰,zh-CN
Ornement du silence,幽静盔甲纹饰,zh-CN
Plagegeister-Rüstungsbesatz,恼鬼盔甲纹饰,zh-CN
Raiser Armor Trim,牧民盔甲纹饰,zh-CN
Rib Armor Trim,肋骨盔甲纹饰,zh-CN
Rippen-Rüstungsbesatz,肋骨盔甲纹饰,zh-CN
Sarmal Zırh Süslemesi,尖塔盔甲纹饰,zh-CN
Schnauzen-Rüstungsbesatz,猪鼻盔甲纹饰,zh-CN
Sentry Armor Trim,哨兵盔甲纹饰,zh-CN
Sessizlik Zırh Süslemesi,幽静盔甲纹饰,zh-CN
Shaper Armor Trim,塑造盔甲纹饰,zh-CN
Silence Armor Trim,幽静盔甲纹饰,zh-CN
Sinirbozan Zırh Süslemesi,恼鬼盔甲纹饰,zh-CN
