source,target,tgt_lng
"""Ao Lado dos Heróis""","""Hero of Justice""",en-US
"""Eu Sou o Osso da Minha Espada""","""I Am the Bone of My Sword""",en-US
"""Não me Leve a Mal, Tá?""","""Don't Hold It Against Me, Eh?""",en-US
"""Preciso Destruir Você""","""I Must Break You""",en-US
"""Que comece o desafio!""","""Trace On""",en-US
"""Tentei Nadar na Maré Sombria""","""Tried to Swim in Dark Tide""",en-US
"""Tô morto(a).""","""The Fragile Me is Already Dead""",en-US
"""Uma vida a mais""",Moment Once More,en-US
"""ข้าคือกระดูกแห่งดาบของข้า""","""I Am the Bone of My Sword""",en-US
"""ฉันก็อยากผดุงความยุติธรรม""","""Hero of Justice""",en-US
"""ฉันจะแปลงร่างโจมตี!""","""I choose the form of Tacet Discord!""",en-US
"""ฉันจะโค่นแกให้ได้""","""I Must Break You""",en-US
"""ฉันไม่ได้! โง่นะ!""","""I am NOT! A MORON!""",en-US
"""ตัวฉันที่อ่อนแอได้ตายไปแล้ว""","""The Fragile Me is Already Dead""",en-US
"""พยายามแหวกว่ายในคลื่นทมิฬ""","""Tried to Swim in Dark Tide""",en-US
"""ศิลปะคอลลาจ""","""Collage Art""",en-US
"""สวัสดี KU-โรโร่""","""Hey, KU-Roro""",en-US
"""สิ่งที่ฝังอยู่ใต้ต้นท้อ...""","""Buried under the Peach Blossom Tree...""",en-US
"""สุดยอด"" สมชื่อ","The ""Ultimate""",en-US
"""เจมเบอร์รี""",Gemberry,en-US
"""เริ่มต้นภาพฉาย""","""Trace On""",en-US
"""แรงปรารถนา""","""Passione""",en-US
"""โซลทราค""","""Zoltraak""",en-US
... Bis alles ausgebrannt ist,...Will Soon Fade Out,en-US
... 결국 모두 타버릴 거야,...Will Soon Fade Out,en-US
...Logo Desaparecerá,...Will Soon Fade Out,en-US
...Pronto se desvanecerá,...Will Soon Fade Out,en-US
...disparaîtra bientôt,...Will Soon Fade Out,en-US
...ผลาญเผาฝันร้ายมลายสิ้น,...Will Soon Fade Out,en-US
100回目の狩り,One Hundred Shots,en-US
12 Gefangene Männer,12 Imprisoned Men,en-US
12 Homens Presos,12 Imprisoned Men,en-US
