id,term,src_table
GachaSkinTaskVo.1.desc,登入即送,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.10.desc,在本期活動中抽取達到150次,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.11.desc,在本期活動中抽取達到200次,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.12.desc,累計獲得200點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.13.desc,累計獲得500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.14.desc,累計獲得1000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.15.desc,累計獲得1500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.16.desc,累計獲得2000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.17.desc,累計獲得200點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.18.desc,累計獲得500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.19.desc,累計獲得1000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.2.desc,累計登入達到3天,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.20.desc,累計獲得1500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.21.desc,累計獲得2000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.22.desc,累計獲得200點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.23.desc,累計獲得500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.24.desc,累計獲得1000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.25.desc,累計獲得1500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.26.desc,累計獲得2000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.27.desc,累計獲得200點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.28.desc,累計獲得500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.29.desc,累計獲得1000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.3.desc,累計登入達到7天,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.30.desc,累計獲得1500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.31.desc,累計獲得2000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.32.desc,累計獲得200點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.33.desc,累計獲得500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.34.desc,累計獲得1000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.35.desc,累計獲得1500點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.36.desc,累計獲得2000點活躍度,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.4.desc,進行10次召喚,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.5.desc,消耗200點情緒,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.6.desc,通關任意難度經驗副本1次,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.7.desc,通關任意難度晶片副本1次,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.8.desc,在本期活動中抽取達到50次,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTaskVo.9.desc,在本期活動中抽取達到100次,GachaSkin/GachaSkinTaskVo.txt
GachaSkinTreasureTaskVo.1.desc,累計獲得200點活躍度,GachaSkin/GachaSkinTreasureTaskVo.txt
GachaSkinTreasureTaskVo.2.desc,累計獲得500點活躍度,GachaSkin/GachaSkinTreasureTaskVo.txt
GachaSkinTreasureTaskVo.3.desc,累計獲得1000點活躍度,GachaSkin/GachaSkinTreasureTaskVo.txt
GachaSkinTreasureTaskVo.4.desc,累計獲得1500點活躍度,GachaSkin/GachaSkinTreasureTaskVo.txt
GachaSkinTreasureTaskVo.5.desc,累計獲得2000點活躍度,GachaSkin/GachaSkinTreasureTaskVo.txt
GachaponGuide.999999.name,常規召喚,Gachapon/GachaponGuide.txt
