id,term,src_table
Student.10000,아루,students.json
Student.10001,에이미,students.json
Student.10002,하루나,students.json
Student.10003,히후미,students.json
Student.10004,히나,students.json
Student.10005,호시노,students.json
Student.10006,이오리,students.json
Student.10007,마키,students.json
Student.10008,네루,students.json
Student.10009,이즈미,students.json
Student.10010,시로코,students.json
Student.10011,슌,students.json
Student.10012,스미레,students.json
Student.10013,츠루기,students.json
Student.10014,이즈나,students.json
Student.10015,아리스,students.json
Student.10016,미도리,students.json
Student.10017,체리노,students.json
Student.10018,유즈,students.json
Student.10019,아즈사,students.json
Student.10020,코하루,students.json
Student.10021,아즈사(수영복),students.json
Student.10022,히나(수영복),students.json
Student.10023,이오리(수영복),students.json
Student.10024,시로코(라이딩),students.json
Student.10025,슌(어린이),students.json
Student.10026,네루(바니걸),students.json
Student.10027,카린(바니걸),students.json
Student.10028,아스나(바니걸),students.json
Student.10029,나츠,students.json
Student.10030,치나츠(온천),students.json
Student.10031,아루(새해),students.json
Student.10032,무츠키(새해),students.json
Student.10033,와카모,students.json
Student.10034,미모리,students.json
Student.10035,우이,students.json
Student.10036,히나타,students.json
Student.10037,마리나,students.json
Student.10038,미야코,students.json
Student.10039,미유,students.json
Student.10040,츠쿠요,students.json
Student.10041,미사키,students.json
Student.10042,아츠코,students.json
Student.10043,와카모(수영복),students.json
Student.10044,노노미(수영복),students.json
Student.10045,호시노(수영복),students.json
Student.10046,이즈나(수영복),students.json
Student.10047,치세(수영복),students.json
Student.10048,사오리,students.json
Student.10049,카즈사,students.json
Student.10050,코코나,students.json
Student.10051,우타하(응원단),students.json
Student.10052,노아,students.json
Student.10053,유우카(체육복),students.json
Student.10054,마리(체육복),students.json
Student.10055,시구레,students.json
Student.10056,세리나(크리스마스),students.json
Student.10057,하루나(새해),students.json
Student.10058,미네,students.json
Student.10059,미카,students.json
Student.10060,메구,students.json
Student.10061,사쿠라코,students.json
Student.10062,토키,students.json
Student.10063,코유키,students.json
Student.10064,카요코(새해),students.json
Student.10065,카호,students.json
Student.10066,아리스(메이드),students.json
Student.10067,토키(바니걸),students.json
Student.10068,레이사,students.json
Student.10069,루미,students.json
Student.10070,미나,students.json
