source,target,tgt_lng
"""A Regular""","""Um Cliente Habitual""",pt-BR
"""All is fair in war.""","“Na guerra, não há regras.”",pt-BR
"""Auspicioso 'Cabeza de León'""",“Cabeça de Leão” Auspicioso,pt-BR
"""Brother""","""Irmão""",pt-BR
"""Dogs of War""",“Cães de Guerra”,pt-BR
"""Im Krieg ist alles erlaubt.""","“Na guerra, não há regras.”",pt-BR
"""Perros de Guerra""",“Cães de Guerra”,pt-BR
"""Qingloong rise, monsters gone""... Every child in Jinzhou knows this nursery rhyme by heart. My faith rests with Jiyan, for with his protection the Tacet Discords will never breach our borders.","""Qingloong ergue-se, e os monstros se vão""... Toda criança em Jinzhou conhece essa cantiga de cor. Minha confiança repousa em Jiyan, pois com sua proteção as Dissonâncias Transgressoras nunca cruzarão as nossas fronteiras.",pt-BR
"""Qingloong se levanta, los monstruos se van""... Todos los niños en Jinzhou conocen esta canción de cuna de memoria. Mi fe está en Jiyan, porque con su protección, las Disonancias Tácitas nunca cruzarán nuestras fronteras.","""Qingloong ergue-se, e os monstros se vão""... Toda criança em Jinzhou conhece essa cantiga de cor. Minha confiança repousa em Jiyan, pois com sua proteção as Dissonâncias Transgressoras nunca cruzarão as nossas fronteiras.",pt-BR
"""Shorekeeper ""... ชื่อนี้เหมาะกับฉันดีนะ ตรงกับจุดมุ่งหมายและแรงผลักดันของฉัน... เพราะทุกอย่างมีอยู่ได้ก็เพราะคุณ",“Guardiã da Costa”... Este nome me cai bem e se alinha com meu propósito e motivação — que só existem por sua causa.,pt-BR
"""The Shorekeeper""... This name suits me well enough. It aligns with my purpose and drive: they only exist because of you.",“Guardiã da Costa”... Este nome me cai bem e se alinha com meu propósito e motivação — que só existem por sua causa.,pt-BR
"""Todo es justo en la guerra.""","“Na guerra, não há regras.”",pt-BR
"""ขาประจำ""","""Um Cliente Habitual""",pt-BR
"""ผู้ส่งสารศักดิ์สิทธิ์"" สินะ?","Um ""enviado divino"" então?",pt-BR
"""พี่ชาย""","""Irmão""",pt-BR
"""มังกรครามจงเจริญ ทาเซ็ตดิสคอร์ดจงหายไป""... เด็กทุกคนในเมืองจินโจวต่างท่องคำกลอนจากสถานรับเลี้ยงเด็กนี้ได้จนขึ้นใจ ฉันเชื่อมั่นและศรัทธาใน Jiyan เพราะการปกป้องของเขาช่วยให้ทาเซ็ตดิสคอร์ดไม่อาจเยื้องกรายเข้ามาในเขตแดนของจินโจวได้","""Qingloong ergue-se, e os monstros se vão""... Toda criança em Jinzhou conhece essa cantiga de cor. Minha confiança repousa em Jiyan, pois com sua proteção as Dissonâncias Transgressoras nunca cruzarão as nossas fronteiras.",pt-BR
