source,target,tgt_lng
Aufzieher-Rüstungsbesatz,Yükseltici Zırh Süslemesi,tr-TR
Augen-Rüstungsbesatz,Göz Zırh Süslemesi,tr-TR
Bolt Armor Trim,Şimşek Zırh Süslemesi,tr-TR
Bolzen-Rüstungsbesatz,Şimşek Zırh Süslemesi,tr-TR
Coast Armor Trim,Kıyı Zırh Süslemesi,tr-TR
Diseño de armadura costera,Kıyı Zırh Süslemesi,tr-TR
Diseño de armadura de agujas,Sarmal Zırh Süslemesi,tr-TR
Diseño de armadura de anfitrión,Ev Sahibi Zırh Süslemesi,tr-TR
Diseño de armadura de buscacaminos,Yol Bulucu Zırh Süslemesi,tr-TR
Diseño de armadura de centinela,Nöbetçi Zırh Süslemesi,tr-TR
Diseño de armadura de costillas,Kaburga Zırh Süslemesi,tr-TR
Diseño de armadura de elevación,Yükseltici Zırh Süslemesi,tr-TR
Diseño de armadura de espiral,Akış Zırh Süslemesi,tr-TR
Diseño de armadura de hocico,Domuz Burnu Zırh Süslemesi,tr-TR
Diseño de armadura de la marea,Gelgit Zırh Süslemesi,tr-TR
Diseño de armadura de las dunas,Kumul Zırh Süslemesi,tr-TR
Diseño de armadura de modelador,Şekillendirici Zırh Süslemesi,tr-TR
Diseño de armadura de ojos,Göz Zırh Süslemesi,tr-TR
Diseño de armadura de remaches,Şimşek Zırh Süslemesi,tr-TR
Diseño de armadura de silencio,Sessizlik Zırh Süslemesi,tr-TR
Diseño de armadura de vex,Sinirbozan Zırh Süslemesi,tr-TR
Diseño de armadura de warden,Koğuş Zırh Süslemesi,tr-TR
Diseño de armadura salvaje,Yabani Zırh Süslemesi,tr-TR
Dune Armor Trim,Kumul Zırh Süslemesi,tr-TR
Dünen-Rüstungsbesatz,Kumul Zırh Süslemesi,tr-TR
Enfeite da Selva,Yabani Zırh Süslemesi,tr-TR
Enfeite das Profundezas,Koğuş Zırh Süslemesi,tr-TR
Enfeite de Costelas,Kaburga Zırh Süslemesi,tr-TR
Enfeite de Dunas,Kumul Zırh Süslemesi,tr-TR
Enfeite de Espiral,Sarmal Zırh Süslemesi,tr-TR
Enfeite de Fluxo,Akış Zırh Süslemesi,tr-TR
Enfeite de Focinho,Domuz Burnu Zırh Süslemesi,tr-TR
Enfeite de Hospedeiro,Ev Sahibi Zırh Süslemesi,tr-TR
Enfeite de Levante,Yükseltici Zırh Süslemesi,tr-TR
Enfeite de Maré,Gelgit Zırh Süslemesi,tr-TR
Enfeite de Moldador,Şekillendirici Zırh Süslemesi,tr-TR
Enfeite de Navegador,Yol Bulucu Zırh Süslemesi,tr-TR
Enfeite de Obsessor,Sinirbozan Zırh Süslemesi,tr-TR
Enfeite de Olho,Göz Zırh Süslemesi,tr-TR
Enfeite de Parafuso,Şimşek Zırh Süslemesi,tr-TR
Enfeite de Sentinela,Nöbetçi Zırh Süslemesi,tr-TR
Enfeite de Silêncio,Sessizlik Zırh Süslemesi,tr-TR
Enfeite do Litoral,Kıyı Zırh Süslemesi,tr-TR
Eye Armor Trim,Göz Zırh Süslemesi,tr-TR
Flow Armor Trim,Akış Zırh Süslemesi,tr-TR
Fluss-Rüstungsbesatz,Akış Zırh Süslemesi,tr-TR
Gastwirts-Rüstungsbesatz,Ev Sahibi Zırh Süslemesi,tr-TR
Gestalter-Rüstungsbesatz,Şekillendirici Zırh Süslemesi,tr-TR
Gezeiten-Rüstungsbesatz,Gelgit Zırh Süslemesi,tr-TR
Host Armor Trim,Ev Sahibi Zırh Süslemesi,tr-TR
Küsten-Rüstungsbesatz,Kıyı Zırh Süslemesi,tr-TR
Ornamento stile allevatore,Yükseltici Zırh Süslemesi,tr-TR
Ornamento stile bullone,Şimşek Zırh Süslemesi,tr-TR
Ornamento stile costiero,Kıyı Zırh Süslemesi,tr-TR
Ornamento stile costole,Kaburga Zırh Süslemesi,tr-TR
Ornamento stile duna,Kumul Zırh Süslemesi,tr-TR
Ornamento stile flusso,Akış Zırh Süslemesi,tr-TR
Ornamento stile grugno,Domuz Burnu Zırh Süslemesi,tr-TR
Ornamento stile guglie,Sarmal Zırh Süslemesi,tr-TR
Ornamento stile marea,Gelgit Zırh Süslemesi,tr-TR
Ornamento stile modellatore,Şekillendirici Zırh Süslemesi,tr-TR
Ornamento stile occhio,Göz Zırh Süslemesi,tr-TR
Ornamento stile oste,Ev Sahibi Zırh Süslemesi,tr-TR
Ornamento stile ricognitore,Yol Bulucu Zırh Süslemesi,tr-TR
Ornamento stile selvaggio,Yabani Zırh Süslemesi,tr-TR
Ornamento stile sentinella,Nöbetçi Zırh Süslemesi,tr-TR
Ornamento stile silenzio,Sessizlik Zırh Süslemesi,tr-TR
Ornamento stile sorvegliante,Koğuş Zırh Süslemesi,tr-TR
Ornamento stile vessante,Sinirbozan Zırh Süslemesi,tr-TR
Ornement de l'oeil,Göz Zırh Süslemesi,tr-TR
Ornement des abîmes,Koğuş Zırh Süslemesi,tr-TR
Ornement des boulons,Şimşek Zırh Süslemesi,tr-TR
Ornement des côtes,Kaburga Zırh Süslemesi,tr-TR
Ornement des dunes,Kumul Zırh Süslemesi,tr-TR
Ornement des groins,Domuz Burnu Zırh Süslemesi,tr-TR
Ornement des hôtes,Ev Sahibi Zırh Süslemesi,tr-TR
Ornement des jungles,Yabani Zırh Süslemesi,tr-TR
Ornement des littoraux,Kıyı Zırh Süslemesi,tr-TR
Ornement des marées,Gelgit Zırh Süslemesi,tr-TR
Ornement des modeleurs,Şekillendirici Zırh Süslemesi,tr-TR
Ornement des sentinelles,Nöbetçi Zırh Süslemesi,tr-TR
Ornement des tourbillons,Akış Zırh Süslemesi,tr-TR
Ornement des tours,Sarmal Zırh Süslemesi,tr-TR
