source,target,tgt_lng
"""Called In For Cleanup""",「清掃作業」,ja-JP
"""Crimson Witch of Embers""",「焚尽の灼炎魔女」,ja-JP
"""Công Việc Dọn Dẹp""",「清掃作業」,ja-JP
"""Lavoro di pulizia""",「清掃作業」,ja-JP
"""Temizlik İşi Vardı""",「清掃作業」,ja-JP
"""Trabalho de limpeza""",「清掃作業」,ja-JP
"""รูปแบบไร้พลังงาน""",「無力化状態」,ja-JP
A Estrela Chegou: Grande Colapso Vulcânico,シャイニングヴェント・大火山おろし,ja-JP
Abenteuer,冒険,ja-JP
Abilità passiva,固有スキル,ja-JP
Absorción de poder elemental,対応元素の力を吸収する,ja-JP
Absorption de la puissance d'un élément correspondant,対応元素の力を吸収する,ja-JP
Absorve o poder do elemento correspondente,対応元素の力を吸収する,ja-JP
Abstimmung,調和,ja-JP
Abwerfen,破棄,ja-JP
Acción adicional,追加アクション,ja-JP
Acción de combate,戦闘アクション,ja-JP
Acción rápida,クイックアクション,ja-JP
Action de combat,戦闘アクション,ja-JP
Action rapide,クイックアクション,ja-JP
Action supplémentaire,追加アクション,ja-JP
Adil Yargı,衡平な裁量,ja-JP
Adventure,冒険,ja-JP
Aegis of Abyssal Flame,淵炎の加護,ja-JP
Aggressore dei Fatui,ファデュイの伏兵,ja-JP
Agile Switch,高速キャラチェンジ,ja-JP
Ahorros de Taroumaru,太郎丸の貯金,ja-JP
Ajuste de cuentas,「清掃作業」,ja-JP
Aktif Karakterine En Yakın Karakter,味方の出撃キャラと最も距離が近いキャラ,ja-JP
Aldatıcı Tohum,虚言の核,ja-JP
Alev Bariyeri,烈炎侍立シールド,ja-JP
Alles wendender Heiliger Fürst,回天の聖主,ja-JP
Alt Akıntının Laneti,暗流の呪い,ja-JP
Amparo plumífero,鳴煌護持,ja-JP
Anemo,風元素,ja-JP
Anemo DMG,風元素ダメージ,ja-JP
Anemo-Reaktionen,風元素関連反応,ja-JP
Anemo-Related Reactions,風元素関連反応,ja-JP
Anemo-Schaden,風元素ダメージ,ja-JP
Angriff aus dem Fall,落下攻撃,ja-JP
Anémo,風元素,ja-JP
Aplicación Cryo,氷元素付着,ja-JP
Aplicación Dendro,草元素付着,ja-JP
Aplicación Electro,雷元素付着,ja-JP
Aplicación Geo,岩元素付着,ja-JP
Aplicación Hydro,水元素付着,ja-JP
Aplicación Pyro,炎元素付着,ja-JP
Aplicação Cryo,氷元素付着,ja-JP
Aplicação Dendro,草元素付着,ja-JP
Aplicação Electro,雷元素付着,ja-JP
Aplicação Geo,岩元素付着,ja-JP
Aplicação Hydro,水元素付着,ja-JP
Aplicação Pyro,炎元素付着,ja-JP
Application Cryo,氷元素付着,ja-JP
Application Dendro,草元素付着,ja-JP
Application Géo,岩元素付着,ja-JP
Application Hydro,水元素付着,ja-JP
Application Pyro,炎元素付着,ja-JP
Application Électro,雷元素付着,ja-JP
Applicazione di Cryo,氷元素付着,ja-JP
Applicazione di Dendro,草元素付着,ja-JP
Applicazione di Electro,雷元素付着,ja-JP
Applicazione di Geo,岩元素付着,ja-JP
Applicazione di Hydro,水元素付着,ja-JP
Applicazione di Pyro,炎元素付着,ja-JP
Arcane Edict,秘伝勅令,ja-JP
Areia e Sonhos,砂と夢,ja-JP
Arenas y sueños,砂と夢,ja-JP
Armadilha da Ventania,風圧崩潰,ja-JP
Armonia,調和,ja-JP
Armonia non consentita,調和不可,ja-JP
Armored Crab Carapace,重甲ヤドカニの殻,ja-JP
Aspect étoilé,星々を秘めた体,ja-JP
Assorbimento elementale,対応元素の力を吸収する,ja-JP
Ataque Cargado,重撃,ja-JP
Ataque Carregado,重撃,ja-JP
Ataque Descendente,落下攻撃,ja-JP
Ataque Imersivo,落下攻撃,ja-JP
Atención del pueblo,万民のまなざし,ja-JP
Ateş,炎元素,ja-JP
Ateş Etkisi,炎元素付着,ja-JP
Ateş Hasarı,炎元素ダメージ,ja-JP
Ateş ile İlgili Tepkimeler,炎元素関連反応,ja-JP
Atordoamento,スタン,ja-JP
Attacco caricato,重撃,ja-JP
Attacco in picchiata,落下攻撃,ja-JP
Attaque chargée,重撃,ja-JP
Attaque plongeante,落下攻撃,ja-JP
Aturdimiento,スタン,ja-JP
Aufladen,蓄力,ja-JP
Aufladung,チャージ,ja-JP
Auge des konzentrierten Winds,廻風真眼,ja-JP
Augmentation de coût,コストアップ,ja-JP
Augure nébuleux,踏雲献瑞,ja-JP
Aumento de Custo,コストアップ,ja-JP
Aumento de coste,コストアップ,ja-JP
Aumento del costo,コストアップ,ja-JP
Auspicio nebular,踏雲献瑞,ja-JP
Autonomisation,エンパワー,ja-JP
Aventura,冒険,ja-JP
Aventure,冒険,ja-JP
Avventura,冒険,ja-JP
Avènement protecteur : Effondrement volcanique,シャイニングヴェント・大火山おろし,ja-JP
Ay Yüklü,月感電,ja-JP
Ay Çiçeklenmesi,月開花,ja-JP
Aynı Element,同一元素,ja-JP
Azione aggiuntiva,追加アクション,ja-JP
Azione di combattimento,戦闘アクション,ja-JP
