source,target,tgt_lng
Aaron Cherof – A Familiar Room,Aaron Cherof - A Familiar Room,en-US
Aaron Cherof – Bromeliad,Aaron Cherof - Bromeliad,en-US
Aaron Cherof – Crescent Dunes,Aaron Cherof - Crescent Dunes,en-US
Aaron Cherof – Echo in the Wind,Aaron Cherof - Echo in the Wind,en-US
Aaron Cherof – Featherfall,Aaron Cherof - Featherfall,en-US
Aaron Cherof – Puzzlebox,Aaron Cherof - Puzzlebox,en-US
Aaron Cherof – Watcher,Aaron Cherof - Watcher,en-US
Aaron Cherof — A Familiar Room,Aaron Cherof - A Familiar Room,en-US
Aaron Cherof — Bromeliad,Aaron Cherof - Bromeliad,en-US
Aaron Cherof — Crescent Dunes,Aaron Cherof - Crescent Dunes,en-US
Aaron Cherof — Echo in the Wind,Aaron Cherof - Echo in the Wind,en-US
Aaron Cherof — Featherfall,Aaron Cherof - Featherfall,en-US
Aaron Cherof — Puzzlebox,Aaron Cherof - Puzzlebox,en-US
Aaron Cherof — Watcher,Aaron Cherof - Watcher,en-US
Amos Roddy – Below and Above,Amos Roddy - Below and Above,en-US
Amos Roddy – Broken Clocks,Amos Roddy - Broken Clocks,en-US
Amos Roddy – Fireflies,Amos Roddy - Fireflies,en-US
Amos Roddy – Lilypad,Amos Roddy - Lilypad,en-US
Amos Roddy – O’s Piano,Amos Roddy - O's Piano,en-US
Amos Roddy — Below and Above,Amos Roddy - Below and Above,en-US
Amos Roddy — Broken Clocks,Amos Roddy - Broken Clocks,en-US
Amos Roddy — Fireflies,Amos Roddy - Fireflies,en-US
Amos Roddy — Lilypad,Amos Roddy - Lilypad,en-US
Amos Roddy — O's Piano,Amos Roddy - O's Piano,en-US
C418 - Haunt Muskie,C418 - Taswell,en-US
C418 – Alpha,C418 - Alpha,en-US
C418 – Aria Math,C418 - Aria Math,en-US
C418 – Axolotl,C418 - Axolotl,en-US
C418 – Ballad of the Cats,C418 - Ballad of the Cats,en-US
C418 – Beginning 2,C418 - Beginning 2,en-US
C418 – Biome Fest,C418 - Biome Fest,en-US
C418 – Blind Spots,C418 - Blind Spots,en-US
C418 – Boss,C418 - Boss,en-US
C418 – Clark,C418 - Clark,en-US
C418 – Concrete Halls,C418 - Concrete Halls,en-US
C418 – Danny,C418 - Danny,en-US
C418 – Dead Voxel,C418 - Dead Voxel,en-US
C418 – Dragon Fish,C418 - Dragon Fish,en-US
C418 – Dreiton,C418 - Dreiton,en-US
C418 – Dry Hands,C418 - Dry Hands,en-US
C418 – Floating Trees,C418 - Floating Trees,en-US
C418 – Haggstrom,C418 - Haggstrom,en-US
C418 – Haunt Muskie,C418 - Haunt Muskie,en-US
C418 – Key,C418 - Key,en-US
C418 – Living Mice,C418 - Living Mice,en-US
C418 – Mice on Venus,C418 - Mice on Venus,en-US
C418 – Minecraft,C418 - Minecraft,en-US
C418 – Moog City 2,C418 - Moog City 2,en-US
C418 – Mutation,C418 - Mutation,en-US
C418 – Oxygène,C418 - Oxygène,en-US
C418 – Shuniji,C418 - Shuniji,en-US
C418 – Subwoofer Lullaby,C418 - Subwoofer Lullaby,en-US
C418 – Sweden,C418 - Sweden,en-US
C418 – Taswell,C418 - Taswell,en-US
C418 – The End,C418 - The End,en-US
C418 – Warmth,C418 - Warmth,en-US
C418 – Wet Hands,C418 - Wet Hands,en-US
C418 — Alpha,C418 - Alpha,en-US
C418 — Aria Math,C418 - Aria Math,en-US
C418 — Axolotl,C418 - Axolotl,en-US
C418 — Ballad of the Cats,C418 - Ballad of the Cats,en-US
C418 — Beginning 2,C418 - Beginning 2,en-US
C418 — Biome Fest,C418 - Biome Fest,en-US
C418 — Blind Spots,C418 - Blind Spots,en-US
C418 — Boss,C418 - Boss,en-US
C418 — Clark,C418 - Clark,en-US
C418 — Concrete Halls,C418 - Concrete Halls,en-US
C418 — Danny,C418 - Danny,en-US
C418 — Dead Voxel,C418 - Dead Voxel,en-US
C418 — Dragon Fish,C418 - Dragon Fish,en-US
C418 — Dreiton,C418 - Dreiton,en-US
C418 — Dry Hands,C418 - Dry Hands,en-US
C418 — Floating Trees,C418 - Floating Trees,en-US
C418 — Haggstrom,C418 - Haggstrom,en-US
C418 — Haunt Muskie,C418 - Haunt Muskie,en-US
C418 — Key,C418 - Key,en-US
C418 — Living Mice,C418 - Living Mice,en-US
C418 — Mice on Venus,C418 - Mice on Venus,en-US
C418 — Minecraft,C418 - Minecraft,en-US
C418 — Moog City 2,C418 - Moog City 2,en-US
C418 — Mutation,C418 - Mutation,en-US
C418 — Oxygène,C418 - Oxygène,en-US
C418 — Shuniji,C418 - Shuniji,en-US
C418 — Subwoofer Lullaby,C418 - Subwoofer Lullaby,en-US
C418 — Sweden,C418 - Sweden,en-US
C418 — Taswell,C418 - Taswell,en-US
C418 — The End,C418 - The End,en-US
C418 — Warmth,C418 - Warmth,en-US
C418 — Wet Hands,C418 - Wet Hands,en-US
fingerspit – Ebb,fingerspit - Ebb,en-US
fingerspit – Home,fingerspit - Home,en-US
fingerspit – Memories,fingerspit - Memories,en-US
fingerspit – Nightly,fingerspit - Nightly,en-US
fingerspit – Shores,fingerspit - Shores,en-US
fingerspit — Ebb,fingerspit - Ebb,en-US
fingerspit — Home,fingerspit - Home,en-US
fingerspit — Memories,fingerspit - Memories,en-US
fingerspit — Nightly,fingerspit - Nightly,en-US
fingerspit — Shores,fingerspit - Shores,en-US
Kumi Tanioka – An Ordinary Day,Kumi Tanioka - An Ordinary Day,en-US
Kumi Tanioka – Comforting Memories,Kumi Tanioka - Comforting Memories,en-US
Kumi Tanioka – Floating Dream,Kumi Tanioka - Floating Dream,en-US
Kumi Tanioka – komorebi,Kumi Tanioka - komorebi,en-US
Kumi Tanioka – pokopoko,Kumi Tanioka - pokopoko,en-US
Kumi Tanioka – yakusoku,Kumi Tanioka - yakusoku,en-US
Kumi Tanioka — An Ordinary Day,Kumi Tanioka - An Ordinary Day,en-US
Kumi Tanioka — Comforting Memories,Kumi Tanioka - Comforting Memories,en-US
Kumi Tanioka — Floating Dream,Kumi Tanioka - Floating Dream,en-US
Kumi Tanioka — komorebi,Kumi Tanioka - komorebi,en-US
Kumi Tanioka — pokopoko,Kumi Tanioka - pokopoko,en-US
Kumi Tanioka — yakusoku,Kumi Tanioka - yakusoku,en-US
Lena Raine – Aerie,Lena Raine - Aerie,en-US
Lena Raine – Ancestry,Lena Raine - Ancestry,en-US
Lena Raine – Chrysopoeia,Lena Raine - Chrysopoeia,en-US
Lena Raine – Deeper,Lena Raine - Deeper,en-US
Lena Raine – Eld Unknown,Lena Raine - Eld Unknown,en-US
Lena Raine – Endless,Lena Raine - Endless,en-US
Lena Raine – Firebugs,Lena Raine - Firebugs,en-US
Lena Raine – Infinite Amethyst,Lena Raine - Infinite Amethyst,en-US
Lena Raine – Labyrinthine,Lena Raine - Labyrinthine,en-US
Lena Raine – Left to Bloom,Lena Raine - Left to Bloom,en-US
Lena Raine – One More Day,Lena Raine - One More Day,en-US
Lena Raine – Rubedo,Lena Raine - Rubedo,en-US
Lena Raine – So Below,Lena Raine - So Below,en-US
Lena Raine – Stand Tall,Lena Raine - Stand Tall,en-US
Lena Raine – Wending,Lena Raine - Wending,en-US
Lena Raine — Aerie,Lena Raine - Aerie,en-US
Lena Raine — Ancestry,Lena Raine - Ancestry,en-US
Lena Raine — Chrysopoeia,Lena Raine - Chrysopoeia,en-US
Lena Raine — Deeper,Lena Raine - Deeper,en-US
Lena Raine — Eld Unknown,Lena Raine - Eld Unknown,en-US
Lena Raine — Endless,Lena Raine - Endless,en-US
Lena Raine — Firebugs,Lena Raine - Firebugs,en-US
Lena Raine — Infinite Amethyst,Lena Raine - Infinite Amethyst,en-US
Lena Raine — Labyrinthine,Lena Raine - Labyrinthine,en-US
Lena Raine — Left to Bloom,Lena Raine - Left to Bloom,en-US
Lena Raine — One More Day,Lena Raine - One More Day,en-US
Lena Raine — Rubedo,Lena Raine - Rubedo,en-US
Lena Raine — So Below,Lena Raine - So Below,en-US
Lena Raine — Stand Tall,Lena Raine - Stand Tall,en-US
Lena Raine — Wending,Lena Raine - Wending,en-US
Tanioka Kumi - An Ordinary Day,Kumi Tanioka - An Ordinary Day,en-US
Tanioka Kumi - Comforting Memories,Kumi Tanioka - Comforting Memories,en-US
Tanioka Kumi - Floating Dream,Kumi Tanioka - Floating Dream,en-US
Tanioka Kumi - komorebi,Kumi Tanioka - komorebi,en-US
Tanioka Kumi - pokopoko,Kumi Tanioka - pokopoko,en-US
Tanioka Kumi - yakusoku,Kumi Tanioka - yakusoku,en-US
Аарон Шероф — A Familiar Room,Aaron Cherof - A Familiar Room,en-US
Аарон Шероф — Bromeliad,Aaron Cherof - Bromeliad,en-US
Аарон Шероф — Crescent Dunes,Aaron Cherof - Crescent Dunes,en-US
Аарон Шероф — Echo in the Wind,Aaron Cherof - Echo in the Wind,en-US
Аарон Шероф — Featherfall,Aaron Cherof - Featherfall,en-US
Аарон Шероф — Puzzlebox,Aaron Cherof - Puzzlebox,en-US
Аарон Шероф — Watcher,Aaron Cherof - Watcher,en-US
Куми Таниока — An Ordinary Day,Kumi Tanioka - An Ordinary Day,en-US
Куми Таниока — Comforting Memories,Kumi Tanioka - Comforting Memories,en-US
Куми Таниока — Floating Dream,Kumi Tanioka - Floating Dream,en-US
Куми Таниока — komorebi,Kumi Tanioka - komorebi,en-US
Куми Таниока — pokopoko,Kumi Tanioka - pokopoko,en-US
Куми Таниока — yakusoku,Kumi Tanioka - yakusoku,en-US
Лена Рейн — Aerie,Lena Raine - Aerie,en-US
Лена Рейн — Ancestry,Lena Raine - Ancestry,en-US
Лена Рейн — Chrysopoeia,Lena Raine - Chrysopoeia,en-US
Лена Рейн — Deeper,Lena Raine - Deeper,en-US
Лена Рейн — Eld Unknown,Lena Raine - Eld Unknown,en-US
Лена Рейн — Endless,Lena Raine - Endless,en-US
Лена Рейн — Firebugs,Lena Raine - Firebugs,en-US
Лена Рейн — Infinite Amethyst,Lena Raine - Infinite Amethyst,en-US
Лена Рейн — Labyrinthine,Lena Raine - Labyrinthine,en-US
Лена Рейн — Left to Bloom,Lena Raine - Left to Bloom,en-US
Лена Рейн — One More Day,Lena Raine - One More Day,en-US
Лена Рейн — Rubedo,Lena Raine - Rubedo,en-US
Лена Рейн — So Below,Lena Raine - So Below,en-US
Лена Рейн — Stand Tall,Lena Raine - Stand Tall,en-US
Лена Рейн — Wending,Lena Raine - Wending,en-US
Эймос Родди — Below and Above,Amos Roddy - Below and Above,en-US
Эймос Родди — Broken Clocks,Amos Roddy - Broken Clocks,en-US
Эймос Родди — Fireflies,Amos Roddy - Fireflies,en-US
Эймос Родди — Lilypad,Amos Roddy - Lilypad,en-US
Эймос Родди — O's Piano,Amos Roddy - O's Piano,en-US
谷冈久美 - An Ordinary Day,Kumi Tanioka - An Ordinary Day,en-US
谷冈久美 - Comforting Memories,Kumi Tanioka - Comforting Memories,en-US
谷冈久美 - Floating Dream,Kumi Tanioka - Floating Dream,en-US
谷冈久美 - komorebi,Kumi Tanioka - komorebi,en-US
谷冈久美 - pokopoko,Kumi Tanioka - pokopoko,en-US
谷冈久美 - yakusoku,Kumi Tanioka - yakusoku,en-US
谷岡久美 - An Ordinary Day,Kumi Tanioka - An Ordinary Day,en-US
谷岡久美 - Comforting Memories,Kumi Tanioka - Comforting Memories,en-US
谷岡久美 - Floating Dream,Kumi Tanioka - Floating Dream,en-US
谷岡久美 - komorebi,Kumi Tanioka - komorebi,en-US
谷岡久美 - pokopoko,Kumi Tanioka - pokopoko,en-US
谷岡久美 - yakusoku,Kumi Tanioka - yakusoku,en-US
