source,target,tgt_lng
All,すべて,ja-JP
Alle,すべて,ja-JP
Costa Negra,ブラックショア,ja-JP
Costa Negra,黒海岸,ja-JP
Die Schwarzen Küsten,ブラックショア,ja-JP
Die Schwarzen Küsten,黒海岸,ja-JP
Huanglong,瑝瓏,ja-JP
La Costa Negra,黒海岸,ja-JP
Littoral Noir,黒海岸,ja-JP
Littoral noir,ブラックショア,ja-JP
Nación Aleatoria,ランダムの国,ja-JP
Nação Aleatória,ランダムの国,ja-JP
Pays aléatoire,ランダムの国,ja-JP
Páramo Helado Roya,ロイ氷原,ja-JP
Random Nation,ランダムの国,ja-JP
Rinascita,リナシータ,ja-JP
Roya Frostlands,ロイ氷原,ja-JP
Roya-Frostlande,ロイ氷原,ja-JP
TOUT,すべて,ja-JP
Terras Geladas de Roya,ロイ氷原,ja-JP
Terres givrées royannes,ロイ氷原,ja-JP
The Black Shores,ブラックショア,ja-JP
The Black Shores,黒海岸,ja-JP
Todo,すべて,ja-JP
Todos,すべて,ja-JP
Zufällige Nation,ランダムの国,ja-JP
ทั้งหมด,すべて,ja-JP
ทุ่งน้ำแข็งโรญา,ロイ氷原,ja-JP
รินาซิตา,リナシータ,ja-JP
สุ่มประเทศ,ランダムの国,ja-JP
หวงหลง,瑝瓏,ja-JP
แบล็กชอร์,ブラックショア,ja-JP
แบล็กชอร์,黒海岸,ja-JP
全部,すべて,ja-JP
瑝珑,瑝瓏,ja-JP
罗伊冰原,ロイ氷原,ja-JP
羅伊冰原,ロイ氷原,ja-JP
随机国家,ランダムの国,ja-JP
隨機國家,ランダムの国,ja-JP
黎那汐塔,リナシータ,ja-JP
黑海岸,ブラックショア,ja-JP
黑海岸,黒海岸,ja-JP
검은 해안,ブラックショア,ja-JP
검은 해안,黒海岸,ja-JP
랜덤 국가,ランダムの国,ja-JP
로야 빙원,ロイ氷原,ja-JP
리나시타,リナシータ,ja-JP
전체,すべて,ja-JP
황룡,瑝瓏,ja-JP
