source,target,tgt_lng
夏日栖息地,Summer Sanctuary,en-US
夕涼み,Summer Sanctuary,en-US
여름 서식지,Summer Sanctuary,en-US
夏日棲息地,Summer Sanctuary,en-US
夏日栖息地曲调,Summer Sanctuary Melody,en-US
夕涼みの調べ,Summer Sanctuary Melody,en-US
여름 서식지 멜로디,Summer Sanctuary Melody,en-US
夏日棲息地曲調,Summer Sanctuary Melody,en-US
惊奇冒险！渊海幽灵船传说！,Daring Adventure! The Ghost Ship Haunts the Deep,en-US
キケン？冒険？蒼海の幽霊船伝説！,Daring Adventure! The Ghost Ship Haunts the Deep,en-US
기묘한 모험! 심해 유령선의 전설!,Daring Adventure! The Ghost Ship Haunts the Deep,en-US
驚奇冒險！淵海幽靈船傳說！,Daring Adventure! The Ghost Ship Haunts the Deep,en-US
青空礼券,Cerulean Ticket,en-US
青空旅券,Cerulean Ticket,en-US
하늘 티켓,Cerulean Ticket,en-US
青空禮券,Cerulean Ticket,en-US
萌芽礼券,Sprout Ticket,en-US
オアシス旅券,Sprout Ticket,en-US
새싹 티켓,Sprout Ticket,en-US
萌芽禮券,Sprout Ticket,en-US
煌羽冕冠,Radiant Feather Crown,en-US
翠煌羽の髪飾り,Radiant Feather Crown,en-US
찬란한 조우관,Radiant Feather Crown,en-US
星章抛光剂,Star Emblem Polisher,en-US
徽章研磨剤,Star Emblem Polisher,en-US
별의 배지 연마제,Star Emblem Polisher,en-US
星章拋光劑,Star Emblem Polisher,en-US
精致风枪,Exquisite Blower,en-US
頭髪乾燥機・改,Exquisite Blower,en-US
정교한 에어건,Exquisite Blower,en-US
精緻風槍,Exquisite Blower,en-US
纳凉风轮,Chilling Wind Spinner,en-US
納涼製造機,Chilling Wind Spinner,en-US
냉풍 윈드 휠,Chilling Wind Spinner,en-US
納涼風輪,Chilling Wind Spinner,en-US
月之相,Moonlit Companion,en-US
三日月のオブジェ,Moonlit Companion,en-US
달의 형상,Moonlit Companion,en-US
男爵的恩典,Count's Gift,en-US
男爵の恵み,Count's Gift,en-US
남작의 은총,Count's Gift,en-US
妖蜂游戏卡带,Demon Bee Game Cartridge,en-US
弾幕カセット・上級,Demon Bee Game Cartridge,en-US
몬스터 비 게임 카트리지,Demon Bee Game Cartridge,en-US
妖蜂遊戲卡帶,Demon Bee Game Cartridge,en-US
嘟噗精魄,Duloos Essence,en-US
ドボの精魂,Duloos Essence,en-US
뚜두의 정수,Duloos Essence,en-US
星梯搭乘票,Monolith Stairs Pass,en-US
超高速塔頂チケット,Monolith Stairs Pass,en-US
별승강기 티켓,Monolith Stairs Pass,en-US
冒险家的手抄百科,Trekker's Handwritten Encyclopedia,en-US
巡遊者上級ガイド,Trekker's Handwritten Encyclopedia,en-US
모험가 백서,Trekker's Handwritten Encyclopedia,en-US
冒險家的手抄百科,Trekker's Handwritten Encyclopedia,en-US
星空的彩琉璃,Starlit Colored Glass,en-US
星空のレコード,Starlit Colored Glass,en-US
별하늘의 스테인드 글라스,Starlit Colored Glass,en-US
男爵的窖藏,Count's Cellaring,en-US
男爵のとっておき,Count's Cellaring,en-US
남작의 와인셀러,Count's Cellaring,en-US
弹幕游戏卡带,Barrage Game Cartridge,en-US
弾幕カセット・中級,Barrage Game Cartridge,en-US
탄막 게임 카트리지,Barrage Game Cartridge,en-US
彈雨遊戲卡帶,Barrage Game Cartridge,en-US
噜噗遗魂,Duloos Soul Remnant,en-US
ルボの遺魂,Duloos Soul Remnant,en-US
뚜두의 영혼,Duloos Soul Remnant,en-US
嚕噗遺魂,Duloos Soul Remnant,en-US
朵拉,Dorra,en-US
ドーラ,Dorra,en-US
도라,Dorra,en-US
勇气之拳,Fist of Courage,en-US
迷いを断つ拳,Fist of Courage,en-US
용기의 주먹,Fist of Courage,en-US
勇氣之拳,Fist of Courage,en-US
勇气之拳曲调,Fist of Courage Melody,en-US
迷いを断つ拳の調べ,Fist of Courage Melody,en-US
용기의 주먹 멜로디,Fist of Courage Melody,en-US
勇氣之拳曲調,Fist of Courage Melody,en-US
我们的旅团,Guild Sweet Guild,en-US
私たちのギルド,Guild Sweet Guild,en-US
우리의 여단,Guild Sweet Guild,en-US
我們的旅團,Guild Sweet Guild,en-US
巨像核心,Colossus Core,en-US
巨神兵のコア,Colossus Core,en-US
거석상의 핵,Colossus Core,en-US
反射留影器,Reflective Photo Capturer,en-US
反射写真器,Reflective Photo Capturer,en-US
반사 사진기,Reflective Photo Capturer,en-US
飞花瓷杯,Blossom Porcelain Cup,en-US
飛花の茶器,Blossom Porcelain Cup,en-US
비단꽃 도자기잔,Blossom Porcelain Cup,en-US
飛花瓷杯,Blossom Porcelain Cup,en-US
狂舞精魄,Frenzied Waltz Essence,en-US
狂乱の精魂,Frenzied Waltz Essence,en-US
광무의 정수,Frenzied Waltz Essence,en-US
幻步遗魂,Phantom Step Remnant,en-US
幻歩の遺魂,Phantom Step Remnant,en-US
춤사위의 영혼,Phantom Step Remnant,en-US
幻步遺魂,Phantom Step Remnant,en-US
新手旅人晋升礼盒,Novice Trekker Promotion Box,en-US
新米巡遊者昇格箱,Novice Trekker Promotion Box,en-US
신입 여행가 성장 패키지,Novice Trekker Promotion Box,en-US
新手旅人晉升禮盒,Novice Trekker Promotion Box,en-US
新手技能卡带礼盒,Beginner Cartridge Box,en-US
新米スキルカセット箱,Beginner Cartridge Box,en-US
신입 여행가 카트리지 패키지,Beginner Cartridge Box,en-US
新手技能卡帶禮盒,Beginner Cartridge Box,en-US
新手秘纹晋升礼盒,Novice Disc Promotion Box,en-US
新米ロスレコ昇格箱,Novice Disc Promotion Box,en-US
신입 여행가 레코드 성장 패키지,Novice Disc Promotion Box,en-US
新手祕紋晉升禮盒,Novice Disc Promotion Box,en-US
一二三，跳！,"One, Two, Three, Jump!",en-US
地底の彼方へ！,"One, Two, Three, Jump!",en-US
"하나, 둘, 셋, 점프!","One, Two, Three, Jump!",en-US
一二三，跳！曲调,"One, Two, Three, Jump! Melody",en-US
地底の彼方へ！の調べ,"One, Two, Three, Jump! Melody",en-US
"하나, 둘, 셋, 점프! 멜로디","One, Two, Three, Jump! Melody",en-US
一二三，跳！曲調,"One, Two, Three, Jump! Melody",en-US
梦的彼岸,Beyond the Dream,en-US
夢の先へ,Beyond the Dream,en-US
꿈의 저편,Beyond the Dream,en-US
夢的彼岸,Beyond the Dream,en-US
流风精魄,Wind Essence,en-US
風流の精魂,Wind Essence,en-US
유풍의 정수,Wind Essence,en-US
流風精魄,Wind Essence,en-US
沐雪芬香,Fragrant Ice Delight,en-US
ふわ雪かき氷機,Fragrant Ice Delight,en-US
설한의 향기,Fragrant Ice Delight,en-US
永昏灯核,Eternal Gloom Core,en-US
永昏の灯核,Eternal Gloom Core,en-US
영원한 어둠의 등핵,Eternal Gloom Core,en-US
永昏燈核,Eternal Gloom Core,en-US
魔音游戏卡带,Magic Sound Game Cartridge,en-US
音楽カセット・上級,Magic Sound Game Cartridge,en-US
악마의 음악 게임 카트리지,Magic Sound Game Cartridge,en-US
魔音遊戲卡帶,Magic Sound Game Cartridge,en-US
凝辉灯髓,Lumen Essence,en-US
凝縮された灯料,Lumen Essence,en-US
응집된 빛의 심지,Lumen Essence,en-US
凝輝燈髓,Lumen Essence,en-US
节奏游戏卡带,Rhythm Game Cartridge,en-US
音楽カセット・中級,Rhythm Game Cartridge,en-US
리듬 게임 카트리지,Rhythm Game Cartridge,en-US
節奏遊戲卡帶,Rhythm Game Cartridge,en-US
启程的礼物,A Gift for the Journey,en-US
ジングルラール,A Gift for the Journey,en-US
여정의 선물,A Gift for the Journey,en-US
啟程的禮物,A Gift for the Journey,en-US
启程的礼物曲调,A Gift for the Journey Melody,en-US
ジングルラールの調べ,A Gift for the Journey Melody,en-US
여정의 선물 멜로디,A Gift for the Journey Melody,en-US
啟程的禮物曲調,A Gift for the Journey Melody,en-US
闪耀的使者与圣夜的精灵,"Radiant Messenger, Holy Night Spirit",en-US
煌めく使者と聖夜の精霊,"Radiant Messenger, Holy Night Spirit",en-US
반짝이는 사자와 이브의 정령,"Radiant Messenger, Holy Night Spirit",en-US
閃耀的使者與聖夜的精靈,"Radiant Messenger, Holy Night Spirit",en-US
巨像精魄,Colossus Essence,en-US
巨神兵の精魂,Colossus Essence,en-US
거석상의 정수,Colossus Essence,en-US
初露锋芒,Emerging Talent,en-US
未来の超新星,Emerging Talent,en-US
빛나는 시작,Emerging Talent,en-US
初露鋒芒,Emerging Talent,en-US
谢幕礼帽,Exeunt Bowler,en-US
カーテンコールの礼帽,Exeunt Bowler,en-US
커튼콜 예복 모자,Exeunt Bowler,en-US
謝幕禮帽,Exeunt Bowler,en-US
终宵精魄,Evernight Essence,en-US
常夜の精魂,Evernight Essence,en-US
온밤의 정수,Evernight Essence,en-US
終宵精魄,Evernight Essence,en-US
聚光毡帽,Spotlight Bowler,en-US
道化のフェルトハット,Spotlight Bowler,en-US
스포트라이트 중절모,Spotlight Bowler,en-US
聚光氈帽,Spotlight Bowler,en-US
萤辉遗魂,Emberflies Soul,en-US
蛍火の遺魂,Emberflies Soul,en-US
반딧불의 영혼,Emberflies Soul,en-US
螢輝遺魂,Emberflies Soul,en-US
革新的萌芽,The Bud of Change,en-US
革命の萌芽,The Bud of Change,en-US
혁신의 씨앗,The Bud of Change,en-US
革新的萌芽曲调,The Bud of Change Melody,en-US
革命の萌芽の調べ,The Bud of Change Melody,en-US
혁신의 씨앗 멜로디,The Bud of Change Melody,en-US
革新的萌芽曲調,The Bud of Change Melody,en-US
微火的奇迹,Miracle of a Flicker,en-US
黎明告げる凱旋歌,Miracle of a Flicker,en-US
여명의 기적,Miracle of a Flicker,en-US
微火的奇跡,Miracle of a Flicker,en-US
噬孽绛华,Crimson Tempter,en-US
罪なる紅花,Crimson Tempter,en-US
죄악을 삼킨 진홍빛 꽃,Crimson Tempter,en-US
噬孽絳華,Crimson Tempter,en-US
烈火羽翼,Blazing Wings,en-US
赤翼の着火装置,Blazing Wings,en-US
열화의 날개,Blazing Wings,en-US
鬼神游戏卡带,Phantom Game Cartridge,en-US
格闘カセット・上級,Phantom Game Cartridge,en-US
귀신 게임 카트리지,Phantom Game Cartridge,en-US
鬼神遊戲卡帶,Phantom Game Cartridge,en-US
格斗游戏卡带,Fighting Game Cartridge,en-US
格闘カセット・中級,Fighting Game Cartridge,en-US
격투 게임 카트리지,Fighting Game Cartridge,en-US
格鬥遊戲卡帶,Fighting Game Cartridge,en-US
酒暖灯明时,"Wine Warm, Lamps Alight",en-US
友と囲む新春の灯火,"Wine Warm, Lamps Alight",en-US
술 익는 밤의 등불,"Wine Warm, Lamps Alight",en-US
酒暖燈明時,"Wine Warm, Lamps Alight",en-US
酒暖灯明时曲调,"Wine Warm, Lamps Alight Melody",en-US
友と囲む新春の灯火の調べ,"Wine Warm, Lamps Alight Melody",en-US
술 익는 밤의 등불 멜로디,"Wine Warm, Lamps Alight Melody",en-US
