source,target,tgt_lng
"""Battlegoat""",「戦羊」,ja-JP
"""Mushteshir""",「ムーシュ＝テヒル」,ja-JP
"""The Homesick Lone Wolf""",「故郷を偲ぶ孤独の狼」,ja-JP
"""conclaw""",「鉄爪」,ja-JP
Abyss Herald: Frost Fall,アビスの使徒・落霜,ja-JP
Abyss Herald: Wicked Torrents,アビスの使徒・激流,ja-JP
Abyss Lector: Fathomless Flames,アビスの詠唱者・淵炎,ja-JP
Abyss Mage,アビスの魔術師,ja-JP
Abyss Order,アビス教団,ja-JP
Aleph,アレフ,ja-JP
Anemo Hilichurl Rogue,ヒルチャールレンジャー・風,ja-JP
Anemo Samachurl,ヒルチャールシャーマン・風,ja-JP
"Angelica, Fairy Knight Twin",双生妖精の騎士・アンジェリカ,ja-JP
Area Alert Mek,マシナリー・区域警戒型,ja-JP
Arithmetic Enhancer Mek,マシナリー・演算力増幅器,ja-JP
Armored Crab Shield,重甲シールド,ja-JP
Ascended King,昇揚のキング,ja-JP
Atlatl's Blessing,「アトラトの祝福」,ja-JP
Ayin,アイン,ja-JP
Bakunawa,バクナワ,ja-JP
Bathysmal Vishap,アビサルヴィシャップ,ja-JP
Bathysmal Vishap Herd,アビサルヴィシャップの群れ,ja-JP
Beisht,跋掣,ja-JP
Beth,ベト,ja-JP
Black Serpent Knight,黒蛇騎士,ja-JP
Blazing Axe Mitachurl,ヒルチャール暴徒・炎斧,ja-JP
Bolteater Bathysmal Vishap,アビサルヴィシャップ・呑雷,ja-JP
Breacher Primus,ブリーチャープリムス,ja-JP
Bubbler Seahorse,アワアワタツノコ・オス,ja-JP
Capybara Great Majesty!,カピバラ キング!,ja-JP
Chimalli's Shade,「シェマリの陰」,ja-JP
Churldric,チャルデリック,ja-JP
Cicin,飛蛍,ja-JP
Cicin Mage,蛍術師,ja-JP
Cihuacoatl of Chimeric Bone,「神骨の蛇姫」,ja-JP
Clockwork Meka,クロックワーク・マシナリー,ja-JP
Consecrated Beast,聖骸獣,ja-JP
Coppelia,コッペリア,ja-JP
Coppelius,コペリウス,ja-JP
"Cortana, Sword of the Gorge",深谷の剣・コルタナ,ja-JP
Crab Tsar,「カニ皇帝」,ja-JP
Crackling Axe Mitachurl,ヒルチャール暴徒・雷斧,ja-JP
Cryo Abyss Mage,アビスの魔術師・氷,ja-JP
Cryo Cicin Mage,氷蛍術師,ja-JP
Cryo Hilichurl Grenadier,ヒルチャール・氷弾,ja-JP
Cryo Samachurl,ヒルチャールシャーマン・氷,ja-JP
Cryo Whopperflower,トリックフラワー・氷,ja-JP
Daleth,ダレット,ja-JP
Dendro Samachurl,ヒルチャールシャーマン・草,ja-JP
Dirge of Coppelia,コッペリアの葬送,ja-JP
"Dobharcu, Lord of the Hidden",隠者の王・ドアーチュ,ja-JP
Electro Abyss Mage,アビスの魔術師・雷,ja-JP
Electro Cicin Mage,雷蛍術師,ja-JP
Electro Hilichurl Grenadier,ヒルチャール・雷弾,ja-JP
Electro Samachurl,ヒルチャールシャーマン・雷,ja-JP
Electro Whopperflower,トリックフラワー・雷,ja-JP
Elite Enemy,精鋭,ja-JP
Eremite Axe Vanguard,エルマイト旅団・アックス,ja-JP
Eremite Crossbow,エルマイト旅団・クロスボウ,ja-JP
Eremite Daythunder,エルマイト旅団・デイサンダー,ja-JP
Eremite Desert Clearwater,エルマイト旅団・サンドウォーター,ja-JP
Eremite Galehunter,エルマイト旅団・ゲイルハンター,ja-JP
Eremite Linebreaker,エルマイト旅団・ラインブレイカー,ja-JP
Eremite Ravenbeak Halberdier,エルマイト旅団・ベクドコルバン,ja-JP
Eremite Scorching Loremaster,エルマイト旅団・サンドロアマスター,ja-JP
Eremite Stone Enchanter,エルマイト旅団・ストーンエンチャンター,ja-JP
Eremite Sunfrost,エルマイト旅団・サンフロスト,ja-JP
Eremite Sword-Dancer,エルマイト旅団・ソードダンサー,ja-JP
Eroding Avatar of Lava,溶岩の像・土蝕者,ja-JP
Fatui Pyro Agent,ファデュイ・デットエージェント・炎,ja-JP
Fatui Skirmisher,ファデュイ先遣隊,ja-JP
Fatui Skirmisher - Anemoboxer Vanguard,ファデュイ先遣隊・前鋒軍・風拳,ja-JP
Fatui Skirmisher - Cryogunner Legionnaire,ファデュイ先遣隊・重衛士・氷銃,ja-JP
Fatui Skirmisher - Electrohammer Vanguard,ファデュイ先遣隊・前鋒軍・雷ハンマー,ja-JP
Fatui Skirmisher - Geochanter Bracer,ファデュイ先遣隊・遊撃兵・岩使い,ja-JP
Fatui Skirmisher - Hydrogunner Legionnaire,ファデュイ先遣隊・重衛士・水銃,ja-JP
Fatui Skirmisher - Pyroslinger Bracer,ファデュイ先遣隊・遊撃兵・炎銃,ja-JP
Field Tiller,耕運機,ja-JP
Flow-Inverted Wayob Manifestation,噴流・大霊の化身,ja-JP
Flowing Blade Grease-Saw,流刃の勇士・グリースソウ,ja-JP
Flowing Blade Harpoon-Thrower,流刃の勇士・ジャベリックスロワー,ja-JP
Flowing Blade Skirmisher,流刃の勇士・遊撃手,ja-JP
Fluid Avatar of Lava,溶岩の像・流燃体,ja-JP
Foliar-Swift Wayob Manifestation,疾葉・大霊の化身,ja-JP
Fontemer Aberrant,原海アベラント,ja-JP
Fontemer Water Blade,原海水刃,ja-JP
Forged Sand Interrogator,鋳砂の勇士・インタロゲイター,ja-JP
Forged Sand Javelineer,鋳砂の勇士・ジャベリニア,ja-JP
Forged Sand Shieldbreaker,鋳砂の勇士・シールドブレイカー,ja-JP
Frost Operative,氷霜の従者,ja-JP
Frostarm Lawachurl,ヒルチャール・霜鎧の王,ja-JP
Fungus,キノコン,ja-JP
Geo Samachurl,ヒルチャールシャーマン・岩,ja-JP
Geological Survey Mek,マシナリー・地質探知型,ja-JP
Geovishap,ヴィシャップ・岩,ja-JP
Geovishap Hatchling,ベビーヴィシャップ・岩,ja-JP
Gimel,ギメル,ja-JP
Gosoythoth,グーシィ・トース,ja-JP
Haftvad the Worm,七嗣の虫,ja-JP
He,ヒイ,ja-JP
He Never Dies,「アンデッド」,ja-JP
Hexadecatonic Mandragora,十六倍マンドラゴラ,ja-JP
Hilichurl Chieftain,ヒルチャール王者,ja-JP
Hilichurl Fighter,ヒルチャール・戦士,ja-JP
Hilichurl Grenadier,ヒルチャール・爆弾,ja-JP
Hilichurl Rogue,ヒルチャールレンジャー,ja-JP
Hilichurl Shooter,ヒルチャール・射手,ja-JP
Hydro Abyss Mage,アビスの魔術師・水,ja-JP
Hydro Hilichurl Rogue,ヒルチャールレンジャー・水,ja-JP
Hydro Mimic Boar,幻形イノシシ・水,ja-JP
Hydro Mimic Crab,幻形カニ・水,ja-JP
Hydro Mimic Mallard,幻形アヒル・水,ja-JP
Hydro Mimic Squirrel,幻形リス・水,ja-JP
Ice Shield Hilichurl Guard,ヒルチャール・氷盾,ja-JP
Ice Shieldwall Mitachurl,ヒルチャール暴徒・氷盾,ja-JP
Iron Viscount,鉄皮の子爵,ja-JP
Ironbeard,鉄髭,ja-JP
Kairagi: Dancing Thunder,海乱鬼・雷騰,ja-JP
Kairagi: Fiery Might,海乱鬼・炎威,ja-JP
Koholasaurus Warrior: Reafsplitter,コホラ竜戦士・裂礁のガトリング,ja-JP
Koholasaurus Warrior: Waveshuttler,コホラ竜戦士・裂波のスロワー,ja-JP
Maha Vasudevayaputra,マハーヴァスデーヴァヤプトラ太子,ja-JP
Maintenance Mek: Gold Leader,メンテマシナリー・黄金統率型,ja-JP
