source,target,tgt_lng
%s caindo,Fallender %s,de-DE
%s en caída,Fallender %s,de-DE
%s in caduta,Fallender %s,de-DE
%s qui tombe,Fallender %s,de-DE
%s türündeki canlı çağrılamıyor,Objekt des Typs %s kann nicht erzeugt werden,de-DE
%s đang rơi,Fallender %s,de-DE
%s в падении,Fallender %s,de-DE
%s 유형의 개체를 소환할 수 없습니다,Objekt des Typs %s kann nicht erzeugt werden,de-DE
%sกำลังตก,Fallender %s,de-DE
%sという種類のエンティティを召喚することができません,Objekt des Typs %s kann nicht erzeugt werden,de-DE
Abeille,Biene,de-DE
Abeja,Biene,de-DE
Abelha,Biene,de-DE
Acacia Boat,Akazienholzboot,de-DE
Acacia Boat with Chest,Akazienholztruhenboot,de-DE
Afogado,Ertrunkener,de-DE
Agricoltore,Bauer,de-DE
Agricultor,Bauer,de-DE
Ahogado,Ertrunkener,de-DE
Ajolote,Axolotl,de-DE
Akasya Tekne,Akazienholzboot,de-DE
Aksolotl,Axolotl,de-DE
Albañil,Maurer,de-DE
Aldeano,Dorfbewohner,de-DE
Aldeano zombi,Zombiedorfbewohner,de-DE
Aldeão,Dorfbewohner,de-DE
Aldeão Zumbi,Zombiedorfbewohner,de-DE
Alet Ustası,Grobschmied,de-DE
Allay,Hilfsgeist,de-DE
Alleviante,Hilfsgeist,de-DE
Almofada,Kissen,de-DE
Ampolla d'esperienza lanciata,Geworfenes Erfahrungsfläschchen,de-DE
Anemone,Anemonenfisch,de-DE
Anfiprione,Anemonenfisch,de-DE
Annegato,Ertrunkener,de-DE
Anzuelo,Schwimmer,de-DE
Anémona,Anemonenfisch,de-DE
Anêmona,Anemonenfisch,de-DE
Ape,Biene,de-DE
Araignée,Spinne,de-DE
Araignée venimeuse,Höhlenspinne,de-DE
Aranha,Spinne,de-DE
Aranha das Cavernas,Höhlenspinne,de-DE
Araña,Spinne,de-DE
Araña de cueva,Höhlenspinne,de-DE
Area Effect Cloud,Partikelwolke,de-DE
Argilécaille,Lehmfisch,de-DE
Armadillo,Gürteltier,de-DE
Armaiolo,Waffenschmied,de-DE
Armeiro,Panzermacher,de-DE
Armeiro,Waffenschmied,de-DE
Armor Stand,Rüstungsständer,de-DE
Armorer,Panzermacher,de-DE
Armurier,Panzermacher,de-DE
Arpenteur,Schreiter,de-DE
Arrow,Pfeil,de-DE
Arı,Biene,de-DE
Asino,Esel,de-DE
Assolotto,Axolotl,de-DE
At,Pferd,de-DE
Ateş Topu,Feuerkugel,de-DE
Ateşlenmiş TNT,Gezündetes TNT,de-DE
Austral,Trommlerfisch,de-DE
Axolote,Axolotl,de-DE
Azzannatore rosso,Kaiser-Schnapper,de-DE
Açougueiro,Metzger,de-DE
Bacalao,Kabeljau,de-DE
Bacalhau,Kabeljau,de-DE
Baiacu,Kugelfisch,de-DE
Bakır Golem,Kupfergolem,de-DE
Baliste,Drückerfisch,de-DE
Balsa de bambú,Bambusfloß,de-DE
Balsa de bambú con cofre,Bambus-Truhenfloß,de-DE
Balçık,Schleim,de-DE
Balıkçı,Fischer,de-DE
Bamboo Raft,Bambusfloß,de-DE
Bamboo Raft with Chest,Bambus-Truhenfloß,de-DE
Bambu Sal,Bambusfloß,de-DE
Barbudo,Fingerfisch,de-DE
Barca,Boot,de-DE
Barca con baule,Truhenboot,de-DE
Barca con cofre,Truhenboot,de-DE
Barca de abedul,Birkenholzboot,de-DE
Barca de abedul con cofre,Birkenholztruhenboot,de-DE
Barca de abeto,Fichtenholzboot,de-DE
Barca de abeto con cofre,Fichtenholztruhenboot,de-DE
Barca de acacia,Akazienholzboot,de-DE
Barca de acacia con cofre,Akazienholztruhenboot,de-DE
Barca de cerezo,Kirschholzboot,de-DE
Barca de cerezo con cofre,Kirschholztruhenboot,de-DE
Barca de jungla,Tropenholzboot,de-DE
Barca de jungla con cofre,Tropenholztruhenboot,de-DE
Barca de mangle,Mangrovenholzboot,de-DE
Barca de mangle con cofre,Mangrovenholztruhenboot,de-DE
Barca de roble,Eichenholzboot,de-DE
Barca de roble con cofre,Eichenholztruhenboot,de-DE
Barca de roble oscuro,Schwarzeichenholzboot,de-DE
Barca de roble oscuro con cofre,Schwarzeichenholztruhenboot,de-DE
Barca de roble pálido,Blasseichenholzboot,de-DE
Barca de roble pálido con cofre,Blasseichenholztruhenboot,de-DE
Barca de álamo,Pappelholzboot,de-DE
Barca de álamo con cofre,Pappelholztruhenboot,de-DE
Barca di abete,Fichtenholzboot,de-DE
Barca di abete con baule,Fichtenholztruhenboot,de-DE
Barca di acacia,Akazienholzboot,de-DE
Barca di acacia con baule,Akazienholztruhenboot,de-DE
Barca di betulla,Birkenholzboot,de-DE
Barca di betulla con baule,Birkenholztruhenboot,de-DE
Barca di ciliegio,Kirschholzboot,de-DE
Barca di ciliegio con baule,Kirschholztruhenboot,de-DE
Barca di mangrovia,Mangrovenholzboot,de-DE
Barca di mangrovia con baule,Mangrovenholztruhenboot,de-DE
Barca di mogano,Tropenholzboot,de-DE
Barca di mogano con baule,Tropenholztruhenboot,de-DE
Barca di pioppo,Pappelholzboot,de-DE
Barca di pioppo con baule,Pappelholztruhenboot,de-DE
Barca di quercia,Eichenholzboot,de-DE
Barca di quercia con baule,Eichenholztruhenboot,de-DE
Barca di quercia pallida,Blasseichenholzboot,de-DE
Barca di quercia pallida con baule,Blasseichenholztruhenboot,de-DE
Barca di quercia scura,Schwarzeichenholzboot,de-DE
Barca di quercia scura con baule,Schwarzeichenholztruhenboot,de-DE
Bat,Fledermaus,de-DE
Bateau,Boot,de-DE
Bateau de stockage,Truhenboot,de-DE
Bateau de stockage en acacia,Akazienholztruhenboot,de-DE
Bateau de stockage en acajou,Tropenholztruhenboot,de-DE
Bateau de stockage en bouleau,Birkenholztruhenboot,de-DE
Bateau de stockage en cerisier,Kirschholztruhenboot,de-DE
Bateau de stockage en chêne,Eichenholztruhenboot,de-DE
Bateau de stockage en chêne noir,Schwarzeichenholztruhenboot,de-DE
Bateau de stockage en chêne pâle,Blasseichenholztruhenboot,de-DE
Bateau de stockage en palétuvier,Mangrovenholztruhenboot,de-DE
Bateau de stockage en peuplier,Pappelholztruhenboot,de-DE
Bateau de stockage en sapin,Fichtenholztruhenboot,de-DE
Bateau en acacia,Akazienholzboot,de-DE
Bateau en acajou,Tropenholzboot,de-DE
Bateau en bouleau,Birkenholzboot,de-DE
Bateau en cerisier,Kirschholzboot,de-DE
Bateau en chêne,Eichenholzboot,de-DE
Bateau en chêne noir,Schwarzeichenholzboot,de-DE
Bateau en chêne pâle,Blasseichenholzboot,de-DE
Bateau en palétuvier,Mangrovenholzboot,de-DE
Bateau en peuplier,Pappelholzboot,de-DE
Bateau en sapin,Fichtenholzboot,de-DE
Batık,Sumpfskelett,de-DE
Bavosa rossa,Rotlippen-Schleimfisch,de-DE
Bee,Biene,de-DE
Berger,Schäfer,de-DE
Betta,Peitschenfisch,de-DE
Betty,Peitschenfisch,de-DE
Bibliotecario,Bibliothekar,de-DE
Bibliotecário,Bibliothekar,de-DE
Bibliothécaire,Bibliothekar,de-DE
Bigarrin,Streifler,de-DE
Birch Boat,Birkenholzboot,de-DE
Birch Boat with Chest,Birkenholztruhenboot,de-DE
Black Tang,Schwarzer Segelflossendoktor,de-DE
Blaze,Lohe,de-DE
Blenio de labios rojos,Rotlippen-Schleimfisch,de-DE
Blennie à lèvres rouges,Rotlippen-Schleimfisch,de-DE
Bloc holographique,Blockdarsteller,de-DE
Bloc qui tombe,Fallender Block,de-DE
Blocco in caduta,Fallender Block,de-DE
Block Display,Blockdarsteller,de-DE
Blockfish,Blockfisch,de-DE
