source,target,tgt_lng
回顾,리플레이,ko-KR
回顧,리플레이,ko-KR
Review,리플레이,ko-KR
振り返る,리플레이,ko-KR
ทบทวน,리플레이,ko-KR
Tinjau,리플레이,ko-KR
自动洗练,자동 제련,ko-KR
自動洗練,자동 제련,ko-KR
Auto Reset,자동 제련,ko-KR
รีไฟน์อัตโนมัติ,자동 제련,ko-KR
Pemurnian-Auto,자동 제련,ko-KR
入职礼包,입사 패키지,ko-KR
入職禮包,입사 패키지,ko-KR
Onboard Bundle,입사 패키지,ko-KR
入職パック,입사 패키지,ko-KR
แพ็กมือใหม่,입사 패키지,ko-KR
活动已经结束,이벤트 종료됨,ko-KR
活動已經結束,이벤트 종료됨,ko-KR
The event is ended.,이벤트 종료됨,ko-KR
イベントは終了しました。,이벤트 종료됨,ko-KR
กิจกรรมจบลงแล้ว,이벤트 종료됨,ko-KR
Event telah berakhir.,이벤트 종료됨,ko-KR
解锁,해제,ko-KR
解鎖,해제,ko-KR
Unlock,해제,ko-KR
解放,해제,ko-KR
ปลดล็อก,해제,ko-KR
Terbuka,해제,ko-KR
在线奖励,온라인 보상,ko-KR
線上獎勵,온라인 보상,ko-KR
Online Rewards,온라인 보상,ko-KR
オンライン_NEW_LINE_報酬,온라인 보상,ko-KR
รางวัลออนไลน์,온라인 보상,ko-KR
Online Bonus,온라인 보상,ko-KR
已下载完成,다운로드를 완료했습니다,ko-KR
已下載完成,다운로드를 완료했습니다,ko-KR
Download Complete,다운로드를 완료했습니다,ko-KR
ダウンロード完了,다운로드를 완료했습니다,ko-KR
ดาวน์โหลดสำเร็จ,다운로드를 완료했습니다,ko-KR
Unduhan selesai.,다운로드를 완료했습니다,ko-KR
快速休息,빠른 휴식,ko-KR
Quick Rest,빠른 휴식,ko-KR
一括休憩,빠른 휴식,ko-KR
พักผ่อน_NEW_LINE_ทันที,빠른 휴식,ko-KR
Auto Istirahat,빠른 휴식,ko-KR
加载中,로딩 중,ko-KR
Loading,로딩 중,ko-KR
ローディング中,로딩 중,ko-KR
กำลังโหลด,로딩 중,ko-KR
Memuat,로딩 중,ko-KR
该类型暂无可进行委任的关卡,해당 유형은 의뢰 가능한 스테이지가 없습니다,ko-KR
該類型暫無可進行委任的關卡,해당 유형은 의뢰 가능한 스테이지가 없습니다,ko-KR
No stage to commission for this type,해당 유형은 의뢰 가능한 스테이지가 없습니다,ko-KR
/,해당 유형은 의뢰 가능한 스테이지가 없습니다,ko-KR
ประเภท​นี้​ไม่​มี​ด่าน​ที่​มอบ​หน้าที่​ได้​,해당 유형은 의뢰 가능한 스테이지가 없습니다,ko-KR
Tidak ada stage yang bisa dikomisi untuk tipe ini,해당 유형은 의뢰 가능한 스테이지가 없습니다,ko-KR
脱离战场,전장 나가기,ko-KR
脫離戰場,전장 나가기,ko-KR
Escape,전장 나가기,ko-KR
終了,전장 나가기,ko-KR
ออกจากการต่อสู้,전장 나가기,ko-KR
Mundur,전장 나가기,ko-KR
杂货铺,상점,ko-KR
雜貨鋪,상점,ko-KR
Grocery,상점,ko-KR
雑貨屋,상점,ko-KR
ร้านค้า,상점,ko-KR
Toko Bahan,상점,ko-KR
离岛空运,항공 운송,ko-KR
離島空運,항공 운송,ko-KR
Castaway Airlift,항공 운송,ko-KR
離島空便,항공 운송,ko-KR
ขนส่งทางอากาศ,항공 운송,ko-KR
Air Express,항공 운송,ko-KR
战斗失败,전투 패배,ko-KR
戰鬥失敗,전투 패배,ko-KR
Defeat,전투 패배,ko-KR
作戦失敗,전투 패배,ko-KR
พ่ายแพ้,전투 패배,ko-KR
Kalah,전투 패배,ko-KR
第_num_轮扫荡奖励,_num_라운드 소탕 보상,ko-KR
第_num_輪掃蕩獎勵,_num_라운드 소탕 보상,ko-KR
Raid Rewards of Round _num_.,_num_라운드 소탕 보상,ko-KR
ラウンド_num_の掃討報酬,_num_라운드 소탕 보상,ko-KR
รางวัล​กวาดล้าง​รอบ​ที่​ _num_​,_num_라운드 소탕 보상,ko-KR
Hadiah Raid untuk Ronde _num_.,_num_라운드 소탕 보상,ko-KR
前往,이동,ko-KR
Proceed,이동,ko-KR
移動,이동,ko-KR
ไป,이동,ko-KR
Pergi,이동,ko-KR
捕鱼完毕,포획 완료,ko-KR
捕魚完畢,포획 완료,ko-KR
Complete,포획 완료,ko-KR
漁獲完了,포획 완료,ko-KR
จับปลาสำเร็จ,포획 완료,ko-KR
Selesai,포획 완료,ko-KR
对其他4种情绪,다른 4가지 이모션,ko-KR
對其他4種情緒,다른 4가지 이모션,ko-KR
To rest Pathos,다른 4가지 이모션,ko-KR
ほか４種類のエモーションに対し,다른 4가지 이모션,ko-KR
แก่​พา​โธส​อื่น​ทั้ง​ 4​ ประเภท​,다른 4가지 이모션,ko-KR
