source,target,tgt_lng
Admiral,海军上将,zh-CN
Aircraft Carrier,航空母舰,zh-CN
ammunition ship,弹药船,zh-CN
anti-aircraft gun,防空炮,zh-CN
anti-submarine warfare,反潜作战,zh-CN
AR,维修舰,zh-CN
armament,武装,zh-CN
armor,装甲,zh-CN
Auxiliary Equipment,设备,zh-CN
Aviation Battleship,航空战列舰,zh-CN
Aviation Cruiser,航空巡洋舰,zh-CN
Aviation Submarine,潜水航母,zh-CN
Barrage,弹幕,zh-CN
Battlecruiser,战列巡洋舰,zh-CN
Battleship,战列舰,zh-CN
BB,战列舰,zh-CN
BBV,航空战列舰,zh-CN
BC,战列巡洋舰,zh-CN
belt armor,舷侧装甲,zh-CN
blockade,封锁,zh-CN
blueprint,图纸,zh-CN
Blueprint,图纸,zh-CN
BM,浅水重炮舰,zh-CN
bow,舰首,zh-CN
bridge,舰桥,zh-CN
CA,重巡洋舰,zh-CN
Captain,海军上校,zh-CN
carrier-based aircraft,舰载机,zh-CN
catapult,弹射器,zh-CN
CB,超巡洋舰,zh-CN
Chief of Staff,参谋长,zh-CN
CL,轻巡洋舰,zh-CN
Cognition,心智,zh-CN
Cognitive Chip,心智单元,zh-CN
Coin,物资,zh-CN
Commander,海军中校,zh-CN
Commander-in-Chief,总司令,zh-CN
Commission,委托,zh-CN
commissioned,服役,zh-CN
Commodore,海军准将,zh-CN
convoy,运输船队,zh-CN
Corvette,轻型护卫舰,zh-CN
crew,舰员,zh-CN
cruising range,续航距离,zh-CN
CV,航空母舰,zh-CN
CVE,护航航空母舰,zh-CN
CVL,轻型航空母舰,zh-CN
DD,驱逐舰,zh-CN
DDG,导弹驱逐舰,zh-CN
DE,护航驱逐舰,zh-CN
deck armor,甲板装甲,zh-CN
depth charge,深水炸弹,zh-CN
Destroyer,驱逐舰,zh-CN
Destroyer Escort,护航驱逐舰,zh-CN
Diamond,钻石,zh-CN
displacement,排水量,zh-CN
dive bomber,俯冲轰炸机,zh-CN
Dorm,后宅,zh-CN
Dragon Empery,东煌,zh-CN
dry cargo ship,干货船,zh-CN
dry dock,干船坞,zh-CN
Eagle Union,白鹰,zh-CN
Ensign,海军少尉,zh-CN
Equipment,装备,zh-CN
escort,护航,zh-CN
Escort Carrier,护航航空母舰,zh-CN
Exercise,演习,zh-CN
FFNF,自由法国海军（自由鸢尾）,zh-CN
fighter,战斗机,zh-CN
flagship,旗舰,zh-CN
fleet,舰队,zh-CN
Fleet,舰队,zh-CN
Fleet Admiral,海军元帅,zh-CN
flight deck,飞行甲板,zh-CN
flotilla,水雷战队,zh-CN
flying boat,飞行艇,zh-CN
Frigate,护卫舰,zh-CN
full load displacement,满载排水量,zh-CN
funnel,烟囱,zh-CN
Gunboat,炮舰,zh-CN
Heavy Cruiser,重巡洋舰,zh-CN
HMS,英国皇家海军（皇家）,zh-CN
HNLMS,荷兰皇家海军（郁金王国）,zh-CN
hull,船体,zh-CN
IJN,旧日本海军（重樱）,zh-CN
Iris Libre,自由鸢尾,zh-CN
Iron Blood,铁血,zh-CN
Kingdom of Tulipa,郁金王国,zh-CN
KMS,德国海军（铁血）,zh-CN
knot,节,zh-CN
Landing Ship,登陆舰,zh-CN
Large Cruiser,超巡洋舰,zh-CN
launched,下水,zh-CN
lead ship,首舰,zh-CN
Lieutenant,海军上尉,zh-CN
Lieutenant Commander,海军少校,zh-CN
Lieutenant Junior Grade,海军中尉,zh-CN
Light Carrier,轻型航空母舰,zh-CN
Light Cruiser,轻巡洋舰,zh-CN
Limit Break,突破,zh-CN
machine gun,机枪,zh-CN
main fleet,主力舰队（后排）,zh-CN
main gun,主炮,zh-CN
mast,桅杆,zh-CN
Minelayer,布雷舰,zh-CN
Minesweeper,扫雷舰,zh-CN
MNF,法国海军（维希教廷）,zh-CN
Monitor,浅水重炮舰,zh-CN
MOT,飓风船团,zh-CN
Munition Ship,运输舰,zh-CN
name ship,同名舰,zh-CN
naval bombardment,舰炮射击,zh-CN
Northern Parliament,北方联合,zh-CN
Oath,誓约,zh-CN
Oath Ring,誓约之戒,zh-CN
Oil,石油,zh-CN
oiler,油船,zh-CN
patrol,巡逻,zh-CN
PR Ship,决战方案,zh-CN
radar,雷达,zh-CN
Rear Admiral,海军少将,zh-CN
reconnaissance,侦察,zh-CN
reconnaissance aircraft,侦察机,zh-CN
refit,改装,zh-CN
Repair Ship,维修舰,zh-CN
Research Ship,科研船,zh-CN
Retrofit,改造,zh-CN
RN,意大利皇家海军（撒丁帝国）,zh-CN
Royal Navy,皇家,zh-CN
Sailing Frigate,风帆舰,zh-CN
Sakura Empire,重樱,zh-CN
Sardegna Empire,撒丁帝国,zh-CN
scuttled,自沉,zh-CN
seaplane,水上飞机,zh-CN
Seaplane Tender,水上机母舰,zh-CN
searchlight,探照灯,zh-CN
secondary gun,副炮,zh-CN
Secretary Ship,秘书舰,zh-CN
shipyard,造船厂,zh-CN
Siren,塞壬,zh-CN
sister ship,姐妹舰,zh-CN
Skill,技能,zh-CN
SMS,德意志帝国海军,zh-CN
SN,苏联海军（北方联合）,zh-CN
sonar,声呐,zh-CN
sortie,出击,zh-CN
Sortie,出击,zh-CN
Specialized Bulin,特装型布里,zh-CN
speed,航速,zh-CN
squadron,战队,zh-CN
SS,潜艇,zh-CN
SSV,潜水航母,zh-CN
standard displacement,标准排水量,zh-CN
stern,舰尾,zh-CN
Submarine,潜艇,zh-CN
Submarine Tender,潜艇母舰,zh-CN
sunk,击沉,zh-CN
task force,特混舰队,zh-CN
Tempesta,飓风船团,zh-CN
tonnage,吨位,zh-CN
torpedo,鱼雷,zh-CN
Torpedo Boat,鱼雷艇,zh-CN
torpedo bomber,鱼雷机,zh-CN
Torpedo Cruiser,鱼雷巡洋舰,zh-CN
torpedo tube,鱼雷发射管,zh-CN
turret,炮塔,zh-CN
UNIV,通用型,zh-CN
Universal Bulin,泛用型布里,zh-CN
USS,美国海军（白鹰）,zh-CN
vanguard,先锋舰队（前排）,zh-CN
Vice Admiral,海军中将,zh-CN
Vichya Dominion,维希教廷,zh-CN
μ Equipment,μ兵装,zh-CN
アイリス,自由鸢尾,zh-CN
カタパルト,弹射器,zh-CN
サディア帝国,撒丁帝国,zh-CN
スキル,技能,zh-CN
セイレーン,塞壬,zh-CN
