source,target,tgt_lng
"""4½""",4½,th-TH
"""A Vida é Bela""",ยิ้มเถิดโลกนี้ไม่มีสิ้นหวัง,th-TH
"""Aemeath"" está esperando por você no terraço da Faculdade Rabelle. Vá encontrá-la.","""Aemeath"" กำลังรอคุณอยู่ที่ชั้นบนสุดของวิทยาลัยราเบลล์ ไปพบเธอเถอะ",th-TH
"""Aemeath"" is waiting for you on the rooftop of Rabelle College. Go meet her.","""Aemeath"" กำลังรอคุณอยู่ที่ชั้นบนสุดของวิทยาลัยราเบลล์ ไปพบเธอเถอะ",th-TH
"""Cena de Reparo do Departamento de Engenharia""",งานซ่อมของแผนกวิศวกรรม,th-TH
"""Department of Engineering Repair Scene""",งานซ่อมของแผนกวิศวกรรม,th-TH
"""Espaço de trabalho secreto"" de Luuk Herssen","""ห้องทำงานลับ"" ของ Luuk Herssen",th-TH
"""Festivais Não Fazem Bis""","""งานฉลองอันแสนล้ำค่า""",th-TH
"""Festivals Don't Encore""","""งานฉลองอันแสนล้ำค่า""",th-TH
"""Life is Beautiful""",ยิ้มเถิดโลกนี้ไม่มีสิ้นหวัง,th-TH
"""Life of a Resonator""",ชีวิตอัศจรรย์ของผู้พเนจร,th-TH
"""Vida de um Ressonante""",ชีวิตอัศจรรย์ของผู้พเนจร,th-TH
(Ancienne Forteresse Yuan),(หน้าเมืองเยวียน),th-TH
(Eingang der Yuan-Festung),(หน้าเมืองเยวียน),th-TH
(Em Frente à Fortaleza Yuan),(หน้าเมืองเยวียน),th-TH
(Entrada a la Fortaleza Yuan),(หน้าเมืองเยวียน),th-TH
(Yuan Fortress Entrance),(หน้าเมืองเยวียน),th-TH
(연성 앞),(หน้าเมืองเยวียน),th-TH
1단계,ด่านที่หนึ่ง,th-TH
2단계,ด่านที่สอง,th-TH
2성 및 그 이상 품질의 에코 10개 흡수,ดูดซับเอคโค่ระดับคุณภาพ 2 ดาวขึ้นไป 10 ตัว,th-TH
3つの印に秘めている真意と場所が明白となった。どうやら、全ての答えは日時計が指しているあの謎の扉の向こうに隠しているようだ。,คุณได้ค้นพบจุดประสงค์และทิศทางของโทเคนทั้งสามแล้ว แต่คำตอบที่จะไขปริศนาของพวกมันถูกซ่อนอยู่หลังทางเข้าลึกลับ ซึ่งคุณได้ค้นพบเข้าด้วยความช่วยเหลือจากคำใบ้ของนาฬิกาแดด,th-TH
3匹の太陽の精霊,Soliskin สามตัว,th-TH
3단계,ด่านที่สาม,th-TH
3성 및 그 이상 품질의 에코 10개 흡수,ดูดซับเอคโค่ระดับคุณภาพ 3 ดาวขึ้นไป 10 ตัว,th-TH
4단계,ด่านที่สี่,th-TH
4성 및 그 이상 품질의 에코 10개 흡수,ดูดซับเอคโค่ระดับคุณภาพ 4 ดาวขึ้นไป 10 ตัว,th-TH
4성 및 그 이상 품질의 에코 5개 흡수,ดูดซับเอคโค่ระดับคุณภาพ 4 ดาวขึ้นไป 5 ตัว,th-TH
5단계,ด่านที่ห้า,th-TH
5성 및 그 이상 품질의 에코 10개 흡수,ดูดซับเอคโค่ 10 ตัวที่มีคุณภาพ 5 ดาวขึ้นไป,th-TH
A Academia Huaxu fez recentemente uma descoberta revolucionária na tecnologia Utilidade. A pesquisadora Lanyan solicita sua ajuda para testar uma nova ferramenta perto da Academia.,สถาบันหัวซวีได้ค้นพบความก้าวหน้าครั้งสำคัญในด้านเทคโนโลยี นักวิจัย Lanyan จึงขอความช่วยเหลือจากคุณในการทดสอบเครื่องมือใหม่ใกล้กับสถาบัน,th-TH
A Academia está recrutando voluntários para outro experimento. Encontre Hongjing para saber mais.,สถาบันกำลังรับอาสาสมัครสำหรับการทดลองอีกครั้ง ไปถามได้จากหงจิ่ง,th-TH
A Associação dos Pioneiros e a Logística Lollo introduziram outra campanha conjunta. Vá conferir no Caminhão da Logística Lollo.,สมาคมผู้บุกเบิกและลอลโล่โลจิสติกส์ได้เปิดตัวแคมเปญร่วมกันอีกครั้ง ไปดูกันได้เลยที่รถบรรทุกลอลโล่โลจิสติกส์,th-TH
A Associação dos Pioneiros e a Logística Lollo lançaram outra campanha conjunta. Vá conferir no Caminhão da Logística Lollo.,สมาคมผู้บุกเบิกและลอลโล่โลจิสติกส์เปิดตัวแคมเปญร่วมกันอีกครั้ง แวะไปดูกันได้ที่รถบรรทุกลอลโล่โลจิสติกส์,th-TH
A Associação dos Pioneiros e a Logística Lollo lançaram uma nova campanha conjunta. Vá conferir no Caminhão da Logística Lollo.,สมาคมผู้บุกเบิกและลอลโล่โลจิสติกส์ได้เปิดตัวแคมเปญร่วมกันอีกครั้ง ไปดูที่รถส่งของลอลโล่โลจิสติกส์กันได้เลย,th-TH
A Blaze in the Dark,ประกายเพลิงแห่งราตรี,th-TH
A Brief Respite,การพักผ่อนชั่วครู่,th-TH
A Busca,การค้นหา,th-TH
"A Campanha Lollo está enfrentando uma crise inesperada! Para salvar a carreira do Maji e manter esses convenientes serviços funcionando, ajude-o a verificar a confiabilidade da Campanha Lollo!",แคมเปญลอลโล่กำลังเผชิญกับวิกฤตอย่างไม่คาดคิด! เพื่อช่วยให้ Maji ยังคงทำอาชีพของตนต่อไปได้ และเพื่อให้บริการต่างๆ เหล่านี้ยังคงดำเนินต่อไป ให้ช่วยเหลือ Maji ตรวจสอบความน่าเชื่อถือของแคมเปญลอลโล่,th-TH
A Canção do Gelo e do Aço,บทเพลงแห่งน้ำแข็งและเหล็กกล้า,th-TH
A Canção dos Laços Invisíveis,พันธะชะตาแห่งสุรเสียง,th-TH
