source,target,tgt_lng
"""All Is Overt Through My Lens""",«Мой объектив ничего не упустит»,ru-RU
"""Kỵ Sĩ Trinh Thám Điểm Tuyệt Đối""",Лучший скаут,ru-RU
"""Lensimde Her Şeyin Hakikati Görünür""",«Мой объектив ничего не упустит»,ru-RU
"""Marcas da Aventureira""",Лучший скаут,ru-RU
"""Tudo Passa pela Minha Lente""",«Мой объектив ничего не упустит»,ru-RU
"""Đều Trong Ống Kính""",«Мой объектив ничего не упустит»,ru-RU
"""ทุกสิ่งล้วนปรากฏอยู่หน้าเลนส์""",«Мой объектив ничего не упустит»,ru-RU
%100 Kaşif,Скаут на все сто,ru-RU
100% Aventureira,Скаут на все сто,ru-RU
100% Outrider,Скаут на все сто,ru-RU
100% Vigilante,Скаут на все сто,ru-RU
100% 정찰 기사,Скаут на все сто,ru-RU
100%侦察骑士,Скаут на все сто,ru-RU
100%偵察騎士,Скаут на все сто,ru-RU
5-Star Outrider,Лучший скаут,ru-RU
5-Sterne-Kundschafter,Лучший скаут,ru-RU
8비트 예술,Восьмибитное искусство,ru-RU
A Gift From the Stars,Подарок звёзд,ru-RU
A Guest's August Omen,Счастливое знамение гостьи,ru-RU
A Leoa e o Sol Ardente,Львица и солнце,ru-RU
A New Leaf,Листок новой жизни,ru-RU
A Sobriquet Under Shade,Инкогнито в тени листвы,ru-RU
A Wrathful Void,Безмолвие гневной пустоты,ru-RU
Abito da sera d'orchidee,Флёр орхидеи,ru-RU
Ablenkung des Unglücks,Обход злоключений,ru-RU
Acayip Oni,Эксцентричный óни,ru-RU
Acertijo esmeralda,Изумрудный шифр,ru-RU
Acht-Bit-Künste,Восьмибитное искусство,ru-RU
Adventures in Blazing Hue,Пылающие приключения,ru-RU
Ailes sifflantes,Крылья дротика,ru-RU
Aires marciales,Боевой порыв,ru-RU
Aklı Başında,Приверженец логики,ru-RU
Aktrisler Kraliçesi,Коронованная примадонна,ru-RU
Alacakaranlık Çiçeği,Цветок сумрака,ru-RU
Alas silbantes,Крылья дротика,ru-RU
Alegria de Ano Novo,Новогоднее веселье,ru-RU
Alev Renkli Maceralar,Пылающие приключения,ru-RU
Alev Savaşçısı,Воин пламени,ru-RU
Alevle Kaplı Altın Tüyler,Умытые огнём крылья,ru-RU
Ali del dardo sibilante,Крылья дротика,ru-RU
Ali dorate in un bagno di fiamme,Умытые огнём крылья,ru-RU
Allégorie gelée,Инеевая тропа,ru-RU
Alma Ambiciosa,Пламенная душа,ru-RU
Alma sobre una balanza,Неподкупность,ru-RU
Alors que le ciel et la terre sont recréés,И заново сотворены небо и земля,ru-RU
Altın Kaplı Vadi,Золочёное ущелье,ru-RU
Altın Kumgezer,Путник золотого песка,ru-RU
Altın Kural,Золотой закон,ru-RU
Altın Yapraklı ve İncili Yeşim,Золотой нефрит,ru-RU
Amante del Mora,Я люблю мору,ru-RU
Ambrosial Verdance,Благоухание зелени,ru-RU
Amore per i Mora,Я люблю мору,ru-RU
Andarilho das Areias Douradas,Путник золотого песка,ru-RU
Anima ardente,Пламенная душа,ru-RU
Aos Libertos da Igreja,За вольный дух церкви,ru-RU
