source,target,tgt_lng
Adept,Especialista,es-ES
Alev Çiçeği Tomurcuğu,Pistilo de flor llameante,es-ES
Amethyst Lump,Pedazo de amatista,es-ES
Amethyst-Brocken,Pedazo de amatista,es-ES
Ametist Parçası,Pedazo de amatista,es-ES
Anbeginn,Origen,es-ES
Biển Cát Đỏ - Vương Miện,Gran Desierto Escarlata: Corona,es-ES
Biển Cát Đỏ: Đêm Dài,Gran Desierto Escarlata: Noche larga,es-ES
Biển Cát Đỏ: Đồng Cổ,Gran Desierto Escarlata: Bronce,es-ES
Biển Kỷ Nguyên Cũ - Vương Miện,Mar de Antaño: Corona,es-ES
Biển Kỷ Nguyên Cũ: Ngủ Sâu,Mar de Antaño: Sueño profundo,es-ES
Brocken Kristall,Pedazo de cristal,es-ES
Brocken magisches Kristall,Pedazo de cristal mágico,es-ES
Bách Hợp Lưu Ly,Lirio de cristal,es-ES
Báu Vật Trong Bài,Tesoro entre las cartas,es-ES
Büyük Kızıl Çöl: Bronz,Gran Desierto Escarlata: Bronce,es-ES
Büyük Kızıl Çöl: Taç,Gran Desierto Escarlata: Corona,es-ES
Büyük Kızıl Çöl: Uzun Gece,Gran Desierto Escarlata: Noche larga,es-ES
Büyülü Kristal Parçası,Pedazo de cristal mágico,es-ES
Cecília,Cecilia,es-ES
Corolla di Fiordinebbia,Pistilo de flor helada,es-ES
Corolle de fleur de brume,Pistilo de flor helada,es-ES
Cristal Electro,Electrocristal,es-ES
Cristallo di Electro,Electrocristal,es-ES
Crystal Chunk,Pedazo de cristal,es-ES
Cécilia,Cecilia,es-ES
Dandelion Seed,Semilla de diente de león,es-ES
Dendrobium,Dendrobio,es-ES
Dendrobium sanglant,Dendrobio,es-ES
Despenhadeiro - Cristal Índigo,La Sima: cristal azul,es-ES
Despenhadeiro - Diadema,La Sima: corona de oro,es-ES
Despenhadeiro - Metal Sólido,La Sima - Hierro macizo,es-ES
Destenin Hazineleri,Tesoro entre las cartas,es-ES
Drachengrat – Krone,Coronación de Espinadragón,es-ES
Drachengrat – Spurensuche,Huellas en Espinadragón,es-ES
Dragonspine - มงกุฎ,Coronación de Espinadragón,es-ES
Dragonspine - สำรวจ,Huellas en Espinadragón,es-ES
Dragonspine: Crown,Coronación de Espinadragón,es-ES
Dragonspine: Traces,Huellas en Espinadragón,es-ES
Efsanevi,Leyenda,es-ES
Eisnebelblumenblüte,Pistilo de flor helada,es-ES
Ejdersırtı: Taç,Coronación de Espinadragón,es-ES
Ejdersırtı: İzler,Huellas en Espinadragón,es-ES
Electro Crystal,Electrocristal,es-ES
Elektrik Kristali,Electrocristal,es-ES
Elektrisierter Kristall,Electrocristal,es-ES
Enkanomiya - Vương Miện,Enkanomiya: Corona,es-ES
Enkanomiya - Đêm Đen,Enkanomiya: Noche infinita,es-ES
Enkanomiya - มงกุฎ,Enkanomiya: Corona,es-ES
Enkanomiya - ราตรีนิรันดร์,Enkanomiya: Noche infinita,es-ES
Enkanomiya : Couronne,Enkanomiya: Corona,es-ES
Enkanomiya : Nuit sans fin,Enkanomiya: Noche infinita,es-ES
Enkanomiya – Ewige Nacht,Enkanomiya: Noche infinita,es-ES
Enkanomiya – Krone,Enkanomiya: Corona,es-ES
Enkanomiya: Crown,Enkanomiya: Corona,es-ES
Enkanomiya: Diadema,Enkanomiya: Corona,es-ES
Enkanomiya: Ebedi Gece,Enkanomiya: Noche infinita,es-ES
Enkanomiya: Evernight,Enkanomiya: Noche infinita,es-ES
Enkanomiya: Noite Eterna,Enkanomiya: Noche infinita,es-ES
