source,target,tgt_lng
"""Burada Görülecek Bir Şey Yok"" Tamoto","Tamoto ""Nada Para Ver Aqui""",pt-BR
"""Nothing to See Here"" Tamoto","Tamoto ""Nada Para Ver Aqui""",pt-BR
"""มังกรร้าย""",Dragão Maligno,pt-BR
A/S 포탄,Munições Pós-venda,pt-BR
After-Sales Service,Munições Pós-venda,pt-BR
After-Sales Service Rounds,Munições Pós-venda,pt-BR
"Ahau, Señor de los Dragones","O Poderoso Dragão Soberano, Ajaw",pt-BR
Alamet Ruhu: Taş Ejderi,Espírito Ominoso: Dragão de Pedra,pt-BR
Alaycı Kedi Şapkası,Chapéu do Gato Brincalhão,pt-BR
Alles wendender Heiliger Fürst,Lorde Sagrado da Virada,pt-BR
Allmächtiger Drachenfürst Ajaw,"O Poderoso Dragão Soberano, Ajaw",pt-BR
"Almighty Dragonlord, Ajaw","O Poderoso Dragão Soberano, Ajaw",pt-BR
Altın Gül Selamı,Salva de Canhões Dourados,pt-BR
Anello avviluppante,Anel da Tempestade,pt-BR
Animal Hidromimético,Invocação Aquática,pt-BR
Anneau de tempête,Anel da Tempestade,pt-BR
Arbalétrier Brutocollinus Cryo,Hilichurl Atirador Cryo,pt-BR
Arbalétrier Brutocollinus Électro,Hilichurl Atirador Electro,pt-BR
Ardilla Hidromimética,Invocação Aquática - Furão,pt-BR
Ardilla voladora de papel,Esquilo Voador de Origami,pt-BR
Armonispirito,Espírito Sérico,pt-BR
Aura solaire,Radiação Solar,pt-BR
Autumn Whirlwind,Redemoinho do Outono,pt-BR
Ave Rapaz Hidromimética,Invocação Aquática - Ave de Rapina,pt-BR
Ayazın Habercisi,Arauto da Floresta,pt-BR
Bakekurage,Bake-Kurage,pt-BR
Bala posventa,Munições Pós-venda,pt-BR
Baron Bunny,Barão Coelho,pt-BR
Baron Coniglio,Barão Coelho,pt-BR
Baron Lapinou,Barão Coelho,pt-BR
Baron Tavşan,Barão Coelho,pt-BR
Barón Bunny,Barão Coelho,pt-BR
Bauklotzfigur,Guarda de Brinquedo,pt-BR
Bereketli Çekirdek,Núcleo da Riqueza,pt-BR
Berserker Brutocollinus,Hilichurl Berserker,pt-BR
Berserkers Brutocollinus,Hilichurl Berserker,pt-BR
Bogglecat Box,Caixa Surpresa Miau Miau,pt-BR
Bogglecat Box (กล่องแมวเหมียวสุดอึ้ง),Caixa Surpresa Miau Miau,pt-BR
Bombastic Side-Eye Tamoto,Tamoto de Canto de Olho Bombástico,pt-BR
Bountiful Core,Núcleo da Riqueza,pt-BR
Boîte minestyque,Caixa Surpresa Miau Miau,pt-BR
Brutocollinus,Hilichurl,pt-BR
Brutoshaman Hydro,Samachurl Hydro,pt-BR
Burning Flame,Chamas Ardentes,pt-BR
Buz Cicinleri,Cicin Cryo,pt-BR
Buzdan Seki no To,Granizo Seki no To,pt-BR
Bá Tước Thỏ,Barão Coelho,pt-BR
Bóng Ma Nước,Invocação Aquática,pt-BR
Bóng Ma Nước - Chim Ưng,Invocação Aquática - Ave de Rapina,pt-BR
Bóng Ma Nước - Sóc Chuột,Invocação Aquática - Furão,pt-BR
Bóng Ma Nước - Ếch,Invocação Aquática - Sapo,pt-BR
Búp Bê Tự Động Của Chiori,Autômatos Simples de Chiori,pt-BR
Büyük Rüzgar Ruhu,Grande Espírito do Vento,pt-BR
