source,target,tgt_lng
ASPD +5,공격 속도 +5,ko-KR
ASPD +6,공격 속도 +6,ko-KR
ASPD +8,공격 속도 +8,ko-KR
ATK +12,공격력 +12,ko-KR
ATK +15,공격력 +15,ko-KR
ATK +18,공격력 +18,ko-KR
ATK +19,공격력 +19,ko-KR
ATK +20,공격력 +20,ko-KR
ATK +21,공격력 +21,ko-KR
ATK +22,공격력 +22,ko-KR
ATK +23,공격력 +23,ko-KR
ATK +24,공격력 +24,ko-KR
ATK +25,공격력 +25,ko-KR
ATK +26,공격력 +26,ko-KR
ATK +27,공격력 +27,ko-KR
ATK +28,공격력 +28,ko-KR
ATK +29,공격력 +29,ko-KR
ATK +30,공격력 +30,ko-KR
ATK +31,공격력 +31,ko-KR
ATK +32,공격력 +32,ko-KR
ATK +33,공격력 +33,ko-KR
ATK +34,공격력 +34,ko-KR
ATK +35,공격력 +35,ko-KR
ATK +36,공격력 +36,ko-KR
ATK +37,공격력 +37,ko-KR
ATK +40,공격력 +40,ko-KR
ATK +45,공격력 +45,ko-KR
ATK +46,공격력 +46,ko-KR
ATK +52,공격력 +52,ko-KR
ATK +9,공격력 +9,ko-KR
Antique Caster Token,캐스터 앤틱 증표,ko-KR
Antique Defender Token,디펜더 앤틱 증표,ko-KR
Antique Guard Token,가드 앤틱 증표,ko-KR
Antique Medic Token,메딕 앤틱 증표,ko-KR
Antique Sniper Token,스나이퍼 앤틱 증표,ko-KR
Antique Specialist Token,스페셜리스트 앤틱 증표,ko-KR
Antique Supporter Token,서포터 앤틱 증표,ko-KR
Antique Vanguard Token,뱅가드 앤틱 증표,ko-KR
DEF +19,방어력 +19,ko-KR
DEF +20,방어력 +20,ko-KR
DEF +22,방어력 +22,ko-KR
DEF +23,방어력 +23,ko-KR
DEF +24,방어력 +24,ko-KR
DEF +25,방어력 +25,ko-KR
DEF +26,방어력 +26,ko-KR
DEF +27,방어력 +27,ko-KR
DEF +28,방어력 +28,ko-KR
DEF +29,방어력 +29,ko-KR
DEF +30,방어력 +30,ko-KR
DEF +35,방어력 +35,ko-KR
DP Cost -1,배치 코스트 -1,ko-KR
Epic Caster Token,캐스터 에픽 증표,ko-KR
Epic Defender Token,디펜더 에픽 증표,ko-KR
Epic Guard Token,가드 에픽 증표,ko-KR
