source,target,tgt_lng
%s Oyuncusunun Kafası,Testa di %s,it-IT
%s 的頭顱,Testa di %s,it-IT
%s's Head,Testa di %s,it-IT
%sの頭,Testa di %s,it-IT
%s的头,Testa di %s,it-IT
%s의 머리,Testa di %s,it-IT
Abgestorbene Blasenkoralle,Corallo a bolle morto,it-IT
Abgestorbene Feuerkoralle,Corallo di fuoco morto,it-IT
Abgestorbene Geweihkoralle,Corallo a corna morto,it-IT
Abgestorbene Hirnkoralle,Corallo a cervello morto,it-IT
Abgestorbene Orgelkoralle,Corallo a tubo morto,it-IT
Abgestorbener Blasenkorallenblock,Blocco di corallo a bolle morto,it-IT
Abgestorbener Blasenkorallenfächer,Gorgonia a bolle morta,it-IT
Abgestorbener Blasenkorallenwandfächer,Gorgonia a bolle morta a parete,it-IT
Abgestorbener Feuerkorallenblock,Blocco di corallo di fuoco morto,it-IT
Abgestorbener Feuerkorallenfächer,Gorgonia di fuoco morta,it-IT
Abgestorbener Feuerkorallenwandfächer,Gorgonia di fuoco morta a parete,it-IT
Abgestorbener Geweihkorallenblock,Blocco di corallo a corna morto,it-IT
Abgestorbener Geweihkorallenfächer,Gorgonia a corna morta,it-IT
Abgestorbener Geweihkorallenwandfächer,Gorgonia a corna morta a parete,it-IT
Abgestorbener Hirnkorallenblock,Blocco di corallo a cervello morto,it-IT
Abgestorbener Hirnkorallenfächer,Gorgonia a cervello morta,it-IT
Abgestorbener Hirnkorallenwandfächer,Gorgonia a cervello morta a parete,it-IT
Abgestorbener Orgelkorallenblock,Blocco di corallo a tubo morto,it-IT
Abgestorbener Orgelkorallenfächer,Gorgonia a tubo morta,it-IT
Abgestorbener Orgelkorallenwandfächer,Gorgonia a tubo morta a parete,it-IT
Abóbora,Zucca,it-IT
Abóbora de Halloween,Lanterna di zucca,it-IT
Abóbora Esculpida,Zucca intagliata,it-IT
Acacia Button,Pulsante di acacia,it-IT
Acacia Door,Porta di acacia,it-IT
Acacia Fence,Staccionata di acacia,it-IT
Acacia Fence Gate,Cancelletto di acacia,it-IT
Acacia Hanging Sign,Insegna di acacia,it-IT
Acacia Leaves,Foglie di acacia,it-IT
Acacia Log,Tronco di acacia,it-IT
Acacia Planks,Assi di acacia,it-IT
Acacia Pressure Plate,Pedana a pressione di acacia,it-IT
Acacia Sapling,Arboscello di acacia,it-IT
Acacia Shelf,Scaffale di acacia,it-IT
Acacia Sign,Cartello di acacia,it-IT
Acacia Slab,Lastra di acacia,it-IT
Acacia Stairs,Scalini di acacia,it-IT
Acacia Trapdoor,Botola di acacia,it-IT
Acacia Wall Hanging Sign,Insegna di acacia a parete,it-IT
Acacia Wall Sign,Cartello di acacia a parete,it-IT
Acacia Wood,Legno di acacia,it-IT
Aciano,Fiordaliso,it-IT
Ackerboden,Terra zappata,it-IT
Activator Rail,Binario attivatore,it-IT
Adobe,Fango compatto,it-IT
Afiladora,Mola,it-IT
Agregado de Ametista,Aggregato di ametista,it-IT
Agregado de Resina,Grumo di resina,it-IT
Agua,Acqua,it-IT
Ahumador,Affumicatore,it-IT
Air,Aria,it-IT
Air de caverne,Aria delle caverne,it-IT
