source,target,tgt_lng
"""%s"" (%s) 선택함","""%s” (%s) seçildi",tr-TR
"""%s"" alterado para %s","""%s” -> %s",tr-TR
"""%s"" sélectionné (%s)","""%s” (%s) seçildi",tr-TR
"""%s"" thành %s","""%s” -> %s",tr-TR
"""%s"" to %s","""%s” -> %s",tr-TR
"""%s"" à %s","""%s” -> %s",tr-TR
"""%s"" ไปยัง %s","""%s” -> %s",tr-TR
"""%s""을(를) %s(으)로","""%s” -> %s",tr-TR
%2$s x %1$s,%s x %s,tr-TR
%s = %s,"""%s” (%s) seçildi",tr-TR
%s has no properties,%s hiçbir özelliğe sahip değil,tr-TR
%s hat keine Blockzustände,%s hiçbir özelliğe sahip değil,tr-TR
%s không có thuộc tính nào,%s hiçbir özelliğe sahip değil,tr-TR
%s n'a aucune propriété,%s hiçbir özelliğe sahip değil,tr-TR
%s no tiene propiedades,%s hiçbir özelliğe sahip değil,tr-TR
%s non ha proprietà,%s hiçbir özelliğe sahip değil,tr-TR
%s não tem propriedades,%s hiçbir özelliğe sahip değil,tr-TR
%s × %s,%s x %s,tr-TR
%s ไม่มีคุณสมบัติ,%s hiçbir özelliğe sahip değil,tr-TR
%s → %s,"""%s” -> %s",tr-TR
%s 沒有屬性,%s hiçbir özelliğe sahip değil,tr-TR
%s× %s,%s x %s,tr-TR
%sはプロパティを持っていません,%s hiçbir özelliğe sahip değil,tr-TR
%s不具备属性,%s hiçbir özelliğe sahip değil,tr-TR
%s에게 속성이 없습니다,%s hiçbir özelliğe sahip değil,tr-TR
%s／%s,%s/%s,tr-TR
A forma di creeper,Creeper Şekilli,tr-TR
A forma di stella,Yıldız Şekilli,tr-TR
Aaron Cherof — Precipice,Aaron Cherof - Precipice,tr-TR
Aaron Cherof — Relic,Aaron Cherof - Relic,tr-TR
Abandoned Camp Map,Terkedilmiş Kamp Haritası,tr-TR
Abandoned Campsite Map,Terkedilmiş Kamp Alanı Haritası,tr-TR
Abschabe-Töpferscherbe,Kazıma Çömlek Parçası,tr-TR
Acacia Boat,Akasya Tekne,tr-TR
Acacia Boat with Chest,Sandıklı Akasya Tekne,tr-TR
Acciarino,Çakmak Taşı ve Çelik,tr-TR
Add a piece of armor,Bir zırh parçası ekleyin,tr-TR
"Add diamond armor, weapon, or tool","Elmas zırh, silah veya alet ekleyin",tr-TR
Add ingot or crystal,Külçe veya kristal ekleyin,tr-TR
Add Netherite Ingot,Netherit Külçesi ekleyin,tr-TR
Adicione um Lingote de Netherita,Netherit Külçesi ekleyin,tr-TR
Adicione um lingote ou cristal,Külçe veya kristal ekleyin,tr-TR
"Adicione uma ferramenta, arma ou armadura de Diamante","Elmas zırh, silah veya alet ekleyin",tr-TR
Adicione uma peça de armadura,Bir zırh parçası ekleyin,tr-TR
Agregado de Resina,Reçine Yığını,tr-TR
Ajoutez un lingot de netherite,Netherit Külçesi ekleyin,tr-TR
Ajoutez un lingot ou un cristal,Külçe veya kristal ekleyin,tr-TR
Ajoutez une pièce d'armure,Bir zırh parçası ekleyin,tr-TR
"Ajoutez une pièce d'armure, une arme ou un outil en diamant","Elmas zırh, silah veya alet ekleyin",tr-TR
Akazienholzboot,Akasya Tekne,tr-TR
Akazienholztruhenboot,Sandıklı Akasya Tekne,tr-TR
Alambic,İksir Tezgâhı,tr-TR
Alambicco,İksir Tezgâhı,tr-TR
Alga essiccata,Kurutulmuş Su Yosunu,tr-TR
Algas Secas,Kurutulmuş Su Yosunu,tr-TR
Algas secas,Kurutulmuş Su Yosunu,tr-TR
Algue séchée,Kurutulmuş Su Yosunu,tr-TR
Aliento de dragón,Ejderha Nefesi,tr-TR
Allay Spawn Egg,Huzurveren Çağırma Yumurtası,tr-TR
Almofada Amarela,Sarı Minder,tr-TR
Almofada Azul,Mavi Minder,tr-TR
Almofada Azul-Clara,Açık Mavi Minder,tr-TR
Almofada Branca,Beyaz Minder,tr-TR
Almofada Ciano,Camgöbeği Minder,tr-TR
Almofada Cinza,Gri Minder,tr-TR
Almofada Cinza-Clara,Açık Gri Minder,tr-TR
Almofada Laranja,Turuncu Minder,tr-TR
Almofada Magenta,Eflatun Minder,tr-TR
Almofada Marrom,Kahverengi Minder,tr-TR
Almofada Preta,Siyah Minder,tr-TR
Almofada Rosa,Pembe Minder,tr-TR
Almofada Roxa,Mor Minder,tr-TR
Almofada Verde,Yeşil Minder,tr-TR
Almofada Verde-Limão,Açık Yeşil Minder,tr-TR
Almofada Vermelha,Kırmızı Minder,tr-TR
amarela,Sarı,tr-TR
amarilla,Sarı,tr-TR
Amas de résine,Reçine Yığını,tr-TR
Amethyst Shard,Ametist Parçası,tr-TR
Amethystscherbe,Ametist Parçası,tr-TR
Amos Roddy — Tears,Amos Roddy - Tears,tr-TR
Ampolla,Cam Şişe,tr-TR
Ampolla d'acqua,Su Şişesi,tr-TR
Ampolla d'acqua da lancio,Patlayıcı Su Şişesi,tr-TR
