source,target,tgt_lng
"""Apenas uma estudante comum.""

Calmamente, ela se apresenta, um leve brilho iridescente tremulando em seus olhos. Novamente, as estruturas do mundo se revelam em sua visão. Estreitando os olhos, ela identifica o próprio fio que puxa a vida.","„Nur eine ganz normale Studentin.“

Ruhig stellt sie sich vor, während ein schwach schillernder Schimmer in ihren Augen flackert. Wieder offenbaren sich die Strukturen der Welt in ihrem Blick. Sie kneift die Augen zusammen und erkennt genau jenen Strang, der am Leben selbst zerrt.",de-DE
"""Bringing a smile to every passenger is our cafe's top priority!""",„Ein Lächeln für jeden Passagier – das ist unsere oberste Priorität!“,de-DE
"""But now you're going to leave with nothing but a sign.""",„But now you're going to leave with nothing but a sign.“,de-DE
"""Em uma noite silenciosa, alguém atraiu os luares.
Ela não acredita no destino, mas sorri ao revelar suas bênçãos para você.""","„In einer stillen Nacht pflückte einst jemand das Licht des Mondes vom Himmel.
Obwohl sie nicht an das Schicksal glaubt, lächelt sie, wenn sie dir von seinen Segen erzählt.“",de-DE
"""Ghost Hounds""",Geisterhunde,de-DE
"""Homebound""",„Heimwärts“,de-DE
"""Into the Land of Paradox"" event",Ins Land der Paradoxien,de-DE
"""Just an ordinary student.""

Calmly, she introduces herself, a faint iridescent shimmer flickering in her eyes. Again, the structures of the world reveal themselves in her vision. Narrowing her eyes, she singles out the very thread that tugs at life itself.","„Nur eine ganz normale Studentin.“

Ruhig stellt sie sich vor, während ein schwach schillernder Schimmer in ihren Augen flackert. Wieder offenbaren sich die Strukturen der Welt in ihrem Blick. Sie kneift die Augen zusammen und erkennt genau jenen Strang, der am Leben selbst zerrt.",de-DE
"""Lament Recon: Solaris Soldier"" Limited-Time Event",Lamento-Simulation: Solaris-Krieger,de-DE
"""Lament Recon: Tacet Crisis"" Limited-Time Event",Zeitlich begrenztes Event „Lamento-Simulation: Tacet-Krise“,de-DE
"""Mas agora você vai embora só com uma placa.""",„But now you're going to leave with nothing but a sign.“,de-DE
"""Moonlit Revelation"" Limited-Time Event",Worte des Mondes,de-DE
"""On a hushed night, someone drew down the moonlights.
She does not believe in fate, yet she smiles as she reveals its blessings for you.""","„In einer stillen Nacht pflückte einst jemand das Licht des Mondes vom Himmel.
Obwohl sie nicht an das Schicksal glaubt, lächelt sie, wenn sie dir von seinen Segen erzählt.“",de-DE
"""Rachel""",Die Rachel,de-DE
"""Retorno ao Lar""",„Heimwärts“,de-DE
"""Rover""",Rover,de-DE
"""Trazer um sorriso para cada passageiro é a prioridade máxima do nosso café!""",„Ein Lächeln für jeden Passagier – das ist unsere oberste Priorität!“,de-DE
"""กองทัพสุนัขล่าวิญญาณ""",Geisterhunde,de-DE
"""การทำให้ลูกค้าทุกคนที่มาถึงที่นี่ยิ้มได้ คือเป้าหมายสูงสุดของร้านเรา!""",„Ein Lächeln für jeden Passagier – das ist unsere oberste Priorität!“,de-DE
"""ก็แค่นักเรียนธรรมดาคนหนึ่ง""
เธอแนะนำตัวด้วยน้ำเสียงราบเรียบ ทว่าในนัยน์ตากลับมีประกายแสงหลากสีเปล่งออกมาจางๆ โครงสร้างของสรรพสิ่งค่อยๆ ปรากฏชัดขึ้นในครรลองสายตา เธอหรี่ตาลงเล็กน้อย เพื่อแยกแยะเส้นด้ายเส้นนั้น... เส้นที่คอยชักเชิดชีวิตของผู้คน","„Nur eine ganz normale Studentin.“

Ruhig stellt sie sich vor, während ein schwach schillernder Schimmer in ihren Augen flackert. Wieder offenbaren sich die Strukturen der Welt in ihrem Blick. Sie kneift die Augen zusammen und erkennt genau jenen Strang, der am Leben selbst zerrt.",de-DE
"""บ้าน""",„Heimwärts“,de-DE
"""ผู้พเนจร""",Rover,de-DE
