source,target,tgt_lng
Adept,Uzman,tr-TR
Amethyst Lump,Ametist Parçası,tr-TR
Amethyst-Brocken,Ametist Parçası,tr-TR
Anbeginn,Köken,tr-TR
Biển Cát Đỏ - Vương Miện,Büyük Kızıl Çöl: Taç,tr-TR
Biển Cát Đỏ: Đêm Dài,Büyük Kızıl Çöl: Uzun Gece,tr-TR
Biển Cát Đỏ: Đồng Cổ,Büyük Kızıl Çöl: Bronz,tr-TR
Biển Kỷ Nguyên Cũ - Vương Miện,Kadim Çağlar Denizi: Taç,tr-TR
Biển Kỷ Nguyên Cũ: Ngủ Sâu,Kadim Çağlar Denizi: Uyku,tr-TR
Brocken Kristall,Kristal Parçası,tr-TR
Brocken magisches Kristall,Büyülü Kristal Parçası,tr-TR
Bách Hợp Lưu Ly,Parlak Zambak,tr-TR
Báu Vật Trong Bài,Destenin Hazineleri,tr-TR
Cecilia,Sesilya,tr-TR
Cecília,Sesilya,tr-TR
Corolla di Fiordinebbia,Sis Çiçeği Tepeciği,tr-TR
Corolle de fleur de brume,Sis Çiçeği Tepeciği,tr-TR
Coronación de Espinadragón,Ejdersırtı: Taç,tr-TR
Cristal Electro,Elektrik Kristali,tr-TR
Cristallo di Electro,Elektrik Kristali,tr-TR
Crystal Chunk,Kristal Parçası,tr-TR
Cécilia,Sesilya,tr-TR
Dandelion Seed,Karahindiba Tohumu,tr-TR
Dendrobio,Kan Çiçeği,tr-TR
Dendrobium,Kan Çiçeği,tr-TR
Dendrobium sanglant,Kan Çiçeği,tr-TR
Despenhadeiro - Cristal Índigo,Kanyon: Mavi Kristal,tr-TR
Despenhadeiro - Diadema,Kanyon: Taç,tr-TR
Despenhadeiro - Metal Sólido,Kanyon: Saf Demir,tr-TR
Drachengrat – Krone,Ejdersırtı: Taç,tr-TR
Drachengrat – Spurensuche,Ejdersırtı: İzler,tr-TR
Dragonspine - มงกุฎ,Ejdersırtı: Taç,tr-TR
Dragonspine - สำรวจ,Ejdersırtı: İzler,tr-TR
Dragonspine: Crown,Ejdersırtı: Taç,tr-TR
Dragonspine: Traces,Ejdersırtı: İzler,tr-TR
Eisnebelblumenblüte,Sis Çiçeği Tepeciği,tr-TR
Electro Crystal,Elektrik Kristali,tr-TR
Electrocristal,Elektrik Kristali,tr-TR
Elektrisierter Kristall,Elektrik Kristali,tr-TR
Enkanomiya - Vương Miện,Enkanomiya: Taç,tr-TR
Enkanomiya - Đêm Đen,Enkanomiya: Ebedi Gece,tr-TR
Enkanomiya - มงกุฎ,Enkanomiya: Taç,tr-TR
Enkanomiya - ราตรีนิรันดร์,Enkanomiya: Ebedi Gece,tr-TR
Enkanomiya : Couronne,Enkanomiya: Taç,tr-TR
Enkanomiya : Nuit sans fin,Enkanomiya: Ebedi Gece,tr-TR
Enkanomiya – Ewige Nacht,Enkanomiya: Ebedi Gece,tr-TR
Enkanomiya – Krone,Enkanomiya: Taç,tr-TR
Enkanomiya: Corona,Enkanomiya: Taç,tr-TR
Enkanomiya: Crown,Enkanomiya: Taç,tr-TR
Enkanomiya: Diadema,Enkanomiya: Taç,tr-TR
Enkanomiya: Evernight,Enkanomiya: Ebedi Gece,tr-TR
Enkanomiya: Noche infinita,Enkanomiya: Ebedi Gece,tr-TR
Enkanomiya: Noite Eterna,Enkanomiya: Ebedi Gece,tr-TR
Enkanomiya: Notteterna,Enkanomiya: Ebedi Gece,tr-TR
Especialista,Uzman,tr-TR
Esperto,Uzman,tr-TR
Espinha do Dragão - Diadema,Ejdersırtı: Taç,tr-TR
Espinha do Dragão - Investigação,Ejdersırtı: İzler,tr-TR
Flaming Flower Stamen,Alev Çiçeği Tomurcuğu,tr-TR
Flammenblumenstaubblatt,Alev Çiçeği Tomurcuğu,tr-TR
Flor da Neblina,Sis Çiçeği Tepeciği,tr-TR
Flor-Flamejante,Alev Çiçeği Tomurcuğu,tr-TR
Fonta - Anh Đào Ngọt Ngào,Fonta: Tatlı Kiraz,tr-TR
Fonta - Lakelight Luminescence,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta - Màu Đỏ Nồng Nàn,Fonta: Tutkulu Kırmızı,tr-TR
Fonta - Sweet Sakura,Fonta: Tatlı Kiraz,tr-TR
Fonta - Ánh Hồ Trong Vắt,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta : Luminescence du lac,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta : Rouge passion,Fonta: Tutkulu Kırmızı,tr-TR
Fonta aux cerises,Fonta: Tatlı Kiraz,tr-TR
Fonta – Aufrichtiges Henna,Fonta: Tutkulu Kırmızı,tr-TR
Fonta – Seelichtschein,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta – Süße rote Sakura,Fonta: Tatlı Kiraz,tr-TR
Fonta: Brilho de Um Lago,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta: Brillo del lago,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta: Cerezo dulce,Fonta: Tatlı Kiraz,tr-TR
Fonta: Dolce Sakura,Fonta: Tatlı Kiraz,tr-TR
Fonta: Lakelight Luminescence,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta: Luminescenza del Lagoluce,Fonta: Göldeki Işığın Parıltısı,tr-TR
Fonta: Pasión escarlata,Fonta: Tutkulu Kırmızı,tr-TR
