source,target,tgt_lng
%s（%s）,%s (%s),fr-FR
(Bozuk veya uyumsuz),(Endommagé ou incompatible),fr-FR
(Broken or incompatible),(Endommagé ou incompatible),fr-FR
(Coloca los archivos de paquetes aquí),(Placer les fichiers de packs ici),fr-FR
(Coloque os arquivos dos pacotes aqui),(Placer les fichiers de packs ici),fr-FR
(Corrompido ou incompatível),(Endommagé ou incompatible),fr-FR
(Creato per una versione di Minecraft più recente),(Conçu pour une version plus récente de Minecraft),fr-FR
(Creato per una versione di Minecraft più vecchia),(Conçu pour une ancienne version de Minecraft),fr-FR
(Daha eski bir Minecraft sürümü için yapıldı),(Conçu pour une ancienne version de Minecraft),fr-FR
(Daha yeni bir Minecraft sürümü için yapıldı),(Conçu pour une version plus récente de Minecraft),fr-FR
(Danneggiato o non compatibile),(Endommagé ou incompatible),fr-FR
(Defekt oder inkompatibel),(Endommagé ou incompatible),fr-FR
(Diseñado para una versión de Minecraft anterior),(Conçu pour une ancienne version de Minecraft),fr-FR
(Diseñado para una versión de Minecraft posterior),(Conçu pour une version plus récente de Minecraft),fr-FR
(Feito para uma versão mais antiga do Minecraft),(Conçu pour une ancienne version de Minecraft),fr-FR
(Feito para uma versão mais recente do Minecraft),(Conçu pour une version plus récente de Minecraft),fr-FR
(für eine neuere Version von Minecraft erstellt),(Conçu pour une version plus récente de Minecraft),fr-FR
(für eine ältere Version von Minecraft erstellt),(Conçu pour une ancienne version de Minecraft),fr-FR
(Inserisci qui i pacchetti),(Placer les fichiers de packs ici),fr-FR
(Made for a newer version of Minecraft),(Conçu pour une version plus récente de Minecraft),fr-FR
(Made for an older version of Minecraft),(Conçu pour une ancienne version de Minecraft),fr-FR
(Paket dosyalarını buraya yerleştirin),(Placer les fichiers de packs ici),fr-FR
(Paketdateien hier einfügen),(Placer les fichiers de packs ici),fr-FR
(Place pack files here),(Placer les fichiers de packs ici),fr-FR
(Roto o incompatible),(Endommagé ou incompatible),fr-FR
(Đã hỏng hoặc không tương thích),(Endommagé ou incompatible),fr-FR
(Được làm cho một phiên bản Minecraft cũ hơn),(Conçu pour une ancienne version de Minecraft),fr-FR
(Được làm cho một phiên bản Minecraft mới hơn),(Conçu pour une version plus récente de Minecraft),fr-FR
(Đặt tập tin gói ở đây),(Placer les fichiers de packs ici),fr-FR
(Неисправен или несовместим),(Endommagé ou incompatible),fr-FR
(Поместите файлы наборов сюда),(Placer les fichiers de packs ici),fr-FR
(Предназначен для более новой версии Minecraft),(Conçu pour une version plus récente de Minecraft),fr-FR
(Предназначен для более старой версии Minecraft),(Conçu pour une ancienne version de Minecraft),fr-FR
(ทำไว้สำหรับ Minecraft เวอร์ชันเก่ากว่า),(Conçu pour une ancienne version de Minecraft),fr-FR
(ทำไว้สำหรับ Minecraft เวอร์ชันใหม่กว่า),(Conçu pour une version plus récente de Minecraft),fr-FR
(วางแฟ้มแพ็กที่นี่),(Placer les fichiers de packs ici),fr-FR
(เสียหายหรือเข้ากันไม่ได้),(Endommagé ou incompatible),fr-FR
(상위 Minecraft 버전용),(Conçu pour une version plus récente de Minecraft),fr-FR
(손상되거나 호환되지 않음),(Endommagé ou incompatible),fr-FR
(여기에 팩 파일을 놓으세요),(Placer les fichiers de packs ici),fr-FR
(이전 Minecraft 버전용),(Conçu pour une ancienne version de Minecraft),fr-FR
1.20 Güncellemesi,Mise à jour 1.20,fr-FR
1.20 更新,Mise à jour 1.20,fr-FR
1.20 업데이트,Mise à jour 1.20,fr-FR
1.20のアップデート,Mise à jour 1.20,fr-FR
1.20更新,Mise à jour 1.20,fr-FR
1.21 Güncellemesi,Mise à jour 1.21,fr-FR
1.21 更新,Mise à jour 1.21,fr-FR
1.21 업데이트,Mise à jour 1.21,fr-FR
1.21のアップデート,Mise à jour 1.21,fr-FR
1.21更新,Mise à jour 1.21,fr-FR
A aparência padrão do Minecraft,L'apparence par défaut de Minecraft,fr-FR
A validação de pacotes de dados falhou!,La validation des packs de données a échoué !,fr-FR
Abgesicherter Modus,Mode sans échec,fr-FR
