source,target,tgt_lng
Aaron Cherof – A Familiar Room,Aaron Cherof - A Familiar Room,th-TH
Aaron Cherof – Bromeliad,Aaron Cherof - Bromeliad,th-TH
Aaron Cherof – Crescent Dunes,Aaron Cherof - Crescent Dunes,th-TH
Aaron Cherof – Echo in the Wind,Aaron Cherof - Echo in the Wind,th-TH
Aaron Cherof – Featherfall,Aaron Cherof - Featherfall,th-TH
Aaron Cherof – Puzzlebox,Aaron Cherof - Puzzlebox,th-TH
Aaron Cherof – Watcher,Aaron Cherof - Watcher,th-TH
Aaron Cherof — A Familiar Room,Aaron Cherof - A Familiar Room,th-TH
Aaron Cherof — Bromeliad,Aaron Cherof - Bromeliad,th-TH
Aaron Cherof — Crescent Dunes,Aaron Cherof - Crescent Dunes,th-TH
Aaron Cherof — Echo in the Wind,Aaron Cherof - Echo in the Wind,th-TH
Aaron Cherof — Featherfall,Aaron Cherof - Featherfall,th-TH
Aaron Cherof — Puzzlebox,Aaron Cherof - Puzzlebox,th-TH
Aaron Cherof — Watcher,Aaron Cherof - Watcher,th-TH
Amos Roddy – Below and Above,Amos Roddy - Below and Above,th-TH
Amos Roddy – Broken Clocks,Amos Roddy - Broken Clocks,th-TH
Amos Roddy – Fireflies,Amos Roddy - Fireflies,th-TH
Amos Roddy – Lilypad,Amos Roddy - Lilypad,th-TH
Amos Roddy – O’s Piano,Amos Roddy - O's Piano,th-TH
Amos Roddy — Below and Above,Amos Roddy - Below and Above,th-TH
Amos Roddy — Broken Clocks,Amos Roddy - Broken Clocks,th-TH
Amos Roddy — Fireflies,Amos Roddy - Fireflies,th-TH
Amos Roddy — Lilypad,Amos Roddy - Lilypad,th-TH
Amos Roddy — O's Piano,Amos Roddy - O's Piano,th-TH
C418 - Haunt Muskie,C418 - Taswell,th-TH
C418 – Alpha,C418 - Alpha,th-TH
C418 – Aria Math,C418 - Aria Math,th-TH
C418 – Axolotl,C418 - Axolotl,th-TH
C418 – Ballad of the Cats,C418 - Ballad of the Cats,th-TH
C418 – Beginning 2,C418 - Beginning 2,th-TH
C418 – Biome Fest,C418 - Biome Fest,th-TH
C418 – Blind Spots,C418 - Blind Spots,th-TH
C418 – Boss,C418 - Boss,th-TH
C418 – Clark,C418 - Clark,th-TH
C418 – Concrete Halls,C418 - Concrete Halls,th-TH
C418 – Danny,C418 - Danny,th-TH
C418 – Dead Voxel,C418 - Dead Voxel,th-TH
C418 – Dragon Fish,C418 - Dragon Fish,th-TH
C418 – Dreiton,C418 - Dreiton,th-TH
C418 – Dry Hands,C418 - Dry Hands,th-TH
C418 – Floating Trees,C418 - Floating Trees,th-TH
C418 – Haggstrom,C418 - Haggstrom,th-TH
C418 – Haunt Muskie,C418 - Haunt Muskie,th-TH
C418 – Key,C418 - Key,th-TH
C418 – Living Mice,C418 - Living Mice,th-TH
C418 – Mice on Venus,C418 - Mice on Venus,th-TH
C418 – Minecraft,C418 - Minecraft,th-TH
C418 – Moog City 2,C418 - Moog City 2,th-TH
C418 – Mutation,C418 - Mutation,th-TH
C418 – Oxygène,C418 - Oxygène,th-TH
C418 – Shuniji,C418 - Shuniji,th-TH
C418 – Subwoofer Lullaby,C418 - Subwoofer Lullaby,th-TH
C418 – Sweden,C418 - Sweden,th-TH
C418 – Taswell,C418 - Taswell,th-TH
C418 – The End,C418 - The End,th-TH
C418 – Warmth,C418 - Warmth,th-TH
C418 – Wet Hands,C418 - Wet Hands,th-TH
C418 — Alpha,C418 - Alpha,th-TH
C418 — Aria Math,C418 - Aria Math,th-TH
C418 — Axolotl,C418 - Axolotl,th-TH
C418 — Ballad of the Cats,C418 - Ballad of the Cats,th-TH
C418 — Beginning 2,C418 - Beginning 2,th-TH
C418 — Biome Fest,C418 - Biome Fest,th-TH
C418 — Blind Spots,C418 - Blind Spots,th-TH
C418 — Boss,C418 - Boss,th-TH
C418 — Clark,C418 - Clark,th-TH
C418 — Concrete Halls,C418 - Concrete Halls,th-TH
C418 — Danny,C418 - Danny,th-TH
C418 — Dead Voxel,C418 - Dead Voxel,th-TH
C418 — Dragon Fish,C418 - Dragon Fish,th-TH
C418 — Dreiton,C418 - Dreiton,th-TH
C418 — Dry Hands,C418 - Dry Hands,th-TH
C418 — Floating Trees,C418 - Floating Trees,th-TH
C418 — Haggstrom,C418 - Haggstrom,th-TH
C418 — Haunt Muskie,C418 - Haunt Muskie,th-TH
C418 — Key,C418 - Key,th-TH
C418 — Living Mice,C418 - Living Mice,th-TH
C418 — Mice on Venus,C418 - Mice on Venus,th-TH
C418 — Minecraft,C418 - Minecraft,th-TH
C418 — Moog City 2,C418 - Moog City 2,th-TH
C418 — Mutation,C418 - Mutation,th-TH
C418 — Oxygène,C418 - Oxygène,th-TH
C418 — Shuniji,C418 - Shuniji,th-TH
C418 — Subwoofer Lullaby,C418 - Subwoofer Lullaby,th-TH
C418 — Sweden,C418 - Sweden,th-TH
C418 — Taswell,C418 - Taswell,th-TH
C418 — The End,C418 - The End,th-TH
C418 — Warmth,C418 - Warmth,th-TH
C418 — Wet Hands,C418 - Wet Hands,th-TH
fingerspit – Ebb,fingerspit - Ebb,th-TH
fingerspit – Home,fingerspit - Home,th-TH
fingerspit – Memories,fingerspit - Memories,th-TH
fingerspit – Nightly,fingerspit - Nightly,th-TH
fingerspit – Shores,fingerspit - Shores,th-TH
fingerspit — Ebb,fingerspit - Ebb,th-TH
fingerspit — Home,fingerspit - Home,th-TH
fingerspit — Memories,fingerspit - Memories,th-TH
fingerspit — Nightly,fingerspit - Nightly,th-TH
fingerspit — Shores,fingerspit - Shores,th-TH
Kumi Tanioka – An Ordinary Day,Kumi Tanioka - An Ordinary Day,th-TH
Kumi Tanioka – Comforting Memories,Kumi Tanioka - Comforting Memories,th-TH
Kumi Tanioka – Floating Dream,Kumi Tanioka - Floating Dream,th-TH
Kumi Tanioka – komorebi,Kumi Tanioka - komorebi,th-TH
Kumi Tanioka – pokopoko,Kumi Tanioka - pokopoko,th-TH
Kumi Tanioka – yakusoku,Kumi Tanioka - yakusoku,th-TH
Kumi Tanioka — An Ordinary Day,Kumi Tanioka - An Ordinary Day,th-TH
Kumi Tanioka — Comforting Memories,Kumi Tanioka - Comforting Memories,th-TH
Kumi Tanioka — Floating Dream,Kumi Tanioka - Floating Dream,th-TH
Kumi Tanioka — komorebi,Kumi Tanioka - komorebi,th-TH
Kumi Tanioka — pokopoko,Kumi Tanioka - pokopoko,th-TH
Kumi Tanioka — yakusoku,Kumi Tanioka - yakusoku,th-TH
Lena Raine – Aerie,Lena Raine - Aerie,th-TH
Lena Raine – Ancestry,Lena Raine - Ancestry,th-TH
Lena Raine – Chrysopoeia,Lena Raine - Chrysopoeia,th-TH
Lena Raine – Deeper,Lena Raine - Deeper,th-TH
Lena Raine – Eld Unknown,Lena Raine - Eld Unknown,th-TH
Lena Raine – Endless,Lena Raine - Endless,th-TH
Lena Raine – Firebugs,Lena Raine - Firebugs,th-TH
Lena Raine – Infinite Amethyst,Lena Raine - Infinite Amethyst,th-TH
Lena Raine – Labyrinthine,Lena Raine - Labyrinthine,th-TH
Lena Raine – Left to Bloom,Lena Raine - Left to Bloom,th-TH
Lena Raine – One More Day,Lena Raine - One More Day,th-TH
Lena Raine – Rubedo,Lena Raine - Rubedo,th-TH
Lena Raine – So Below,Lena Raine - So Below,th-TH
Lena Raine – Stand Tall,Lena Raine - Stand Tall,th-TH
Lena Raine – Wending,Lena Raine - Wending,th-TH
Lena Raine — Aerie,Lena Raine - Aerie,th-TH
Lena Raine — Ancestry,Lena Raine - Ancestry,th-TH
Lena Raine — Chrysopoeia,Lena Raine - Chrysopoeia,th-TH
Lena Raine — Deeper,Lena Raine - Deeper,th-TH
Lena Raine — Eld Unknown,Lena Raine - Eld Unknown,th-TH
Lena Raine — Endless,Lena Raine - Endless,th-TH
Lena Raine — Firebugs,Lena Raine - Firebugs,th-TH
Lena Raine — Infinite Amethyst,Lena Raine - Infinite Amethyst,th-TH
Lena Raine — Labyrinthine,Lena Raine - Labyrinthine,th-TH
Lena Raine — Left to Bloom,Lena Raine - Left to Bloom,th-TH
Lena Raine — One More Day,Lena Raine - One More Day,th-TH
Lena Raine — Rubedo,Lena Raine - Rubedo,th-TH
Lena Raine — So Below,Lena Raine - So Below,th-TH
Lena Raine — Stand Tall,Lena Raine - Stand Tall,th-TH
Lena Raine — Wending,Lena Raine - Wending,th-TH
Tanioka Kumi - An Ordinary Day,Kumi Tanioka - An Ordinary Day,th-TH
Tanioka Kumi - Comforting Memories,Kumi Tanioka - Comforting Memories,th-TH
Tanioka Kumi - Floating Dream,Kumi Tanioka - Floating Dream,th-TH
Tanioka Kumi - komorebi,Kumi Tanioka - komorebi,th-TH
Tanioka Kumi - pokopoko,Kumi Tanioka - pokopoko,th-TH
Tanioka Kumi - yakusoku,Kumi Tanioka - yakusoku,th-TH
Аарон Шероф — A Familiar Room,Aaron Cherof - A Familiar Room,th-TH
Аарон Шероф — Bromeliad,Aaron Cherof - Bromeliad,th-TH
Аарон Шероф — Crescent Dunes,Aaron Cherof - Crescent Dunes,th-TH
Аарон Шероф — Echo in the Wind,Aaron Cherof - Echo in the Wind,th-TH
Аарон Шероф — Featherfall,Aaron Cherof - Featherfall,th-TH
Аарон Шероф — Puzzlebox,Aaron Cherof - Puzzlebox,th-TH
Аарон Шероф — Watcher,Aaron Cherof - Watcher,th-TH
Куми Таниока — An Ordinary Day,Kumi Tanioka - An Ordinary Day,th-TH
Куми Таниока — Comforting Memories,Kumi Tanioka - Comforting Memories,th-TH
Куми Таниока — Floating Dream,Kumi Tanioka - Floating Dream,th-TH
Куми Таниока — komorebi,Kumi Tanioka - komorebi,th-TH
Куми Таниока — pokopoko,Kumi Tanioka - pokopoko,th-TH
Куми Таниока — yakusoku,Kumi Tanioka - yakusoku,th-TH
Лена Рейн — Aerie,Lena Raine - Aerie,th-TH
Лена Рейн — Ancestry,Lena Raine - Ancestry,th-TH
Лена Рейн — Chrysopoeia,Lena Raine - Chrysopoeia,th-TH
Лена Рейн — Deeper,Lena Raine - Deeper,th-TH
Лена Рейн — Eld Unknown,Lena Raine - Eld Unknown,th-TH
Лена Рейн — Endless,Lena Raine - Endless,th-TH
Лена Рейн — Firebugs,Lena Raine - Firebugs,th-TH
Лена Рейн — Infinite Amethyst,Lena Raine - Infinite Amethyst,th-TH
Лена Рейн — Labyrinthine,Lena Raine - Labyrinthine,th-TH
Лена Рейн — Left to Bloom,Lena Raine - Left to Bloom,th-TH
Лена Рейн — One More Day,Lena Raine - One More Day,th-TH
Лена Рейн — Rubedo,Lena Raine - Rubedo,th-TH
Лена Рейн — So Below,Lena Raine - So Below,th-TH
Лена Рейн — Stand Tall,Lena Raine - Stand Tall,th-TH
Лена Рейн — Wending,Lena Raine - Wending,th-TH
Эймос Родди — Below and Above,Amos Roddy - Below and Above,th-TH
Эймос Родди — Broken Clocks,Amos Roddy - Broken Clocks,th-TH
Эймос Родди — Fireflies,Amos Roddy - Fireflies,th-TH
Эймос Родди — Lilypad,Amos Roddy - Lilypad,th-TH
Эймос Родди — O's Piano,Amos Roddy - O's Piano,th-TH
谷冈久美 - An Ordinary Day,Kumi Tanioka - An Ordinary Day,th-TH
谷冈久美 - Comforting Memories,Kumi Tanioka - Comforting Memories,th-TH
谷冈久美 - Floating Dream,Kumi Tanioka - Floating Dream,th-TH
谷冈久美 - komorebi,Kumi Tanioka - komorebi,th-TH
谷冈久美 - pokopoko,Kumi Tanioka - pokopoko,th-TH
谷冈久美 - yakusoku,Kumi Tanioka - yakusoku,th-TH
谷岡久美 - An Ordinary Day,Kumi Tanioka - An Ordinary Day,th-TH
谷岡久美 - Comforting Memories,Kumi Tanioka - Comforting Memories,th-TH
谷岡久美 - Floating Dream,Kumi Tanioka - Floating Dream,th-TH
谷岡久美 - komorebi,Kumi Tanioka - komorebi,th-TH
谷岡久美 - pokopoko,Kumi Tanioka - pokopoko,th-TH
谷岡久美 - yakusoku,Kumi Tanioka - yakusoku,th-TH
