source,target,tgt_lng
"""4½""",『4와 1/2』,ko-KR
"""A Vida é Bela""",『인생은 아름다워』,ko-KR
"""Aemeath"" está esperando por você no terraço da Faculdade Rabelle. Vá encontrá-la.",「에이메스」가 라벨 학부 옥상에서 당신을 기다리고 있다. 만나러 가보자,ko-KR
"""Aemeath"" is waiting for you on the rooftop of Rabelle College. Go meet her.",「에이메스」가 라벨 학부 옥상에서 당신을 기다리고 있다. 만나러 가보자,ko-KR
"""Aemeath"" กำลังรอคุณอยู่ที่ชั้นบนสุดของวิทยาลัยราเบลล์ ไปพบเธอเถอะ",「에이메스」가 라벨 학부 옥상에서 당신을 기다리고 있다. 만나러 가보자,ko-KR
"""Cena de Reparo do Departamento de Engenharia""",『공학부 수리 장면』,ko-KR
"""Department of Engineering Repair Scene""",『공학부 수리 장면』,ko-KR
"""Espaço de trabalho secreto"" de Luuk Herssen",루크 · 헤르센의 「숨겨진 작은 방」,ko-KR
"""Festivais Não Fazem Bis""",『한번 뿐인 축제』,ko-KR
"""Festivals Don't Encore""",『한번 뿐인 축제』,ko-KR
"""Life is Beautiful""",『인생은 아름다워』,ko-KR
"""Life of a Resonator""",『라이프 오브 공명자』,ko-KR
"""Vida de um Ressonante""",『라이프 오브 공명자』,ko-KR
"""งานฉลองอันแสนล้ำค่า""",『한번 뿐인 축제』,ko-KR
"""ท่านมิโกะ"" แห่งอาชิโนะฮาระ",아시노하라의 「무녀님」,ko-KR
"""ห้องทำงานลับ"" ของ Luuk Herssen",루크 · 헤르센의 「숨겨진 작은 방」,ko-KR
"""ฮิฮิ"" ไม่ฮิฮิ",『ㅋㅋ』가 아니라고,ko-KR
"""เงียบงันเมื่อใบไม้ร่วง""",소리없이 떨어진 낙엽,ko-KR
#N/A,test/,ko-KR
(Ancienne Forteresse Yuan),(연성 앞),ko-KR
(Do not display) Co-op Challenge show display,(표시하지 않음) 멀티 플레이 도관 오픈 표시,ko-KR
(Do not display) Connecting to the challenge to hide display,(표시하지 않음) 도관에 연락하여 표시 숨기기,ko-KR
(Eingang der Yuan-Festung),(연성 앞),ko-KR
(Em Frente à Fortaleza Yuan),(연성 앞),ko-KR
(Entrada a la Fortaleza Yuan),(연성 앞),ko-KR
(Ne pas afficher) Affichage du Défi Coopération,(표시하지 않음) 멀티 플레이 도관 오픈 표시,ko-KR
(Ne pas afficher) Afficher le défi Co-op,(표시하지 않음) 멀티 플레이 도관 오픈 표시,ko-KR
(Ne pas afficher) Connexion au défi pour masquer l'affichage,(표시하지 않음) 도관에 연락하여 표시 숨기기,ko-KR
"(Nicht anzeigen) Mit der Herausforderung verbinden, um die Anzeige zu verbergen.",(표시하지 않음) 도관에 연락하여 표시 숨기기,ko-KR
"(Nicht anzeigen) Mit der Herausforderung verbinden, um die Anzeige zu verbergen.",(표시하지 않음) 멀티 플레이 도관 오픈 표시,ko-KR
(No mostrar) modo co-op activado,(표시하지 않음) 멀티 플레이 도관 오픈 표시,ko-KR
(No mostrar) modo co-op desactivado,(표시하지 않음) 도관에 연락하여 표시 숨기기,ko-KR
(Yuan Fortress Entrance),(연성 앞),ko-KR
(หน้าเมืองเยวียน),(연성 앞),ko-KR
"3.0 part 2 prologue, Mornye",후일담_모니에,ko-KR
3つの印に秘めている真意と場所が明白となった。どうやら、全ての答えは日時計が指しているあの謎の扉の向こうに隠しているようだ。,"세 가지 신물의 의도와 지향점이 뚜렷하며, 모든 수수께끼의 답은 해시계가 가리키는 신비로운 대문 뒤에 숨어 있는 듯 보입니다",ko-KR
3匹の太陽の精霊,태양의 정령 세 마리,ko-KR
4½,『4와 1/2』,ko-KR
A Academia Huaxu fez recentemente uma descoberta revolucionária na tecnologia Utilidade. A pesquisadora Lanyan solicita sua ajuda para testar uma nova ferramenta perto da Academia.,화서연구원에서 탐색 도구에 대한 새로운 연구 성과가 나왔다. 람연 연구원이 당신이 연구원 근처로 와서 새로운 도구의 테스트를 도와주길 바란다,ko-KR
A Academia está recrutando voluntários para outro experimento. Encontre Hongjing para saber mais.,연구원의 실험 프로젝트에서 또 지원자를 모집하고 있습니다... 홍경을 찾아가서 상황을 알아보세요,ko-KR
