id,term,src_table
Card.101002.desc,อาสึระ,Card/Card.txt
Card.101002.jp_CV,คาโต้ เอมิริ,Card/Card.txt
Card.101002.name,ผู้พิทักษ์ท้องทะเล,Card/Card.txt
Card.101005.desc,อาสึระ,Card/Card.txt
Card.101005.jp_CV,คาโต้ เอมิริ,Card/Card.txt
Card.101005.name,สงครามกราฟฟิตี,Card/Card.txt
Card.101008.desc,อาสึระ,Card/Card.txt
Card.101008.jp_CV,คาโต้ เอมิริ,Card/Card.txt
Card.101008.name,โรลเลอร์เบลด,Card/Card.txt
Card.101011.desc,อาสึระ,Card/Card.txt
Card.101011.jp_CV,คาโต้ เอมิริ,Card/Card.txt
Card.101011.name,ดราก้อนสไตรค์,Card/Card.txt
Card.101012.desc,อาสึระ,Card/Card.txt
Card.101012.jp_CV,คาโต้ เอมิริ,Card/Card.txt
Card.101012.name,เพนกวินขั้วโลก,Card/Card.txt
Card.101013.desc,อาสึระ,Card/Card.txt
Card.101013.jp_CV,คาโต้ เอมิริ,Card/Card.txt
Card.101013.name,ผู้พิทักษ์แห่งป่า,Card/Card.txt
Card.101018.desc,อาสึระ,Card/Card.txt
Card.101018.jp_CV,คาโต้ เอมิริ,Card/Card.txt
Card.101018.name,บทเพลงพฤกษา,Card/Card.txt
Card.102001.desc,เอคโค,Card/Card.txt
Card.102001.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102001.name,สตาร์เกซเซอร์,Card/Card.txt
Card.102005.desc,เอคโค,Card/Card.txt
Card.102005.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102005.name,นิทานฝันหวาน,Card/Card.txt
Card.102007.desc,เอคโค,Card/Card.txt
Card.102007.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102007.name,เหมียวนักบิด,Card/Card.txt
Card.102008.desc,เอคโค,Card/Card.txt
Card.102008.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102008.name,เหมียวเครื่องกล,Card/Card.txt
Card.102010.desc,เอคโค,Card/Card.txt
Card.102010.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102010.name,ยิงสกัดขุดทะลวง,Card/Card.txt
Card.102011.desc,เอคโค,Card/Card.txt
Card.102011.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102011.name,ผู้กล้าคาบสมุทร,Card/Card.txt
Card.102012.desc,เอคโค,Card/Card.txt
Card.102012.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102012.name,ร่มเงาแห่งป่าไผ่,Card/Card.txt
Card.102013.desc,เอคโค,Card/Card.txt
Card.102013.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102013.name,พลปืนกระสุนคลั่ง,Card/Card.txt
Card.102017.desc,เอคโค,Card/Card.txt
Card.102017.jp_CV,อุจิดะ อายะ,Card/Card.txt
Card.102017.name,นักล่าประกายแสง,Card/Card.txt
