source,target,tgt_lng
"""... Até que as Dívidas nos Separem""",...Finché il debito non ci separi,it-IT
"""... Bilmezsin Gece Ne Kadar Karanlık...""",I misteri della notte,it-IT
"""... Herkes gurme olabilir.""",... Chiunque può essere un gourmet.,it-IT
"""... Krallıklara Utancını Göster.""","""...Mostra ai regni la tua vergogna.""",it-IT
"""... Lagarto, Spock""","...Lizard, Spock",it-IT
"""... Ne Yeni Dalgası?""","""...Quale Nuova marea?""",it-IT
"""... Não indica a qualidade do produto final""",...Non corrisponde al prodotto finale,it-IT
"""... Um dia de Inverno""",...Il lavoro di una sola notte,it-IT
"""... Çünkü O İntikamını Kesinlikle Alacaktır.""","""...Lei avrà la sua vendetta.""",it-IT
"""...A Single Night's Work""",...Il lavoro di una sola notte,it-IT
"""...Abandon All Hope, Ye Who Enter Here.""","""Lasciate ogne speranza, voi ch'intrate.""",it-IT
"""...Ai cũng là thực thần.""",... Chiunque può essere un gourmet.,it-IT
"""...Anyone can be a gourmet.""",... Chiunque può essere un gourmet.,it-IT
"""...Chỉ có cái chết và nợ nần là không thể trốn tránh""",...Finché il debito non ci separi,it-IT
"""...Cô Ta Nhất Định Sẽ Thực Thi Báo Ứng.""","""...Lei avrà la sua vendetta.""",it-IT
"""...Cố hết sức mình.""",Libera interpretazione,it-IT
"""...E ainda Sorrindo!""",...E continua a sorridere!,it-IT
"""...For I Am Duty Bound""",...Perché devo compiere il mio dovere,it-IT
"""...For She Shall Surely Requite.""","""...Lei avrà la sua vendetta.""",it-IT
"""...Giống Như Mùi Nhựa Đường.""","Ucci ucci, sento odor di... asfalto.",it-IT
"""...Không phải phẩm chất cuối cùng""",...Non corrisponde al prodotto finale,it-IT
"""...Lizard-Spock""","...Lizard, Spock",it-IT
"""...Mỉm cười là được.""",...E continua a sorridere!,it-IT
"""...Một Ngày Lạnh Lẽo""",...Il lavoro di una sola notte,it-IT
"""...Not indicative of final product""",...Non corrisponde al prodotto finale,it-IT
"""...Nào Biết Màn Đêm...""",I misteri della notte,it-IT
"""...Pois Devo Cumprir o Meu Dever""",...Perché devo compiere il mio dovere,it-IT
"""...Pois Ela Certamente se Vingará.""","""...Lei avrà la sua vendetta.""",it-IT
"""...Qualquer um pode ser um gourmet.""",... Chiunque può essere un gourmet.,it-IT
"""...Que Os Reinos Conheçam Tua Vergonha.""","""...Mostra ai regni la tua vergogna.""",it-IT
"""...Que nova maré?""","""...Quale Nuova marea?""",it-IT
"""...Shew the Kingdoms Thy Shame.""","""...Mostra ai regni la tua vergogna.""",it-IT
"""...Smells Like Asphalt.""","Ucci ucci, sento odor di... asfalto.",it-IT
"""...Till Debt Do Us Part""",...Finché il debito non ci separi,it-IT
"""...Trào Lưu Gì Mới?""","""...Quale Nuova marea?""",it-IT
"""...Você não conhece a noite...""",I misteri della notte,it-IT
"""...Vứt Bỏ Mọi Hy Vọng.""","""Lasciate ogne speranza, voi ch'intrate.""",it-IT
"""...What New Tide?""","""...Quale Nuova marea?""",it-IT
"""...You Do Not Know the Night...""",I misteri della notte,it-IT
"""...là vì trói buộc.""",...Perché devo compiere il mio dovere,it-IT
"""...Để Ngoại Bang Nhìn Thấy Sự Xấu Xí Của Ngươi.""","""...Mostra ai regni la tua vergogna.""",it-IT
"""...กลิ่นเหมือนยางมะตอยเลยนะ""","Ucci ucci, sento odor di... asfalto.",it-IT
"""...คลื่นลูกใหม่อะไร?""","""...Quale Nuova marea?""",it-IT
"""...ความตายและหน้าที่เป็นสิ่งที่หลีกเลี่ยงไม่ได้""",...Finché il debito non ci separi,it-IT
"""...คุณรู้จักสีของราตรีไหม...""",I misteri della notte,it-IT
"""...จะทำให้ทุกอาณาจักรเห็นความอัปยศของแก""","""...Mostra ai regni la tua vergogna.""",it-IT
"""...จะเครียดทำไมแค่ยิ้มเข้าไว้""",...E continua a sorridere!,it-IT
"""...ดอกไม้งามตามเนื้อหนังที่ฟอนเฟะ""",Riposa in pace,it-IT
"""...นางจะตอบแทนอย่างสาสม""","""...Lei avrà la sua vendetta.""",it-IT
"""...ยังมีกิ้งก่ากับ Spock""","...Lizard, Spock",it-IT
"""...ยังไม่ใช่คุณภาพสุดท้ายของเวอร์ชันจริง""",...Non corrisponde al prodotto finale,it-IT
"""...สละทิ้งซึ่งความหวังทุกอย่าง""","""Lasciate ogne speranza, voi ch'intrate.""",it-IT
"""...เพราะว่าสายสัมพันธ์""",...Perché devo compiere il mio dovere,it-IT
"""...และทำให้ดีที่สุด""",Libera interpretazione,it-IT
"""...ใครก็เป็นเชฟได้""",... Chiunque può essere un gourmet.,it-IT
"""A Grand Plan""","""Un grande piano""",it-IT
"""A Vida Não é Bela?""","""La vita non è meravigliosa?""",it-IT
"""Aberto para Interpretação""",Libera interpretazione,it-IT
"""Ah, Balıkları Böyle Yakalıyorsun Demek...""","Oh, è così che peschi?",it-IT
"""Akvaryum da ister misin?""",Hai bisogno di un acquario?,it-IT
"""Akvaryum"" Ziyareti",Visitatore dell'acquario,it-IT
"""Alanların Gücüne"" İnanır Mısın?",Credi nei campi?,it-IT
"""All Is Well""",Tutto è bene...,it-IT
"""All We Need Is Some Firewood and Some Vinegar...""",Ci servono solo un po' di legna da ardere e dell'aceto...,it-IT
"""Aqui Há Dragões... Há Muito Tempo""","""Hic fuerunt dracones...""",it-IT
"""Artık Bana Ait Dostum!""","""E ora appartiene a me!""",it-IT
"""As Fogorromãs não são apenas bonitas!""",Questo Vampagrano non è solo per bellezza!,it-IT
"""As sementes Trazidas pelo Vento...""",Il vento porta i semi delle storie...,it-IT
"""Asfalt Gibi Kokuyor""","Ucci ucci, sento odor di... asfalto.",it-IT
"""Assistência de Tupayo""",Aiuto di Tupayo,it-IT
"""Ataque Doloroso""",Colpo doloroso,it-IT
"""Ataques aéreos nem sempre funcionam""",Gli attacchi aerei non vanno sempre a segno,it-IT
"""Ateşler Beni Küle Dönüştürene Kadar""","""Finché il fuoco non mi ridurrà in cenere""",it-IT
"""Atlatl's Blessing""",Benedizione di Atlatl,it-IT
"""Atlatl'ın Lütfu""",Benedizione di Atlatl,it-IT
"""Até ao dia em que o fogo me torne em cinzas.""","""Finché il fuoco non mi ridurrà in cenere""",it-IT
"""Automated Supercomputing Field Generator""","""Generatore di campo supercalcolatore automatizzato""",it-IT
"""Aventureiro Corajoso...""",Cuor di leone,it-IT
"""Awaken! Night Head!""","""Svegliati, mente notturna!""",it-IT
"""Ay Doktoru""",Dottor Luna,it-IT
"""Ayın Doğusu, Güneşin Batısı""","""A est della luna, a ovest del sole""",it-IT
"""Azul Escuro""",Profondo blu,it-IT
"""Ba Ngôi Sao Dị Sắc""",Tristelle policrome,it-IT
"""Babacığım...""",Caro papà...,it-IT
"""Bakır Kilit""",Serratura bronzea,it-IT
"""Balachko""",Balachko,it-IT
"""Bana Bir İsim Verdiler""","""Mi hanno dato un nome""",it-IT
"""Barba de Ferro""",Barbaferrea,it-IT
"""Battlegoat"" and ""Ironclaw""","""Capra da guerra"" e ""Artiglio di ferro""",it-IT
"""Battlegoat"" และ ""Ironclaw""","""Capra da guerra"" e ""Artiglio di ferro""",it-IT
"""Başkentli Yurttaşlara Söyleyin...""","""Ecco cosa dirai ai cittadini della capitale...""",it-IT
"""Ben Neko adında bir kediyim.""",Sono una gatta e mi chiamo Neko.,it-IT
"""Beware of Remurians...""","""Diffidate dei remuriani...""",it-IT
"""Bode de Guerra"" e ""Garra de Ferro""","""Capra da guerra"" e ""Artiglio di ferro""",it-IT
"""Bombacı Bazen Hedefini Iskalar""",Gli attacchi aerei non vanno sempre a segno,it-IT
"""Borç Bizi Ayırana Kadar""",...Finché il debito non ci separi,it-IT
"""Botão de Rosa...""",Bocciolo di rosa,it-IT
"""Bronzelock""",Serratura bronzea,it-IT
"""Bu Alev Narı Sırf Gösteriş İçin Değil!""",Questo Vampagrano non è solo per bellezza!,it-IT
"""Bu Benim İşim""","""È il mio lavoro""",it-IT
"""Bu Kristal Kelebeği Amma Da Büyükmüş""",Quello è un Cristallottero bello grosso,it-IT
"""Bu Sefer Kaçışın Yok!""",Questa volta non mi scappi!,it-IT
"""Bu, Sonsuz Kölelikten Başka Bir Şey Değil!""","""È solo un'eternità di servitù!""",it-IT
"""Bugün Müthiş Görünüyorsun!""","""Oggi sei in splendida forma!""",it-IT
"""Buldum! Buldum!""",Questo lo so! Questo lo so!,it-IT
"""Buna Verimlilik Denir""","""La chiamiamo 'efficienza'""",it-IT
"""Buna yüreğini veren herkes...""",Se ci metti il cuore...,it-IT
"""Burada Ejderhalar Vardı""","""Hic fuerunt dracones...""",it-IT
"""Buraya Giren Her Kimse, Tüm Umutlarını Ardında Bıraksın.""","""Lasciate ogne speranza, voi ch'intrate.""",it-IT
"""Bác Sĩ Mặt Trăng""",Dottor Luna,it-IT
"""Bênção de Atlatl""",Benedizione di Atlatl,it-IT
"""Bóng Râm Của Chimalli""",Ombra di Chimalli,it-IT
"""Büyük Bir Plan""","""Un grande piano""",it-IT
"""Bất Tử""",L'Imperituro,it-IT
"""Bị...Bị Paimon Ăn Mất...""",P... Paimon l'ha mangiato...,it-IT
"""Bố thân yêu của con...""",Caro papà...,it-IT
"""Call Me Ishmael.""",Chiamatemi Ismaele.,it-IT
"""Caro Pai...""",Caro papà...,it-IT
"""CatFoodForPrawnGuns""","""Cat Food For Prawn Guns""",it-IT
"""Chamamos Isso de Eficiente""","""La chiamiamo 'efficienza'""",it-IT
"""Chassanion""",Chassanion,it-IT
"""Chave de Cobre""",Serratura bronzea,it-IT
"""Chi Viện Của Potapo""",Solidarietà di Potapo,it-IT
"""Chimalli'nin Gölgesi""",Ombra di Chimalli,it-IT
"""Chimalli's Shade""",Ombra di Chimalli,it-IT
"""Chizhang Dağlarının Hakimi""",Dominatori dei Monti Chizhang,it-IT
"""Cho Đến Ngày Tôi Bị Cháy Thành Tro""","""Finché il fuoco non mi ridurrà in cenere""",it-IT
"""Chỉ Cần Chút Củi, Chút Giấm...""",Ci servono solo un po' di legna da ardere e dell'aceto...,it-IT
"""Chỉ cần thật lòng...""",Se ci metti il cuore...,it-IT
"""Cihuacoatl Khảm Xương Thần""",Cihuacoatl e delle ossa chimeriche,it-IT
"""Cihuacoatl do Osso Quimérico""",Cihuacoatl e delle ossa chimeriche,it-IT
"""Cihuacoatl of Chimeric Bone""",Cihuacoatl e delle ossa chimeriche,it-IT
"""Cineas""",Cineas,it-IT
"""Cocijo""",Cocijo,it-IT
"""Como Encontrar Uma Enguia""",Come trovare un'anguilla d'inverno,it-IT
"""Consegui! Consegui!""",Questo lo so! Questo lo so!,it-IT
"""Crystalfly ตัวใหญ่เบิ้ม""",Quello è un Cristallottero bello grosso,it-IT
"""Crystalfly อันนี้ใหญ่ไม่เบาเลยนะ""",Quello è un Cristallottero bello grosso,it-IT
"""Cuidado com o Remuriano...""","""Diffidate dei remuriani...""",it-IT
"""Cuộc Đời Mạo Hiểm Của Tôi""",La mia vita da avventuriere,it-IT
"""Cá Chình Mùa Đông""",Come trovare un'anguilla d'inverno,it-IT
"""Cái gì chứ, còn không bằng Băng Vụ Hoa""","Prendi questo, Fiordinebbia troppo cresciuto!",it-IT
"""Cây Cấp Đông, trời xanh, nam phong""","Solo tu e io, il vento emette un piacevole fruscio, e quasi veniamo uccisi da un Regisreptus di Cryo",it-IT
"""Círculo de Ungien, Toda Velocidade!""","""Cerchio di Ungien, avanti quattro!""",it-IT
"""Có Gì Khác Nhau Sao...""",Che differenza fa?,it-IT
"""Daha Çok Sosyalleşebileceğin Bir Hobi Edin Bence...""",Meglio socializzare,it-IT
"""Dalgaların Arasındaki Sappho""",Sappho tra le onde,it-IT
"""Dear Daddy...""",Caro papà...,it-IT
"""Dedicar-se de corpo e alma...""",Se ci metti il cuore...,it-IT
"""Deep Blue""",Profondo blu,it-IT
"""Deianeira แห่ง Snezhevna""",Deianeira di Snezhevna,it-IT
"""Demir Sakal""",Barbaferrea,it-IT
"""Derretendo Sozinha...""",Mi sciolgo da sola...,it-IT
"""Desbravador das Ondas""",Lupo di mare,it-IT
"""Desculpe Pelo Incômodo!""",Ci scusiamo per l'inconveniente!,it-IT
"""Desperte! Chefe da Noite!""","""Svegliati, mente notturna!""",it-IT
"""Dikkat Et de Yaprakların Dökülmesin!""","Prendi questo, Fiordinebbia troppo cresciuto!",it-IT
"""Dilimlenmiş Ete Ne Olmuş?""","""Che ne dici di qualche fettina di carne?""",it-IT
"""Dize Kadar Kar...""",Con la neve fino alle ginocchia,it-IT
"""Do you need a fishtank to go with that?""",Hai bisogno di un acquario?,it-IT
"""Dolorous...Stroke""",Colpo doloroso,it-IT
"""Don't Break The Wall""","""Non sfondate la parete""",it-IT
"""Doutor Lua""",Dottor Luna,it-IT
"""Dành Cho Vẻ Đẹp Nhất""",Per il più bello,it-IT
"""Dê Chiến"" Và ""Vuốt Sắt""","""Capra da guerra"" e ""Artiglio di ferro""",it-IT
"""East of the Moon, West of the Sun""","""A est della luna, a ovest del sole""",it-IT
"""Eita! Uma Grande Revelação!""","""Woah! Che colpo di scena!""",it-IT
"""Eles me deram um nome""","""Mi hanno dato un nome""",it-IT
"""En İyiler İçin""",Per il più bello,it-IT
"""Eriyip Yok Oldular...""",Mi sciolgo da sola...,it-IT
"""Espírito da Estrela da Alvorada Caída""",Spirito dell'Albastella caduta,it-IT
"""Esse É o Meu Trabalho!""","""È il mio lavoro""",it-IT
"""Esse é o caminho da minha liberdade!""",Pesci in fuga!,it-IT
"""Eu Mesmo os Odeio!""","""Quanto li odio!""",it-IT
"""Eu Sou a Velocidade!""",Veloce come il vento,it-IT
"""Eu invoco você!""","""Mmm, fa' vedere, partner...""",it-IT
"""Eu sou uma gata. Meu nome é Neko"".",Sono una gatta e mi chiamo Neko.,it-IT
"""Extensive And Meticulous""",Meticolosità e ampiezza,it-IT
"""Extensivo e Meticuloso""",Meticolosità e ampiezza,it-IT
"""Exuberância de Tupu""","""Rigogliosità di Tupu""",it-IT
"""Feng Shui Assassination!""","""Assassinio Feng Shui!""",it-IT
"""Feng Shui Suikastı!""","""Assassinio Feng Shui!""",it-IT
"""Firar Dediğin Böyle Olur!""",Pesci in fuga!,it-IT
