source,target,tgt_lng
Abgrundbote – Reißender Strom,심연 사도·격류,ko-KR
Abgrundsänger – Abgrundflammen,심연 봉독자·심연의 불꽃,ko-KR
Abgrundsänger – Lila Blitze,심연 봉독자·자색 뇌전,ko-KR
Abyss Herald - Wicked Torrents,심연 사도·격류,ko-KR
Abyss Herald: Wicked Torrents,심연 사도·격류,ko-KR
Abyss Lector - Fathomless Flames,심연 봉독자·심연의 불꽃,ko-KR
Abyss Lector - Violet Lightning,심연 봉독자·자색 뇌전,ko-KR
Abyss Lector: Fathomless Flames,심연 봉독자·심연의 불꽃,ko-KR
Abyss Lector: Violet Lightning,심연 봉독자·자색 뇌전,ko-KR
Aerofidio Sacróseo,성해 날뱀,ko-KR
Agente dei Fatui di Pyro,우인단·화염 채무 처리인,ko-KR
Aino,아이노,ko-KR
Albedo,알베도,ko-KR
Alhacén,알하이탐,ko-KR
Alhaitham,알하이탐,ko-KR
All-Devouring Narwhal,별을 삼킨 고래,ko-KR
Altın Alevli Gukuzor Tiran,황금불꽃의 깃룡 폭군,ko-KR
Amber,엠버,ko-KR
Andarilho,방랑자,ko-KR
Apep Vahası'nın Muhafızı,아펩의 오아시스 파수꾼,ko-KR
Apostolo dell'Abisso: Torrenti maligni,심연 사도·격류,ko-KR
Apóstolo do Abismo - Corrente Torrencial,심연 사도·격류,ko-KR
Apôtre de l'Abîme - Torrent,심연 사도·격류,ko-KR
Arataki Itto,아라타키 이토,ko-KR
Arlecchino,아를레키노,ko-KR
Asceta Espiritista,수수께끼 영력 수행자,ko-KR
Asi Hermetik Ruh Sözcüsü,수수께끼 영력 수행자,ko-KR
Ateş ve Demir İmparatoru,용암철갑 제왕,ko-KR
Avare,방랑자,ko-KR
Aynalı Rahibe,우인단·거울의 여인,ko-KR
Azhdaha,야타용왕,ko-KR
Aşınmış Kadim Ateşin Efendisi,침식된 근원의 불꽃 주인,ko-KR
Baizhu,백출,ko-KR
Baleia Devoradora,별을 삼킨 고래,ko-KR
Barbara,바바라,ko-KR
Bardo del Abismo - Llamas abismales,심연 봉독자·심연의 불꽃,ko-KR
Bardo del Abismo - Trueno púrpura,심연 봉독자·자색 뇌전,ko-KR
Bardo do Abismo - Chamas Abismais,심연 봉독자·심연의 불꽃,ko-KR
Bardo do Abismo - Trovão Violeta,심연 봉독자·자색 뇌전,ko-KR
Beidou,북두,ko-KR
Bennett,베넷,ko-KR
Beschützer von Apeps Oase,아펩의 오아시스 파수꾼,ko-KR
Besta de Presas da Ossada Sagrada,성해 검치호,ko-KR
Bestia zannuta consacrata,성해 검치호,ko-KR
Bin Yıllık İnci Denizatı,천년 묵은 진주 기린,ko-KR
Black Serpent Knight: Rockbreaker Ax,흑 뱀 기사·바위를 부수는 도끼,ko-KR
Black Serpent Knight: Windcutter,흑 뱀 기사·바람을 가르는 검,ko-KR
Bruja Carmesí de las Ascuas,사그라든 화염의 마녀,ko-KR
Brutovéreux Hydro,츄츄 물걸음 순찰자,ko-KR
Bruxa das Chamas Carmesim,사그라든 화염의 마녀,ko-KR
Buz Ajanı,우인단·서리 심부름꾼,ko-KR
Buz Hipostazı,무상의 얼음,ko-KR
Bárbara,바바라,ko-KR
Bò Cạp Độc Thánh Hóa,성해 독전갈,ko-KR
Băng Nguyên Bản,무상의 얼음,ko-KR
Bạo Chúa Qucusaur Lửa Vàng,황금불꽃의 깃룡 폭군,ko-KR
Caballero Serpiente Negra - Aire afilado,흑 뱀 기사·바람을 가르는 검,ko-KR
Caballero Serpiente Negra - Hachero demolerrocas,흑 뱀 기사·바위를 부수는 도끼,ko-KR
Candace,캔디스,ko-KR
Caniné sacralisé,성해 검치호,ko-KR
Cantore dell'Abisso: Fiamme imperscrutabili,심연 봉독자·심연의 불꽃,ko-KR
Cantore dell'Abisso: Fulmine viola,심연 봉독자·자색 뇌전,ko-KR
Cavaleiro da Serpente Negra - Machado Quebra-rocha,흑 뱀 기사·바위를 부수는 도끼,ko-KR
Cavaleiro da Serpente Negra - Quebra-Vento,흑 뱀 기사·바람을 가르는 검,ko-KR
Cavaliere del Serpente nero: Fendivento,흑 뱀 기사·바람을 가르는 검,ko-KR
Cavaliere del Serpente nero: Scure spaccapietra,흑 뱀 기사·바위를 부수는 도끼,ko-KR
Cavalo-Marinho Perolado Milenar,천년 묵은 진주 기린,ko-KR
Champieffroi panaché,공포의 취령 버섯,ko-KR
Chantre de l'Abîme - Flamme abyssale,심연 봉독자·심연의 불꽃,ko-KR
Chantre de l'Abîme - Foudre pourpre,심연 봉독자·자색 뇌전,ko-KR
Charlotte,샤를로트,ko-KR
Chasca,차스카,ko-KR
Chef Brutorocheux,츄츄 바위왕,ko-KR
Chevalier des Serpents noirs - Casseur de pierre,흑 뱀 기사·바위를 부수는 도끼,ko-KR
Chevalier des Serpents noirs - Fendeur de vent,흑 뱀 기사·바람을 가르는 검,ko-KR
Chevreuse,슈브르즈,ko-KR
Chiori,치오리,ko-KR
Chongyun,중운,ko-KR
Chúa Tể Lửa Nguồn Ăn Mòn,침식된 근원의 불꽃 주인,ko-KR
Citlali,시틀라리,ko-KR
Citlalí,시틀라리,ko-KR
Clorinde,클로린드,ko-KR
Cobra Voadora da Ossada Sagrada,성해 날뱀,ko-KR
Collei,콜레이,ko-KR
Colmibestia Sacrósea,성해 검치호,ko-KR
Consecrated Fanged Beast,성해 검치호,ko-KR
Consecrated Flying Serpent,성해 날뱀,ko-KR
Consecrated Horned Crocodile,성해 뿔 악어,ko-KR
Consecrated Scorpion,성해 독전갈,ko-KR
Corcel de Mar Perlamilenario,천년 묵은 진주 기린,ko-KR
Corniodrilo Sacróseo,성해 뿔 악어,ko-KR
Cornodrillo consacrato,성해 뿔 악어,ko-KR
Crimson Witch of Embers,사그라든 화염의 마녀,ko-KR
Crococornu sacralisé,성해 뿔 악어,ko-KR
Crocodilo da Ossada Sagrada,성해 뿔 악어,ko-KR
Cryo Hypostasis,무상의 얼음,ko-KR
Cyno,사이노,ko-KR
Cá Ngựa Ngọc Trai Ngàn Năm,천년 묵은 진주 기린,ko-KR
Cá Sấu Sừng Thánh Hóa,성해 뿔 악어,ko-KR
Dahlia,달리아,ko-KR
Dama degli specchi,우인단·거울의 여인,ko-KR
Dehya,데히야,ko-KR
Deneysel Alan Oluşturucu,실험성 역장 발생 장치,ko-KR
Diluc,다이루크,ko-KR
Diona,디오나,ko-KR
Dori,도리,ko-KR
Dvalin,드발린,ko-KR
Eccentrica seclusa Cercaspiriti,수수께끼 영력 수행자,ko-KR
Electro Hypostasis,무상의 뇌전,ko-KR
Elektrik Hipostazı,무상의 뇌전,ko-KR
Elektro-Hypostase,무상의 뇌전,ko-KR
Emilie,에밀리,ko-KR
Emisario del Abismo - Rápidos malignos,심연 사도·격류,ko-KR
Emperador Piroacorazado,용암철갑 제왕,ko-KR
Empereur du feu ferreux,용암철갑 제왕,ko-KR
Emperor of Fire and Iron,용암철갑 제왕,ko-KR
Eremita Danzacróbata,도금 여단·풀고리 무용수,ko-KR
Eremita Dançarina Floral,도금 여단·풀고리 무용수,ko-KR
Eremita Narradora da Areia Ardente,도금 여단·모래의 이야기꾼,ko-KR
Eremita Susurrarenas,도금 여단·모래의 이야기꾼,ko-KR
Eremita danzatrice dell'anello floreale,도금 여단·풀고리 무용수,ko-KR
Eremita maestra del folklore infuocato,도금 여단·모래의 이야기꾼,ko-KR
Eremite - Diệp Luân Vũ Giả,도금 여단·풀고리 무용수,ko-KR
Eremite - Người Kể Chuyện Cát Nóng,도금 여단·모래의 이야기꾼,ko-KR
Eremite Floral Ring-Dancer,도금 여단·풀고리 무용수,ko-KR
Eremite Scorching Loremaster,도금 여단·모래의 이야기꾼,ko-KR
Errante do Proferespírito,수수께끼 영력 수행자,ko-KR
Escoffier,에스코피에,ko-KR
Escorpião da Ossada Sagrada,성해 독전갈,ko-KR
Escorpión Sacróseo,성해 독전갈,ko-KR
Espantohongo Plumaverde,공포의 취령 버섯,ko-KR
Eula,유라,ko-KR
Experimental Field Generator,실험성 역장 발생 장치,ko-KR
Experimenteller Feldgenerator,실험성 역장 발생 장치,ko-KR
Faruzan,파루잔,ko-KR
Faruzán,파루잔,ko-KR
Fatui - Agente Pyro,우인단·화염 채무 처리인,ko-KR
Fatui - Cryo Cicin Mage,우인단·얼음 치친 술사,ko-KR
Fatui - Dama do Espelho,우인단·거울의 여인,ko-KR
Fatui - Electro Cicin Mage,우인단·번개 치친 술사,ko-KR
Fatui - Feiticeira Cicin Cryo,우인단·얼음 치친 술사,ko-KR
Fatui - Feiticeira Cicin Electro,우인단·번개 치친 술사,ko-KR
Fatui - Frost Operative,우인단·서리 심부름꾼,ko-KR
Fatui - Mirror Maiden,우인단·거울의 여인,ko-KR
Fatui - Người Xử Lý Nợ Hỏa,우인단·화염 채무 처리인,ko-KR
Fatui - Pyro Agent,우인단·화염 채무 처리인,ko-KR
Fatui - Thiếu Nữ Kính,우인단·거울의 여인,ko-KR
Fatui - Thuật Sĩ Cicin Băng,우인단·얼음 치친 술사,ko-KR
Fatui - Thuật Sĩ Cicin Lôi,우인단·번개 치친 술사,ko-KR
Fatui - Đặc Vụ Băng,우인단·서리 심부름꾼,ko-KR
Fatui Ateş Tetikçisi,우인단·화염 채무 처리인,ko-KR
Fatui Buz Cicini Büyücüsü,우인단·얼음 치친 술사,ko-KR
Fatui Cryo Cicin Mage,우인단·얼음 치친 술사,ko-KR
Fatui Electro Cicin Mage,우인단·번개 치친 술사,ko-KR
Fatui Elektrik Cicini Büyücüsü,우인단·번개 치친 술사,ko-KR
Fatui Oficial do Gelo,우인단·서리 심부름꾼,ko-KR
Fatui Pyro Agent,우인단·화염 채무 처리인,ko-KR
Fatui – Elektro-Cicin-Zauberin,우인단·번개 치친 술사,ko-KR
Fatui – Frostdienerin,우인단·서리 심부름꾼,ko-KR
Fatui – Kryo-Cicin-Zauberin,우인단·얼음 치친 술사,ko-KR
Fatui – Pyro-Schuldeneintreiber,우인단·화염 채무 처리인,ko-KR
Fatui – Spiegeljungfrau,우인단·거울의 여인,ko-KR
Fischl,피슬,ko-KR
Flins,플린스,ko-KR
Flugschlange heiliger Knochen,성해 날뱀,ko-KR
Freminet,프레미네,ko-KR
Frost Operative,우인단·서리 심부름꾼,ko-KR
Fréminet,프레미네,ko-KR
Fungostro Cresta di giada,공포의 취령 버섯,ko-KR
Furina,푸리나,ko-KR
Gaming,가명,ko-KR
Ganyu,감우,ko-KR
Garde de l'oasis d'Apep,아펩의 오아시스 파수꾼,ko-KR
Gefiederte Pilzbestie,공포의 취령 버섯,ko-KR
Gefräßiger Yumkasaurier-Bergkönig,식탐의 숲룡 산왕,ko-KR
Gehörntes Krokodil heiliger Knochen,성해 뿔 악어,ko-KR
Generador de Campo Experimental,실험성 역장 발생 장치,ko-KR
Generatore di campo sperimentale,실험성 역장 발생 장치,ko-KR
Gerador de Campo Experimental,실험성 역장 발생 장치,ko-KR
Gluttonous Yumkasaur Mountain King,식탐의 숲룡 산왕,ko-KR
Goldbrigade – Blumentänzerin,도금 여단·풀고리 무용수,ko-KR
Goldbrigade – Erzählerin der Sengenden Sande,도금 여단·모래의 이야기꾼,ko-KR
Golden Wolflord,황금 늑대왕,ko-KR
Goldener Garmfürst,황금 늑대왕,ko-KR
Goldflame Qucusaur Tyrant,황금불꽃의 깃룡 폭군,ko-KR
Goldflammen-Qucusauriertyrann,황금불꽃의 깃룡 폭군,ko-KR
Gorou,고로,ko-KR
Guardian of Apep's Oasis,아펩의 오아시스 파수꾼,ko-KR
Guardiano dell'Oasi di Apep,아펩의 오아시스 파수꾼,ko-KR
Guardián del Oasis de Apep,아펩의 오아시스 파수꾼,ko-KR
Guardião do Oásis de Apep,아펩의 오아시스 파수꾼,ko-KR
