id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
MonsterManual.1000111.1,树树鼠战士,Shrubshrews Warrior,ウッドモット,우드모트 전사,樹樹鼠戰士,MonsterManual.json
MonsterManual.1000161.1,狂暴鼠战士,Rabid Shrubshrew Warrior,アラクレウッドモット,아라크레 우드모트,狂暴鼠戰士,MonsterManual.json
MonsterManual.1000200.1,狂暴鼠投手,Rabid Shrubshrew Slinger,アラクレスローモット,아라크레 스로모트,狂暴鼠投手,MonsterManual.json
MonsterManual.1000211.1,树树鼠投手,Shrubshrews Slinger,スローモット,스로모트,樹樹鼠投手,MonsterManual.json
MonsterManual.1000311.1,树树鼠堡垒,Citadel Shrubshrew,タワーモット,타워모트,樹樹鼠堡壘,MonsterManual.json
MonsterManual.1000411.1,獠牙追随者,Tusk Minion,ビッグボア,빅보어,獠牙追隨者,MonsterManual.json
MonsterManual.1000516.1,猛进之灵,Spirit of Brutality,破砕ノ牙,돌진하는 혼령,猛進之靈,MonsterManual.json
MonsterManual.1000641.1,吠啸枭,Howling Owl,ブリーズオウル,브리즈오울,吠嘯梟,MonsterManual.json
MonsterManual.1000705.1,狂风青枭,Gale Owl,狂風ノ賢者,광풍의 푸른 올빼미,狂風青梟,MonsterManual.json
MonsterManual.1000800.1,暴烈长尾蝎,Fierce Long-Tailed Scorpion,オオガマサソリ,흉포한 긴꼬리 전갈,暴烈長尾蠍,MonsterManual.json
MonsterManual.1001066.1,寄生之庭,Garden of Parasite,未恋ノ禍実,기생의 정원,寄生之庭,MonsterManual.json
MonsterManual.1001205.1,静默之抗礼,Enforcer of Silence,ナイトメアソルジャー,나이트메어 솔저,靜默之抗禮,MonsterManual.json
MonsterManual.1001216.1,荆棘之抗礼,Guardian of Thorns,ナイトメアソルジャー（地）,나이트메어 솔저 (땅),荊棘之抗禮,MonsterManual.json
MonsterManual.1001226.1,狂潮之抗礼,Oppressor of Torrents,ナイトメアソルジャー（水）,나이트메어 솔저 (물),狂潮之抗禮,MonsterManual.json
MonsterManual.1001236.1,熔芯的抗礼,Suppressor of Lava,ナイトメアソルジャー（火）,용암 기사,熔芯之抗禮,MonsterManual.json
MonsterManual.1001246.1,苍穹之抗礼,Subjugator of Firmament,ナイトメアソルジャー（風）,나이트메어 솔저 (바람),蒼穹之抗禮,MonsterManual.json
MonsterManual.1001256.1,闪熠之抗礼,Protector of Radiance,ナイトメアソルジャー（光）,나이트메어 솔저 (빛),閃熠之抗禮,MonsterManual.json
MonsterManual.1001266.1,梦魇之抗礼,Golem of Nightmares,ナイトメアソルジャー（闇）,나이트메어 솔저 (어둠),夢魘之抗禮,MonsterManual.json
MonsterManual.1001500.1,犰鱼,Armadillo Fish,タヌキウオ,구어,犰魚,MonsterManual.json
MonsterManual.1001511.1,犰鱼·重岩,Armadillo Fish: Rock,チャタヌキウオ,구어 (땅),犰魚·重巖,MonsterManual.json
MonsterManual.1001521.1,犰鱼·湍流,Armadillo Fish: Torrent,アオタヌキウオ,구어 (물),犰魚·湍流,MonsterManual.json
MonsterManual.1001531.1,犰鱼·灼热,Armadillo Fish: Heat,アカタヌキウオ,구어 (불),犰魚·灼熱,MonsterManual.json
MonsterManual.1001541.1,犰鱼·呼啸,Armadillo Fish: Gust,ミドリタヌキウオ,구어 (바람),犰魚·呼嘯,MonsterManual.json
MonsterManual.1001551.1,犰鱼·耀光,Armadillo Fish: Radiance,ライトタヌキウオ,구어 (빛),犰魚·耀光,MonsterManual.json
MonsterManual.1001561.1,犰鱼·暗影,Armadillo Fish: Shadow,ダークタヌキウオ,구어 (어둠),犰魚·暗影,MonsterManual.json
MonsterManual.1001800.1,汽锅铁锤,Steam Pot Hammer,ボイラーブランチ,보일러 브랜치,汽鍋鐵錘,MonsterManual.json
MonsterManual.1001811.1,汽锅铁锤·重岩,Steam Pot Hammer: Rock,ボイラーブランチ（地）,보일러 브랜치 (땅),汽鍋鐵錘·重巖,MonsterManual.json
MonsterManual.1001821.1,汽锅铁锤·湍流,Steam Pot Hammer: Torrent,ボイラーブランチ（水）,보일러 브랜치 (물),汽鍋鐵錘·湍流,MonsterManual.json
MonsterManual.1001831.1,汽锅铁锤·灼热,Steam Pot Hammer: Heat,ボイラーブランチ（火）,보일러 브랜치 (불),汽鍋鐵錘·灼熱,MonsterManual.json
MonsterManual.1001841.1,汽锅铁锤·呼啸,Steam Pot Hammer: Gust,ボイラーブランチ（風）,보일러 브랜치 (바람),汽鍋鐵錘·呼嘯,MonsterManual.json
MonsterManual.1001851.1,汽锅铁锤·耀光,Steam Pot Hammer: Radiance,ボイラーブランチ（光）,보일러 브랜치 (빛),汽鍋鐵錘·耀光,MonsterManual.json
MonsterManual.1001861.1,汽锅铁锤·暗影,Steam Pot Hammer: Shadow,ボイラーブランチ（闇）,보일러 브랜치 (어둠),汽鍋鐵錘·暗影,MonsterManual.json
MonsterManual.1100300.1,试做协力机贰型,Trial Co-op Unit Model Ⅱ,試作協力マシンⅡ,테스트 협력 기기 2형,試做協力機貳型,MonsterManual.json
MonsterManual.1100400.1,试做辅助机伍型,Trial Support Unit Model V,試作補助マシンⅤ,테스트 보조 기기 5형,試做輔助機伍型,MonsterManual.json
MonsterManual.1100700.1,专业的种业员工,Professional UH Employee,アグリ・ユニオンのベテラン従業員,프로 아그리 종사자,專業的種業員工,MonsterManual.json
MonsterManual.1102100.1,巡回犬K9,Retriever K9,巡回犬K9,순찰견 K9,巡迴犬K9,MonsterManual.json
MonsterManual.1103105.1,伐木蟹C8,Logging Crab C8,伐採蟹C8,벌목 게 C8,伐木蟹C8,MonsterManual.json
MonsterManual.1300100.1,健壮球手,Sturdy Batter,ウィンドアッシュ戦闘員,건장한 구기 선수,健壯球員,MonsterManual.json
MonsterManual.1301100.1,灵巧技工,Clever Technician,ウィンドアッシュエンジニア,솜씨 좋은 수리공,靈巧技工,MonsterManual.json
MonsterManual.1302100.1,满月,Vollara,フォルモント,폴몬트,滿月,MonsterManual.json
MonsterManual.1303100.1,新月,Neuvira,ネールモント,넬몬트,新月,MonsterManual.json
MonsterManual.1304151.1,密涅瓦,Minova,ミネルバ,미네르바,密涅瓦,MonsterManual.json
MonsterManual.1305136.1,魔侍巨像,Spellbound Golem,太古ノ巨神兵,태고의 거신병,魔侍巨像,MonsterManual.json
MonsterManual.1306100.1,盛怒拳铠,Gauntlet of Rage,ゴッツンナックル,쾅쾅너클,盛怒拳鎧,MonsterManual.json
MonsterManual.1306105.1,狂怒拳铠,Gauntlet of Fury,ドッスンナックル,쿵쿵너클,狂怒拳鎧,MonsterManual.json
MonsterManual.1306111.1,盛怒拳铠·重岩,Gauntlet of Rage: Rock,ゴッツンナックル（地）,쾅쾅너클 (땅),盛怒拳鎧·重巖,MonsterManual.json
MonsterManual.1306116.1,山魂拳铠,Gauntlet of Mountain Soul,ドッスンナックル（地）,쿵쿵너클 (땅),山魂拳鎧,MonsterManual.json
MonsterManual.1306121.1,盛怒拳铠·湍流,Gauntlet of Rage: Torrent,ゴッツンナックル（水）,쾅쾅너클 (물),盛怒拳鎧·湍流,MonsterManual.json
MonsterManual.1306126.1,怒涛拳铠,Gauntlet of Raging Waves,ドッスンナックル（水）,쿵쿵너클 (물),怒濤拳鎧,MonsterManual.json
MonsterManual.1306131.1,盛怒拳铠·灼热,Gauntlet of Rage: Heat,ゴッツンナックル（火）,쾅쾅너클 (불),盛怒拳鎧·灼熱,MonsterManual.json
MonsterManual.1306136.1,烈焰拳铠,Gauntlet of Raging Flame,ドッスンナックル（火）,쿵쿵너클 (불),烈焰拳鎧,MonsterManual.json
MonsterManual.1306141.1,盛怒拳铠·呼啸,Gauntlet of Rage: Gust,ゴッツンナックル（風）,쾅쾅너클 (바람),盛怒拳鎧·呼嘯,MonsterManual.json
MonsterManual.1306146.1,风驰拳铠,Gauntlet of Swift Wind,ドッスンナックル（風）,쿵쿵너클 (바람),風馳拳鎧,MonsterManual.json
MonsterManual.1306151.1,盛怒拳铠·耀光,Gauntlet of Rage: Radiance,ゴッツンナックル（光）,쾅쾅너클 (빛),盛怒拳鎧·耀光,MonsterManual.json
MonsterManual.1306156.1,辉煌拳铠,Gauntlet of Luminous,ドッスンナックル（光）,쿵쿵너클 (빛),輝煌拳鎧,MonsterManual.json
MonsterManual.1306161.1,盛怒拳铠·暗影,Gauntlet of Rage: Shadow,ゴッツンナックル（闇）,쾅쾅너클 (어둠),盛怒拳鎧·暗影,MonsterManual.json
MonsterManual.1306166.1,幽影拳铠,Gauntlet of Spectral Shadow,ドッスンナックル（闇）,쿵쿵너클 (어둠),幽影拳鎧,MonsterManual.json
MonsterManual.1400100.1,散漫剑士,Laid-Back Swordswoman,駆け出し剣士,산만한 검사,散漫劍士,MonsterManual.json
MonsterManual.1400170.1,“恭喜发财”团剑士,Prosperity Gang Swordsman,窃盗団・剣士,‘대박 기원’단 검사,「恭喜發財」團劍士,MonsterManual.json
MonsterManual.1401100.1,阴沉术士,Brooding Sorceress,駆け出し魔法使い,음침한 마법사,陰沉術士,MonsterManual.json
MonsterManual.1401170.1,“恭喜发财”团法师,Prosperity Gang Mage,窃盗団・魔法使い,‘대박 기원’단 마법사,「恭喜發財」團法師,MonsterManual.json
MonsterManual.1402100.1,肌肉重装战士,Heavy Armor Warrior,ベテラン戦士,베테랑 전사,肌肉重裝戰士,MonsterManual.json
MonsterManual.1500100.1,疲惫的新人员工,Tired Newbie Employee,クタビレ新入社員,피폐한 신입 사원,疲憊的新進員工,MonsterManual.json
MonsterManual.1501100.1,资深的精英员工,Seasoned Elite Employee,ベテランエリート社員,베테랑 엘리트 사원,資深的菁英員工,MonsterManual.json
MonsterManual.1551056.1,翠煌之刃,Blade of Jade,翠煌ノ刃,취황의 칼날,翠煌之刃,MonsterManual.json
MonsterManual.1552041.1,虹翼,Iridescent Wing,幻惑ノ翼,무지개 날개,虹翼,MonsterManual.json
MonsterManual.1552051.1,闪翅,Dazzling Wing,光ノ翼,빛의 날개,閃翅,MonsterManual.json
MonsterManual.1600141.1,侵蚀风铃,Corrupted Wind Chime,クリーピープラント,크리피플랜트,侵蝕風鈴,MonsterManual.json
MonsterManual.1601141.1,污染风茄,Tainted Mandrake,アグリープラント,어글리플랜트,汙染風茄,MonsterManual.json
MonsterManual.1651046.1,流风美人,Lithe Beauty,幻惑ノ花,유풍의 미인,流風美人,MonsterManual.json
MonsterManual.1700100.1,帝国卫队骑士侍从,Imperial Guard Squire,帝国護衛隊従騎士,제국 호위대 시종 기사,帝國衛隊騎士侍從,MonsterManual.json
MonsterManual.1701100.1,帝国卫队骑士,Imperial Guard Knight,帝国護衛隊騎士,제국 호위대 기사,帝國衛隊騎士,MonsterManual.json
MonsterManual.1702100.1,帝国卫队分团长,Imperial Guard Captain,帝国護衛隊騎士隊長,제국 호위대 분단장,帝國衛隊分團長,MonsterManual.json
MonsterManual.1703100.1,帝国卫队军士长,Imperial Guard Sergeant Major,帝国護衛隊重装騎士,제국 호위대 군사장,帝國衛隊軍士長,MonsterManual.json
MonsterManual.1751026.1,咕噜六角鲸,Gobble Hexhorn Whale,激流ノ角鯨,격류의 뿔고래,咕嚕六角鯨,MonsterManual.json
