id,term,src_table
CharGem.101.1,신앙자의 배지,CharGem.json
CharGem.102.1,신앙자의 메달,CharGem.json
CharGem.103.1,신앙자의 훈장,CharGem.json
CharGem.201.1,개척자의 배지,CharGem.json
CharGem.202.1,개척자의 메달,CharGem.json
CharGem.203.1,개척자의 훈장,CharGem.json
CharGem.301.1,수호자의 배지,CharGem.json
CharGem.302.1,수호자의 메달,CharGem.json
CharGem.303.1,수호자의 훈장,CharGem.json
CharGemInstance.1000.1,길거리 난투,CharGemInstance.json
CharGemInstance.2000.1,안개 돌파,CharGemInstance.json
CharGemInstance.3000.1,심연 소탕,CharGemInstance.json
CharGemInstanceType.1.1,제국 호위대 모범 시민 점수,CharGemInstanceType.json
CharGemInstanceType.2.1,지리 협회 협회 공헌증,CharGemInstanceType.json
CharGemInstanceType.3.1,은혜의지 은혜 소비 쿠폰,CharGemInstanceType.json
