source,target,tgt_lng
"""%s"" (%s) 선택함",выбрано «%s» (%s),ru-RU
"""%s"" alterado para %s",«%s»: %s,ru-RU
"""%s"" sélectionné (%s)",выбрано «%s» (%s),ru-RU
"""%s"" thành %s",«%s»: %s,ru-RU
"""%s"" to %s",«%s»: %s,ru-RU
"""%s"" à %s",«%s»: %s,ru-RU
"""%s"" ไปยัง %s",«%s»: %s,ru-RU
"""%s""을(를) %s(으)로",«%s»: %s,ru-RU
"""%s” (%s) seçildi",выбрано «%s» (%s),ru-RU
"""%s” -> %s",«%s»: %s,ru-RU
%2$s x %1$s,%s × %s,ru-RU
%s = %s,выбрано «%s» (%s),ru-RU
%s has no properties,Свойства объекта %s не заданы,ru-RU
%s hat keine Blockzustände,Свойства объекта %s не заданы,ru-RU
%s hiçbir özelliğe sahip değil,Свойства объекта %s не заданы,ru-RU
%s không có thuộc tính nào,Свойства объекта %s не заданы,ru-RU
%s n'a aucune propriété,Свойства объекта %s не заданы,ru-RU
%s no tiene propiedades,Свойства объекта %s не заданы,ru-RU
%s non ha proprietà,Свойства объекта %s не заданы,ru-RU
%s não tem propriedades,Свойства объекта %s не заданы,ru-RU
%s x %s,%s × %s,ru-RU
%s ไม่มีคุณสมบัติ,Свойства объекта %s не заданы,ru-RU
%s → %s,«%s»: %s,ru-RU
%s 沒有屬性,Свойства объекта %s не заданы,ru-RU
%s× %s,%s × %s,ru-RU
%sはプロパティを持っていません,Свойства объекта %s не заданы,ru-RU
%s不具备属性,Свойства объекта %s не заданы,ru-RU
%s에게 속성이 없습니다,Свойства объекта %s не заданы,ru-RU
%s／%s,%s/%s,ru-RU
A forma di creeper,Криперообразный,ru-RU
A forma di stella,Звездообразный,ru-RU
Aaron Cherof - Precipice,Аарон Шероф — Precipice,ru-RU
Aaron Cherof - Relic,Аарон Шероф — Relic,ru-RU
Aaron Cherof — Precipice,Аарон Шероф — Precipice,ru-RU
Aaron Cherof — Relic,Аарон Шероф — Relic,ru-RU
Abandoned Camp Map,Карта заброшенного лагеря,ru-RU
Abandoned Campsite Map,Карта заброшенного лагеря,ru-RU
Abschabe-Töpferscherbe,Глиняный черепок «Обтёсывание»,ru-RU
Acacia Boat,Акациевая лодка,ru-RU
