source,target,tgt_lng
累积消耗200干劲,Consume a total of 200 Vigor,en-US
やる気を累計200消費する,Consume a total of 200 Vigor,en-US
누적 200 활력 소모,Consume a total of 200 Vigor,en-US
累計消耗200點活力,Consume a total of 200 Vigor,en-US
累积消耗300干劲,Consume a total of 300 Vigor,en-US
やる気を累計300消費する,Consume a total of 300 Vigor,en-US
누적 300 활력 소모,Consume a total of 300 Vigor,en-US
累計消耗300點活力,Consume a total of 300 Vigor,en-US
累积消耗400干劲,Consume a total of 400 Vigor,en-US
やる気を累計400消費する,Consume a total of 400 Vigor,en-US
누적 400 활력 소모,Consume a total of 400 Vigor,en-US
累計消耗400點活力,Consume a total of 400 Vigor,en-US
累积消耗600干劲,Consume a total of 600 Vigor,en-US
やる気を累計600消費する,Consume a total of 600 Vigor,en-US
누적 600 활력 소모,Consume a total of 600 Vigor,en-US
累計消耗600點活力,Consume a total of 600 Vigor,en-US
累积消耗800干劲,Consume a total of 800 Vigor,en-US
やる気を累計800消費する,Consume a total of 800 Vigor,en-US
누적 800 활력 소모,Consume a total of 800 Vigor,en-US
累計消耗800點活力,Consume a total of 800 Vigor,en-US
累积消耗1000干劲,"Consume a total of 1,000 Vigor",en-US
やる気を累計1000消費する,"Consume a total of 1,000 Vigor",en-US
누적 1000 활력 소모,"Consume a total of 1,000 Vigor",en-US
累計消耗1000點活力,"Consume a total of 1,000 Vigor",en-US
累积消耗1200干劲,"Consume a total of 1,200 Vigor",en-US
やる気を累計1200消費する,"Consume a total of 1,200 Vigor",en-US
누적 1200 활력 소모,"Consume a total of 1,200 Vigor",en-US
累計消耗1200點活力,"Consume a total of 1,200 Vigor",en-US
通关「入镜伊始」,Clear Moment of Entry,en-US
始まりの鏡をクリアする,Clear Moment of Entry,en-US
「거울의 서막」 클리어,Clear Moment of Entry,en-US
通過「入鏡伊始」,Clear Moment of Entry,en-US
通关「火之镜」,Clear Ignis Mirror,en-US
炎を宿す鏡をクリアする,Clear Ignis Mirror,en-US
「불의 거울」 클리어,Clear Ignis Mirror,en-US
通過「火之鏡」,Clear Ignis Mirror,en-US
以3星评级通关「火之镜」,Clear Ignis Mirror with 3★.,en-US
炎を宿す鏡を★3でクリアする,Clear Ignis Mirror with 3★.,en-US
「불의 거울」 ★3 클리어,Clear Ignis Mirror with 3★.,en-US
以3星評級通過「火之鏡」,Clear Ignis Mirror with 3★.,en-US
通关「水之镜」,Clear Aqua Mirror,en-US
水を宿す鏡をクリアする,Clear Aqua Mirror,en-US
「물의 거울」 클리어,Clear Aqua Mirror,en-US
通過「水之鏡」,Clear Aqua Mirror,en-US
以3星评级通关「水之镜」,Clear Aqua Mirror with 3★.,en-US
水を宿す鏡を★3でクリアする,Clear Aqua Mirror with 3★.,en-US
