category,category_label,id,term,src_table
01_character,角色名称,AffinityLevel.2068.1,灵魂伴侣,AffinityLevel.json
01_character,角色名称,BoardNPC.173174.1,珀尔娜&维嘉尔,BoardNPC.json
01_character,角色名称,BoardNPC.713503.1,情人节雾语,BoardNPC.json
01_character,角色名称,BoardNPC.9102.1,薇洛,BoardNPC.json
01_character,角色名称,BoardNPC.9131.1,布洛克,BoardNPC.json
01_character,角色名称,BoardNPC.9159.1,彼岸,BoardNPC.json
01_character,角色名称,BoardNPC.916402.1,伊织,BoardNPC.json
01_character,角色名称,Character.103.1,琥珀,Character.json
01_character,角色名称,Character.107.1,缇莉娅,Character.json
01_character,角色名称,Character.108.1,卡西米拉,Character.json
01_character,角色名称,Character.110.1,翡冷翠,Character.json
01_character,角色名称,Character.111.1,鸢尾,Character.json
01_character,角色名称,Character.112.1,尘沙,Character.json
01_character,角色名称,Character.113.1,师渺,Character.json
01_character,角色名称,Character.114.1,猫眼,Character.json
01_character,角色名称,Character.115.1,火垂,Character.json
01_character,角色名称,Character.116.1,岭川,Character.json
01_character,角色名称,Character.117.1,璟麟,Character.json
01_character,角色名称,Character.118.1,科洛妮丝,Character.json
01_character,角色名称,Character.119.1,花原,Character.json
01_character,角色名称,Character.120.1,卡娜丝,Character.json
01_character,角色名称,Character.123.1,杏子,Character.json
01_character,角色名称,Character.125.1,苍兰,Character.json
01_character,角色名称,Character.126.1,紫槿,Character.json
01_character,角色名称,Character.127.1,特丽莎,Character.json
01_character,角色名称,Character.130.1,多娜,Character.json
01_character,角色名称,Character.132.1,密涅瓦,Character.json
01_character,角色名称,Character.133.1,夏花,Character.json
01_character,角色名称,Character.134.1,冬香,Character.json
01_character,角色名称,Character.135.1,雾语,Character.json
01_character,角色名称,Character.137.1,埃莉诺,Character.json
01_character,角色名称,Character.140.1,斯帕克拉,Character.json
01_character,角色名称,Character.141.1,赤霞,Character.json
01_character,角色名称,Character.142.1,珂赛特,Character.json
01_character,角色名称,Character.143.1,风影,Character.json
01_character,角色名称,Character.144.1,千都世,Character.json
01_character,角色名称,Character.145.1,乙叶,Character.json
01_character,角色名称,Character.147.1,焦糖,Character.json
01_character,角色名称,Character.149.1,格芮,Character.json
01_character,角色名称,Character.150.1,菈露,Character.json
01_character,角色名称,Character.155.1,希娅,Character.json
01_character,角色名称,Character.156.1,小禾,Character.json
01_character,角色名称,Character.157.1,花铃,Character.json
01_character,角色名称,Character.158.1,菈露（圣夜）,Character.json
01_character,角色名称,Character.159.1,科洛妮丝（新春）,Character.json
01_character,角色名称,Character.160.1,薇洛（盛夏）,Character.json
01_character,角色名称,CharacterArchiveBaseInfo.10301.1,姓名,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10302.1,生日,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10303.1,所属,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10304.1,技能,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10305.1,地址,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10306.1,经验,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10307.1,武器,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10308.1,薪资,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.11008.1,薪资,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.11408.1,薪资,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.11908.1,薪资,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.12608.1,薪资,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.13008.1,薪资,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.14008.1,收费标准,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.14108.1,收费标准,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.14301.1,姓名,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.14508.1,薪资,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterDes.103.1,四白,CharacterDes.json
01_character,角色名称,CharacterDes.107.1,陈雨,CharacterDes.json
01_character,角色名称,CharacterDes.108.1,李蝉妃,CharacterDes.json
01_character,角色名称,CharacterDes.110.1,子音,CharacterDes.json
01_character,角色名称,CharacterDes.111.1,陈章,CharacterDes.json
01_character,角色名称,CharacterDes.112.1,Kiyo,CharacterDes.json
01_character,角色名称,CharacterDes.113.1,陈阳,CharacterDes.json
01_character,角色名称,CharacterDes.114.1,瑞比,CharacterDes.json
01_character,角色名称,CharacterDes.115.1,刘雯,CharacterDes.json
01_character,角色名称,CharacterDes.116.1,张楷轩,CharacterDes.json
01_character,角色名称,CharacterDes.117.1,韩娇娇,CharacterDes.json
01_character,角色名称,CharacterDes.118.1,周语晗,CharacterDes.json
01_character,角色名称,CharacterDes.119.1,豆奶,CharacterDes.json
01_character,角色名称,CharacterDes.120.1,梁爽,CharacterDes.json
01_character,角色名称,CharacterDes.123.1,静宸,CharacterDes.json
01_character,角色名称,CharacterDes.125.1,张晔,CharacterDes.json
01_character,角色名称,CharacterDes.126.1,沐霏,CharacterDes.json
01_character,角色名称,CharacterDes.127.1,井琉,CharacterDes.json
01_character,角色名称,CharacterDes.130.1,苏婉,CharacterDes.json
01_character,角色名称,CharacterDes.132.1,杨清江,CharacterDes.json
01_character,角色名称,CharacterDes.133.1,刘十四,CharacterDes.json
01_character,角色名称,CharacterDes.134.1,刘一蕾,CharacterDes.json
01_character,角色名称,CharacterDes.135.1,吴哲茹,CharacterDes.json
01_character,角色名称,CharacterDes.137.1,施丛昊,CharacterDes.json
01_character,角色名称,CharacterDes.140.1,宋政楠,CharacterDes.json
01_character,角色名称,CharacterDes.141.1,唐夏芳,CharacterDes.json
01_character,角色名称,CharacterDes.142.1,唐梦,CharacterDes.json
01_character,角色名称,CharacterDes.143.1,王美心,CharacterDes.json
01_character,角色名称,CharacterDes.144.1,张梦娇,CharacterDes.json
01_character,角色名称,CharacterDes.145.1,张安琪,CharacterDes.json
01_character,角色名称,CharacterDes.147.1,蔡书瑾,CharacterDes.json
01_character,角色名称,CharacterDes.150.1,宋媛媛,CharacterDes.json
01_character,角色名称,CharacterDes.155.1,Vila,CharacterDes.json
01_character,角色名称,CharacterDes.156.1,谢莹,CharacterDes.json
01_character,角色名称,CharacterDes.157.1,花玲,CharacterDes.json
01_character,角色名称,CharacterDes.160.1,mace,CharacterDes.json
01_character,角色名称,CharacterSkin.10301.1,琥珀-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.10302.1,琥珀-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.10303.1,玩心无邪,CharacterSkin.json
01_character,角色名称,CharacterSkin.10304.1,邀你静心，悠然一夏,CharacterSkin.json
01_character,角色名称,CharacterSkin.10701.1,缇莉娅-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.10702.1,缇莉娅-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.10703.1,此即吾之正义！,CharacterSkin.json
01_character,角色名称,CharacterSkin.10704.1,光彩闪亮，斗志昂扬,CharacterSkin.json
01_character,角色名称,CharacterSkin.10801.1,卡西米拉-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.10802.1,卡西米拉-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11001.1,翡冷翠-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11002.1,翡冷翠-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11101.1,鸢尾-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11102.1,鸢尾-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11103.1,1/365的你,CharacterSkin.json
01_character,角色名称,CharacterSkin.11104.1,邀你欢喜，轻波漂游,CharacterSkin.json
01_character,角色名称,CharacterSkin.11201.1,尘沙-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11202.1,尘沙-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11203.1,日晒的余温,CharacterSkin.json
01_character,角色名称,CharacterSkin.11301.1,师渺-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11302.1,师渺-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11303.1,辣就试试看吧！,CharacterSkin.json
01_character,角色名称,CharacterSkin.11401.1,猫眼-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11402.1,猫眼-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11501.1,火垂-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11502.1,火垂-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11601.1,岭川-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11602.1,岭川-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11603.1,郁蓊恒温室中憩,CharacterSkin.json
01_character,角色名称,CharacterSkin.11701.1,璟麟-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11702.1,璟麟-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11801.1,科洛妮丝-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11802.1,科洛妮丝-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11901.1,花原-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11902.1,花原-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.11903.1,异国风起时,CharacterSkin.json
01_character,角色名称,CharacterSkin.12001.1,卡娜丝-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12002.1,卡娜丝-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12003.1,胜利的方程式,CharacterSkin.json
01_character,角色名称,CharacterSkin.12301.1,杏子-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12302.1,杏子-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12303.1,漫游奇境的森林公主,CharacterSkin.json
01_character,角色名称,CharacterSkin.12501.1,苍兰-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12502.1,苍兰-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12503.1,落雪的赠礼,CharacterSkin.json
01_character,角色名称,CharacterSkin.12601.1,紫槿-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12602.1,紫槿-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12701.1,特丽莎-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12702.1,特丽莎-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.12703.1,新人勇者前来报到,CharacterSkin.json
01_character,角色名称,CharacterSkin.13001.1,多娜-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.13002.1,多娜-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.13201.1,密涅瓦-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.13202.1,密涅瓦-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.13203.1,微醺白日梦,CharacterSkin.json
01_character,角色名称,CharacterSkin.13204.1,粼粼镜影☆漆黑心伤,CharacterSkin.json
01_character,角色名称,CharacterSkin.13301.1,夏花-基础形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.13302.1,夏花-觉醒形象,CharacterSkin.json
01_character,角色名称,CharacterSkin.13303.1,清露微滴的初夏,CharacterSkin.json
01_character,角色名称,CharacterSkin.13401.1,冬香-基础形象,CharacterSkin.json
