source,target,tgt_lng
"""""Hah! Loucura Muscular Poderosa!",哦哦！健美身材！,zh-CN
"""A Brisa da Sonúmia""",「来自集域的风」,zh-CN
"""A Vigia Eterna""",「无尽守望」,zh-CN
"""A chama nunca se apaga. Ela perdura porque as pessoas se entregam a ela.""",并非是火不会熄灭，只是有人不断地成为柴薪。,zh-CN
"""All-Seeing Eye""",“全知之眼”,zh-CN
"""Ampola""",“安瓿”,zh-CN
"""Ampoule""",“安瓿”,zh-CN
"""Ampulheta Pequena""",“小型沙漏”,zh-CN
"""Anel-sinete""",“印章戒指”,zh-CN
"""Angel Statue""",“神使雕像”,zh-CN
"""Aqui é um lugar de oração. A violência é estritamente proibida nestas terras.""",清净祈福之地，任何人不得在此私动刀兵。,zh-CN
"""As Almas Além do Buraco Negro""",「黑洞之外的灵魂」,zh-CN
"""As long as I don't have it on me, my editor will never find me...""",只要这东西不在我身上，出版社编辑就一定找不到我……,zh-CN
"""As long as someone is profiting from these attacks, we can't rule out the possibility.""",只要有人在事件背后从中获利，那就无法排除这种嫌疑。,zh-CN
"""Bagas Secas""",“莓干”,zh-CN
"""Balmy Resin""",“芳香树脂”,zh-CN
"""Banner of Balance""",“衡平旗帜”,zh-CN
"""Banner of Eye""",“窥视旗帜”,zh-CN
"""Batida Perfeita""",“完美节拍”,zh-CN
"""Baú Enferrujado""",“锈蚀箱子”,zh-CN
"""Bebida Comprimida""",“压缩饮料”,zh-CN
"""Bebida Gelada""",“冷饮”,zh-CN
"""Bebida Verde-escura""",“深绿饮料”,zh-CN
"""Being human is hard enough, but being a happy human? Even harder...""",做人真难，做个快乐的人更难。,zh-CN
"""Berço da Eternidade""",「永世的摇篮」,zh-CN
"""Bicicleta Movida a Pernas""","""手推摩托""",zh-CN
"""Bilhete de Entrada""",“入场券”,zh-CN
"""Bilhete-presente""",“招待券”,zh-CN
"""Biruta de Peixe""",“鱼旗”,zh-CN
"""Biscoito Esmagado""",“碎饼干”,zh-CN
"""Biscuit Stick""",“棒状饼干”,zh-CN
"""Bitter Juice""",“苦味果汁”,zh-CN
"""Black Tea""",“红茶”,zh-CN
"""Blue Candy""",“蓝色糖块”,zh-CN
"""Blue Inhalant""",“蓝色吸入剂”,zh-CN
