source,target,tgt_lng
...Ask What I Seek,내가 원하는 것,ko-KR
600ポンド,육백 파운드,ko-KR
A Bitterest Rhizome,쓰디쓴 뿌리,ko-KR
A Bolt From the Blue Oasis,오아시스의 천둥,ko-KR
A Bright Flame in the Dark Forest,황혼 무렵 숲의 불꽃,ko-KR
A Chance Encounter,우연한 만남,ko-KR
A Citadel and Its Walls,튼튼하고 높은 성벽,ko-KR
A Complete Surprise,뜻밖의 일,ko-KR
A Curse Without Words,소리 없는 저주,ko-KR
A Dance Together,함께 추는 춤,ko-KR
A Day's Calamity,하루의 재난,ko-KR
A Dilemma of Values,수학 문제,ko-KR
A Dream,큰 꿈,ko-KR
A Dream Under Rice,벼 아래 꿈,ko-KR
A Face-to-Face Meeting,대면,ko-KR
A Flower that Blooms Rot,부패한 꽃을 날리며,ko-KR
A Fowl Through the Window,창으로 날아든 파울비스트,ko-KR
A Fulfilling Holiday,알찬 휴가,ko-KR
A Funeral,장례식,ko-KR
A Game of Cards,오락,ko-KR
A Game of Scents,냄새 놀이,ko-KR
A Glass with Old Stories,술잔 속 옛이야기,ko-KR
"A Grand, Distant Ideal",원대한 이상,ko-KR
A Gunshot Rings Out,총성의 메아리,ko-KR
A Hero's Final Bow,영웅의 엔딩,ko-KR
A Hundred Years in Daily Steps,백년을 하루처럼,ko-KR
A Job for a Museum Collection,유물도 출근,ko-KR
A Knight's Journey,기사의 여정,ko-KR
A Letter,편지,ko-KR
A Life for a Life,목숨을 목숨으로,ko-KR
A Lone Soul,외톨이,ko-KR
A Lonely Winter's Night,눈 내리는 밤의 독행,ko-KR
"A Long, Long Time Ago",아주 아주 오래전,ko-KR
A Matter of Public Health,위생관리,ko-KR
A Night of Terror,크게 놀란 밤,ko-KR
A Pair of Fowlbeasts,파울비스트 한 쌍,ko-KR
A Perilous Road,평탄치 않은 길,ko-KR
A Piece of Graffiti,어느 낙서,ko-KR
"A Pilgrimage, A Knell",순례와 조종,ko-KR
A Pincer's Grace,작은 은혜,ko-KR
A Plan,계획,ko-KR
A Poem's Looks,시의 모습,ko-KR
A Prayer for Peace,평안 기원,ko-KR
A Priceless Medal,대가 없는 훈장,ko-KR
A Question's Answer,일문지답,ko-KR
A Sailor Went to Sea,바다로 나간 선원,ko-KR
A Sigh,탄식,ko-KR
A Sliver of Light,한 줄기의 빛,ko-KR
A Sob,오열,ko-KR
A Song Called April,에이프릴의 노래,ko-KR
A Song and a Blue Feather,푸른 깃털과 노래,ko-KR
A Streetcar Named Faith,신앙이라는 이름의 전차,ko-KR
A Thousand Years in a Sigh,천년의 한탄,ko-KR
A Town Amidst the Clouds,구름 낀 마을,ko-KR
"A Trickle, a Rapids",물방울 또한 강이라,ko-KR
A Walk in the Rain,빗 속을 거닐며,ko-KR
A Word to the Audience,관객에게,ko-KR
A6が生まれた日,A6의 설립일,ko-KR
A6成立的那一天,A6의 설립일,ko-KR
Above the Dome,돔 위에서,ko-KR
Above the Embers,잿더미 위에서,ko-KR
Acceptance Speech,수상 소감,ko-KR
Accidental Participation,뜻밖의 입선,ko-KR
Accidental Reunion,재회의 우연,ko-KR
Across the Battlefield's Line,전장 안팎,ko-KR
Acute Stress Disorder,스트레스 반응,ko-KR
Additional Ticket,재발권!,ko-KR
Adhaint an Ghrian,등불을 찾아,ko-KR
"Adios, Salt Flat","안녕히, 소금 사막",ko-KR
"Adios, Tierra","안녕히, 대지여",ko-KR
Adjournment,마감,ko-KR
Aegis of the Infected-1,감염자의 방패-1,ko-KR
Aegis of the Infected-2,감염자의 방패-2,ko-KR
Afraid to Return Home,조마조마한 귀향길,ko-KR
After the Choice,결단 후,ko-KR
After-class Homework,방과 후 숙제,ko-KR
Afterdream,꿈의 여운,ko-KR
Against the Light,역광의 그림자,ko-KR
Aim,조준,ko-KR
Alcohol and Placebo,알코올과 플라시보,ko-KR
All Roads...,특별한 길,ko-KR
All She Cares About,그분의 관심사,ko-KR
All Things Have a Soul,만물에 혼이 있다,ko-KR
All the Same,같은 우리,ko-KR
All the Unrevealed,밝혀지지 않은 계시,ko-KR
Alternate Reality Tourism,몰입식 체험,ko-KR
Ambiguous Appearance,모호한 얼굴,ko-KR
Amidst the Wailing,고함 속에서,ko-KR
Among Snowy Shrubs,눈 쌓인 관목,ko-KR
Among the Light and the Dust,빛과 먼지,ko-KR
An Absurd Morning,터무니없는 아침,ko-KR
"An Epilogue, or a Beginning","결말, 또는 시작",ko-KR
An Ordinary Sunset,평범한 석양,ko-KR
An Unexpected Journey,뜻밖의 여정,ko-KR
An Unplanned Meeting,뜻밖의 만남,ko-KR
Anathema of Ægir,에기르 실격,ko-KR
Ancient Forge - Act I,에인션트 포지 - 봄맞이,ko-KR
Ancient Forge - Act II,에인션트 포지 - 새해맞이,ko-KR
Ancient Forge - Act III,에인션트 포지 - 새해 인사,ko-KR
Ancient Mutters,공전의 만남,ko-KR
Anguish Hangs O'er,배회하는 액운,ko-KR
Anniversary,기념일,ko-KR
Anorexia,식욕 부진,ko-KR
Another Breath of Death,부패의 종말,ko-KR
Another Perspective,다른 시각,ko-KR
Another Round,다시 겨룬다,ko-KR
Answer Me,대답해,ko-KR
Anterior,나는 앞길이 두렵지 않다,ko-KR
Anti-Art Movement,반 예술 운동,ko-KR
Anywhere I Wander,부평초와 같이,ko-KR
Apparition,요괴,ko-KR
Apparitional Waves,다가오는 그림자,ko-KR
"Appassionata, ou Pathétique","열정, 또는 비창",ko-KR
"Apple Pie Party, Now Preparing!",사과 파티 준비 중!,ko-KR
Apples,사과,ko-KR
Approaching Blizzard,폭설 전야,ko-KR
April Showers,이유 없는 비,ko-KR
"Arise, Treading Through Flames","머리, 불길을 즈려밟고 치켜든",ko-KR
Armor and Crossbow,중장갑 대 발리스타,ko-KR
Arrival,강림,ko-KR
Artificial Cold,인공냉각,ko-KR
As A Medic,의사로서,ko-KR
As Time Itself,시간과 함께하는 너,ko-KR
Asking For Trouble,사서 고생,ko-KR
Aspiration,동경,ko-KR
Astray,돌아갈 줄 모른다는 것,ko-KR
Astray,방황,ko-KR
Asymmetrical Garden,비대칭 정원,ko-KR
At Vendetta's Close,원한의 끝,ko-KR
At a Standstill,정체,ko-KR
At the End of the Night,밤의 끝자락,ko-KR
Atop the Skyscrapers,빌딩 위,ko-KR
Attack! King of the Skies!,습격! 하늘의 왕자!,ko-KR
Aufführung im Abendrot,노을 아래의 연주,ko-KR
Awakening in Exhaustion,피로 속에서 깨어나,ko-KR
"Awakening, A Dream's End","소생, 떠오른 꿈나라에서의",ko-KR
Away in the Painting,그림 속,ko-KR
Azure,파란색,ko-KR
Azure Memories,짙푸른 그리움,ko-KR
Back Cover,마지막 페이지,ko-KR
Back on Track,원상 복구,ko-KR
Backflow Current,역류된 해류처럼,ko-KR
Bad Mesh,교합 불량,ko-KR
Bad to the Bone,뼈에 사무치는,ko-KR
Bai Jin,백금,ko-KR
Ballroom,연회장,ko-KR
Band of Outsiders,무법자,ko-KR
Banner,깃발,ko-KR
Banner in the Wind,휘날리는 깃발,ko-KR
Bar Shin-Matsuri,신 마츠리 바,ko-KR
Battered and Bruised,만신창이,ko-KR
Battle for the Core,메인 선실 공방전,ko-KR
Battle of the Lord's Manor,아미르 저택 공방전,ko-KR
Battle! Blazin' Soul of a Warrior!,결전! 타오르는 사냥혼!,ko-KR
Battlefield Rescue,전장에서의 구조,ko-KR
Beach Blockade,해변의 저지,ko-KR
Beach Landing,상륙 작전,ko-KR
"Bear Witness, the Death of the Gods",신들의 죽음을 목격한 황야,ko-KR
Bearer of the Sword,칼을 잡은 자,ko-KR
Before I Say Goodbye,안녕이라 하기 전에,ko-KR
Before Spring's Coming,봄이 오기 전,ko-KR
Before the Rain,비가 오기 전에,ko-KR
Before the Spilling Sunlight,햇빛이 쏟아지기 전,ko-KR
Beg for Mercy,살기 위해,ko-KR
"Behold, the Twilight Comes","두 눈, 해질녘에 떠진",ko-KR
Believe My Belief,내가 믿는 것,ko-KR
Believer,광신도,ko-KR
Bells of Liberation,방울을 열다,ko-KR
Belonging,귀속,ko-KR
Beneath the Worthy Wheel,굴러가는 수레바퀴,ko-KR
Benevolent Betrayal,선의의 배신,ko-KR
Betrayal,배반,ko-KR
Between Past and Present,과거와 현재의 만남,ko-KR
Beyond Cure,너무 늦어버린,ko-KR
Beyond the Snowy Mountain,설산 밖,ko-KR
Beyond the Veil,유암화명,ko-KR
Birth,탄생,ko-KR
"Black Rabbit, White Rabbit",검은 토끼와 흰 토끼,ko-KR
Black Rocks,검은 돌,ko-KR
Blind Journey,랜덤 박스 여행,ko-KR
Blizzards Be Your Voice,눈보라가 대신 전달한 것,ko-KR
Blockade Running,포위망 돌파,ko-KR
Blood Diamond's Song,'블러드 다이아몬드'의 노래,ko-KR
Bloodblade on High,핏빛의 칼날,ko-KR
Bloom Season,개화기,ko-KR
Blue Ear Wine Cellar,블루이어 와인셀러,ko-KR
Blue Notes,블루스,ko-KR
Boiling Point,닫히지 않는 냄비 뚜껑,ko-KR
Bound by Pain,이어지는 아픔,ko-KR
Boundless Wilds,긴 황야의 길,ko-KR
Bouquet of Mourning,애도,ko-KR
Braised Wax Gourd Cube,승육화방,ko-KR
Brand New Life,새로운 생활,ko-KR
Brave Wind and Rain,비바람을 뚫고,ko-KR
"Bravery, Stupidity","용감, 무모",ko-KR
Brawl,혼전,ko-KR
Break Free,아이 워너 브레이크 프리,ko-KR
Break Free,탈출,ko-KR
Breaking the Ice,쇄빙,ko-KR
Breaking the Silence,통신 방해 해제,ko-KR
Breath of the City,도시의 숨결,ko-KR
"Breeze's Warmth, Chilled Forest",따뜻한 바람의 겨울 숲,ko-KR
Briefly Gathered,짧은 모임,ko-KR
Brink of the Abyss,심연의 곁,ko-KR
Brittle Steel,취약한 강철,ko-KR
Broadcast Hotline is Busy,분주한 라디오 핫라인,ko-KR
Broca's Anger,분노한 브로카,ko-KR
Broken Echoes,부서진 메아리,ko-KR
Broken Strings,끊어진 선,ko-KR
Broken Wings,하늘을 가르는 깃털,ko-KR
Browntail,브라운테일,ko-KR
Brutal Perpetrator,미개한 난동자,ko-KR
Bubbles,버블,ko-KR
Building Urtica Together,우르티카령 공동 건설,ko-KR
Bunker Defense Line,벙커 방어선,ko-KR
Bureaucracy,관료주의,ko-KR
Buried,매장,ko-KR
Burn the Haystacks,풀더미에 점화,ko-KR
Burning on a Winter Night,겨울밤에 타오르는,ko-KR
