source,target,tgt_lng
仅存活时生效,生存中のみ有効,ja-JP
僅存活時生效,生存中のみ有効,ja-JP
Active when alive,生存中のみ有効,ja-JP
생존 시에만 적용,生存中のみ有効,ja-JP
เฉพาะเมื่อมีชีวิตรอด,生存中のみ有効,ja-JP
存活和死亡均生效,戦闘不能で解除されない,ja-JP
Active when dead or alive,戦闘不能で解除されない,ja-JP
생존과 사망 모두 적용,戦闘不能で解除されない,ja-JP
ทั้ง​เมื่อ​มีชีวิตรอด​และ​ตาย​,戦闘不能で解除されない,ja-JP
所有模式均生效,すべてのモードで有効,ja-JP
Active in all modes,すべてのモードで有効,ja-JP
모든 모드에 모두 적용,すべてのモードで有効,ja-JP
โหมดทั้งหมด,すべてのモードで有効,ja-JP
仅在PVP生效,PVPのみで有効,ja-JP
僅在PVP生效,PVPのみで有効,ja-JP
Active in PvP,PVPのみで有効,ja-JP
PVP에서만 적용,PVPのみで有効,ja-JP
โหมด PVP เท่านั้น,PVPのみで有効,ja-JP
PVP除外生效,PVP以外のモードで有効,ja-JP
Active in all modes except PvP,PVP以外のモードで有効,ja-JP
PVP 이외 적용,PVP以外のモードで有効,ja-JP
โหมด​ทั้งหมด​ ยกเว้น​โหมด​ PVP​,PVP以外のモードで有効,ja-JP
仅在协力战生效,協同作戦のみで有効,ja-JP
僅在協力戰生效,協同作戦のみで有効,ja-JP
Active only in the Invasion,協同作戦のみで有効,ja-JP
협력전에서만 적용,協同作戦のみで有効,ja-JP
โหมดผนึกกำลังเท่านั้น,協同作戦のみで有効,ja-JP
协力战除外生效,協同作戦以外のモードで有効,ja-JP
協力戰除外生效,協同作戦以外のモードで有効,ja-JP
Active in all modes except Invasion,協同作戦以外のモードで有効,ja-JP
협력전 이외 적용,協同作戦以外のモードで有効,ja-JP
โหมด​ทั้งหมด​ ยกเว้น​โหมด​ผนึก​กำลัง​,協同作戦以外のモードで有効,ja-JP
仅在社团特训生效,ギルド特訓のみ有効,ja-JP
僅在社團特訓生效,ギルド特訓のみ有効,ja-JP
Active only in Clan Campaign,ギルド特訓のみ有効,ja-JP
클럽 트레이닝에서만 유효,ギルド特訓のみ有効,ja-JP
โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​เท่านั้น​,ギルド特訓のみ有効,ja-JP
社团特训除外生效,ギルド特訓以外有効,ja-JP
社團特訓除外生效,ギルド特訓以外有効,ja-JP
Inactive in Clan Campaign,ギルド特訓以外有効,ja-JP
클럽 트레이닝 외에서만 유효,ギルド特訓以外有効,ja-JP
โหมด​ทั้งหมด​ ยกเว้น​โหมด​การ​ฝึก​พิเศษ​ของ​ชมรม​,ギルド特訓以外有効,ja-JP
单伤,単体攻撃,ja-JP
單傷,単体攻撃,ja-JP
DMG,単体攻撃,ja-JP
단일 대미지,単体攻撃,ja-JP
ดาเมจเป้าเดี่ยว,単体攻撃,ja-JP
易伤,被ダメージ増加,ja-JP
易傷,被ダメージ増加,ja-JP
Vulnerability,被ダメージ増加,ja-JP
취약,被ダメージ増加,ja-JP
เปราะบาง,被ダメージ増加,ja-JP
加防,防御力上昇,ja-JP
DEF UP,防御力上昇,ja-JP
방어력 증가,防御力上昇,ja-JP
เพิ่ม DEF,防御力上昇,ja-JP
减防,防御力低下,ja-JP
減防,防御力低下,ja-JP
DEF DOWN,防御力低下,ja-JP
방어력 감소,防御力低下,ja-JP
ลด DEF,防御力低下,ja-JP
护盾,シールド,ja-JP
護盾,シールド,ja-JP
Shield,シールド,ja-JP
실드,シールド,ja-JP
โล่ป้องกัน,シールド,ja-JP
抢夺,奪い取る,ja-JP
搶奪,奪い取る,ja-JP
Plunder,奪い取る,ja-JP
강탈,奪い取る,ja-JP
ขโมย,奪い取る,ja-JP
回能,SP回復,ja-JP
Recover SP,SP回復,ja-JP
반환,SP回復,ja-JP
ฟื้นพลังงาน,SP回復,ja-JP
减能,SP減少,ja-JP
減能,SP減少,ja-JP
Reduce SP,SP減少,ja-JP
게이지 감소,SP減少,ja-JP
ลดพลังงาน,SP減少,ja-JP
补卡,カード補充,ja-JP
補卡,カード補充,ja-JP
Add Card,カード補充,ja-JP
드로우,カード補充,ja-JP
การ์ดสำรอง,カード補充,ja-JP
升星,昇格,ja-JP
Star Up,昇格,ja-JP
승급,昇格,ja-JP
เพิ่มดาว,昇格,ja-JP
处决,処刑,ja-JP
處決,処刑,ja-JP
Execute,処刑,ja-JP
처단,処刑,ja-JP
เผด็จศึก,処刑,ja-JP
群伤,全体攻撃,ja-JP
群傷,全体攻撃,ja-JP
AoE,全体攻撃,ja-JP
광역 대미지,全体攻撃,ja-JP
ดาเมจหมู่,全体攻撃,ja-JP
斩杀,斬殺,ja-JP
Slay,斬殺,ja-JP
참살,斬殺,ja-JP
สังหาร,斬殺,ja-JP
驱散,解除,ja-JP
驅散,解除,ja-JP
Dispel,解除,ja-JP
해제,解除,ja-JP
ลบล้าง,解除,ja-JP
清除,全解除,ja-JP
Clear,全解除,ja-JP
제거,全解除,ja-JP
ลบล้าง,全解除,ja-JP
点燃,燃焼,ja-JP
點燃,燃焼,ja-JP
Burning,燃焼,ja-JP
연소,燃焼,ja-JP
ไฟไหม้,燃焼,ja-JP
持续伤害,持続ダメージ,ja-JP
持續傷害,持続ダメージ,ja-JP
DoT,持続ダメージ,ja-JP
지속 대미지,持続ダメージ,ja-JP
ดาเมจต่อเนื่อง,持続ダメージ,ja-JP
恐惧,恐怖,ja-JP
