source,target,tgt_lng
Abjurer,비호자,ko-KR
Agent,에이전트,ko-KR
Alchemist,연금술사,ko-KR
Ambusher,매복자,ko-KR
Artificer,기능공,ko-KR
Artilleryman,포격사수,ko-KR
Arts Fighter,아츠 파이터,ko-KR
Arts Protector,아츠 프로텍터,ko-KR
Bard,음유시인,ko-KR
Besieger,공성사수,ko-KR
Blast Caster,블래스트 캐스터,ko-KR
Caster,캐스터,ko-KR
Centurion,공격수,ko-KR
Chain Caster,체인 캐스터,ko-KR
Chain Medic,체인 메딕,ko-KR
Charger,돌격수,ko-KR
Core Caster,코어 캐스터,ko-KR
Crusher,대검사,ko-KR
Deadeye,저격수,ko-KR
Decel Binder,감속자,ko-KR
Defender,디펜더,ko-KR
Dollkeeper,인형사,ko-KR
Dreadnought,드레드노트,ko-KR
Duelist,결전자,ko-KR
Earthshaker,어스셰이커,ko-KR
Executor,처형자,ko-KR
Fighter,파이터,ko-KR
Flinger,투척수,ko-KR
Fortress,포트리스,ko-KR
Geek,기인,ko-KR
Guard,가드,ko-KR
Guardian,가디언,ko-KR
Heavyshooter,헤비슈터,ko-KR
Hexer,약화자,ko-KR
Hookmaster,후크마스터,ko-KR
Hunter,사냥꾼,ko-KR
Incantation Medic,주술 메딕,ko-KR
Instructor,교관,ko-KR
Juggernaut,저거너트,ko-KR
Liberator,해방자,ko-KR
Loopshooter,루프슈터,ko-KR
Lord,로드,ko-KR
Marksman,명사수,ko-KR
Mech-accord Caster,메카 캐스터,ko-KR
Medic,메딕,ko-KR
Mercenary,용병,ko-KR
Merchant,상인,ko-KR
Multi-target Medic,멀티 타겟 메딕,ko-KR
Mystic Caster,미스틱 캐스터,ko-KR
No class trap,무직업 함정,ko-KR
Operator attached unit,오퍼레이터 추가 유닛,ko-KR
Phalanx Caster,진법 캐스터,ko-KR
Pioneer,척후병,ko-KR
Primal Caster,프라이멀 캐스터,ko-KR
Primal Guard,프라이멀 가드,ko-KR
Primal Protector,프라이멀 프로텍터,ko-KR
Protector,프로텍터,ko-KR
Push Stroker,푸쉬마스터,ko-KR
Reaper,리퍼,ko-KR
Reserved 1,예비용1,ko-KR
Ritualist,의식술사,ko-KR
Sentry Protector,센트리 프로텍터,ko-KR
Shaper Caster,셰이퍼 캐스터,ko-KR
Skybreaker,스카이브레이커,ko-KR
Skyranger,스카이레인저,ko-KR
Sniper,스나이퍼,ko-KR
Soloblade,솔로블레이드,ko-KR
Specialist,스페셜리스트,ko-KR
Splash Caster,스플래시 캐스터,ko-KR
Spreadshooter,산탄사수,ko-KR
Standard Bearer,기수,ko-KR
Strategist,책사,ko-KR
Summoner,소환사,ko-KR
Supporter,서포터,ko-KR
Swordmaster,소드마스터,ko-KR
Tactician,전술가,ko-KR
Therapist,테라피스트,ko-KR
Trapmaster,함정술사,ko-KR
Vanguard,뱅가드,ko-KR
Wandering Medic,방랑 메딕,ko-KR
Watchman,파수꾼,ko-KR
不屈者,저거너트,ko-KR
中坚术师,코어 캐스터,ko-KR
中堅術師,코어 캐스터,ko-KR
予備1,예비용1,ko-KR
伏击客,매복자,ko-KR
伏擊客,매복자,ko-KR
佣兵,용병,ko-KR
偵察兵,에이전트,ko-KR
傀儡师,인형사,ko-KR
傀儡師,인형사,ko-KR
傭兵,용병,ko-KR
先鋒,뱅가드,ko-KR
先锋,뱅가드,ko-KR
先駆兵,척후병,ko-KR
冲锋手,돌격수,ko-KR
决战者,결전자,ko-KR
凝滞师,감속자,ko-KR
凝滯師,감속자,ko-KR
削弱者,약화자,ko-KR
前衛,가드,ko-KR
剑豪,소드마스터,ko-KR
剣豪,소드마스터,ko-KR
創霊術師,셰이퍼 캐스터,ko-KR
劍豪,소드마스터,ko-KR
勇士,드레드노트,ko-KR
医师,메딕,ko-KR
医師,메딕,ko-KR
医疗,메딕,ko-KR
医療,메딕,ko-KR
召唤师,소환사,ko-KR
召喚ユニット,오퍼레이터 추가 유닛,ko-KR
召喚師,소환사,ko-KR
吟游者,음유시인,ko-KR
吟遊者,음유시인,ko-KR
呪癒師,주술 메딕,ko-KR
呪詛師,약화자,ko-KR
咒愈师,주술 메딕,ko-KR
咒癒師,주술 메딕,ko-KR
哨戒衛士,센트리 프로텍터,ko-KR
哨戒鐵衛,센트리 프로텍터,ko-KR
哨戒铁卫,센트리 프로텍터,ko-KR
回环射手,루프슈터,ko-KR
回環射手,루프슈터,ko-KR
執旗手,기수,ko-KR
執行者,처형자,ko-KR
堅城砲手,포트리스,ko-KR
塑灵术师,셰이퍼 캐스터,ko-KR
塑靈術師,셰이퍼 캐스터,ko-KR
处决者,처형자,ko-KR
守护者,가디언,ko-KR
守望者,파수꾼,ko-KR
守護者,가디언,ko-KR
尖兵,척후병,ko-KR
巡空者,스카이레인저,ko-KR
工匠,기능공,ko-KR
巫役,의식술사,ko-KR
干员附带单位,오퍼레이터 추가 유닛,ko-KR
幹員附帶單位,오퍼레이터 추가 유닛,ko-KR
庇護衛士,가디언,ko-KR
強攻手,공격수,ko-KR
強襲者,공격수,ko-KR
强攻手,공격수,ko-KR
怪傑,기인,ko-KR
怪杰,기인,ko-KR
情報官,에이전트,ko-KR
情报官,에이전트,ko-KR
战术家,전술가,ko-KR
戦術家,전술가,ko-KR
戦術射手,저격수,ko-KR
戰術家,전술가,ko-KR
执旗手,기수,ko-KR
扩散术师,스플래시 캐스터,ko-KR
投掷手,투척수,ko-KR
投擲手,투척수,ko-KR
护佑者,비호자,ko-KR
拡散術師,스플래시 캐스터,ko-KR
推击手,푸쉬마스터,ko-KR
推撃手,푸쉬마스터,ko-KR
推擊手,푸쉬마스터,ko-KR
撼地者,어스셰이커,ko-KR
操機術師,메카 캐스터,ko-KR
擴散術師,스플래시 캐스터,ko-KR
收割者,리퍼,ko-KR
攻城手,공성사수,ko-KR
放浪医,방랑 메딕,ko-KR
教官,교관,ko-KR
散射手,산탄사수,ko-KR
散弾射手,산탄사수,ko-KR
斗士,파이터,ko-KR
旋輪射手,루프슈터,ko-KR
旗手,기수,ko-KR
无畏者,드레드노트,ko-KR
无职业陷阱,무직업 함정,ko-KR
本源戦士,프라이멀 가드,ko-KR
本源术师,프라이멀 캐스터,ko-KR
本源術師,프라이멀 캐스터,ko-KR
本源衛士,프라이멀 프로텍터,ko-KR
本源近卫,프라이멀 가드,ko-KR
本源近衛,프라이멀 가드,ko-KR
本源鐵衛,프라이멀 프로텍터,ko-KR
本源铁卫,프라이멀 프로텍터,ko-KR
术师,캐스터,ko-KR
术战者,아츠 파이터,ko-KR
榴弾射手,포격사수,ko-KR
槌撃士,어스셰이커,ko-KR
武者,솔로블레이드,ko-KR
決戰者,결전자,ko-KR
決闘者,결전자,ko-KR
法陣術師,진법 캐스터,ko-KR
潜伏者,매복자,ko-KR
炮手,포격사수,ko-KR
炼金师,연금술사,ko-KR
無畏者,드레드노트,ko-KR
無職業陷阱,무직업 함정,ko-KR
煉金師,연금술사,ko-KR
爆撃術師,블래스트 캐스터,ko-KR
特殊,스페셜리스트,ko-KR
特种,스페셜리스트,ko-KR
特種,스페셜리스트,ko-KR
狙击,스나이퍼,ko-KR
狙撃,스나이퍼,ko-KR
