source,target,tgt_lng
(Level %s/%s),（缩放等级%s/%s）,zh-CN
(Livello %s/%s),（缩放等级%s/%s）,zh-CN
(Mức %s/%s),（缩放等级%s/%s）,zh-CN
(Niveau %s/%s),（缩放等级%s/%s）,zh-CN
(Nivel %s/%s),（缩放等级%s/%s）,zh-CN
(Nível %s/%s),（缩放等级%s/%s）,zh-CN
(Seviye %s/%s),（缩放等级%s/%s）,zh-CN
(Stufe %s/%s),（缩放等级%s/%s）,zh-CN
(Уровень: %s/%s),（缩放等级%s/%s）,zh-CN
(ระดับ %s/%s),（缩放等级%s/%s）,zh-CN
(레벨 %s/%s),（缩放等级%s/%s）,zh-CN
Alacalı Orman Kamp Haritası,斑驳森林营地地图,zh-CN
Alacalı Orman Terkedilmiş Kamp Haritası,斑驳森林废弃营地地图,zh-CN
Bamboo Camp Map,竹林营地地图,zh-CN
Bamboo Jungle Abandoned Camp Map,竹林废弃营地地图,zh-CN
Bambu Kamp Haritası,竹林营地地图,zh-CN
Bambu Ormanı Terkedilmiş Kamp Haritası,竹林废弃营地地图,zh-CN
Bambus-Lagerkarte,竹林营地地图,zh-CN
Bataklık Kamp Haritası,沼泽营地地图,zh-CN
Bataklık Kâşif Haritası,沼泽探险家地图,zh-CN
Bataklık Terkedilmiş Kamp Haritası,沼泽废弃营地地图,zh-CN
Bilinmeyen Harita,未知地图,zh-CN
Birch Forest Abandoned Camp Map,桦木森林废弃营地地图,zh-CN
Birch Forest Camp Map,桦木森林营地地图,zh-CN
Birkenwald-Lagerkarte,桦木森林营地地图,zh-CN
Blasser-Garten-Lagerkarte,苍白之园营地地图,zh-CN
Bloccata,已锁定,zh-CN
Bloqueado,已锁定,zh-CN
Blumenwald-Lagerkarte,繁花森林营地地图,zh-CN
Buntwaldlagerkarte,斑驳森林营地地图,zh-CN
Buried Treasure Map,藏宝图,zh-CN
Bản đồ kho báu bị chôn vùi,藏宝图,zh-CN
Bản đồ khám phá rừng nhiệt đới,丛林探险家地图,zh-CN
Bản đồ khám phá rừng sâu,林地探险家地图,zh-CN
Bản đồ khám phá thử thách,试炼探险家地图,zh-CN
Bản đồ khám phá đại dương,海洋探险家地图,zh-CN
Bản đồ khám phá đầm lầy,沼泽探险家地图,zh-CN
Bản đồ không rõ,未知地图,zh-CN
Bản đồ làng băng tuyết,雪原村庄地图,zh-CN
Bản đồ làng rừng Taiga,针叶林村庄地图,zh-CN
Bản đồ làng sa mạc,沙漠村庄地图,zh-CN
Bản đồ làng Xavan,热带草原村庄地图,zh-CN
Bản đồ làng đồng bằng,平原村庄地图,zh-CN
Bản đồ trại bỏ hoang khu vườn nhợt nhạt,苍白之园废弃营地地图,zh-CN
Bản đồ trại bỏ hoang rừng bạch dương,桦木森林废弃营地地图,zh-CN
Bản đồ trại bỏ hoang rừng hoa,繁花森林废弃营地地图,zh-CN
Bản đồ trại bỏ hoang rừng lốm đốm,斑驳森林废弃营地地图,zh-CN
Bản đồ trại bỏ hoang rừng lộng gió,风袭森林废弃营地地图,zh-CN
Bản đồ trại bỏ hoang rừng núi anh đào,樱花树林废弃营地地图,zh-CN
Bản đồ trại bỏ hoang rừng tre,竹林废弃营地地图,zh-CN
Bản đồ trại bỏ hoang đầm lầy,沼泽废弃营地地图,zh-CN
Bản đồ trại khu vườn nhợt nhạt,苍白之园营地地图,zh-CN
Bản đồ trại rừng bạch dương,桦木森林营地地图,zh-CN
Bản đồ trại rừng hoa,繁花森林营地地图,zh-CN
Bản đồ trại rừng lốm đốm,斑驳森林营地地图,zh-CN
Bản đồ trại rừng lộng gió,风袭森林营地地图,zh-CN
Bản đồ trại rừng núi anh đào,樱花树林营地地图,zh-CN
Bản đồ trại rừng tre,竹林营地地图,zh-CN
Bản đồ trại đầm lầy,沼泽营地地图,zh-CN
Bản đồ đền thờ rừng nhiệt đới,丛林神庙地图,zh-CN
Carte au trésor,藏宝图,zh-CN
Carte d'exploration des bois,林地探险家地图,zh-CN
Carte d'exploration des jungles,丛林探险家地图,zh-CN
Carte d'exploration des marais,沼泽探险家地图,zh-CN
Carte d'exploration des océans,海洋探险家地图,zh-CN
Carte de camp de bosquet de cerisiers,樱花树林废弃营地地图,zh-CN
Carte de camp de bosquet de cerisiers,樱花树林营地地图,zh-CN
Carte de camp de forêt ambrée,斑驳森林废弃营地地图,zh-CN
Carte de camp de forêt ambrée,斑驳森林营地地图,zh-CN
Carte de camp de forêt de bouleaux,桦木森林废弃营地地图,zh-CN
Carte de camp de forêt de bouleaux,桦木森林营地地图,zh-CN
Carte de camp de forêt fleurie,繁花森林废弃营地地图,zh-CN
Carte de camp de forêt fleurie,繁花森林营地地图,zh-CN
