source,target,tgt_lng
Aeroimpulso,ลมระเบิด,th-TH
Affilage,กวัดแกว่งดาบ,th-TH
Affilatezza,แหลมคม,th-TH
Affinità all'acqua,ขุดเร็วใต้น้ำ,th-TH
Affinité aquatique,ขุดเร็วใต้น้ำ,th-TH
Affondo,พุ่งแทง,th-TH
Afiação,แหลมคม,th-TH
Afinidad acuática,ขุดเร็วใต้น้ำ,th-TH
Afinidade Aquática,ขุดเร็วใต้น้ำ,th-TH
Agilidad acuática,คล่องแคล่วใต้น้ำ,th-TH
Agilité aquatique,คล่องแคล่วใต้น้ำ,th-TH
Agilité des âmes,ความเร็ววิญญาณ,th-TH
Alcance,กวัดแกว่งดาบ,th-TH
Alev,เปลวไฟ,th-TH
Alevden Çehre,อัคนีพิฆาต,th-TH
Anatema,โจมตีศักดิ์สิทธิ์,th-TH
Apnée,หายใจใต้น้ำ,th-TH
Appât,เหยื่อล่อ,th-TH
Aqua Affinity,ขุดเร็วใต้น้ำ,th-TH
Aspecto Flamejante,อัคนีพิฆาต,th-TH
Aspecto ígneo,อัคนีพิฆาต,th-TH
Aspetto di fuoco,อัคนีพิฆาต,th-TH
Ateş Koruması,ทนไฟ,th-TH
Atmung,หายใจใต้น้ำ,th-TH
Atracción,เหยื่อล่อ,th-TH
Atterraggio morbido,เบาดุจขนนก,th-TH
Atılma,พุ่งแทง,th-TH
Aura de feu,อัคนีพิฆาต,th-TH
Ausfallschritt,พุ่งแทง,th-TH
Aşma,ฝ่าเกราะ,th-TH
Bane of Arthropods,สังหารอาร์โทรพอด,th-TH
Bann,โจมตีศักดิ์สิทธิ์,th-TH
Barrido,กวัดแกว่งดาบ,th-TH
Bağlanma Laneti,คำสาปแห่งการยึดติด,th-TH
Behutsamkeit,ละมุนสัมผัส,th-TH
Blast Protection,ทนแรงระเบิด,th-TH
Botín,ฉกชิง,th-TH
Breach,ฝ่าเกราะ,th-TH
Breccia,ฝ่าเกราะ,th-TH
Brèche,ฝ่าเกราะ,th-TH
Butin,ฉกชิง,th-TH
Bảo vệ,ทนดาเมจ,th-TH
Bảo vệ khỏi lửa,ทนไฟ,th-TH
Bảo vệ khỏi sát thương rơi,เบาดุจขนนก,th-TH
Bảo vệ khỏi vật bắn ra,ทนวัตถุพุ่ง,th-TH
Bảo vệ khỏi vụ nổ,ทนแรงระเบิด,th-TH
Canalisation,สายฟ้าพิฆาต,th-TH
