source,target,tgt_lng
'엄청 뜨거운' 칼,很熱的刀,zh-TW
'엄청 무거운' 창,很重的槍,zh-TW
'엄청 차가운' 도끼,很冰的斧,zh-TW
1인분 요리,單人份料理,zh-TW
2点・バースト,二連射·自動,zh-TW
2급 치료 모드,次級治療模式,zh-TW
2연사 - 자동,二連射·自動,zh-TW
A Disastrous Drowning,沉溺之災,zh-TW
A Meal For One,單人份料理,zh-TW
A Top Student's Abilities,才女的實力,zh-TW
ATK Up α,攻擊力強化·α型,zh-TW
ATK Up β,攻擊力強化·β型,zh-TW
ATK Up γ,攻擊力強化·γ型,zh-TW
Abundant,沖盈,zh-TW
Abyssal Hunter File,深海獵人文件,zh-TW
Abyssal Hunter Model,深海獵人模型,zh-TW
Activate,啟動,zh-TW
Activate Beacon,信標啟動,zh-TW
Activate Phase Blades,浮游刃啟動,zh-TW
Adaptive Supply,自我調整補給,zh-TW
Advanced Deployment Permit,晉升調配特許,zh-TW
Aerial Hammer,躍空錘,zh-TW
After All I See Has Withered,我見枯朽之後,zh-TW
Against the Flood,斥洪,zh-TW
Aid,援護,zh-TW
Air Burst,氣體爆噴,zh-TW
Airflow,氣流,zh-TW
Airspace Control,空域控制,zh-TW
All An Illusion!,全都是虛像！,zh-TW
All That I Author,書我所書,zh-TW
All That I Command,馭我所馭,zh-TW
All That I Do,為我所為,zh-TW
All the Thunderlight,天地通明,zh-TW
All-Dominating Fight,天下劫,zh-TW
All-Out Clash,全力相搏,zh-TW
Allerdale's Guard,阿勒黛的衛護,zh-TW
Alliance Coin,幸運硬幣,zh-TW
Alluring Treasures,誘人珍寶,zh-TW
Alluring Treasures?,誘人珍寶？,zh-TW
Ally Support,同盟支援,zh-TW
Along the Easterlies,應東風,zh-TW
Amidst Pleasant Melodies,笑鳴瑟,zh-TW
Amidst Thunder,迎雷,zh-TW
Anadi-Avidya,無始無明,zh-TW
Analyze,分析,zh-TW
Anatta,我無,zh-TW
Anchor Point Snap,錨點捕捉,zh-TW
Anchor Strike,錨擊,zh-TW
Ancient Statuegeist,古雕倀,zh-TW
And All Be In My Name,俱以我之名,zh-TW
Annihilation,湮滅,zh-TW
Answer the Call,一呼百應,zh-TW
Anti-Degradative,緩蝕,zh-TW
Apocalyptic Scene,宛如天啟,zh-TW
Aqua Loop,水流環,zh-TW
Arcane Arts Circle,口袋法陣,zh-TW
Arcane Staff - Anti-Gravity Mode,秘杖·反重力模式,zh-TW
Arcane Staff - Particle Mode,秘杖·微粒模式,zh-TW
Arcane Staff - Quick Charge Mode,秘杖·速充模式,zh-TW
Area Overwatch,廣域警覺,zh-TW
Area Tuning,廣域調諧,zh-TW
Armed Combat Module,武裝打擊模組,zh-TW
Armor Breaker,碎甲擊,zh-TW
Armor Breaker - Spread,碎甲擊·擴散,zh-TW
Armor Up!,請穿上護具！,zh-TW
Armorcrusher,碎甲拳,zh-TW
Arms Factory Is A-Go!,軍工廠生產！,zh-TW
Aromatherapy,花香療法,zh-TW
Artificial Snowfall,人工降雪,zh-TW
Arts Shield,法術護盾,zh-TW
Arts Transfer Protocol,法術傳輸協議,zh-TW
Arts: All-Out,法術：全力,zh-TW
Arts: Barrier,法術：屏障,zh-TW
Arts: Blood Tax,法術：血稅,zh-TW
Arts: Boost,法術：提升,zh-TW
Arts: Familiar Face,法術：熟人,zh-TW
Arts: Greed,法術：貪婪,zh-TW
Arts: Infiltration,法術：破襲,zh-TW
Arts: Peer,法術：同行,zh-TW
Arts: Recovery,法術：恢復,zh-TW
Arts: Role Model,法術：榜樣,zh-TW
Arts: Satisfaction,法術：滿足,zh-TW
Arts: Shield,法術：護盾,zh-TW
Arts: Slow,法術：遲緩,zh-TW
Arts: Strength,法術：力量,zh-TW
Arts: Transmission,法術：傳動,zh-TW
As Fierce As Flame,如焰般熱烈,zh-TW
As Strong As Wheat,如麥般生長,zh-TW
As You Wish,如你所願,zh-TW
Assault Tactics,突擊戰術,zh-TW
Astral Protection,星座守護,zh-TW
Astral Sword,星輝劍,zh-TW
Auto Defense,自動防禦,zh-TW
Auto Protect,自動掩護,zh-TW
Avalanche,雪崩,zh-TW
Avalanche Breaker,雪崩擊,zh-TW
Avalanche Control,落雪防護,zh-TW
Avalanche Trigger,雪崩觸發,zh-TW
Awaken,喚醒,zh-TW
Awaken,甦醒,zh-TW
Bacchanalia,狂飲之宴,zh-TW
Backbeat Stress,反拍重音,zh-TW
Bang!,砰！,zh-TW
Barbed Clawhook,倒刺鉤爪,zh-TW
Barrel Burst,炮管敲擊,zh-TW
Barricade,阻隔工事,zh-TW
Battle Plan,作戰規劃,zh-TW
Battlefield Analyzer,戰場分析儀,zh-TW
Battlefield Inspiration,戰地鼓舞,zh-TW
Beacon of Dawn,晨曦信標,zh-TW
Beaten Up,挨打,zh-TW
Before All I See Collapses,我見崩毀之前,zh-TW
Belua Multorum es Capitums,多首野獸,zh-TW
Big Larry,大拉里,zh-TW
Bimodule Robotic Arm,雙模機械臂,zh-TW
Binary Reload,雙線裝填,zh-TW
Binding 'Clip',束縛“夾子”,zh-TW
Binding Chains,束縛鏈,zh-TW
Binding Shock,束縛電擊,zh-TW
Bionic Device,迷惑裝置,zh-TW
Bitter Karma,惡業苦果,zh-TW
Blade Dance,亂舞,zh-TW
Blade Demon,刃鬼,zh-TW
Blade Swap,異刃斬,zh-TW
Blade of Fleeting Shadows,光影迅捷劍,zh-TW
Blade of the Qarnsayf,劍角之鋒,zh-TW
Blast Range Up α,爆破範圍提升·α型,zh-TW
Blazing Sun,耀陽,zh-TW
Blazing Sun's Obeisance,耀陽頷首,zh-TW
Blazing Wire Stripper,火焰剝離,zh-TW
Blessing of Heroism,英勇的祝福,zh-TW
Blessing of the River of Life,靈河護佑,zh-TW
Blessings Unto Yan,佑序有炎,zh-TW
Blizzard,暴風雪,zh-TW
Block,阻擋,zh-TW
Block Deployment,阻止部署,zh-TW
Block Road,阻斷道路,zh-TW
Block Wavelength,阻斷波長,zh-TW
Blood Pact,歃血,zh-TW
Blood's Whisper,本能的召喚,zh-TW
Bloodcalling Altar,喚血祭壇,zh-TW
Bloodline of Desecrated Earth,穢壤的血脈,zh-TW
Bloodstain,血潰,zh-TW
Bloody Opus,血色樂章,zh-TW
Boiling Blood Ablaze,沸血燎原,zh-TW
Boiling Burst,沸騰爆裂,zh-TW
Bolt Launching,發射弩箭,zh-TW
Bomb Loading Point,炸彈載荷點,zh-TW
Bone Fracture,肉斬骨斷,zh-TW
Boundaries Must Be Kept,必須維繫的界限,zh-TW
Bountiful Harvest,嘉禾盈倉,zh-TW
Brandish,揮砍,zh-TW
Breaching Rounds,攻堅榴彈,zh-TW
Bring to Heel,可馴服的,zh-TW
Broken Blade,碎金為刃,zh-TW
Buckshot,霰射彈頭,zh-TW
Budget-Savvy Doll,精打細算玩偶,zh-TW
Build Tower,搭建高台,zh-TW
Bumper Crop,豐收,zh-TW
Burden of Cinder and Ash,餘燼重荷,zh-TW
Burning Flames,發炎火焰,zh-TW
Burning Victorian Hammer,灼燃維式重鎚,zh-TW
Burst,噴射,zh-TW
Burst!,噴射！,zh-TW
Buzzer,蜂鳴器,zh-TW
Cage of Chaos,迷狂牢籠,zh-TW
Calcification,鈣質化,zh-TW
Call Tactical Equipment,戰術裝備召喚,zh-TW
Calming Bass,沉音寧神,zh-TW
Camaraderie,同伴意識,zh-TW
Camouflage,環境偽裝,zh-TW
Camouflaging Current Chart,迷惑性洋流圖,zh-TW
Capture,捕獲,zh-TW
Cardiac Stimulant,強心劑,zh-TW
Carnevale Time!,狂歡時刻！,zh-TW
Carnival of Self-Immolation,燃命狂歡,zh-TW
Cast,鑄造,zh-TW
Caster Drone,術師無人機,zh-TW
Castled King,變革已至,zh-TW
Caution! Wet Floor!,小心地滑,zh-TW
Cautious Retreat,知難而退,zh-TW
Ceaseless Steps,步履不停,zh-TW
Central Core,中樞核心,zh-TW
Chain Hook,鎖鏈勾爪,zh-TW
Chainsaw Assault,鏈鋸強襲,zh-TW
Chainsaw Extension Module,鏈鋸延伸模組,zh-TW
Chamber of Treasures,聚寶齋,zh-TW
Chant of Returning by Varied Paths,同歸殊途之吟,zh-TW
Charge,衝鋒,zh-TW
Charge α,衝鋒號令·α型,zh-TW
Charge β,衝鋒號令·β型,zh-TW
Charge γ,衝鋒號令·γ型,zh-TW
Charged Defense,充能防禦,zh-TW
Charged Shot,強弩,zh-TW
Charging Mode,衝鋒模式,zh-TW
Chasing the Rose Shadow,玫影覓跡,zh-TW
Checkpoint,檢查點,zh-TW
Chi Xiao - Fleeting Night,赤霄·奔夜,zh-TW
Chi Xiao - Heaven's Plaint,赤霄·天喟,zh-TW
Chi Xiao - Shadowless,赤霄·絕影,zh-TW
Chi Xiao - Shadowless Speed,赤霄·絕影-馳,zh-TW
Chi Xiao - Unsheath,赤霄·拔刀,zh-TW
Childhood Frolic,兒時的舞樂,zh-TW
Chimera,奇美拉,zh-TW
Chug 'Em All!,都給我喝！,zh-TW
Chunk of Ice,冰塊,zh-TW
Clash of the Faithful,虔修對決,zh-TW
Cleansing Evil,除惡,zh-TW
"Clinging Desire, Longing Spirit",靈與慾的惜別,zh-TW
Close Combat,近身銃鬥,zh-TW
Close Valve,關閉閥門,zh-TW
Cloudmist Shelter,雲靄蔭佑,zh-TW
Cluster Charge,霰射炸藥,zh-TW
Cluster Therapy,集束療法,zh-TW
Coating,鍍膜,zh-TW
Cogito Ergo,我思念的,zh-TW
Coin-Operated Machine,競技投幣機,zh-TW
Cold Management,冷控處理,zh-TW
Cold Resistance,抗寒體質,zh-TW
Collapse,塌落,zh-TW
Collapsing Pillar,支柱坍塌,zh-TW
Combat Mode,武力模式,zh-TW
Command,號令,zh-TW
Command - Attack,衝鋒號令·攻擊,zh-TW
Command - Defense,衝鋒號令·防禦,zh-TW
Command - Reinforcement,衝鋒號令·援軍,zh-TW
Command and Dispatch,指揮調度,zh-TW
Command: Meltdown,指令：熔毀,zh-TW
Command: Structural Fortification,指令：結構加固,zh-TW
Command: Tactical Coordination,指令：戰術協同,zh-TW
Commercial Packaging Plan,商業包裝方案,zh-TW
Competition Records Analysis,競技記錄分析,zh-TW
Compound Drug Shell,複合型藥物彈片,zh-TW
Computation,演算,zh-TW
Concentrated Hydrotherapy,集中式水療,zh-TW
Concentrated Smelling Salts,濃縮嗅鹽,zh-TW
Concentration,專心致志,zh-TW
Concentration,貫注,zh-TW
Concrete Roadblock,混凝土路障,zh-TW
Conductive Corrosive Blast,傳導蝕滯彈,zh-TW
Construction Workshop,建築工具間,zh-TW
Contact Must Be Made,必須促成的接觸,zh-TW
Conviction Mode!,斷罪模式！,zh-TW
Cooking,食糧烹製,zh-TW
Cooperative Combat,協同作戰,zh-TW
Cooperative Command,協同指令,zh-TW
Copper Seal,銅印,zh-TW
Corrosion,侵蝕,zh-TW
Countdown to Hatching,破繭倒數,zh-TW
Counter Arc,反擊電弧,zh-TW
Counter Armor,反制裝甲,zh-TW
Counter EMP,反制電磁脈衝,zh-TW
Counter Technique,反制技巧,zh-TW
Counterflow,回流,zh-TW
Countergambit,禦敵的鋒銳,zh-TW
Courtesy Gift,見面禮,zh-TW
Cover,掩護,zh-TW
Covered Consolidation,覆蓋式休息,zh-TW
Covered Defense,掩蔽護衛,zh-TW
Cowardly Kensuke,膽小劍助,zh-TW
Crag Splitter,岩崩錘,zh-TW
Creation,創生,zh-TW
Creed,信念,zh-TW
Creed Field,教條力場,zh-TW
Crescent Moon,新月,zh-TW
Crescent Moon Echoes,殘月的餘響,zh-TW
Crimson Crescent,緋紅刺刀,zh-TW
Crimson Eyes,赤色之瞳,zh-TW
Crimson Harvest,緋紅壁合,zh-TW
Critical Burst,臨界爆發,zh-TW
Crown the Dead,冠死以冕,zh-TW
Crumbling Heart,心防潰決,zh-TW
Crystalline Shine,澄淨閃耀,zh-TW
Crystallize,晶化,zh-TW
Cube of Absurdism,怪異魔方,zh-TW
Curse of the River of Death,冥河詛咒,zh-TW
Cursed Doll,詛咒娃娃,zh-TW
DEF Up α,防禦力強化·α型,zh-TW
DEF Up β,防禦力強化·β型,zh-TW
