id,term,src_table
MonsterManual.1000111.1,Shrubshrews Warrior,MonsterManual.json
MonsterManual.1000161.1,Rabid Shrubshrew Warrior,MonsterManual.json
MonsterManual.1000200.1,Rabid Shrubshrew Slinger,MonsterManual.json
MonsterManual.1000211.1,Shrubshrews Slinger,MonsterManual.json
MonsterManual.1000311.1,Citadel Shrubshrew,MonsterManual.json
MonsterManual.1000411.1,Tusk Minion,MonsterManual.json
MonsterManual.1000516.1,Spirit of Brutality,MonsterManual.json
MonsterManual.1000641.1,Howling Owl,MonsterManual.json
MonsterManual.1000705.1,Gale Owl,MonsterManual.json
MonsterManual.1000800.1,Fierce Long-Tailed Scorpion,MonsterManual.json
MonsterManual.1001066.1,Garden of Parasite,MonsterManual.json
MonsterManual.1001205.1,Enforcer of Silence,MonsterManual.json
MonsterManual.1001216.1,Guardian of Thorns,MonsterManual.json
MonsterManual.1001226.1,Oppressor of Torrents,MonsterManual.json
MonsterManual.1001236.1,Suppressor of Lava,MonsterManual.json
MonsterManual.1001246.1,Subjugator of Firmament,MonsterManual.json
MonsterManual.1001256.1,Protector of Radiance,MonsterManual.json
MonsterManual.1001266.1,Golem of Nightmares,MonsterManual.json
MonsterManual.1001500.1,Armadillo Fish,MonsterManual.json
MonsterManual.1001511.1,Armadillo Fish: Rock,MonsterManual.json
MonsterManual.1001521.1,Armadillo Fish: Torrent,MonsterManual.json
MonsterManual.1001531.1,Armadillo Fish: Heat,MonsterManual.json
MonsterManual.1001541.1,Armadillo Fish: Gust,MonsterManual.json
MonsterManual.1001551.1,Armadillo Fish: Radiance,MonsterManual.json
MonsterManual.1001561.1,Armadillo Fish: Shadow,MonsterManual.json
MonsterManual.1001800.1,Steam Pot Hammer,MonsterManual.json
MonsterManual.1001811.1,Steam Pot Hammer: Rock,MonsterManual.json
MonsterManual.1001821.1,Steam Pot Hammer: Torrent,MonsterManual.json
MonsterManual.1001831.1,Steam Pot Hammer: Heat,MonsterManual.json
MonsterManual.1001841.1,Steam Pot Hammer: Gust,MonsterManual.json
MonsterManual.1001851.1,Steam Pot Hammer: Radiance,MonsterManual.json
MonsterManual.1001861.1,Steam Pot Hammer: Shadow,MonsterManual.json
MonsterManual.1100300.1,Trial Co-op Unit Model Ⅱ,MonsterManual.json
MonsterManual.1100400.1,Trial Support Unit Model V,MonsterManual.json
MonsterManual.1100700.1,Professional UH Employee,MonsterManual.json
MonsterManual.1102100.1,Retriever K9,MonsterManual.json
MonsterManual.1103105.1,Logging Crab C8,MonsterManual.json
MonsterManual.1300100.1,Sturdy Batter,MonsterManual.json
MonsterManual.1301100.1,Clever Technician,MonsterManual.json
MonsterManual.1302100.1,Vollara,MonsterManual.json
MonsterManual.1303100.1,Neuvira,MonsterManual.json
MonsterManual.1304151.1,Minova,MonsterManual.json
MonsterManual.1305136.1,Spellbound Golem,MonsterManual.json
MonsterManual.1306100.1,Gauntlet of Rage,MonsterManual.json
MonsterManual.1306105.1,Gauntlet of Fury,MonsterManual.json
MonsterManual.1306111.1,Gauntlet of Rage: Rock,MonsterManual.json
MonsterManual.1306116.1,Gauntlet of Mountain Soul,MonsterManual.json
MonsterManual.1306121.1,Gauntlet of Rage: Torrent,MonsterManual.json
MonsterManual.1306126.1,Gauntlet of Raging Waves,MonsterManual.json
MonsterManual.1306131.1,Gauntlet of Rage: Heat,MonsterManual.json
MonsterManual.1306136.1,Gauntlet of Raging Flame,MonsterManual.json
MonsterManual.1306141.1,Gauntlet of Rage: Gust,MonsterManual.json
MonsterManual.1306146.1,Gauntlet of Swift Wind,MonsterManual.json
MonsterManual.1306151.1,Gauntlet of Rage: Radiance,MonsterManual.json
MonsterManual.1306156.1,Gauntlet of Luminous,MonsterManual.json
MonsterManual.1306161.1,Gauntlet of Rage: Shadow,MonsterManual.json
MonsterManual.1306166.1,Gauntlet of Spectral Shadow,MonsterManual.json
MonsterManual.1400100.1,Laid-Back Swordswoman,MonsterManual.json
MonsterManual.1400170.1,Prosperity Gang Swordsman,MonsterManual.json
MonsterManual.1401100.1,Brooding Sorceress,MonsterManual.json
MonsterManual.1401170.1,Prosperity Gang Mage,MonsterManual.json
MonsterManual.1402100.1,Heavy Armor Warrior,MonsterManual.json
MonsterManual.1500100.1,Tired Newbie Employee,MonsterManual.json
MonsterManual.1501100.1,Seasoned Elite Employee,MonsterManual.json
MonsterManual.1551056.1,Blade of Jade,MonsterManual.json
MonsterManual.1552041.1,Iridescent Wing,MonsterManual.json
MonsterManual.1552051.1,Dazzling Wing,MonsterManual.json
MonsterManual.1600141.1,Corrupted Wind Chime,MonsterManual.json
MonsterManual.1601141.1,Tainted Mandrake,MonsterManual.json
MonsterManual.1651046.1,Lithe Beauty,MonsterManual.json
MonsterManual.1700100.1,Imperial Guard Squire,MonsterManual.json
MonsterManual.1701100.1,Imperial Guard Knight,MonsterManual.json
MonsterManual.1702100.1,Imperial Guard Captain,MonsterManual.json
MonsterManual.1703100.1,Imperial Guard Sergeant Major,MonsterManual.json
MonsterManual.1751026.1,Gobble Hexhorn Whale,MonsterManual.json
MonsterManual.1800100.1,Sentinel of Dawn - Bladesman,MonsterManual.json
MonsterManual.1801100.1,Sentinel of Dawn - Mage,MonsterManual.json
MonsterManual.3000100.1,Cheerful Treasure Hunter,MonsterManual.json
MonsterManual.3001100.1,Brave Treasure Hunter,MonsterManual.json
MonsterManual.3002100.1,Muscular Treasure Hunter,MonsterManual.json
MonsterManual.3010100.1,Fresh Treasure Hunter,MonsterManual.json
MonsterManual.3011100.1,Smart Treasure Hunter,MonsterManual.json
MonsterManual.3012100.1,Mighty Treasure Hunter,MonsterManual.json
MonsterManual.3020100.1,Gingerbread Vanguard,MonsterManual.json
MonsterManual.3021100.1,Gingerbread Mage,MonsterManual.json
MonsterManual.3022100.1,Gingerbread Marksman,MonsterManual.json
MonsterManual.3023100.1,Creamy Sweet Soup Pot,MonsterManual.json
MonsterManual.3024100.1,Berry Cauldron Hammer,MonsterManual.json
MonsterManual.3025100.1,Frosting Grumblegeist,MonsterManual.json
MonsterManual.3026100.1,Ribbon Jar Spirit,MonsterManual.json
MonsterManual.3027100.1,Snoring Gift Pile,MonsterManual.json
MonsterManual.3028105.1,Furnace's Delirium,MonsterManual.json
MonsterManual.3090100.1,Desert Scorpion: Crimson Sand Swordsman,MonsterManual.json
MonsterManual.3091100.1,Desert Scorpion: Dust Crossbowman,MonsterManual.json
MonsterManual.3092100.1,Desert Scorpion: Eye of the Desert,MonsterManual.json
MonsterManual.3093105.1,Hazana,MonsterManual.json
MonsterManual.3110100.1,Greyhorn,MonsterManual.json
MonsterManual.3130105.1,Furious Stomper Crab,MonsterManual.json
MonsterManual.3141105.1,Duke Glopo Ⅲ,MonsterManual.json
MonsterManual.5000100.1,Megahand Enforcer,MonsterManual.json
MonsterManual.5000111.1,Megahand Enforcer: Rock,MonsterManual.json
MonsterManual.5000121.1,Megahand Enforcer: Torrent,MonsterManual.json
MonsterManual.5000131.1,Megahand Enforcer: Heat,MonsterManual.json
MonsterManual.5000141.1,Megahand Enforcer: Gust,MonsterManual.json
MonsterManual.5000151.1,Megahand Enforcer: Radiance,MonsterManual.json
MonsterManual.5000161.1,Megahand Enforcer: Shadow,MonsterManual.json
MonsterManual.5001105.1,Wrath Juggernaut,MonsterManual.json
MonsterManual.5001116.1,Wrath Rock Juggernaut,MonsterManual.json
MonsterManual.5001126.1,Wrath Waterfall Juggernaut,MonsterManual.json
MonsterManual.5001136.1,Wrath Blaze Juggernaut,MonsterManual.json
MonsterManual.5001146.1,Wrath Whirlwind Juggernaut,MonsterManual.json
MonsterManual.5001156.1,Wrath Thunder Juggernaut,MonsterManual.json
MonsterManual.5001166.1,Wrath Chaos Juggernaut,MonsterManual.json
MonsterManual.5002000.1,Magishark,MonsterManual.json
MonsterManual.5002011.1,Magishark: Rock,MonsterManual.json
MonsterManual.5002021.1,Magishark: Torrent,MonsterManual.json
MonsterManual.5002031.1,Magishark: Heat,MonsterManual.json
MonsterManual.5002041.1,Magishark: Gust,MonsterManual.json
MonsterManual.5002051.1,Magishark: Radiance,MonsterManual.json
MonsterManual.5002061.1,Magishark: Shadow,MonsterManual.json
MonsterManual.5002100.1,Sword-and-Shield Vanguard,MonsterManual.json
MonsterManual.5002111.1,Sword-and-Shield Vanguard: Rock,MonsterManual.json
MonsterManual.5002121.1,Sword-and-Shield Vanguard: Torrent,MonsterManual.json
MonsterManual.5002131.1,Sword-and-Shield Vanguard: Heat,MonsterManual.json
MonsterManual.5002141.1,Sword-and-Shield Vanguard: Gust,MonsterManual.json
MonsterManual.5002151.1,Sword-and-Shield Vanguard: Radiance,MonsterManual.json
MonsterManual.5002161.1,Sword-and-Shield Vanguard: Shadow,MonsterManual.json
MonsterManual.5003100.1,Plundering Dual Blades,MonsterManual.json
MonsterManual.5003111.1,Plundering Dual Blades: Rock,MonsterManual.json
MonsterManual.5003121.1,Plundering Dual Blades: Torrent,MonsterManual.json
MonsterManual.5003131.1,Plundering Dual Blades: Heat,MonsterManual.json
MonsterManual.5003141.1,Plundering Dual Blades: Gust,MonsterManual.json
MonsterManual.5003151.1,Plundering Dual Blades: Radiance,MonsterManual.json
MonsterManual.5003161.1,Plundering Dual Blades: Shadow,MonsterManual.json
MonsterManual.5004100.1,Whimagus,MonsterManual.json
MonsterManual.5004111.1,Whimagus: Rock,MonsterManual.json
MonsterManual.5004121.1,Whimagus: Torrent,MonsterManual.json
MonsterManual.5004131.1,Whimagus: Heat,MonsterManual.json
MonsterManual.5004141.1,Whimagus: Gust,MonsterManual.json
MonsterManual.5004151.1,Whimagus: Radiance,MonsterManual.json
MonsterManual.5004161.1,Whimagus: Shadow,MonsterManual.json
MonsterManual.5005100.1,Projectile Striker,MonsterManual.json
MonsterManual.5005111.1,Projectile Striker: Rock,MonsterManual.json
MonsterManual.5005121.1,Projectile Striker: Torrent,MonsterManual.json
MonsterManual.5005131.1,Projectile Striker: Heat,MonsterManual.json
MonsterManual.5005141.1,Projectile Striker: Gust,MonsterManual.json
MonsterManual.5005151.1,Projectile Striker: Radiance,MonsterManual.json
MonsterManual.5005161.1,Projectile Striker: Shadow,MonsterManual.json
MonsterManual.5006100.1,Glopo,MonsterManual.json
MonsterManual.5006111.1,Glopo: Rock,MonsterManual.json
MonsterManual.5006121.1,Glopo: Torrent,MonsterManual.json
MonsterManual.5006131.1,Glopo: Heat,MonsterManual.json
MonsterManual.5006141.1,Glopo: Gust,MonsterManual.json
MonsterManual.5006151.1,Glopo: Radiance,MonsterManual.json
MonsterManual.5006161.1,Glopo: Shadow,MonsterManual.json
MonsterManual.5007100.1,Fat Glopo,MonsterManual.json
MonsterManual.5007111.1,Fat Glopo: Rock,MonsterManual.json
MonsterManual.5007121.1,Fat Glopo: Torrent,MonsterManual.json
MonsterManual.5007131.1,Fat Glopo: Heat,MonsterManual.json
MonsterManual.5007141.1,Fat Glopo: Gust,MonsterManual.json
MonsterManual.5007151.1,Fat Glopo: Radiance,MonsterManual.json
MonsterManual.5007161.1,Fat Glopo: Shadow,MonsterManual.json
MonsterManual.5008126.1,King Glopo Ⅲ,MonsterManual.json
MonsterManual.5009100.1,Cursipot,MonsterManual.json
MonsterManual.5009111.1,Cursipot: Rock,MonsterManual.json
MonsterManual.5009121.1,Cursipot: Torrent,MonsterManual.json
MonsterManual.5009131.1,Cursipot: Heat,MonsterManual.json
MonsterManual.5009141.1,Cursipot: Gust,MonsterManual.json
MonsterManual.5009151.1,Cursipot: Radiance,MonsterManual.json
MonsterManual.5009161.1,Cursipot: Shadow,MonsterManual.json
MonsterManual.5010100.1,Gloomfiend,MonsterManual.json
MonsterManual.5010111.1,Gloomfiend: Rock,MonsterManual.json
MonsterManual.5010121.1,Gloomfiend: Torrent,MonsterManual.json
MonsterManual.5010131.1,Gloomfiend: Heat,MonsterManual.json
