source,target,tgt_lng
"""...Let it be known—on tranquil waters, no sailor reigns supreme.""",„Lasst es verkündet werden – auf ruhigen Gewässern herrscht kein Seemann unangefochten.“,de-DE
"""...จงรู้ไว้ว่า บนผืนน้ำอันสงบ ไม่มีกะลาสีเรือคนใดมีอำนาจสูงสุด""",„Lasst es verkündet werden – auf ruhigen Gewässern herrscht kein Seemann unangefochten.“,de-DE
"""4484"" Flip Terminal",Klappterminal „4484“,de-DE
"""A New Journey""",„Eine neue Reise“,de-DE
"""A cultura e o espírito de Jinzhou, todos incluídos neste livro, começam com a batalha nas Gorja dos Espíritos.""","""Die Kultur und der Geist von Jinzhou, alles in diesem Buch enthalten, beginnt mit der Schlacht in der Geisterschlucht.""",de-DE
"""A full-on skill-point upgrade system, straight out of the classic RPGs! Now that's what we're talking about!""",„Ein echtes Skillpunkt-Upgrade-System – direkt aus den klassischen RPGs! Genau das lieben wir doch!“,de-DE
"""A full-on skill-point upgrade system, straight out of the classic RPGs! Now that's what we're talking about!""","„Ein richtiges Skill-Upgrade-System, direkt aus den klassischen RPGs! Genau das, worüber wir reden!“",de-DE
"""A full-on skill-point upgrade system, straight out of the classic RPGs! Now that's what we're talking about!""","„Ein umfassendes Skillpunkt-Upgradesystem, wie in den Rollenspiel-Klassikern! Na, das sieht man doch gerne!“",de-DE
"""Above the waves, I cry out loud. Brilliant ripples, answers found. As promised, you will draw near. In radiant waves, our paths appear.""","„Über den Wellen schreie ich laut. Wirbeltwind, stolz die Antwort laut. Zufällig treffen wir uns, du und ich. In schimmernden Wellen wird unser Schicksal sich grüßen.“",de-DE
"""Above the waves, I cry out loud. Brilliant ripples, answers found. With this guidance, you will traverse the veil of dreams.""",„Über den Wellen rufe ich laut hinaus. Glänzende Wogen weben die Schatten von gestern.“,de-DE
"""Above the waves, I cry out loud. Brilliant ripples, answers found. With you, my blade, I shall ascend. In shimmering waves, our bond won't end.""","„Über den Wellen schreie ich laut. Wirbeltwind, stolz die Antwort laut. Zufällig treffen wir uns, du und ich. In schimmernden Wellen wird unser Schicksal sich grüßen.“",de-DE
"""Above the waves, I cry out loud. Brilliant ripples, answers found. Yesterday's shadow, forged anew.""",„Über den Wellen rufe ich laut hinaus. Glänzende Wogen weben die Schatten von gestern.“,de-DE
"""Above the waves, I cry out loud. Twisting whirls, the response is proud. In chance, you and I shall meet. In shimmering waves, our fate shall greet.""","„Über den Wellen schreie ich laut. Wirbeltwind, stolz die Antwort laut. Zufällig treffen wir uns, du und ich. In schimmernden Wellen wird unser Schicksal sich grüßen.“",de-DE
"""Acima das ondas, clamo em voz alta. Ondulações brilhantes, respostas encontradas. A sombra de ontem, forjada de novo.""",„Über den Wellen rufe ich laut hinaus. Glänzende Wogen weben die Schatten von gestern.“,de-DE
"""Acima das ondas, clamo em voz alta. Ondulações brilhantes, respostas encontradas. Com esta guia, você atravessará o véu dos sonhos.""",„Über den Wellen rufe ich laut hinaus. Glänzende Wogen weben die Schatten von gestern.“,de-DE
"""Acima das ondas, grito bem alto. Ondulações brilhantes, a respostas se encontra. Com você, minha lâmina, eu ascenderei. Em ondas cintilantes, nosso vínculo não terminará.""","„Über den Wellen schreie ich laut. Wirbeltwind, stolz die Antwort laut. Zufällig treffen wir uns, du und ich. In schimmernden Wellen wird unser Schicksal sich grüßen.“",de-DE
"""Acima das ondas, grito bem alto. Ondulações brilhantes, a respostas se encontra. Como prometido, você se aproximará. Em ondas radiantes, nosso caminho aparecerá.""","„Über den Wellen schreie ich laut. Wirbeltwind, stolz die Antwort laut. Zufällig treffen wir uns, du und ich. In schimmernden Wellen wird unser Schicksal sich grüßen.“",de-DE
"""Acima das ondas, grito bem alto. Redemoinhos girando, da resposta se orgulha. Por acaso, você e eu nos encontraremos. Nosso destino se cumprirá, nas ondas e seus comprimentos.""","„Über den Wellen schreie ich laut. Wirbeltwind, stolz die Antwort laut. Zufällig treffen wir uns, du und ich. In schimmernden Wellen wird unser Schicksal sich grüßen.“",de-DE
"""Afortunadamente, ahora tenemos más tiempo para reflexionar.""","""Glücklicherweise haben wir jetzt mehr Zeit zum Nachdenken.""",de-DE
"""After this I looked, and behold, a white horse with only half a body. It commanded me to lift my lantern and pray, that people may come to know one another and be granted victory upon victory.""","ch blickte hin und erblickte ein weißes Pferd, dessen Körper halb verborgen war. Es gebot mir, zum Laternenlicht zu beten, damit die Menschen einander erkennen und so immer wieder siegen können.",de-DE
"""Afterlife""",„Nächstes Leben“,de-DE
"""Agora você é um detetive.""",„Du bist jetzt ein Detektiv.“,de-DE
"""Ah, você quer dizer isso? O Ahab me pediu para guardar para ele. Eu não sei onde ele conseguiu, mas... essa coisa deve ter alguma relação com aquela baleia, não é?""","Oh, meinst du das? Ahab bat mich, es für ihn aufzubewahren. Ich weiß nicht, woher er es hat, aber ... dieses Ding muss irgendwie mit dem Wal zu tun haben, oder?",de-DE
"""Aleación perfecta""",„Perfekte Legierung“,de-DE
"""All Eyes On You""",„All Eyes On You“,de-DE
"""All our dreams disappear in the heavy rain, as they evaporate in the aching land.""","""All unsere Träume verschwinden im starken Regen, sie verdunsten im schmerzenden Land.""",de-DE
"""Além-vida""",„Nächstes Leben“,de-DE
"""Amidst the panicked Fools, he stood out, kneeling devoutly before the terrifying anomaly. Raising his brooch high, he chanted hymns, surrendering himself to the tide until he became one with it...""","„Mitten unter den panischen Narren stach er hervor, kniete andächtig vor dem furchterregenden Anomalie. Er hob seinen Anstecker hoch, sang Hymnen und ergab sich der Flut, bis er eins mit ihr wurde ...“",de-DE
