id,term,src_table
MainSkill.100101.1,フォルティシモ,MainSkill.json
MainSkill.100201.1,フォルテ･コード,MainSkill.json
MainSkill.100301.1,ジョコーソ,MainSkill.json
MainSkill.100401.1,ジョコーソ･コード,MainSkill.json
MainSkill.100501.1,クレッシェンド,MainSkill.json
MainSkill.100601.1,クレッシェンド･コード,MainSkill.json
MainSkill.100701.1,エネルジコ,MainSkill.json
MainSkill.100801.1,エネルジコ･コード,MainSkill.json
MainSkill.200101.1,グランドフェスタ,MainSkill.json
MainSkill.200201.1,ランブルフォース,MainSkill.json
MainSkill.200301.1,ヘブンリーブリス,MainSkill.json
MainSkill.200501.1,ブレイジングハート,MainSkill.json
MainSkill.200601.1,ブレッシングレイ,MainSkill.json
MainSkill.200701.1,スカイライザー,MainSkill.json
MainSkill.200801.1,オーバーフロー,MainSkill.json
MainSkill.200901.1,ロストレクイエム,MainSkill.json
MainSkill.201001.1,巌の意志,MainSkill.json
MainSkill.300101.1,爽やかな香り,MainSkill.json
MainSkill.300201.1,四季折々,MainSkill.json
MainSkill.300301.1,ヒートソウル,MainSkill.json
MainSkill.300401.1,ルナティックパッション,MainSkill.json
MainSkill.300501.1,ポンポンスパーク,MainSkill.json
MainSkill.300601.1,スイートドリーム,MainSkill.json
MainSkill.300701.1,夢のまにまに,MainSkill.json
MainSkill.300801.1,風とともに,MainSkill.json
MainSkill.300901.1,スパークルレイン,MainSkill.json
MainSkill.301001.1,ヴェイパーブレス,MainSkill.json
MainSkill.301101.1,ダークナイトビート,MainSkill.json
MainSkill.301201.1,スターリービジョン,MainSkill.json
MainSkill.301301.1,茜色の絨毯,MainSkill.json
MainSkill.301401.1,鍛造の極み,MainSkill.json
MainSkill.301501.1,ブルームメモリー,MainSkill.json
MainSkill.301601.1,紅焔の花,MainSkill.json
MainSkill.301701.1,ぐるぐるキラット,MainSkill.json
MainSkill.301801.1,プルタブオープン,MainSkill.json
MainSkill.301901.1,逆巻く影,MainSkill.json
MainSkill.302001.1,迫りくる恐怖,MainSkill.json
MainSkill.302101.1,すべてを見通す鏡,MainSkill.json
MainSkill.302201.1,虚実をあばく灯火,MainSkill.json
MainSkill.302301.1,儚き願い,MainSkill.json
MainSkill.302401.1,リラックスタイム,MainSkill.json
MainSkill.302501.1,エンチャントハニー,MainSkill.json
MainSkill.302601.1,営業スマイル,MainSkill.json
MainSkill.400101.1,在りし日の記憶,MainSkill.json
