source,target,tgt_lng
Ambient/Environment,環境音效／環境,zh-TW
Ambiente,環境音效／環境,zh-TW
Ambiente/Entorno,環境音效／環境,zh-TW
Ana Ses,主音量,zh-TW
Arayüz,UI,zh-TW
Assistente vocale,朗讀功能／語音,zh-TW
Atmosphäre/Umgebung,環境音效／環境,zh-TW
Benutzeroberfläche,UI,zh-TW
BGM,音樂,zh-TW
Blocchi,方塊,zh-TW
Blocchi musicali,唱片機／音階盒,zh-TW
Blocks,方塊,zh-TW
Blocos,方塊,zh-TW
Blocs,方塊,zh-TW
Blocs musicaux,唱片機／音階盒,zh-TW
Bloklar,方塊,zh-TW
Bloques,方塊,zh-TW
Bloques musicales,唱片機／音階盒,zh-TW
Blöcke,方塊,zh-TW
Clima,天氣,zh-TW
Creature ostili,敵對生物,zh-TW
Creature pacifiche,友好生物,zh-TW
Criaturas hostiles,敵對生物,zh-TW
Criaturas hostis,敵對生物,zh-TW
Criaturas inofensivas,友好生物,zh-TW
Criaturas pacíficas,友好生物,zh-TW
Créatures hostiles,敵對生物,zh-TW
Créatures passives,友好生物,zh-TW
Dost Canlılar,友好生物,zh-TW
Environnement,環境音效／環境,zh-TW
Feindliche Kreaturen,敵對生物,zh-TW
Freundliche Kreaturen,友好生物,zh-TW
Friendly Mobs,友好生物,zh-TW
Gesamtlautstärke,主音量,zh-TW
Giao diện người dùng,UI,zh-TW
Giocatori,玩家,zh-TW
Giọng nói,朗讀功能／語音,zh-TW
Hava Durumu,天氣,zh-TW
Hostile Mobs,敵對生物,zh-TW
Interfaccia,UI,zh-TW
Interface,UI,zh-TW
Interfaz,UI,zh-TW
Jogadores,玩家,zh-TW
Joueurs,玩家,zh-TW
Jugadores,玩家,zh-TW
Jukebox/Note Blocks,唱片機／音階盒,zh-TW
Khối,方塊,zh-TW
Khối phát nhạc,唱片機／音階盒,zh-TW
Master Volume,主音量,zh-TW
Metin Okuyucu/Konuşma,朗讀功能／語音,zh-TW
Music,音樂,zh-TW
Musica,音樂,zh-TW
Musik,音樂,zh-TW
Musikblöcke,唱片機／音階盒,zh-TW
Musique,音樂,zh-TW
Météo,天氣,zh-TW
Môi trường,環境音效／環境,zh-TW
Música,音樂,zh-TW
Müzik,音樂,zh-TW
Müzik/Nota Bloğu,唱片機／音階盒,zh-TW
Narrador/Voz,朗讀功能／語音,zh-TW
Narrateur,朗讀功能／語音,zh-TW
Narrator/Voice,朗讀功能／語音,zh-TW
Người chơi,玩家,zh-TW
Oyuncular,玩家,zh-TW
Players,玩家,zh-TW
Saldırgan Canlılar,敵對生物,zh-TW
Sinh vật lành,友好生物,zh-TW
Sinh vật ác,敵對生物,zh-TW
Spieler,玩家,zh-TW
Sprachausgabe/Stimme,朗讀功能／語音,zh-TW
Tempo,天氣,zh-TW
Tempo atmosferico,天氣,zh-TW
Thời tiết,天氣,zh-TW
Toca-Discos/Blocos Musicais,唱片機／音階盒,zh-TW
Volume generale,主音量,zh-TW
Volume principal,主音量,zh-TW
Volume-mestre,主音量,zh-TW
Volumen general,主音量,zh-TW
Voz/Diálogos,朗讀功能／語音,zh-TW
Weather,天氣,zh-TW
Wetter,天氣,zh-TW
Âm lượng tổng,主音量,zh-TW
Âm nhạc,音樂,zh-TW
Çevresel,環境音效／環境,zh-TW
Блоки,方塊,zh-TW
Враждебные мобы,敵對生物,zh-TW
Диктор/Голос,朗讀功能／語音,zh-TW
Игроки,玩家,zh-TW
Интерфейс,UI,zh-TW
Мирные мобы,友好生物,zh-TW
Музыка,音樂,zh-TW
Музыкальные блоки,唱片機／音階盒,zh-TW
Общая громкость,主音量,zh-TW
Окружение,環境音效／環境,zh-TW
Погода,天氣,zh-TW
ตู้เพลง/กล่องตัวโน้ต,唱片機／音階盒,zh-TW
บล็อก,方塊,zh-TW
ผู้บรรยาย/เสียงพูด,朗讀功能／語音,zh-TW
ผู้เล่น,玩家,zh-TW
ม็อบเป็นมิตร,友好生物,zh-TW
ม็อบไม่เป็นมิตร,敵對生物,zh-TW
สภาพอากาศ,天氣,zh-TW
อินเทอร์เฟซผู้ใช้,UI,zh-TW
เพลง,音樂,zh-TW
เสียงหลัก,主音量,zh-TW
แอมเบียนต์/สิ่งแวดล้อม,環境音效／環境,zh-TW
ジュークボックス／音符ブロック,唱片機／音階盒,zh-TW
ブロック,方塊,zh-TW
プレイヤー,玩家,zh-TW
友好的Mob,友好生物,zh-TW
唱片机/音符盒,唱片機／音階盒,zh-TW
复述功能/语音,朗讀功能／語音,zh-TW
天候,天氣,zh-TW
天气,天氣,zh-TW
敌对生物,敵對生物,zh-TW
敵対的Mob,敵對生物,zh-TW
方块,方塊,zh-TW
环境,環境音效／環境,zh-TW
環境音,環境音效／環境,zh-TW
用户界面,UI,zh-TW
音乐,音樂,zh-TW
音声読み上げ／声,朗讀功能／語音,zh-TW
날씨,天氣,zh-TW
내레이터/음성,朗讀功能／語音,zh-TW
분위기/환경,環境音效／環境,zh-TW
블록,方塊,zh-TW
음악,音樂,zh-TW
적대적 몹,敵對生物,zh-TW
전체 음량,主音量,zh-TW
주크박스/소리 블록,唱片機／音階盒,zh-TW
친화적 몹,友好生物,zh-TW
플레이어,玩家,zh-TW
