source,target,tgt_lng
"""A Disrupted Recording""","""ภาพโฮโลกราฟิกที่ถูกรบกวน""",th-TH
"""A Janela de Entrada do Invasor""","""ช่วงเวลาที่ผู้ทำลายแฝงตัว""",th-TH
"""A Soiled Note""","""แผ่นกระดาษที่เปรอะเปื้อน""",th-TH
"""Abracadabra""","""Hocus Pocus""",th-TH
"""Abraço-amasso""","""Cuddle Wuddle""",th-TH
"""Acólita Sênior""","""นักบวชหญิงอาวุโส""",th-TH
"""Acólito Cético""","""นักบวชผู้คลางแคลงใจ""",th-TH
"""Acólito Tagarela""","""นักบวชช่างคุย""",th-TH
"""Aldeão""","""ชาวบ้าน""",th-TH
"""Alter Ego""","""ตัวตนอีกด้าน""",th-TH
"""Amigo da Raposa Lunar""","""สหายแห่งจิ้งจอกจันทรา""",th-TH
"""Ancient Calamity""","""หายนะโบราณ""",th-TH
"""Anxious Noble""","""ขุนนางกระวนกระวาย""",th-TH
"""Anátema Grave""","""คำสาปร้ายแรง""",th-TH
"""Anúncio de negócios portuários""","""โฆษณาธุรกิจท่าเรือ""",th-TH
"""Artista Local""","""ศิลปินท้องถิ่น""",th-TH
"""Ascend""","""ขึ้น""",th-TH
"""Ascender""","""ขึ้น""",th-TH
"""Assassino dos Sonhos""","""นักฆ่าในความฝัน""",th-TH
"""Assistir ao Drama""","""ดูละคร""",th-TH
"""Assistir ao Drama"" (Tradução)","""ดูละคร"" (คำแปล)",th-TH
"""Avatar Silencioso""","""ร่างเงียบงัน""",th-TH
"""Backwindow""","""หน้าต่างบานหลัง""",th-TH
"""Bastião de Ferro""","""จ้าวโลหะ""",th-TH
"""Besessenheit""","""ความยึดติด""",th-TH
"""Blue Rain""","""พิรุณสีคราม""",th-TH
"""Bolito""","""Bakie""",th-TH
"""Branco""","""White""",th-TH
"""Bud-Headed Lionarch""","""Lionarch หัวลูกชิ้น""",th-TH
"""Caged Beast""","""สัตว์เดรัจฉานในกรง""",th-TH
"""Calamidade Ancestral""","""หายนะโบราณ""",th-TH
"""Carma Paradoxal""","""กรรมย้อนแย้ง""",th-TH
"""Carta de Claire""","""จดหมายของ Claire""",th-TH
"""Cat of the Nether Lamp""","""ภูตวิฬาร์เรืองประทีป""",th-TH
"""Chatty Acolyte""","""นักบวชช่างคุย""",th-TH
"""Chen Da'bao"", exposed","""Chen Da'bao"" ที่ถูกเปิดโปง",th-TH
"""Chen Da'bao"", expuesto","""Chen Da'bao"" ที่ถูกเปิดโปง",th-TH
"""Chen Dabao"", exposto","""Chen Da'bao"" ที่ถูกเปิดโปง",th-TH
"""Cidadão Ansioso""","""พลเมืองที่แข็งขัน""",th-TH
"""Cidadão Sereno""","""พลเมืองที่สงบนิ่ง""",th-TH
"""Claire's Letter""","""จดหมายของ Claire""",th-TH
"""Cleaner""","""คนทำความสะอาด""",th-TH
"""Clockwork""","""ลานนาฬิกา""",th-TH
"""Collected Citizen""","""พลเมืองที่สงบนิ่ง""",th-TH
"""Comerciante""","""ผู้ค้า""",th-TH
"""Comerciante""","""ผู้ค้าเร่""",th-TH
"""Companheira""","""เพื่อน""",th-TH
"""Companion""","""เพื่อน""",th-TH
"""Conversation Record I""","""บันทึกบทสนทนา 1""",th-TH
"""Conversation Record II""","""บันทึกบทสนทนา 2""",th-TH
"""Coração"" Evasivo","ใจจริงที่ ""หลบหนี""",th-TH
"""Corpo Apreendido""","""ร่างถูกยึดครอง""",th-TH
"""Cosmo""","""Cosmos""",th-TH
"""Cão Pastor""","""สุนัขต้อนแกะ""",th-TH
"""Cãobanheira""","""Tubpup""",th-TH
"""Declaração de Responsabilidade""","""บันทึกสำนึกผิด""",th-TH
"""Deixado para Trás?""","""ผู้หลงเหลือ?""",th-TH
"""Dente de Sabre""","""เซเบอร์ทูธ""",th-TH
"""Descend""","""ลง""",th-TH
"""Descender""","""ลง""",th-TH
"""Dextra""","""Leftless""",th-TH
"""Digue-dugue""","""Diggy Duggy""",th-TH
"""Distressed Gladiator""","""กลาดิเอเตอร์กลัดกลุ้ม""",th-TH
"""Door of Unity""","""ประตูแห่งเอกภาพ""",th-TH
"""Drama de Herói""","""ละครวีรชน""",th-TH
"""Drama de Herói"" (Tradução)","""ละครวีรชน"" (คำแปล)",th-TH
"""Eager Citizen""","""พลเมืองที่แข็งขัน""",th-TH
"""Easygoing"" Researcher","นักวิจัยที่ ""ดูสบายๆ""",th-TH
"""Entidade Sem Nome""","""สิ่งมีชีวิตไร้นาม""",th-TH
"""Equipe da Caravana de Comerciantes""","""ผู้ร่วมกองคาราวาน""",th-TH
"""Espírito Maligno""","""วิญญาณร้าย""",th-TH
"""Esson“","""Esson""",th-TH
"""Evil Spirit""","""วิญญาณร้าย""",th-TH
"""Exilado"" Cansado",ผู้ถูกเนรเทศที่เหนื่อยหน่าย,th-TH
"""Exilado"" Concordando","""ผู้ถูกเนรเทศ"" ที่ให้ความร่วมมือ",th-TH
"""Exilado"" Confiante","""ผู้ถูกเนรเทศ"" ที่มั่นใจ",th-TH
"""Exilado"" Descansando","""ผู้ถูกเนรเทศ"" ที่กำลังพักผ่อน",th-TH
"""Exilado"" Enigmático","""ผู้ถูกเนรเทศ"" ที่เป็นกลาง",th-TH
"""Exilado"" Entusiasmado","""ผู้ถูกเนรเทศ"" ที่กระตือรือร้น",th-TH
"""Exilado"" Focado",ผู้ถูกเนรเทศที่มีสมาธิ,th-TH
"""Exilado"" Fraco","""ผู้ถูกเนรเทศ"" ที่อ่อนแอ",th-TH
"""Exilado"" Franco","""ผู้ถูกเนรเทศ"" ที่ซื่อตรง",th-TH
"""Exilado"" Irritadiço","""ผู้ถูกเนรเทศ"" ที่น่ารำคาญ",th-TH
"""Exilado"" Pensativo","""ผู้ถูกเนรเทศ"" ที่กำลังคิด",th-TH
"""Exilado"" Preocupado","""ผู้ถูกเนรเทศ"" ที่กังวลใจ",th-TH
"""Exilado"" Supervisionando","""ผู้ถูกเนรเทศ"" ที่กำลังควบคุมดูแล",th-TH
"""Expressway Bulletin""","""กระดานข่าวทางด่วน""",th-TH
"""Fantasma Assombrado""","""วิญญาณตามหลอน""",th-TH
"""Fantasma""","""ภูตผี""",th-TH
"""Fate Mender""","""ผู้เปลี่ยนชะตา""",th-TH
"""Father""","""พ่อ""",th-TH
"""Faxineiro""","""คนทำความสะอาด""",th-TH
"""Fera Enjaulada""","""สัตว์เดรัจฉานในกรง""",th-TH
"""Folk Artist""","""ศิลปินท้องถิ่น""",th-TH
"""Friend of the Moon Fox""","""สหายแห่งจิ้งจอกจันทรา""",th-TH
"""Funeral Attendees""","""ผู้ร่วมงานศพ""",th-TH
"""Fórum Interno de Logística Lollo""","""ฟอรัมภายในลอลโล่โลจิสติกส์""",th-TH
"""Galbrena"" do Passado","""Galbrena"" ในอดีต",th-TH
"""Galbrena"" of the Past","""Galbrena"" ในอดีต",th-TH
"""Gardener""","""คนสวน""",th-TH
"""Garota""","""เด็กสาว""",th-TH
"""Gato Fantasma da Lanterna""","""ภูตวิฬาร์เรืองประทีป""",th-TH
"""Gatão"" Glutão","""แมวใหญ่"" จอมตะกละ",th-TH
"""Gatão"" Glutão","""แมวใหญ่"" ผู้ตะกละ",th-TH
"""Georanha Modelo""","""Model Geospider""",th-TH
"""Gerente""","""ผู้จัดการ""",th-TH
"""Gladiador Aflito""","""กลาดิเอเตอร์กลัดกลุ้ม""",th-TH
"""Gladiador Sombrio""","""กลาดิเอเตอร์เคร่งขรึม""",th-TH
"""Gramp""",ปู่,th-TH
"""Grave Anathema""","""คำสาปร้ายแรง""",th-TH
"""Gulpuff-Headed Lionarch""","""Lionarch หัว Gulpuff""",th-TH
"""Haunting Ghost""","""วิญญาณตามหลอน""",th-TH
"""Headless Lionarch""","""Lionarch ไร้หัว""",th-TH
"""Hebe""","""เฮเบ""",th-TH
"""Hero Play""","""ละครวีรชน""",th-TH
"""Hero Play"" (Translation)","""ละครวีรชน"" (คำแปล)",th-TH
"""Homem de Meia-idade""","""ชายวัยกลางคน""",th-TH
"""Infiltrado""","""สายลับข้างกาย Muyu""",th-TH
"""Inside Man""","""สายลับข้างกาย Muyu""",th-TH
"""Ipsicorda""","""Zapstring""",th-TH
"""Ironhold""","""จ้าวโลหะ""",th-TH
"""Jardineiro""","""คนสวน""",th-TH
"""Jovem""","""ชายหนุ่ม""",th-TH
"""Killer in Dreams""","""นักฆ่าในความฝัน""",th-TH
"""King of Ginga Street""","""ราชาย่านการค้า""",th-TH
"""King""","""The King""",th-TH
"""La Llorona""","""ลา โยโรนา""",th-TH
"""Lantern-Headed Lionarch""","""Lionarch หัวโคมไฟ""",th-TH
"""Lança da Glória""","""หอกแห่งความรุ่งโรจน์""",th-TH
"""Lazy"" Autopuppet from the Past","หุ่นรบที่ ""เกียจคร้าน"" ในอดีต",th-TH
"""Lazy"" Trooper 3","Trooper 3 ""เกียจคร้าน""",th-TH
"""Left Behind?""","""ผู้หลงเหลือ?""",th-TH
"""Leão Soberano Sem Cabeça""","""Lionarch ไร้หัว""",th-TH
"""Leão Soberano com Cabeça de Baiagu""","""Lionarch หัว Gulpuff""",th-TH
"""Leão Soberano com Cabeça de Botão""","""Lionarch หัวลูกชิ้น""",th-TH
"""Leão Soberano com Cabeça de Espinho""","""Lionarch หัวแหลม""",th-TH
"""Leão Soberano com Cabeça de Lanterna""","""Lionarch หัวโคมไฟ""",th-TH
"""Liaison""","""ผู้ประสานภารกิจ""",th-TH
"""Ligação""","""ผู้ประสานภารกิจ""",th-TH
"""Lingering Signs of Battle""","""ร่องรอยการต่อสู้ที่หลงเหลืออยู่""",th-TH
"""Little Boss""","""เถ้าแก่น้อย""",th-TH
"""Little Girl""","""เด็กหญิง""",th-TH
"""Little One""","""เจ้าตัวเล็ก""",th-TH
"""Lollo Logistics Interal Forum""","""ฟอรัมภายในลอลโล่โลจิสติกส์""",th-TH
"""Lâmina Imaculada""","""ใบมีดไร้มลทิน""",th-TH
"""Líder"" Proscrito","""หัวหน้า"" ผู้ลี้ภัย",th-TH
"""Malfunctioning Kernel Puppet""","""Kernel Puppet ที่ขัดข้อง""",th-TH
"""Malícia Imortal""","""ความอาฆาตไม่ตาย""",th-TH
"""Manager""","""ผู้จัดการ""",th-TH
"""Mandra""","""แมนดรา""",th-TH
"""Maquinete do Núcleo com Defeito""","""Kernel Puppet ที่ขัดข้อง""",th-TH
"""Meiyifang""","""เสวียนสันต์""",th-TH
"""Meme do Olhar Fixo""","""มีมจ้องมอง""",th-TH
"""Menininha""","""เด็กหญิง""",th-TH
"""Mentor""","""อาจารย์""",th-TH
"""Merchant Caravan Staff""","""ผู้ร่วมกองคาราวาน""",th-TH
"""Merchant""","""ผู้ค้าเร่""",th-TH
"""Mercúrio""","""Mercurio""",th-TH
"""Mestre das Curvas""","""เพชฌฆาตทางโค้ง""",th-TH
"""Meticulous"" Researcher","นักวิจัยที่ ""พิถีพิถัน""",th-TH
"""Middle-aged Man""","""ชายวัยกลางคน""",th-TH
"""Modelo de Registro de Recibo de Suprimento""","""แบบฟอร์มลงทะเบียนการรับเสบียง""",th-TH
"""Mr. C-MOSS""","""คุณ C-MOSS""",th-TH
"""Nanami""",Nanami,th-TH
"""Nervous"" Researcher","นักวิจัยที่ ""ประหม่า""",th-TH
"""Nobre Apreensivo""","""ขุนนางกระวนกระวาย""",th-TH
"""Noise""","""เสียง""",th-TH
"""O Moldador""","""ผู้ทอบัญชา""",th-TH
"""O Monumento""","""อนุสาวรีย์""",th-TH
"""O Outro Daigo""","""อีกตัวตนหนึ่งของตัวเองในโลกนี้""",th-TH
"""O Tesouro""","""ของสะสมล้ำค่า""",th-TH
"""Obsession""","""ความยึดติด""",th-TH
"""Obsessão""","""ความยึดติด""",th-TH
"""Occupied Body""","""ร่างถูกยึดครอง""",th-TH
"""Old Captain"" Davide","""อดีตกัปตัน"" Davide",th-TH
"""Olá"" Distante",เสียงทักทายจากบริเวณไกล,th-TH
"""Optimistic"" Researcher","นักวิจัยที่ ""มองโลกในแง่ดี""",th-TH
"""Os Reincidentes""","""สิ่งหวนคืน""",th-TH
"""Pai""","""พ่อ""",th-TH
"""Painful"" Autopuppet from the Past","หุ่นรบที่ ""เจ็บปวด"" ในอดีต",th-TH
"""Painful"" Sentry 4","Sentry 4 ""เจ็บปวด""",th-TH
"""Painter""","""จิตรกร""",th-TH
"""Paradoxical Karma""","""กรรมย้อนแย้ง""",th-TH
"""Participantes do Funeral""","""ผู้ร่วมงานศพ""",th-TH
"""Peach""","""พีช""",th-TH
"""Pelotão de Pelúcia""","""ทีมตุ๊กตา""",th-TH
"""Pequenininho""","""เจ้าตัวเล็ก""",th-TH
"""Pequenino""","""Teeny""",th-TH
"""Pequeno Chefe""","""เถ้าแก่น้อย""",th-TH
"""Phantom""","""ภูตผี""",th-TH
"""Plushie Squad""","""ทีมตุ๊กตา""",th-TH
"""Poeira Estelar""","""Stardust""",th-TH
"""Port Business Advertisement""","""โฆษณาธุรกิจท่าเรือ""",th-TH
"""Portal da Unidade""","""ประตูแห่งเอกภาพ""",th-TH
"""Pêssego""","""พีช""",th-TH
"""Quadro de Avisos da Via Expressa""","""กระดานข่าวทางด่วน""",th-TH
"""Quarto"" da Denia","""ห้องนอน"" ของ Denia",th-TH
"""Red Eagle""","""อินทรีแดง""",th-TH
"""Rei da Rua Ginga""","""ราชาย่านการค้า""",th-TH
"""Rei""","""The King""",th-TH
"""Reparador de Destinos""","""ผู้เปลี่ยนชะตา""",th-TH
"""Reparador do Destino""","""ผู้เปลี่ยนชะตา""",th-TH
"""Retriever""","""สุนัขลาดตระเวน""",th-TH
"""Rover
""","""ผู้พเนจร""",th-TH
"""Rover""","""ผู้พเนจร""",th-TH
"""Rover"" of the Past","""ผู้พเนจร"" ในอดีต",th-TH
"""Ruído""","""เสียง""",th-TH
"""Sabores de Yuan""","""สุดห้วงรสตำรับ""",th-TH
"""Sabretooth""","""เซเบอร์ทูธ""",th-TH
"""Satisfação""","""Bliss""",th-TH
"""Schwimme, Gulpuff, schwimme"" Gerät","อุปกรณ์ ""ว่ายสิ Gulpuff ว่าย""",th-TH
"""Schüchterner Löwe""",": ""สิงโตขี้อาย""",th-TH
"""Self-Defined"" Autopuppet from the Past","หุ่นรบที่ ""กำหนดค่าอัตโนมัติ"" ในอดีต",th-TH
