source,target,tgt_lng
"""A Próxima Jornada""",「下一次启程」,zh-CN
"""Amanhecer da Montanha Beryl, Tempo Limpo""",「苍晶山地的晴朗清晨」,zh-CN
"""Beril Dağları'nda Güneşli Bir Sabah""",「苍晶山地的晴朗清晨」,zh-CN
"""Bir Sonraki Yolculuk""",「下一次启程」,zh-CN
"""Cỗ Máy Chỉ Thị Phán Quyết""",「谕示裁定枢机」,zh-CN
"""Ekinoks Dağı'ndan Manzara""",「于秋分山远眺」,zh-CN
"""Esus Dağı Hatıraları""",「芒索斯山麓的回忆」,zh-CN
"""Fontaine Hot Springs""",「枫丹热泉」,zh-CN
"""Fontaine Kaplıcaları""",「枫丹热泉」,zh-CN
"""Hành Trình Tiếp Theo""",「下一次启程」,zh-CN
"""Il prossimo viaggio""",「下一次启程」,zh-CN
"""Kênh Đào Lam Nguyệt""",「月蓝运河」,zh-CN
"""Mekanik Analiz Danışmanı Oratrice""",「谕示裁定枢机」,zh-CN
"""Memories of Mont Esus""",「芒索斯山麓的回忆」,zh-CN
"""Memórias do Monte Esus""",「芒索斯山麓的回忆」,zh-CN
"""Morning in the Beryl Mountains, Clear Weather""",「苍晶山地的晴朗清晨」,zh-CN
"""Narzissenkreuz Kingdom""",「水仙十字王国」,zh-CN
"""Nergis Haçı Krallığı""",「水仙十字王国」,zh-CN
"""Oratrice Mecanique d'Analyse Cardinale""",「谕示裁定枢机」,zh-CN
"""Oráquina de Análise Cardinal""",「谕示裁定枢机」,zh-CN
"""Reino da Cruz de Narcissus""",「水仙十字王国」,zh-CN
"""Sahildeki Köy""",「边村风景」,zh-CN
"""The Next Journey""",「下一次启程」,zh-CN
"""The Seaside Village""",「边村风景」,zh-CN
"""View From Mont Automnequi""",「于秋分山远眺」,zh-CN
"""Vila à Beira Mar""",「边村风景」,zh-CN
"""Vista do Monte Automnequi""",「于秋分山远眺」,zh-CN
"""Águas Termais de Fontaine""",「枫丹热泉」,zh-CN
"""กระดานหมากของเทพเจ้า""",「神的棋盘」,zh-CN
"""การเดินทางครั้งต่อไป""",「下一次启程」,zh-CN
"""ความทรงจำของเชิงเขา Esus""",「芒索斯山麓的回忆」,zh-CN
"""ชลธารอินทุคราม""",「月蓝运河」,zh-CN
"""ทิวทัศน์หมู่บ้านชายฝั่ง""",「边村风景」,zh-CN
"""น้ำพุร้อน Fontaine""",「枫丹热泉」,zh-CN
"""ประกาศิตเที่ยงธรรม""",「谕示裁定枢机」,zh-CN
"""มุมมองจากภูเขา Automnequi""",「于秋分山远眺」,zh-CN
"""รุ่งอรุณสดใส ณ ภูเขา Beryl""",「苍晶山地的晴朗清晨」,zh-CN
"""อาณาจักร Narzissenkreuz""",「水仙十字王国」,zh-CN
A Bountiful Land of Farming and Fecundity,丰藏与耕种的沃野,zh-CN
A Cidade Sobre a Floresta,林上的化城,zh-CN
A Cidade das Cinzas Inacabada,未完工的灰烬之城,zh-CN
A Corte da Vida em Definhamento,生命枯焦之殿,zh-CN
A Corte de Fontes Doces,醴泉干涸之殿,zh-CN
A Destruição de Sonhos Quebrados,破碎梦想的余迹,zh-CN
A Distant Harbor,远港,zh-CN
A Drop in the Ocean,瀚海孤云,zh-CN
A Floresta Sagrada ao Luar,月光下的神林,zh-CN
A Fortaleza da Escuridão,漆黑要塞,zh-CN
A Fortaleza de Cobre,铸铜的要塞,zh-CN
A Fronteira Sob as Altas Muralhas,高墙下的边驿,zh-CN
A Gaze Toward the Stars,凝望群星之眼,zh-CN
A Gaze Upon the World,投向世界的一眸,zh-CN
A Hilly Hidey-Hole for Nectar,蜜酎秘醅山馆,zh-CN
A História Registrada,被记述的故事,zh-CN
A Hollow in the Heart,心中的孔窍,zh-CN
