source,target,tgt_lng
Abedular,Birkenwald,de-DE
Abedular ancestral,Birken-Urwald,de-DE
Abetal,Berghain,de-DE
Abisso oscuro,Tiefes Dunkel,de-DE
Abîmes,Tiefes Dunkel,de-DE
Alacalı Orman,Buntwald,de-DE
Altopiano della savana,Savannenhochebene,de-DE
Ayçiçeği Ovaları,Sonnenblumenebene,de-DE
Aşınmış Kırgıbayır,Abgetragene Tafelberge,de-DE
Badlands,Tafelberge,de-DE
Badlands boisées,Bewaldete Tafelberge,de-DE
Badlands érodées,Abgetragene Tafelberge,de-DE
Bamboo Jungle,Bambusdschungel,de-DE
Bambu Ormanı,Bambusdschungel,de-DE
Basalt Deltas,Basaltdeltas,de-DE
Bataklık,Sumpf,de-DE
Bazalt Deltaları,Basaltdeltas,de-DE
Beach,Strand,de-DE
Birch Forest,Birkenwald,de-DE
Biển băng tuyết,Verschneiter Strand,de-DE
Boschetto,Berghain,de-DE
Boschetto di ciliegi,Kirschberghain,de-DE
Bosque,Berghain,de-DE
Bosque,Wald,de-DE
Bosque carmesí,Karmesinwald,de-DE
Bosque distorsionado,Wirrwald,de-DE
Bosque floral,Blumenwald,de-DE
Bosque moteado,Buntwald,de-DE
Bosque oscuro,Dunkler Wald,de-DE
Bosque ventiscoso,Zerzauster Wald,de-DE
Bosquet,Berghain,de-DE
Bosquet de cerisiers,Kirschberghain,de-DE
Boşluk,Die Leere,de-DE
Buz Dikitleri,Eiszapfentundra,de-DE
Bãi biển,Strand,de-DE
Bóng tối sâu thẳm,Tiefes Dunkel,de-DE
Bờ đá,Steinige Küste,de-DE
Calanchi,Tafelberge,de-DE
Calanchi boscosi,Bewaldete Tafelberge,de-DE
Calanchi erosi,Abgetragene Tafelberge,de-DE
Campi fungosi,Pilzland,de-DE
Campo de champiñones,Pilzland,de-DE
Campos de cogumelos,Pilzland,de-DE
Cao nguyên End,End-Hochland,de-DE
Cao nguyên Xavan,Savannenhochebene,de-DE
Cavernas de enxofre,Schwefelhöhlen,de-DE
Cavernas de espeleotemas,Tropfsteinhöhlen,de-DE
Cavernas verdejantes,Üppige Höhlen,de-DE
Caverne di speleotemi,Tropfsteinhöhlen,de-DE
Caverne di zolfo,Schwefelhöhlen,de-DE
Caverne rigogliose,Üppige Höhlen,de-DE
Cavernes de soufre,Schwefelhöhlen,de-DE
Cavernes de spéléothèmes,Tropfsteinhöhlen,de-DE
Cavernes luxuriantes,Üppige Höhlen,de-DE
Cerejal,Kirschberghain,de-DE
Cerezal,Kirschberghain,de-DE
Champs de champignons,Pilzland,de-DE
Cherry Grove,Kirschberghain,de-DE
Châu thổ đá bazan,Basaltdeltas,de-DE
Cold Ocean,Kalter Ozean,de-DE
Colinas das ventanias,Zerzauste Hügel,de-DE
Colinas de cascalho das ventanias,Zerzauste Geröllhügel,de-DE
