source,target,tgt_lng
Authorization Level,魔王权限等级,zh-CN
魔王権限,魔王权限等级,zh-CN
마왕 권한 레벨,魔王权限等级,zh-CN
魔王權限等級,魔王权限等级,zh-CN
Level Up,升级,zh-CN
レベルアップ,升级,zh-CN
레벨업,升级,zh-CN
升級,升级,zh-CN
Tier Up,进阶,zh-CN
昇格,进阶,zh-CN
승급,进阶,zh-CN
進階,进阶,zh-CN
Awakening,觉醒,zh-CN
覚醒,觉醒,zh-CN
각성,觉醒,zh-CN
覺醒,觉醒,zh-CN
Skills Description,技能概述,zh-CN
スキル,技能概述,zh-CN
스킬 설명,技能概述,zh-CN
Skills Enhancement,技能强化,zh-CN
スキル強化,技能强化,zh-CN
스킬 강화,技能强化,zh-CN
技能強化,技能强化,zh-CN
Unlocking Affixes,词条解锁,zh-CN
特性解放,词条解锁,zh-CN
옵션 오픈,词条解锁,zh-CN
詞條解鎖,词条解锁,zh-CN
Affix Synergy,词条契合度,zh-CN
特性のマッチ度,词条契合度,zh-CN
옵션 호환도,词条契合度,zh-CN
詞條契合度,词条契合度,zh-CN
Talent Description,天赋概述,zh-CN
心相,天赋概述,zh-CN
특성 설명,天赋概述,zh-CN
天賦概述,天赋概述,zh-CN
Talent Effect,天赋效果,zh-CN
心相の効果,天赋效果,zh-CN
특성 효과,天赋效果,zh-CN
天賦效果,天赋效果,zh-CN
Affinity Description,默契概述,zh-CN
信頼,默契概述,zh-CN
호감도 설명,默契概述,zh-CN
Increase Affinity - Affinity Task,默契获取-伙伴任务,zh-CN
パートナー任務,默契获取-伙伴任务,zh-CN
호감도 획득 - 파트너 임무,默契获取-伙伴任务,zh-CN
默契獲得-夥伴任務,默契获取-伙伴任务,zh-CN
Trekker Emblem,旅人纹章,zh-CN
巡遊者徽章,旅人纹章,zh-CN
여행가 배지,旅人纹章,zh-CN
旅人紋章,旅人纹章,zh-CN
Emblem Material,纹章素材,zh-CN
徽章素材,纹章素材,zh-CN
배지 재료,纹章素材,zh-CN
紋章素材,纹章素材,zh-CN
Trekker Preference,旅人偏好,zh-CN
徽章スロット,旅人偏好,zh-CN
여행가 취향,旅人偏好,zh-CN
Emblem Forging,纹章铸造,zh-CN
徽章の鋳造,纹章铸造,zh-CN
배지 연성,纹章铸造,zh-CN
紋章鑄造,纹章铸造,zh-CN
Emblem Reforging,纹章重铸,zh-CN
特性の再抽選,纹章重铸,zh-CN
배지 재련,纹章重铸,zh-CN
紋章重鑄,纹章重铸,zh-CN
Reforge Locking,重铸锁定,zh-CN
特性ロック,重铸锁定,zh-CN
재련 잠금,重铸锁定,zh-CN
重鑄鎖定,重铸锁定,zh-CN
Emblem Tempering,纹章跃升,zh-CN
特性強化,纹章跃升,zh-CN
배지 강화,纹章跃升,zh-CN
紋章躍升,纹章跃升,zh-CN
Monolith: Description,星塔-概述,zh-CN
星ノ塔探索,星塔-概述,zh-CN
별의 탑-설명,星塔-概述,zh-CN
Monolith: Potential,星塔-潜能,zh-CN
素質,星塔-潜能,zh-CN
별의 탑-잠재력,星塔-潜能,zh-CN
星塔-潛能,星塔-潜能,zh-CN
Monolith: Musical Note,星塔-音符,zh-CN
音符,星塔-音符,zh-CN
별의 탑-소리,星塔-音符,zh-CN
Monolith: Harmony Skill,星塔-协奏技能,zh-CN
アシスト効果,星塔-协奏技能,zh-CN
별의 탑-협주 스킬,星塔-协奏技能,zh-CN
星塔-協奏技能,星塔-协奏技能,zh-CN
Monolith: Event,星塔-事件,zh-CN
イベント,星塔-事件,zh-CN
별의 탑-사건,星塔-事件,zh-CN
Monolith: Records,星塔-纪录,zh-CN
記録,星塔-纪录,zh-CN
별의 탑-기록,星塔-纪录,zh-CN
星塔-紀錄,星塔-纪录,zh-CN
Description,概述,zh-CN
星ノ塔研究,概述,zh-CN
설명,概述,zh-CN
Research Layers,研究层级,zh-CN
研究段階,研究层级,zh-CN
연구 단계,研究层级,zh-CN
研究層級,研究层级,zh-CN
Research Requirements,研究条件,zh-CN
연구 조건,研究条件,zh-CN
研究條件,研究条件,zh-CN
Record Description,纪录概述,zh-CN
記録,纪录概述,zh-CN
기록 설명,纪录概述,zh-CN
紀錄概述,纪录概述,zh-CN
Potentials and Blessings,潜能与祝福,zh-CN
素質と音符,潜能与祝福,zh-CN
잠재력과 축복,潜能与祝福,zh-CN
潛能與祝福,潜能与祝福,zh-CN
Potential Presets: Share & Import,潜能预设-分享与导入,zh-CN
素質プリセット-共有とインポート,潜能预设-分享与导入,zh-CN
잠재력 프리셋-공유 및 가져오기,潜能预设-分享与导入,zh-CN
潛能預設-分享與匯入,潜能预设-分享与导入,zh-CN
Travel Story,旅行故事,zh-CN
ストーリー,旅行故事,zh-CN
여행 스토리,旅行故事,zh-CN
Daily Task,日常勤务,zh-CN
基礎研修,日常勤务,zh-CN
일상 업무,日常勤务,zh-CN
日常勤務,日常勤务,zh-CN
Enemy Hunting,强敌讨伐,zh-CN
首領討伐,强敌讨伐,zh-CN
강적 토벌,强敌讨伐,zh-CN
強敵討伐,强敌讨伐,zh-CN
Emblem Hunting,纹章本,zh-CN
徽章ダンジョン,纹章本,zh-CN
배지 던전,纹章本,zh-CN
紋章冊,纹章本,zh-CN
Summit Show,巅峰秀场,zh-CN
頂上決戦,巅峰秀场,zh-CN
정상결전,巅峰秀场,zh-CN
巔峰秀場,巅峰秀场,zh-CN
Stat Bonus,属性增益,zh-CN
ステータス強化,属性增益,zh-CN
속성 버프,属性增益,zh-CN
屬性增益,属性增益,zh-CN
Main Slot: Melody Skill,主位-主旋律技能,zh-CN
メイン枠のコア効果,主位-主旋律技能,zh-CN
메인-멜로디 스킬,主位-主旋律技能,zh-CN
Main Slot: Harmony Skill,主位-协奏技能,zh-CN
メイン枠のアシスト効果,主位-协奏技能,zh-CN
메인-협주 스킬,主位-协奏技能,zh-CN
主位-協奏技能,主位-协奏技能,zh-CN
Support Slot: Initial Musical Note,辅位-初始音符,zh-CN
サブ枠の初期音符,辅位-初始音符,zh-CN
보조-기본 소리,辅位-初始音符,zh-CN
輔位-初始音符,辅位-初始音符,zh-CN
Contacts,联系人,zh-CN
連絡先,联系人,zh-CN
연락처,联系人,zh-CN
聯絡人,联系人,zh-CN
Chats,聊天会话,zh-CN
チャット,聊天会话,zh-CN
메시지 대화,聊天会话,zh-CN
聊天對話,聊天会话,zh-CN
Chat History,切换聊天,zh-CN
チャット履歴,切换聊天,zh-CN
대화창 전환,切换聊天,zh-CN
切換聊天,切换聊天,zh-CN
Vigor Description,干劲简介,zh-CN
やる気,干劲简介,zh-CN
활력 설명,干劲简介,zh-CN
活力簡介,干劲简介,zh-CN
Vigor Recovery,手动恢复,zh-CN
やる気の回復,手动恢复,zh-CN
직접 회복,手动恢复,zh-CN
手動恢復,手动恢复,zh-CN
Vigor Reserve,干劲储备,zh-CN
やる気ストック,干劲储备,zh-CN
활력 저장,干劲储备,zh-CN
活力儲備,干劲储备,zh-CN
Gameplay Overview,玩法概述,zh-CN
無限リング,玩法概述,zh-CN
콘텐츠 설명,玩法概述,zh-CN
Arena Rules,擂台规则,zh-CN
リングのルール,擂台规则,zh-CN
